word,hiragana,katakana,YOUTUBE_FREQ_V3_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ
の,の,ノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,4,5,5,5,5,2,5,5,5,3,5,5
て,て,テ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5
だ,だ,ダ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,4,5,5,5,5,5,3,5,5,5,3,5,5
と,と,ト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,5,4,5,5,5,5,3,5,5,5,3,5,5
に,に,ニ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
は,は,ハ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,4,5,5,5,4,5,5
が,が,ガ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,2,5,5,5,5,4,5,5,5,3,5,5
を,を,ヲ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5
た,た,タ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,3,5,5,1,5,5,3,5,5,5,2,5,5
ます,ます,マス,5,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,4,2,2,4,3,5,5,4,5,5,5,4,5,5
する,する,スル,5,2,5,5,1,5,5,5,5,5,3,2,5,2,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,3,5,5
です,です,デス,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,3,5,5,5,5,5,1,5,5,5,1,5,5
で,で,デ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,1,5,5,5,5,3,5,5,5,3,5,5
も,も,モ,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,2,5,5,5,5,2,5,5,5,2,5,5
か,か,カ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5
いう,いう,イウ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5
ね,ね,ネ,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,2,4,5,5,5,5,4,5,5,5,4,4,5
ない,ない,ナイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5
ん,ん,ン,5,5,5,5,1,4,5,5,5,5,1,1,5,1,1,1,5,5,5,5,5,5,1,4,5,5,5,5,5,1,5,5,5,1,5,5
いる,いる,イル,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5
こと,こと,コト,5,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
ある,ある,アル,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,5,5,5,5
から,から,カラ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,2,5,5
って,って,ッテ,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,2,5,5,5,5,5,1,5,5,5,1,4,5
よ,よ,ヨ,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,4,5,5,5,5,4,5,5,5,4,5,5
これ,これ,コレ,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
てる,てる,テル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,5,4,5,5,5,1,5,5,5,2,4,5
なる,なる,ナル,5,2,5,5,1,3,5,5,5,5,3,2,5,3,2,5,5,5,5,5,2,2,4,2,2,5,5,5,5,2,5,5,5,2,5,5
この,この,コノ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
思う,おもう,オモウ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5
れる,れる,レル,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,4,1,5,5,1,5,5,5,1,5,5
けど,けど,ケド,5,1,3,5,1,3,5,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,3,2,1,5,5,5,1,3,5
そう,そう,ソウ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5
それ,それ,ソレ,5,3,5,5,5,5,5,2,5,5,5,3,5,3,3,5,5,5,5,5,5,5,1,3,4,5,5,5,5,5,5,5,5,5,5,5
な,な,ナ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
その,その,ソノ,5,5,5,5,4,4,3,5,5,5,4,4,5,4,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,3,5,5,5,3,5,5
お,お,オ,5,2,5,5,5,3,5,5,5,5,4,3,5,5,2,4,5,5,5,5,5,5,3,3,5,5,5,5,5,3,5,5,5,3,5,5
よう,よう,ヨウ,5,3,5,5,5,5,5,5,5,5,5,3,5,3,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
いく,いく,イク,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
言う,いう,イウ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5
人,と,ト,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
やる,やる,ヤル,5,5,3,5,1,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,1,1,3,1,5,5,5,5,5,5,5,5,5,5,4,5
さん,さん,サン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
たい,たい,タイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,2,5,4,2,5,5,4,5,5,5,4,5,5
ちょっと,ちょっと,チョット,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,4,5,5,5,5,5,3,5
くる,くる,クル,5,3,4,5,2,5,5,5,5,5,3,5,5,2,2,5,5,5,5,5,5,5,5,1,5,5,5,5,5,2,5,5,5,3,5,5
もう,もう,モウ,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,4,5,5,5,5,5,4,5
いい,いい,イイ,5,3,4,5,4,2,5,5,5,5,4,2,5,3,3,5,5,5,5,5,2,2,1,2,5,5,5,5,5,3,5,5,5,4,4,5
方,へ,ヘ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
できる,できる,デキル,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5
ば,ば,バ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,4,1,5,5,5,5,5,5,5,5,5
ぬ,ぬ,ヌ,5,3,4,5,1,2,5,4,5,5,1,1,5,1,1,1,5,5,5,5,5,5,1,2,4,4,1,5,5,1,5,5,5,1,5,5
何,なん,ナン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
や,や,ヤ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
もの,もの,モノ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
見る,みる,ミル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5
私,あっし,アッシ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
今,いま,イマ,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
こう,こう,コウ,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,5,5,5,5,5,5,5,4,5
なん,なん,ナン,5,2,4,5,5,2,5,5,5,5,3,3,5,3,3,4,5,5,5,5,5,5,2,1,5,5,5,5,4,3,5,5,5,3,3,5
ここ,ここ,ココ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,4,4,5,5,5,5,5,5,5
はい,はい,ハイ,5,5,2,5,4,4,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,4,4,5,5,5,3,2,5
中,うち,ウチ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
どう,どう,ドウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5
けれど,けれど,ケレド,5,5,2,4,1,5,5,4,4,4,5,5,5,5,5,1,4,4,4,5,4,4,1,1,5,4,1,3,3,1,4,4,5,1,2,5
ところ,ところ,トコロ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5
だけ,だけ,ダケ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,1,5,5
行く,いく,イク,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5
そして,そして,ソシテ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,2,1,5,5,5,1,5,5
まで,まで,マデ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,5,1,5,5
自分,じぶん,ジブン,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5
時,どき,ドキ,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
みる,みる,ミル,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5
感じ,かんじ,カンジ,5,5,4,5,1,5,5,1,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,2,1,5,3,4,5,5,5,4,5,5,3,5
ト,ト,ト,5,1,3,1,1,1,1,1,1,2,1,1,1,2,2,1,4,4,2,1,3,3,1,3,1,4,1,1,1,1,1,4,4,1,3,1
わけ,わけ,ワケ,5,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,4,5,5,5,5,5,4,5
カ,カ,カ,5,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,4,5,4,1,5,5,1,3,1,4,3,1,1,1,1,5,4,1,2,1
くださる,くださる,クダサル,5,5,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,4,5,5,3,4,5,5,5,5,5,3,5
つ,つ,ツ,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,1,3,4,5,4,5,5,5,5,5,5,5,5,5
つく,つく,ツク,5,5,3,5,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,1,4,5,5,5,5,5,5,5,5,5,4,5
たり,たり,タリ,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,4,4,5,5,1,5,5,5,1,5,5
出る,でる,デル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5
使う,つかう,ツカウ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5
いただく,いただく,イタダク,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,3,3,5,5,5,5,5,2,5
すごい,すごい,スゴイ,5,5,2,5,1,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,1,1,5,1,4,5,5,2,2,5,5,5,5,5,2,5
また,また,マタ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5
ござる,ござる,ゴザル,5,5,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,1,3,4,5,4,4,5,5,5,5,5,2,5
みたい,みたい,ミタイ,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,2,2,5,5,5,5,5,3,5
おる,おる,オル,5,4,2,5,1,3,3,2,5,5,4,4,5,3,3,4,5,5,5,5,1,1,3,1,4,4,5,5,5,4,5,5,5,4,5,5
こちら,こちら,コチラ,5,1,4,5,1,1,5,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,4,4,1,5,5,5,1,4,5
年,とせ,トセ,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5
せる,せる,セル,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,3,3,1,5,5,2,5,5,5,2,5,5
あ,あ,ア,5,1,4,5,3,4,3,5,5,5,4,4,5,4,2,3,5,5,5,5,5,5,3,4,5,5,1,5,5,3,5,5,5,2,4,5
られる,られる,ラレル,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,3,1,5,5,1,5,5,5,1,5,5
良い,よい,ヨイ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,1,4,4,5,5,1,1,5,2,5,5,5,4,4,5,5,5,5,5,5,5
来る,きたる,キタル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5
しまう,しまう,シマウ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,3,1,5,4,5,5,5,5,5,5,5,5,5,5
ため,ため,タメ,5,3,5,5,5,5,5,3,5,5,1,2,5,2,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,2,5,5,5,2,5,5
一,いっち,イッチ,5,5,5,5,5,5,5,5,5,2,1,1,5,1,1,5,2,2,1,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5
入る,いる,イル,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5
ちゃう,ちゃう,チャウ,5,5,2,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,1,2,4,4,3,3,1,5,5,5,1,3,5
今日,きょう,キョウ,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,5,5,5,5,5,4,5
あの,あの,アノ,5,5,3,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,4,4,5,5,5,5,5,4,5
皆,みんな,ミンナ,5,5,3,4,5,5,5,5,5,5,2,5,4,5,5,5,5,5,5,5,5,5,4,2,5,5,5,4,4,5,5,5,5,5,3,5
今回,こんかい,コンカイ,5,5,4,5,3,5,5,5,5,5,1,5,4,5,5,4,5,5,5,5,5,5,5,2,4,5,2,2,2,5,5,5,5,5,3,5
話,わ,ワ,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5
考える,かんがえる,カンガエル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,3,5,5,5,5,5,5,5,5,5
俺,おれ,オレ,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,2,2,5,5,5,5,5,4,5
日,か,カ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
目,もく,モク,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5
さ,さ,サ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5
事,じ,ジ,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
し,し,シ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5
動画,どうが,ドウガ,5,4,4,3,1,3,5,4,4,4,1,4,1,3,3,1,3,3,3,3,3,3,4,3,1,3,1,1,3,3,4,3,3,3,4,5
作る,つくる,ツクル,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5
僕,しもべ,シモベ,5,5,4,5,5,5,5,5,5,5,5,2,5,3,2,5,5,5,5,5,5,5,5,4,5,5,5,3,3,5,5,5,5,5,4,5
まあ,まあ,マア,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,3,3,5,5,5,5,5,2,5
本当,ほんとう,ホントウ,5,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,3,3,5,5,5,5,5,3,5
おく,おく,オク,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,2,5,5,5,5,5,5,5,5,5,5,4,5
など,など,ナド,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5
ご,ご,ゴ,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5
そこ,そこ,ソコ,5,4,5,5,5,4,5,5,5,5,3,4,5,4,4,5,5,5,5,5,5,5,4,1,2,5,5,5,5,4,5,5,5,4,4,5
円,まる,マル,5,5,5,5,5,5,5,1,4,4,1,3,5,4,2,4,4,4,5,4,4,4,5,3,1,4,2,5,5,4,4,3,5,4,5,5
よる,よる,ヨル,5,3,5,5,5,5,5,5,5,5,4,3,5,3,2,5,5,5,5,5,2,2,5,4,5,3,5,5,5,5,5,5,5,5,5,5
こんな,こんな,コンナ,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,3,3,5,5,5,5,5,3,5
持つ,もつ,モツ,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5
月,げつ,ゲツ,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,5,4,5,5
日本,にほん,ニホン,5,5,5,5,5,5,5,5,5,1,1,1,5,4,5,5,4,5,5,4,5,5,4,5,5,4,2,5,5,1,5,3,5,1,5,5
そんな,そんな,ソンナ,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,4,4,5,5,5,5,5,4,5
上,うわ,ウワ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
まず,まず,マズ,5,5,4,5,1,5,5,5,5,5,5,2,5,3,2,5,5,5,5,5,5,5,1,5,5,5,5,3,4,2,5,5,5,2,4,5
わかる,わかる,ワカル,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,4,5,5,5,5,5,5,5,5,4,5
時間,じかん,ジカン,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,5
あと,あと,アト,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5
次,じ,ジ,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,5,5,5,5,5,5,5,5,5
前,さき,サキ,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
くれる,くれる,クレル,5,2,3,5,1,2,5,5,5,5,4,3,5,3,3,5,5,5,5,5,1,1,3,1,5,5,5,5,5,3,5,5,5,4,4,5
ま,ま,マ,5,2,4,5,4,4,3,5,5,5,5,4,5,5,3,4,5,5,5,5,5,5,4,3,5,3,1,5,5,5,5,5,5,4,5,5
