word,hiragana,katakana,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
の,の,ノ,1,6,1,1,328,1,1,1,1,3,1,3,2,2,3,2488,2,2,3,1,2,2,1,16997,33,2609,1,1,1,1,2,1,3,4,1,1,4,6,4,2,1,11280,1,2,9754,1,1,1
だ,だ,ダ,2,2,54,2,113,9,6,13,2,1,3,1,9,1,1,3647,1,1,1,2,10,10,29,12909,3457,4,10,4,9,13,3,5,2,1,5,3,2,2,1,7,12,6225,6,4,9043,12,7,3
は,は,ハ,3,13,3,4,1936,3,7,2,3,2,5,2,6,3,5,1404,3,3,5,4,3,3,4,5452,1,2057,4,2,2,10,6,9,8,2,9,7,9,7,8,8,8,1448,8,7,2551,4,6,6
た,た,タ,4,4,4,3,405,8,9,63,4,4,2,4,4,4,2,7472,4,4,2,5,5,5,9,10170,4906,18,409,2518,-1,8,12,13,7,5,10,13,13,22,6,11,7,5774,7,5,21045,6,8,9
に,に,ニ,5,15,2,6,30,2,3,5,5,5,6,5,5,5,6,29,5,5,6,6,6,6,3,440,36,137,6,3,3,2,5,6,5,8,7,11,15,15,12,5,3,54,3,8,124,2,3,5
て,て,テ,8,5,6,5,21,4,2,86,8,7,4,7,7,6,4,38,6,6,4,3,4,4,5,21,7917,122,384,327,-1,7,1,3,1,3,2,2,6,18,7,6,6,43,4,6,41,10,2,2
する,する,スル,9,13446,16,9,-1,26,15,107,9,9,8191,10746,12,18652,21239,9,9,9,8,9,32,41,27,184,1771,67,16,7,12,4,6760,11641,4325,6932,7368,6267,2453,7296,7322,22189,4,20459,5,13,8143,3,10,11
ない,ない,ナイ,10,23,33,10,239,33,17,29,10,14,17,14,15,14,16,1,14,14,16,10,4360,4117,15,670,12211,27,52,27,30,21,32,44,29,24,36,36,24,20,28,27,19,252,13,16,236,21,16,18
よ,よ,ヨ,11,16,1197,13,147,79,69,6,11,13,30,13,36,13,10,810,13,13,10,18,20,22,107,6416,6043,1223,9,9,11,132,83,390,70,55,135,44,28,28,38,50,198,3353,24,40,2444,656,20,25
と,と,ト,12,17,8,15,443,15,10,8,12,11,9,11,11,11,13,24431,11,11,13,11,16,17,10,8319,8,2029,12,10,7,9,4,2,4,11,4,4,8,16,10,14,9,8045,10,12,5082,9,11,4
か,か,カ,14,10,58,12,540,41,19,11,14,16,14,16,22,15,15,567,15,15,15,16,15,16,21,1741,793,3778,14,8,13,23,23,34,20,10,29,24,11,5,15,37,30,463,12,21,1128,56,18,15
も,も,モ,15,14,15,18,4286,21,13,7,15,10,11,10,18,10,9,16663,10,10,9,13,17,19,12,16636,289,15333,11,11,8,20,16,19,12,31,17,16,16,21,13,19,20,22209,16,18,24268,18,19,14
ます,ます,マス,19,40,1083,17,11297,23,8,77,19,18,22,19,26,26,24,41,26,23,21,30,10571,-1,16,1555,19190,24949,2715,2954,4332,150,10,7,14,32,6,8,26,9,27,15,162,1642,14,26,1093,551,12,10
ね,ね,ネ,20,3,1543,19,394,73,42,10,20,19,36,21,50,27,20,1437,27,24,19,31,31,38,82,5508,13696,3042,15,13,18,126,24,38,21,41,24,14,5,3,5,46,224,2583,25,52,2133,1572,14,17
いる,いる,イル,21,66,17,20,-1,24,16,35,21,24,12,26,16,21,31,4,21,19,28,15,-1,-1,25,598,13398,1,58,17,19,15,26,24,30,17,23,30,57,34,50,25,21,2,15,19,2,15,15,20
な,な,ナ,22,35,22,22,118,132,89,14,22,22,42,24,57,18,22,224,18,17,20,28,7,7,13,2211,3977,379,8,14,20,106,64,257,52,26,134,103,46,32,54,67,148,505,29,53,815,933,36,35
から,から,カラ,23,26,19,23,3250,39,22,15,23,30,18,34,24,37,28,2,37,34,25,17,28,35,28,10398,70,2,17,16,10,22,33,30,38,34,26,33,43,58,44,42,22,21788,19,22,12585,19,23,23
何,なに,ナニ,24,21,429,27,8,111,87,24,24,21,31,23,56,22,27,56,22,20,24,46,26,33,109,9,14353,87,45,20,145,332,49,102,39,40,62,60,23,26,31,71,203,13,27,51,7,556,44,53
