word,hiragana,katakana,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
が,が,ガ,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,5
を,を,ヲ,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
ん,ん,ン,5,5,5,1,4,1,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5
です,です,デス,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
で,で,デ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5
てる,てる,テル,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,1,5,4,4,5,4,5,5,2,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,2,4,5,5
う,う,ウ,5,3,4,3,4,2,3,5,5,5,1,5,3,2,2,5,5,5,5,5,5,5,1,3,5,5,5,5,5,5,5,4,5,5,5,5,5,1,2,3,2,2,2,2,2,2,2,1,1,5,5,5,5,1,5,5,5
じゃ,じゃ,ジャ,5,3,4,1,4,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,3,4,3,3,3,4,4,3,3,4,2,5,5,5,5,3,4,5,5
って,って,ッテ,5,5,3,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,4,5,5
れる,れる,レル,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,1,4,4,1,4,4,4,4,4,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
