word,hiragana,katakana,BCCWJ_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
を,を,ヲ,5,38,43,33,28,22,39,36,42,38,39,43,29,38,40,5,8,-1,5,4,6,6,7,6,8,7,12,-1,7,7,12,7,8,8,6,-1,57,-1,7,6,5,3,11,8,13,20,13,15,25,41,24,10,2,-1,6,2,9,7,-1,5,5,8
為る,する,スル,14,24,24,20,19,23,25,24,25,23,23,25,20,22,24,16,9,-1,11,-1,9,9,10,9,12,9,8,9,9,9,8,5833,32,41,27,16852,1771,-1,30,7,12,11914,15,10,15,9,12,17,21,17,23,12,9898,1,9,5,15736,19,1,3,10,11
で,で,デ,19,11,12,9,15,18,14,11,13,12,10,11,13,12,10,7,16,3,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,8,1209,22,-1,13,12,6,11,17,16,18,23,16,18,20,14,20,16,11,7727,13,11,17,8,7453,11,13,13
居る,いる,イル,24,66,62,79,63,71,47,72,61,65,69,72,68,69,65,13974,3728,-1,16,-1,4819,1201,12,26,620,21,31,4,1488,1378,1351,587,-1,-1,4269,598,13398,-1,57,2487,19,1439,26,24,30,17,23,30,57,34,50,25,762,2,4953,507,647,1944,2,5225,1645,921
ている,ている,テイル,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
成る,なる,ナル,35,49,50,48,47,41,50,47,48,48,50,46,47,48,48,6158,11312,-1,24,-1,13293,11259,20,36,3936,29,36,11,10426,9775,9743,4133,12688,13339,9978,5591,15964,11658,32,8950,15,629,30,28,34,19,28,31,42,127,60,36,863,7,12899,8709,3734,12033,10,5535,16551,9422
一,いち,イチ,42,65,68,56,52,64,78,60,56,68,59,62,55,57,69,57,99,5,157,266,200,18148,-1,-1,41,-1,-1,15,17870,16748,-1,95,114,130,104,115,1215,200,411,415,2391,19,52,46,59,104,48,67,98,56,62,18,18,26,129,187,47,78,35,51,100,99
である,である,デアル,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,23,573,360,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
という,という,トイウ,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111,-1,-1,135,164,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,69,-1,-1,47,-1,86,10,163,90,50,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,55,-1,173,-1,-1,62,-1,47,21,-1
のだ,のだ,ノダ,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,439,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8516,-1,-1,-1,-1,-1,14002,15,1856,191,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
