word,hiragana,katakana,WIKIPEDIA_V2_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JITEN_ANIME_V2,JITEN_AUDIO,JITEN_DRAMA,JITEN_GLOBAL,JITEN_MANGA,JITEN_MOVIE,JITEN_NON_FICTION,JITEN_NOVEL,JITEN_VIDEO_GAME,JITEN_VISUAL_NOVEL,JITEN_WEB_NOVEL,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
の,の,ノ,1,6,5,5,3,4,7,5,5,5,6,6,4,4,7,1,1,328,1,1,1,1,1,3,3,2,2,3,2488,2,2,3,1,2,2,1,16997,33,2609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,1,1,4,6,4,2,11280,1,1,2,1,9754,1,1
に,に,ニ,2,15,17,11,14,10,16,16,9,15,15,15,16,13,14,2,6,30,4,2,3,5,5,5,5,5,5,6,29,5,5,6,6,6,6,3,440,36,137,6,3,2,3,3,3,3,3,4,3,3,3,3,3,5,6,5,8,7,11,15,15,12,5,54,5,3,8,2,124,3,5
する,する,スル,3,13446,13258,7212,7639,2876,4170,4014,4667,16460,8594,5139,11750,14238,10747,16,9,-1,14,6501,15,107,9,9,10746,12,18652,21239,9,9,9,8,9,32,41,27,184,1771,67,16,15,15,14,12,14,14,12,11,14,12,10,7,12,6760,11641,4325,6932,7368,6267,2453,7296,7322,22189,20459,9,5,13,19,8143,10,11
は,は,ハ,4,13,16,10,10,9,18,9,17,14,14,17,10,10,17,3,4,1936,2,4,7,2,3,2,2,6,3,5,1404,3,3,5,4,3,3,4,5452,1,2057,4,2,3,2,2,2,2,4,3,4,2,4,2,2,6,9,8,2,9,7,9,7,8,8,1448,3,8,7,4,2551,6,6
を,を,ヲ,5,38,43,33,28,22,39,36,42,38,39,43,29,38,40,5,8,-1,3,6,5,4,6,6,6,8,7,12,-1,7,7,12,7,8,8,6,-1,57,-1,7,5,5,5,4,5,5,2,2,2,4,2,6,5,11,8,13,20,13,15,25,41,24,10,-1,6,2,9,7,-1,5,8
た,た,タ,6,4,4,7,11,7,4,4,4,4,3,4,8,5,4,4,3,405,5,7,9,63,4,4,4,4,4,2,7472,4,4,2,5,5,5,9,10170,4906,18,409,24260,6077,19641,9819,21064,18306,7190,19990,8700,12097,13341,2518,-1,12,13,7,5,10,13,13,22,6,11,5774,4,7,5,6,21045,8,9
が,が,ガ,7,12,13,13,13,6,9,14,12,11,12,12,15,11,12,9,7,1906,6,9,4,3,7,8,8,10,8,7,19996,8,8,7,8,11,11,7,-1,26,19854,5,4,4,4,5,4,4,5,5,5,5,5,5,4,7,11,10,6,8,9,12,10,14,13,3087,7,9,10,5,8925,4,7
年,ねん,ネン,8,132,119,183,161,196,179,103,160,121,138,135,145,117,141,11,148,115,674,38,37,117,91,90,97,117,197,178,47,197,180,169,397,128,145,52,1013,948,118,320,275,382,159,206,74,179,44,273,357,750,468,1493,1462,92,160,80,47,141,85,158,59,100,95,206,91,304,116,50,250,83,91
と,と,ト,9,17,18,14,12,11,20,13,18,16,19,21,11,15,15,8,15,443,8,10,10,8,12,11,11,11,11,13,24431,11,11,13,11,16,17,10,8319,8,2029,12,7,6,6,6,6,7,6,6,6,6,6,10,7,4,2,4,11,4,4,8,16,10,14,8045,12,10,12,10,5082,11,4
て,て,テ,10,5,6,4,4,3,5,6,6,7,5,5,5,6,5,6,5,21,9,3,2,86,8,7,7,7,6,4,38,6,6,4,3,4,4,5,21,7917,122,384,524,345,531,442,193,399,19783,956,601,479,981,327,-1,1,3,1,3,2,2,6,18,7,6,43,8,4,6,3,41,2,2
