word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
の,の,ノ,1,6,5,5,3,4,7,5,5,5,6,6,4,4,7,1,1,328,1,1,1,1,1,3,3,2,2,3,2488,2,2,3,1,2,2,1,16997,33,2609,1,1,2,1,3,4,1,1,4,6,4,2,11280,1,1,2,1,9754,1,1,1
は,は,ハ,2,13,16,10,10,9,18,9,17,14,14,17,10,10,17,3,4,1936,2,4,7,2,3,2,2,6,3,5,1404,3,3,5,4,3,3,4,5452,1,2057,4,2,6,9,8,2,9,7,9,7,8,8,1448,3,8,7,4,2551,4,6,6
に,に,ニ,3,15,17,11,14,10,16,16,9,15,15,15,16,13,14,2,6,30,4,2,3,5,5,5,5,5,5,6,29,5,5,6,6,6,6,3,440,36,137,6,3,5,6,5,8,7,11,15,15,12,5,54,5,3,8,2,124,2,3,5
が,が,ガ,4,12,13,13,13,6,9,14,12,11,12,12,15,11,12,9,7,1906,6,9,4,3,7,8,8,10,8,7,19996,8,8,7,8,11,11,7,-1,26,19854,5,5,7,11,10,6,8,9,12,10,14,13,3087,7,9,10,5,8925,7,4,7
と,と,ト,7,17,18,14,12,11,20,13,18,16,19,21,11,15,15,8,15,443,8,10,10,8,12,11,11,11,11,13,24431,11,11,13,11,16,17,10,8319,8,2029,12,10,4,2,4,11,4,4,8,16,10,14,8045,12,10,12,10,5082,9,11,4
も,も,モ,8,14,14,15,16,12,12,18,16,10,16,14,17,18,9,15,18,4286,11,12,13,7,15,10,10,18,10,9,16663,10,10,9,13,17,19,12,16636,289,15333,11,11,16,19,12,31,17,16,16,21,13,19,22209,15,16,18,13,24268,18,19,14
だ,だ,ダ,9,2,1,1,2,1,1,1,1,1,1,2,2,1,2,54,2,113,7,5,6,13,2,1,1,9,1,1,3647,1,1,1,2,10,10,29,12909,3457,4,10,4,3,5,2,1,5,3,2,2,1,7,6225,2,6,4,14,9043,12,7,3
から,から,カラ,10,26,25,27,32,40,31,29,24,26,24,23,30,27,27,19,23,3250,21,24,22,15,23,30,34,24,37,28,2,37,34,25,17,28,35,28,10398,70,2,17,16,33,30,38,34,26,33,43,58,44,42,21788,23,19,22,17,12585,19,23,23
よ,よ,ヨ,11,16,11,18,24,36,13,15,11,17,11,9,24,14,16,1197,13,147,41,54,69,6,11,13,13,36,13,10,810,13,13,10,18,20,22,107,6416,6043,1223,9,9,83,390,70,55,135,44,28,28,38,50,3353,11,24,40,20,2444,656,20,25
する,する,スル,12,13446,13258,7212,7639,2876,4170,4014,4667,16460,8594,5139,11750,14238,10747,16,9,-1,14,6501,15,107,9,9,10746,12,18652,21239,9,9,9,8,9,32,41,27,184,1771,67,16,7,6760,11641,4325,6932,7368,6267,2453,7296,7322,22189,20459,9,5,13,19,8143,3,10,11
