word,YOUTUBE_FREQ_V3_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ
が,7,12,9,7,1906,10,4,3,7,8,8,8,10,8,7,19996,8,8,7,8,11,11,-1,26,19854,5,4,6,5,3087,7,9,10,8925,7,4
を,8,38,5,8,-1,5,5,4,6,6,7,6,8,7,12,-1,7,7,12,7,8,8,-1,57,-1,7,5,3,2,-1,6,2,9,-1,5,5
です,12,20,1121,14,-1,31,14,17,18,17,21,17,27,23,18,57,23,21,18,21,21055,22192,-1,4412,40,22,23,841,717,-1,18,17,27,-1,968,9
で,13,11,7,16,3,19,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,1209,22,-1,13,6,11,11,7727,13,11,17,7453,11,13
ん,19,82,306,11,-1,3051,132,37,17,20,-1,-1,28,-1,-1,-1,16,16,14,12,18,21,-1,2888,147,18,47,24,47,-1,17,20,35,-1,272,17
って,24,19,4021,31,-1,121,106,12,40,38,46,42,104,32,26,-1,32,29,23,37,66,64,-1,13087,22,23,21,421,744,-1,40,46,67,-1,3172,37
てる,27,18,3931,21,-1,97,54,58,16,15,52,15,72,20,17,135,20,18,17,24,-1,-1,21446,-1,201,2801,478,356,563,-1,16,31,56,20233,1675,34
この,29,80,30,34,-1,55,46,34,38,41,32,46,37,30,45,13,30,27,41,47,54,63,-1,139,12,24,27,156,119,19,38,30,44,23,34,28
れる,31,86,27,33,-1,29,20,991,30,31,23,35,29,38,52,48,38,35,47,29,-1,-1,-1,-1,1022,1175,-1,18,16,-1,30,18,25,-1,13,29
けど,32,-1,5686,53,-1,6669,273,40,57,55,-1,-1,146,-1,-1,218,69,63,40,41,88,96,-1,-1,123,70,38,9780,10553,-1,57,85,95,-1,7056,27
それ,34,8967,83,44,515,66,124,21518,48,37,25,8431,35,7966,8732,7,35,32,32,33,33,40,-1,8420,3087,49,17,155,110,8,48,47,33,8,147,35
いい,48,4442,1152,36,1703,20628,213,51,31,29,3384,16719,76,5159,9899,31,41,38,29,42,17211,16181,-1,24573,83,46,34,437,387,4367,31,54,66,3688,1349,68
ぬ,52,7460,2277,97,-1,13453,65,2550,104,40,-1,-1,51,-1,-1,-1,36,33,45,78,227,248,-1,18678,1498,1754,-1,36,33,-1,106,34,36,-1,74,225
けれど,65,34,12475,2147,-1,138,100,2496,2553,2204,72,61,336,69,44,-1,2147,1992,1246,249,2231,2351,-1,-1,308,1522,-1,6445,5534,-1,2687,1027,205,-1,22051,756
だけ,67,96,238,74,-1,106,57,73,66,60,53,66,67,62,73,24,62,57,68,48,78,89,-1,-1,34,85,33,272,195,-1,66,118,58,-1,262,55
そして,69,784,317,174,-1,185,137,268,194,205,84,214,122,164,335,61,164,151,319,125,131,143,-1,37,61,221,65,22647,10977,-1,204,391,113,-1,499,93
まで,70,112,44,75,1118,87,47,91,76,71,51,78,58,61,84,23,61,56,77,55,87,100,12804,688,33,97,44,111,82,-1,78,112,59,-1,41,76
感じ,74,95,1630,487,-1,531,260,-1,443,367,-1,383,525,540,336,7913,540,497,320,288,364,363,84,21449,-1,558,5866,1553,991,257,485,1333,483,190,9124,102
ト,75,-1,4230,-1,-1,-1,-1,-1,-1,23363,-1,-1,-1,24152,15414,-1,2165,2008,10124,-1,5347,4115,-1,7017,-1,1520,-1,-1,-1,-1,-1,1235,3939,-1,8493,-1
カ,77,-1,3372,-1,-1,-1,-1,-1,-1,1799,-1,-1,-1,-1,-1,-1,1050,974,3039,-1,746,936,-1,6409,-1,3224,4250,-1,-1,-1,-1,874,1652,-1,14827,-1
くださる,78,199,-1,100,-1,237,130,1044,136,134,143,141,327,150,139,611,150,137,130,202,-1,-1,8,-1,1130,181,348,4675,3776,139,144,61,238,110,7099,103
つ,79,163,61,461,1378,176,96,745,388,133,63,140,427,125,170,9425,125,116,161,584,70,80,-1,8690,1176,955,1075,43,94,64,413,333,110,97,203,144
たり,81,122,291,221,-1,163,68,2178,236,279,104,291,129,376,198,77,376,347,189,164,391,410,-1,-1,1772,1042,1604,56,39,-1,245,631,139,-1,244,106
いただく,84,214,-1,358,-1,467,62,147,663,613,274,639,748,654,512,566,654,607,490,774,-1,-1,192,-1,439,497,214,5276,5225,238,696,551,671,327,14188,201
ござる,87,217,-1,110,-1,218,380,5715,275,273,140,285,213,262,225,348,262,244,214,327,-1,-1,2185,-1,4633,1185,448,2017,2166,234,290,163,267,289,11333,191
みたい,88,59,9757,137,-1,443,345,115,123,125,163,132,246,184,125,212,184,169,118,110,159,174,-1,-1,187,172,95,12342,12543,134,133,188,213,67,9333,60
こちら,90,-1,2715,277,-1,-1,602,293,436,433,-1,-1,386,-1,-1,152,496,455,717,357,336,386,-1,-1,400,441,143,3449,2857,-1,458,192,322,-1,2277,159
せる,92,257,272,79,-1,113,67,8032,72,70,54,77,71,79,105,129,79,73,98,64,-1,-1,-1,-1,7263,6331,-1,53,49,17360,74,56,61,11237,84,114
