word,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
た,3,4,4,405,8,9,63,4,4,2,4,4,4,2,7472,4,4,2,5,5,5,10170,4906,18,409,-1,8,7,5774,4,7,5,21045,6,8,9
て,5,5,6,21,4,2,86,8,7,4,7,7,6,4,38,6,6,4,3,4,4,21,7917,122,384,-1,7,6,43,8,4,6,41,10,2,2
が,7,12,9,1906,10,4,3,7,8,8,8,10,8,7,19996,8,8,7,8,11,11,-1,26,19854,5,4,6,5,3087,7,9,10,8925,7,4,7
を,8,38,5,-1,5,5,4,6,6,7,6,8,7,12,-1,7,7,12,7,8,8,-1,57,-1,7,5,3,2,-1,6,2,9,-1,5,5,8
ん,11,82,306,-1,3051,132,37,17,20,-1,-1,28,-1,-1,-1,16,16,14,12,18,21,-1,2888,147,18,47,24,47,-1,17,20,35,-1,272,17,19
です,14,20,1121,-1,31,14,17,18,17,21,17,27,23,18,57,23,21,18,21,21055,22192,-1,4412,40,22,23,841,717,-1,18,17,27,-1,968,9,12
で,16,11,7,3,19,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,1209,22,-1,13,6,11,11,7727,13,11,17,7453,11,13,13
てる,21,18,3931,-1,97,54,58,16,15,52,15,72,20,17,135,20,18,17,24,-1,-1,21446,-1,201,2801,478,356,563,-1,16,31,56,20233,1675,34,27
う,24,6059,2121,5791,6003,9411,134,25,397,-1,-1,30,6100,20549,15634,135,124,254,20,21,25,-1,5001,652,132,-1,27,45,-1,25,393,563,-1,133,39,376
じゃ,26,4252,3438,-1,2391,3343,23,34,211,192,220,65,123,450,3765,123,114,202,36,47,56,-1,24371,52,161,80,406,893,20529,35,236,222,8053,2190,52,285
って,31,19,4021,-1,121,106,12,40,38,46,42,104,32,26,-1,32,29,23,37,66,64,-1,13087,22,23,21,421,744,-1,40,46,67,-1,3172,37,24
れる,33,86,27,-1,29,20,991,30,31,23,35,29,38,52,48,38,35,47,29,-1,-1,-1,-1,1022,1175,-1,18,16,-1,30,18,25,-1,13,29,31
この,34,80,30,-1,55,46,34,38,41,32,46,37,30,45,13,30,27,41,47,54,63,-1,139,12,24,27,156,119,19,38,30,44,23,34,28,29
いい,36,4442,1152,1703,20628,213,51,31,29,3384,16719,76,5159,9899,31,41,38,29,42,17211,16181,-1,24573,83,46,34,437,387,4367,31,54,66,3688,1349,68,48
あっ,37,28,40,-1,1886,1410,-1,68,76,-1,83,1448,43,40,6632,43,40,36,60,844,615,-1,20042,-1,56,91,8759,20362,-1,69,608,512,-1,11079,319,193
それ,44,8967,83,515,66,124,21518,48,37,25,8431,35,7966,8732,7,35,32,32,33,33,40,-1,8420,3087,49,17,155,110,8,48,47,33,8,147,35,34
お前,46,-1,7361,-1,-1,4023,47,55,56,-1,-1,303,-1,-1,1067,33,30,54,148,67,78,164,10061,289,101,442,5837,6258,-1,55,141,207,-1,7057,223,258
あ,47,-1,2477,8887,2117,4087,49,75,108,2197,3741,231,1682,23037,9670,64,59,48,32,29,37,9106,2395,183,44,-1,121,187,4358,77,211,202,14404,1026,177,93
けど,53,-1,5686,-1,6669,273,40,57,55,-1,-1,146,-1,-1,218,69,63,40,41,88,96,-1,-1,123,70,38,9780,10553,-1,57,85,95,-1,7056,27,32
あの,54,31,4382,-1,16210,1034,39,84,87,83,94,83,83,97,39,83,76,90,84,103,118,-1,10248,25,65,48,2244,1999,88,86,94,107,50,3055,128,103
でも,57,-1,-1,-1,303,-1,28,49,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,49,3266,3203,-1,519,29,67,29,1009,675,-1,50,-1,-1,-1,395,75,-1
ば,58,90,119,401,75,34,443,46,46,37,51,44,50,62,230,50,46,57,45,60,68,1378,13492,385,2302,-1,52,51,258,46,43,42,474,125,45,51
ぞ,60,623,6472,-1,858,1494,81,50,51,133,57,209,48,77,-1,48,45,72,101,71,82,-1,-1,155,61,66,123,170,-1,49,173,197,-1,3455,291,253
く,64,681,2899,2596,980,16536,358,89,3141,9535,3231,240,2799,7731,1845,2799,2607,7438,22,25,29,13678,4900,349,1407,-1,61,184,3311,92,5897,5255,8183,977,249,1922
えっ,68,55,-1,-1,3964,4405,41,131,143,-1,150,1678,75,69,1369,75,69,64,194,816,716,-1,-1,1766,123,149,10831,-1,-1,137,1580,945,-1,24237,538,306
ちゃん,70,83,1863,-1,570,437,59,152,95,150,102,287,74,39,648,74,68,35,73,450,389,-1,12863,258,127,93,8359,8187,97,160,767,155,25,725,934,232
だけ,74,96,238,-1,106,57,73,66,60,53,66,67,62,73,24,62,57,68,48,78,89,-1,-1,34,85,33,272,195,-1,66,118,58,-1,262,55,67
まで,75,112,44,1118,87,47,91,76,71,51,78,58,61,84,23,61,56,77,55,87,100,12804,688,33,97,44,111,82,-1,78,112,59,-1,41,76,70
そんな,76,128,2551,-1,276,148,65,101,119,79,126,121,93,94,53,93,85,87,57,119,131,-1,-1,68,90,40,3130,3993,36,102,132,85,34,3555,97,129
