word,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
た,4,4,4,3,405,8,9,63,4,4,2,4,4,4,2,7472,4,4,2,5,5,5,10170,4906,18,409,-1,8,7,5774,7,5,21045,6,8,9
を,6,38,5,8,-1,5,5,4,6,6,7,6,8,7,12,-1,7,7,12,7,8,8,-1,57,-1,7,5,3,2,-1,2,9,-1,5,5,8
が,7,12,9,7,1906,10,4,3,7,8,8,8,10,8,7,19996,8,8,7,8,11,11,-1,26,19854,5,4,6,5,3087,9,10,8925,7,4,7
て,8,5,6,5,21,4,2,86,8,7,4,7,7,6,4,38,6,6,4,3,4,4,21,7917,122,384,-1,7,6,43,4,6,41,10,2,2
で,13,11,7,16,3,19,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,1209,22,-1,13,6,11,11,7727,11,17,7453,11,13,13
てる,16,18,3931,21,-1,97,54,58,16,15,52,15,72,20,17,135,20,18,17,24,-1,-1,21446,-1,201,2801,478,356,563,-1,31,56,20233,1675,34,27
ん,17,82,306,11,-1,3051,132,37,17,20,-1,-1,28,-1,-1,-1,16,16,14,12,18,21,-1,2888,147,18,47,24,47,-1,20,35,-1,272,17,19
です,18,20,1121,14,-1,31,14,17,18,17,21,17,27,23,18,57,23,21,18,21,21055,22192,-1,4412,40,22,23,841,717,-1,17,27,-1,968,9,12
う,25,6059,2121,24,5791,6003,9411,134,25,397,-1,-1,30,6100,20549,15634,135,124,254,20,21,25,-1,5001,652,132,-1,27,45,-1,393,563,-1,133,39,376
れる,30,86,27,33,-1,29,20,991,30,31,23,35,29,38,52,48,38,35,47,29,-1,-1,-1,-1,1022,1175,-1,18,16,-1,18,25,-1,13,29,31
いい,31,4442,1152,36,1703,20628,213,51,31,29,3384,16719,76,5159,9899,31,41,38,29,42,17211,16181,-1,24573,83,46,34,437,387,4367,54,66,3688,1349,68,48
じゃ,35,4252,3438,26,-1,2391,3343,23,34,211,192,220,65,123,450,3765,123,114,202,36,47,56,-1,24371,52,161,80,406,893,20529,236,222,8053,2190,52,285
この,38,80,30,34,-1,55,46,34,38,41,32,46,37,30,45,13,30,27,41,47,54,63,-1,139,12,24,27,156,119,19,30,44,23,34,28,29
って,40,19,4021,31,-1,121,106,12,40,38,46,42,104,32,26,-1,32,29,23,37,66,64,-1,13087,22,23,21,421,744,-1,46,67,-1,3172,37,24
ば,46,90,119,58,401,75,34,443,46,46,37,51,44,50,62,230,50,46,57,45,60,68,1378,13492,385,2302,-1,52,51,258,43,42,474,125,45,51
それ,48,8967,83,44,515,66,124,21518,48,37,25,8431,35,7966,8732,7,35,32,32,33,33,40,-1,8420,3087,49,17,155,110,8,47,33,8,147,35,34
ぞ,49,623,6472,60,-1,858,1494,81,50,51,133,57,209,48,77,-1,48,45,72,101,71,82,-1,-1,155,61,66,123,170,-1,173,197,-1,3455,291,253
でも,50,-1,-1,57,-1,303,-1,28,49,-1,-1,-1,77,-1,-1,-1,-1,-1,-1,49,3266,3203,-1,519,29,67,29,1009,675,-1,-1,-1,-1,395,75,-1
お前,55,-1,7361,46,-1,-1,4023,47,55,56,-1,-1,303,-1,-1,1067,33,30,54,148,67,78,164,10061,289,101,442,5837,6258,-1,141,207,-1,7057,223,258
けど,57,-1,5686,53,-1,6669,273,40,57,55,-1,-1,146,-1,-1,218,69,63,40,41,88,96,-1,-1,123,70,38,9780,10553,-1,85,95,-1,7056,27,32
だけ,66,96,238,74,-1,106,57,73,66,60,53,66,67,62,73,24,62,57,68,48,78,89,-1,-1,34,85,33,272,195,-1,118,58,-1,262,55,67
あっ,69,28,40,37,-1,1886,1410,-1,68,76,-1,83,1448,43,40,6632,43,40,36,60,844,615,-1,20042,-1,56,91,8759,20362,-1,608,512,-1,11079,319,193
へ,71,440,43,90,-1,94,80,100,70,73,38,80,43,99,184,-1,99,90,175,65,92,102,-1,1995,-1,102,64,50,43,-1,41,57,-1,39,133,148
せる,74,257,272,79,-1,113,67,8032,72,70,54,77,71,79,105,129,79,73,98,64,-1,-1,-1,-1,7263,6331,-1,53,49,17360,56,61,11237,84,114,92
あ,77,-1,2477,47,8887,2117,4087,49,75,108,2197,3741,231,1682,23037,9670,64,59,48,32,29,37,9106,2395,183,44,-1,121,187,4358,211,202,14404,1026,177,93
まで,78,112,44,75,1118,87,47,91,76,71,51,78,58,61,84,23,61,56,77,55,87,100,12804,688,33,97,44,111,82,-1,112,59,-1,41,76,70
られる,80,196,100,89,-1,77,51,3423,77,78,49,85,60,86,108,21,86,79,101,59,-1,-1,-1,-1,2892,4104,-1,44,31,-1,99,54,-1,36,95,94
あの,86,31,4382,54,-1,16210,1034,39,84,87,83,94,83,83,97,39,83,76,90,84,103,118,-1,10248,25,65,48,2244,1999,88,94,107,50,3055,128,103
く,92,681,2899,64,2596,980,16536,358,89,3141,9535,3231,240,2799,7731,1845,2799,2607,7438,22,25,29,13678,4900,349,1407,-1,61,184,3311,5897,5255,8183,977,249,1922
気,98,164,1540,128,32,220,86,329,95,83,194,90,119,103,99,44,103,94,92,80,106,119,85,11462,161,361,-1,366,291,42,79,97,38,1451,218,169
そんな,102,128,2551,76,-1,276,148,65,101,119,79,126,121,93,94,53,93,85,87,57,119,131,-1,-1,68,90,40,3130,3993,36,132,85,34,3555,97,129
大丈夫,105,124,19821,119,941,1221,782,90,103,104,346,111,718,136,113,406,136,125,106,162,109,120,48,16814,671,141,1448,-1,18506,182,267,410,108,17048,341,274
ぬ,106,7460,2277,97,-1,13453,65,2550,104,40,-1,-1,51,-1,-1,-1,36,33,45,78,227,248,-1,18678,1498,1754,-1,36,33,-1,34,36,-1,74,225,52
なんて,108,295,10589,94,-1,471,317,83,106,115,148,122,202,109,104,192,109,100,97,90,151,168,-1,-1,156,106,60,11017,10444,-1,171,166,-1,8470,359,363
のに,110,-1,-1,134,-1,-1,-1,101,107,-1,-1,-1,182,-1,-1,-1,-1,-1,-1,113,-1,-1,-1,-1,96,142,79,1517,961,-1,-1,-1,-1,3553,268,-1
ありがとう,117,186,13721,113,-1,1487,742,128,113,114,-1,121,1118,263,133,674,263,245,124,250,123,136,188,2979,1415,218,173,20158,15363,-1,101,573,-1,7875,285,141
家,118,158,64,225,36,351,266,174,126,136,266,143,118,533,182,86,533,490,204,247,116,137,489,2852,82,504,-1,136,127,228,1094,137,201,55,273,345
