word,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
た,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,2,3,5,5,1,5,5,3,5,5,5,2,5,5,5
て,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,1,5,5,5,5,5,5,5,5,5,5
が,5,5,5,4,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,2,5,5,5,5,4,5,5,5,3,5,5,5
を,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,1,5,5,5,1,5,5,5
ん,5,5,5,1,4,5,5,5,5,1,1,5,1,1,1,5,5,5,5,5,5,1,4,5,5,5,5,5,1,5,5,5,1,5,5,5
です,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,1,3,5,5,5,5,5,1,5,5,5,1,5,5,5
で,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,4,5,1,5,5,5,5,3,5,5,5,3,5,5,5
てる,5,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,5,4,5,5,5,1,5,5,5,2,4,5,5
う,5,3,4,3,3,3,5,5,5,1,1,5,3,2,2,5,5,5,5,5,5,1,3,5,5,1,5,5,1,5,5,5,1,5,5,5
じゃ,5,3,4,1,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,2,5,5,5,5,5,2,5,5,5,3,4,5,5
って,5,5,3,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,2,5,5,5,5,5,1,5,5,5,1,4,5,5
れる,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,4,1,5,5,1,5,5,5,1,5,5,5
この,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
いい,5,3,4,4,2,5,5,5,5,4,2,5,3,3,5,5,5,5,5,2,2,1,2,5,5,5,5,5,3,5,5,5,4,4,5,5
あっ,5,5,5,1,4,4,1,5,5,1,5,4,5,5,3,5,5,5,5,5,5,1,2,1,5,5,3,2,1,5,5,5,1,2,5,5
それ,5,3,5,5,5,5,2,5,5,5,3,5,3,3,5,5,5,5,5,5,5,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5
お前,5,1,3,1,1,3,5,5,5,1,1,5,1,1,4,5,5,5,5,5,5,5,2,5,5,5,3,3,1,5,5,5,1,3,5,5
あ,5,1,4,3,4,3,5,5,5,4,4,5,4,2,3,5,5,5,5,5,5,3,4,5,5,1,5,5,3,5,5,5,2,4,5,5
けど,5,1,3,1,3,5,5,5,5,1,1,5,1,1,5,5,5,5,5,5,5,1,1,5,5,5,3,2,1,5,5,5,1,3,5,5
あの,5,5,3,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,4,4,5,5,5,5,5,4,5,5
