word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
の,1,6,1,1,328,1,1,1,1,3,1,3,2,2,3,2488,2,2,3,1,2,2,16997,33,2609,1,1,1,11280,1,1,2,9754,1,1,1
は,2,13,3,4,1936,3,7,2,3,2,5,2,6,3,5,1404,3,3,5,4,3,3,5452,1,2057,4,10,8,1448,3,8,7,2551,4,6,6
に,3,15,2,6,30,2,3,5,5,5,6,5,5,5,6,29,5,5,6,6,6,6,440,36,137,6,2,3,54,5,3,8,124,2,3,5
が,4,12,9,7,1906,10,4,3,7,8,8,8,10,8,7,19996,8,8,7,8,11,11,-1,26,19854,5,6,5,3087,7,9,10,8925,7,4,7
で,6,11,7,16,3,19,12,9,13,12,13,12,17,12,11,14633,12,12,11,14,12,12,1209,22,-1,13,11,11,7727,13,11,17,7453,11,13,13
と,7,17,8,15,443,15,10,8,12,11,9,11,11,11,13,24431,11,11,13,11,16,17,8319,8,2029,12,9,9,8045,12,10,12,5082,9,11,4
も,8,14,15,18,4286,21,13,7,15,10,11,10,18,10,9,16663,10,10,9,13,17,19,16636,289,15333,11,20,20,22209,15,16,18,24268,18,19,14
だ,9,2,54,2,113,9,6,13,2,1,3,1,9,1,1,3647,1,1,1,2,10,10,12909,3457,4,10,13,12,6225,2,6,4,9043,12,7,3
から,10,26,19,23,3250,39,22,15,23,30,18,34,24,37,28,2,37,34,25,17,28,35,10398,70,2,17,22,22,21788,23,19,22,12585,19,23,23
よ,11,16,1197,13,147,79,69,6,11,13,30,13,36,13,10,810,13,13,10,18,20,22,6416,6043,1223,9,132,198,3353,11,24,40,2444,656,20,25
する,12,13446,16,9,-1,26,15,107,9,9,8191,10746,12,18652,21239,9,9,9,8,9,32,41,184,1771,67,16,4,4,20459,9,5,13,8143,3,10,11
か,13,10,58,12,540,41,19,11,14,16,14,16,22,15,15,567,15,15,15,16,15,16,1741,793,3778,14,23,30,463,14,12,21,1128,56,18,15
こと,14,20704,21,25,73,28,29,31,28,26,11042,29,23,25,29,6,25,22,26,19,37,42,35,1676,8,20,12,10,6,28,60,24,5,22,24,21
なる,15,13446,49,29,-1,4647,35,56,33,32,4610,17060,25,4759,20525,11,29,26,33,27,12688,13339,1600,15964,11658,31,30,25,21661,33,26,28,21368,20,25,28
ある,16,37,14,28,165,30,11443,61,26,27,16,30,19,34,37,3,34,31,34,26,457,494,11305,2113,11,27,16,14,5,27,21,23,12,16,22,22
それ,17,8967,83,44,515,66,124,21518,48,37,25,8431,35,7966,8732,7,35,32,32,33,33,40,-1,8420,3087,49,155,110,8,48,47,33,8,147,35,34
ね,18,3,1543,19,394,73,42,10,20,19,36,21,50,27,20,1437,27,24,19,31,31,38,5508,13696,3042,15,126,224,2583,20,25,52,2133,1572,14,17
いる,19,66,17,20,-1,24,16,35,21,24,12,26,16,21,31,4,21,19,28,15,-1,-1,598,13398,1,58,15,21,2,21,15,19,2,15,15,20
な,20,35,22,22,118,132,89,14,22,22,42,24,57,18,22,224,18,17,20,28,7,7,2211,3977,379,8,106,148,505,22,29,53,815,933,36,35
その,25,97,25,49,2831,2120,4354,57,61,52,1061,1453,32,1182,792,5,52,48,60,40,61,71,11887,878,5,55,35,29,6086,61,37,30,4729,37,40,36
この,27,80,30,34,-1,55,46,34,38,41,32,46,37,30,45,13,30,27,41,47,54,63,-1,139,12,24,156,119,19,38,30,44,23,34,28,29
そう,28,7,788,32,3418,102,60,80,32,33,34,37,39,44,34,14,44,41,31,25,38,46,7852,3781,80,79,71,140,14,32,36,34,9,1084,38,33
ない,30,23,33,10,239,33,17,29,10,14,17,14,15,14,16,1,14,14,16,10,4360,4117,670,12211,27,52,21,19,252,10,13,16,236,21,16,18
くる,31,6881,1177,48,14387,76,45,21,54,57,4027,60,47,18134,24362,54,57,52,50,39,256,280,56,-1,6,233,54,78,15863,54,57,43,4832,167,47,46
さん,32,53,748,30,55,107,48,16,56,34,41,38,64,40,30,49,40,37,27,38,72,83,771,4345,32,36,94,288,23,56,62,45,15,565,65,43
いい,34,4442,1152,36,1703,20628,213,51,31,29,3384,16719,76,5159,9899,31,41,38,29,42,17211,16181,-1,24573,83,46,437,387,4367,31,54,66,3688,1349,68,48
くれる,35,10047,4689,63,-1,12029,219,78,47,48,1463,5997,95,6279,6127,40,63,58,66,52,-1,-1,7920,-1,75,64,730,843,4099,47,39,89,2880,1454,142,137
これ,36,11455,52,39,599,82,144,53,42,43,50,48,68,47,46,19,47,44,42,56,53,61,12820,10296,85,38,242,180,27,42,33,64,26,90,26,26
しまう,39,347,637,156,-1,174,123,706,223,206,61,215,78,134,156,69,134,123,147,62,-1,-1,7544,-1,194,3343,647,473,33,233,110,69,31,221,67,97
そんな,40,128,2551,76,-1,276,148,65,101,119,79,126,121,93,94,53,93,85,87,57,119,131,-1,-1,68,90,3130,3993,36,102,132,85,34,3555,97,129
やる,41,46,5670,40,-1,170,296,203,41,42,15628,47,87,39,48,78,39,36,44,76,-1,-1,7784,-1,348,34,441,412,34,41,72,86,36,1199,43,42
わ,42,159,2593,51,1354,363,1170,69,29,28,78,31,114,68,57,24507,68,62,52,58,27,34,5998,7497,53,69,79,222,3432,29,317,133,2628,924,221,195
まで,44,112,44,75,1118,87,47,91,76,71,51,78,58,61,84,23,61,56,77,55,87,100,12804,688,33,97,111,82,-1,78,112,59,-1,41,76,70
し,45,92,10,112,89,183,107,70,112,101,92,108,140,110,64,24144,110,101,59,70,13,14,2676,335,43,77,344,491,801,115,377,117,846,2665,122,113
もの,46,109,45,120,53,2273,102,152,132,109,301,566,42,440,255,12,102,93,99,74,102,115,638,8958,31,128,26,24,41,136,147,50,203,49,61,55
あの,48,31,4382,54,-1,16210,1034,39,84,87,83,94,83,83,97,39,83,76,90,84,103,118,-1,10248,25,65,2244,1999,88,86,94,107,50,3055,128,103
もう,51,41,1237,56,4742,188,168,45,60,50,65,56,113,58,56,35,58,53,51,68,73,84,17934,6437,105,62,624,1419,57,60,90,94,28,1683,53,47
ここ,53,91,561,78,1359,213,444,99,69,68,77,74,112,67,90,51,67,61,83,97,56,65,7019,16651,124,74,1401,1207,53,70,52,128,44,775,74,61
いく,54,43,319,88,370,85,38,580,108,106,33,50,92,70,61,97,95,87,103,66,784,837,121,-1,261,185,171,197,17,112,108,79,19,288,56,39
ああ,56,27,18144,65,7962,1036,2058,55,71,72,877,79,226,55,54,140,55,50,49,61,96,106,22802,3962,180,81,6093,7177,2250,72,58,185,1036,13225,297,242
お,58,20704,230,38,899,7344,63,27,58,25,3467,8595,53,815,20340,2082,31,28,22,53,40,48,4986,4465,30,37,59,67,4202,58,38,41,6031,184,111,37
