word,combined_rank,small_talk_rank,consultation_rank,meeting_rank,class_rank,outdoors_rank,school_rank,transportation_rank,public_commercial_rank,home_rank,indoors_rank,workplace_rank,male_rank,female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
何,21,19,22,29,30,11,17,21,22,18,18,25,23,19,429,27,8,111,87,24,24,21,31,23,56,22,27,56,22,20,24,46,26,33,9,14353,87,45,145,332,203,13,24,27,51,7,556,44,53
無い,29,29,29,35,37,28,27,23,30,25,28,35,29,29,1443,3119,-1,44,28,29,2991,3089,19,20,1143,19,21,18,1683,1561,1411,270,4360,4117,211,12211,27,51,30,1383,701,4,3136,200,519,3,653,64,241
有る,37,37,39,38,35,35,38,34,36,38,41,38,36,36,11951,28,-1,30,21,61,26,22662,16,30,4688,34,37,3,18371,17224,9391,4829,457,494,4550,2113,11,28,16,1661,985,5,27,1862,3121,12,5853,219,1401
御,47,42,50,65,60,38,76,48,47,41,42,54,59,39,912,2875,207,69,31,18549,4339,3997,29,28,290,31,25,874,2198,2039,1277,1861,1483,1590,2028,7623,22327,288,193,166,159,18,4471,5399,354,13,1495,2966,733
事,53,59,51,41,45,60,54,70,56,54,63,43,49,57,266,83,73,28,18,42,372,359,1986,29,222,25,29,6,973,904,635,100,55,75,35,1676,215,21,14,159,93,6,280,28,172,5,206,80,112
其の,60,64,58,51,59,71,65,69,61,60,68,51,58,61,20811,49,-1,46,43,57,61,52,24,58,8248,52,65,5,2855,2661,60,40,61,71,21164,878,5,54,25,2297,1807,10,61,37,5145,18,15331,40,48079
人,64,61,62,58,84,69,67,59,62,72,59,63,63,62,37,41,7,98,36,32,35,69,99,76,34,97,76,20,97,88,71,50,57,67,39,893,26,133,630,29,26,44,34,100,46,40,31,33,41
私,73,74,70,94,82,68,76,126,66,78,73,89,218,50,796,35,26,84,58,18,27,23,40,861,46,421,282,265,45,42,30,43,23,27,1,985,9,50,220,1230,1098,20,26,51,49,14,929,69,57
今,74,77,78,72,78,76,88,104,72,76,77,74,71,78,832,81,19,186,97,72,79,65,2635,71,136,60,78,202,60,55,73,92,82,91,15,1193,71,94,456,571,349,32,79,78,98,33,829,81,58
時,78,82,88,76,65,96,84,88,76,84,84,81,81,79,67,121,13,86,66,129,81,94,14295,101,100,143,171,117,200,183,181,118,93,105,76,5165,113,379,156,112,76,40,83,89,105,42,54,59,72
