word,rank,freq,pmw
だ,1,1811,38307.7737
うん,2,1715,36277.1021
て,3,1469,31073.5061
の,4,1313,27773.6647
ね,5,992,20983.6066
が,6,972,20560.55
です,6,972,20560.55
た,8,940,19883.6594
は,9,858,18149.1274
に,10,823,17408.7784
と,11,779,16478.0539
って,12,734,15526.1766
の,13,719,15208.8842
も,13,719,15208.8842
そう,15,701,14828.1333
言う,16,697,14743.5219
てる,17,672,14214.7012
で,18,658,13918.5616
,19,655,13855.1031
で,20,646,13664.7277
か,21,630,13326.2824
を,22,581,12289.7938
ます,23,578,12226.3353
為る,24,563,11909.0428
はい,25,522,11041.7768
か,26,487,10301.4278
ない,27,475,10047.5939
けれど,28,380,8038.0751
あっ,29,366,7741.9355
此れ,30,350,7403.4902
何,31,349,7382.3374
ああ,32,342,7234.2676
良い,33,332,7022.7393
遣る,34,322,6811.211
有る,35,319,6747.7525
よ,36,308,6515.0714
無い,37,275,5817.028
もう,38,270,5711.2639
こう,39,266,5626.6526
成る,40,247,5224.7488
から,41,245,5182.4432
一寸,42,243,5140.1375
な,43,217,4590.1639
と,44,216,4569.0111
使う,45,203,4294.0243
あの,46,201,4251.7187
此処,46,201,4251.7187
行く,48,188,3976.7319
まあ,49,187,3955.5791
えっ,50,183,3870.9677
事,51,173,3659.4394
思う,52,172,3638.2866
其れ,53,162,3426.7583
ふん,54,159,3363.2998
見る,55,157,3320.9942
此の,56,153,3236.3829
ちゃう,57,150,3172.9244
書く,58,146,3088.3131
御,59,138,2919.0904
其の,60,137,2897.9376
の,61,129,2728.715
から,62,128,2707.5621
矢張り,62,128,2707.5621
一,64,123,2601.798
時,65,121,2559.4923
さん,66,116,2453.7282
えーと,66,116,2453.7282
来る,68,114,2411.4225
,69,111,2347.964
へえ,69,111,2347.964
感じ,71,110,2326.8112
本当,72,108,2284.5056
居る,73,106,2242.1999
どう,74,101,2136.4357
れる,74,101,2136.4357
今,76,100,2115.2829
だけ,77,97,2051.8244
意味,77,97,2051.8244
いや,79,94,1988.3659
私,79,94,1988.3659
方,79,94,1988.3659
吐く,79,94,1988.3659
みたい,83,93,1967.2131
たり,84,91,1924.9075
分かる,85,90,1903.7546
凄い,86,89,1882.6018
人,87,87,1840.2961
下さる,88,86,1819.1433
皆,89,83,1755.6848
吸う,90,82,1734.532
様,91,81,1713.3792
後,92,79,1671.0735
此方,93,77,1628.7678
ええ,94,76,1607.615
違う,95,75,1586.4622
つう,96,74,1565.3094
言葉,97,70,1480.698
貰う,98,68,1438.3924
其処,99,66,1396.0867
前,99,66,1396.0867
回,99,66,1396.0867
二,102,65,1374.9339
手,103,64,1353.7811
足,103,64,1353.7811
たい,105,62,1311.4754
国語,106,61,1290.3226
くらい,107,59,1248.0169
多分,107,59,1248.0169
普通,109,56,1184.5584
辞典,110,55,1163.4056
こんな,111,53,1121.0999
もふもふ,111,53,1121.0999
出来る,113,52,1099.9471
聞く,113,52,1099.9471
てく,113,52,1099.9471
物,116,51,1078.7943
まで,117,50,1057.6415
大丈夫,117,50,1057.6415
横,117,50,1057.6415
出る,120,49,1036.4886
自分,121,47,994.183
ながら,121,47,994.183
痛い,121,47,994.183
ず,124,45,951.8773
引く,124,45,951.8773
持つ,126,44,930.7245
伸びる,126,44,930.7245
爪,126,44,930.7245
息,126,44,930.7245
奴,130,43,909.5717
気,131,42,888.4188
ん,132,41,867.266
一番,132,41,867.266
所,134,40,846.1132
はあ,134,40,846.1132
彼れ,136,39,824.9603
十,136,39,824.9603
取る,136,39,824.9603
し,139,38,803.8075
つ,139,38,803.8075
全部,139,38,803.8075
その,142,37,782.6547
付く,142,37,782.6547
目,144,36,761.5019
語,144,36,761.5019
磨く,144,36,761.5019
知れる,147,35,740.349
うんと,147,35,740.349
多い,149,34,719.1962
最初,149,34,719.1962
風,149,34,719.1962
け,152,33,698.0434
彼の,152,33,698.0434
伸ばす,152,33,698.0434
ば,155,32,676.8905
入れる,155,32,676.8905
時間,155,32,676.8905
ちゃんと,155,32,676.8905
やばい,155,32,676.8905
実,155,32,676.8905
何処,161,31,655.7377
知る,161,31,655.7377
的,161,31,655.7377
さっき,161,31,655.7377
未だ,165,30,634.5849
辺,165,30,634.5849
番,165,30,634.5849
ゆっくり,165,30,634.5849
辞書,165,30,634.5849
コーパス,165,30,634.5849
結構,171,29,613.432
全然,171,29,613.432
所,171,29,613.432
あれ,171,29,613.432
上,171,29,613.432
最後,171,29,613.432
先ず,171,29,613.432
