word,rank,freq,pmw
だ,1,103,41683.5289
た,2,67,27114.5285
て,3,63,25495.7507
うん,4,62,25091.0563
に,5,58,23472.2784
が,6,55,22258.1951
は,7,50,20234.7228
も,7,50,20234.7228
の,9,48,19425.3339
事,9,48,19425.3339
で,11,47,19020.6394
と,12,41,16592.4727
ね,13,37,14973.6949
為る,14,36,14569.0004
良い,14,36,14569.0004
を,14,36,14569.0004
言う,17,34,13759.6115
って,18,29,11736.1392
の,19,28,11331.4448
書く,20,25,10117.3614
てる,21,23,9307.9725
ない,21,23,9307.9725
何,23,22,8903.278
無い,24,21,8498.5836
よ,25,20,8093.8891
此れ,25,20,8093.8891
,27,19,7689.1947
か,27,19,7689.1947
か,29,18,7284.5002
けれど,29,18,7284.5002
な,29,18,7284.5002
遣る,32,17,6879.8057
です,33,16,6475.1113
日本,34,15,6070.4168
スポーツ,34,15,6070.4168
から,36,14,5665.7224
有る,36,14,5665.7224
凄い,36,14,5665.7224
ふん,36,14,5665.7224
や,36,14,5665.7224
など,36,14,5665.7224
与える,36,14,5665.7224
オリンピック,43,13,5261.0279
はい,44,12,4856.3335
此の,44,12,4856.3335
ああ,46,11,4451.639
後,46,11,4451.639
出来る,46,11,4451.639
考える,46,11,4451.639
人,46,11,4451.639
まあ,51,10,4046.9446
成る,51,10,4046.9446
みたい,51,10,4046.9446
人,51,10,4046.9446
から,51,10,4046.9446
られる,51,10,4046.9446
喜び,51,10,4046.9446
そう,58,9,3642.2501
で,58,9,3642.2501
もう,58,9,3642.2501
分かる,58,9,3642.2501
ば,58,9,3642.2501
その,58,9,3642.2501
的,58,9,3642.2501
あっ,65,8,3237.5556
と,65,8,3237.5556
,65,8,3237.5556
れる,65,8,3237.5556
様,65,8,3237.5556
負ける,65,8,3237.5556
受かる,65,8,3237.5556
具体,65,8,3237.5556
其れ,73,7,2832.8612
思う,73,7,2832.8612
来る,73,7,2832.8612
其の,73,7,2832.8612
本当,73,7,2832.8612
じゃん,73,7,2832.8612
つ,73,7,2832.8612
絶対,73,7,2832.8612
個人,73,7,2832.8612
文章,73,7,2832.8612
こう,83,6,2428.1667
つう,83,6,2428.1667
居る,83,6,2428.1667
ず,83,6,2428.1667
良く,83,6,2428.1667
せる,83,6,2428.1667
変,83,6,2428.1667
為,83,6,2428.1667
因る,83,6,2428.1667
感ずる,83,6,2428.1667
嫌い,83,6,2428.1667
勝つ,83,6,2428.1667
結果,83,6,2428.1667
例,83,6,2428.1667
行う,83,6,2428.1667
メダル,83,6,2428.1667
あの,99,5,2023.4723
さ,99,5,2023.4723
えっ,99,5,2023.4723
ちゃう,99,5,2023.4723
一,99,5,2023.4723
見る,99,5,2023.4723
方,99,5,2023.4723
此処,99,5,2023.4723
たい,99,5,2023.4723
出る,99,5,2023.4723
まで,99,5,2023.4723
持つ,99,5,2023.4723
自分,99,5,2023.4723
七,99,5,2023.4723
目,99,5,2023.4723
取れる,99,5,2023.4723
言葉,99,5,2023.4723
社会,99,5,2023.4723
繋がる,99,5,2023.4723
刺激,99,5,2023.4723
の,119,4,1618.7778
いや,119,4,1618.7778
私,119,4,1618.7778
どう,119,4,1618.7778
二,119,4,1618.7778
大丈夫,119,4,1618.7778
おお,119,4,1618.7778
上げる,119,4,1618.7778
多い,119,4,1618.7778
分,119,4,1618.7778
例えば,119,4,1618.7778
二,119,4,1618.7778
さ,119,4,1618.7778
取り敢えず,119,4,1618.7778
トウキョウ,119,4,1618.7778
単純,119,4,1618.7778
水泳,119,4,1618.7778
柔道,119,4,1618.7778
競技,119,4,1618.7778
グローバル,119,4,1618.7778
陸上,119,4,1618.7778
性質,119,4,1618.7778
観戦,119,4,1618.7778
冬季,119,4,1618.7778
彼れ,143,3,1214.0834
十,143,3,1214.0834
だけ,143,3,1214.0834
えーと,143,3,1214.0834
前,143,3,1214.0834
物,143,3,1214.0834
全部,143,3,1214.0834
旨い,143,3,1214.0834
より,143,3,1214.0834
一,143,3,1214.0834
他,143,3,1214.0834
昨日,143,3,1214.0834
最後,143,3,1214.0834
問題,143,3,1214.0834
必要,143,3,1214.0834
が,143,3,1214.0834
仕様,143,3,1214.0834
実際,143,3,1214.0834
本人,143,3,1214.0834
力,143,3,1214.0834
内容,143,3,1214.0834
抑,143,3,1214.0834
又,143,3,1214.0834
化,143,3,1214.0834
倍,143,3,1214.0834
作業,143,3,1214.0834
施設,143,3,1214.0834
更に,143,3,1214.0834
技術,143,3,1214.0834
目標,143,3,1214.0834
努力,143,3,1214.0834
能力,143,3,1214.0834
勝ち,143,3,1214.0834
埋める,143,3,1214.0834
経済,143,3,1214.0834
纏め,143,3,1214.0834
模試,143,3,1214.0834
豊か,143,3,1214.0834
於く,143,3,1214.0834
人々,143,3,1214.0834
勝利,143,3,1214.0834
特性,143,3,1214.0834
波及,143,3,1214.0834
ＰＩＳＡ,143,3,1214.0834
行く,187,2,809.3889
一寸,187,2,809.3889
今,187,2,809.3889
ん,187,2,809.3889
し,187,2,809.3889
其処,187,2,809.3889
もの,187,2,809.3889
皆,187,2,809.3889
結構,187,2,809.3889
貰う,187,2,809.3889
話,187,2,809.3889
取る,187,2,809.3889
使う,187,2,809.3889
入れる,187,2,809.3889
所,187,2,809.3889
達,187,2,809.3889
わ,187,2,809.3889
中,187,2,809.3889
又,187,2,809.3889
てく,187,2,809.3889
しか,187,2,809.3889
確か,187,2,809.3889
個,187,2,809.3889
置く,187,2,809.3889
ちゃんと,187,2,809.3889
御免,187,2,809.3889
一応,187,2,809.3889
最初,187,2,809.3889
なんか,187,2,809.3889
今度,187,2,809.3889
や,187,2,809.3889
おっ,187,2,809.3889
逆,187,2,809.3889
難しい,187,2,809.3889
