word,rank,freq,pmw
だ,1,2371,51196.2342
て,2,1309,28264.8126
うん,3,1269,27401.1055
た,4,1088,23492.8312
の,5,1053,22737.0876
ね,6,969,20923.3028
此れ,7,874,18871.9986
で,8,801,17295.7333
に,9,745,16086.5434
が,10,711,15352.3925
そう,11,703,15179.6511
は,12,670,14467.0928
の,13,668,14423.9074
も,14,650,14035.2392
,15,648,13992.0539
何,16,635,13711.3491
か,17,626,13517.015
よ,18,616,13301.0883
か,19,601,12977.1981
ない,20,582,12566.9373
為る,21,528,11400.9328
あっ,22,521,11249.7841
って,23,506,10925.8939
てる,24,494,10666.7818
良い,25,479,10342.8917
と,26,475,10256.521
無い,27,423,9133.7018
ああ,28,389,8399.5509
言う,29,380,8205.2168
から,30,362,7816.5486
な,30,362,7816.5486
です,32,346,7471.0658
の,33,335,7233.5464
を,34,306,6607.3588
けれど,35,299,6456.2101
こう,36,279,6024.3565
遣る,37,276,5959.5785
で,38,269,5808.4298
成る,39,268,5786.8371
もう,40,265,5722.0591
有る,41,260,5614.0957
一,41,260,5614.0957
其れ,43,258,5570.9103
ちゃう,44,251,5419.7616
さ,45,240,5182.2422
御,46,232,5009.5008
えっ,47,207,4469.6839
此処,48,202,4361.7205
ます,49,200,4318.5352
此の,50,194,4188.9791
一寸,51,191,4124.2011
行く,52,182,3929.867
思う,53,180,3886.6816
はい,54,170,3670.7549
来る,55,169,3649.1622
二,56,166,3584.3842
まあ,57,151,3260.494
,58,149,3217.3087
事,59,148,3195.716
あの,60,147,3174.1233
どう,61,137,2958.1966
入れる,61,137,2958.1966
と,63,133,2871.8259
ちゃん,63,133,2871.8259
さん,65,129,2785.4552
ば,65,129,2785.4552
みたい,67,128,2763.8625
十,67,128,2763.8625
違う,69,123,2655.8991
使う,69,123,2655.8991
私,71,117,2526.3431
つう,72,116,2504.7504
彼れ,73,111,2396.787
じゃん,74,110,2375.1943
凄い,75,105,2267.231
だけ,75,105,2267.231
切る,77,103,2224.0456
作る,78,101,2180.8603
重,78,101,2180.8603
から,80,100,2159.2676
くらい,80,100,2159.2676
本当,82,99,2137.6749
ええ,83,97,2094.4895
ほら,83,97,2094.4895
方,85,95,2051.3042
其の,86,88,1900.1555
入る,86,88,1900.1555
見る,88,87,1878.5628
奴,89,82,1770.5994
分かる,90,80,1727.4141
居る,91,79,1705.8214
人,92,76,1641.0434
大丈夫,92,76,1641.0434
此方,92,76,1641.0434
いや,95,75,1619.4507
時,95,75,1619.4507
四,95,75,1619.4507
