word,rank,freq,pmw
だ,1,974,57327.8399
うん,2,699,41141.8481
そう,3,502,29546.7922
か,4,419,24661.5656
ね,5,413,24308.4167
て,6,405,23837.5515
何,7,367,21600.9417
も,8,365,21483.2254
の,9,359,21130.0765
で,10,347,20423.7787
た,11,333,19599.7646
言う,12,298,17539.7293
てる,13,292,17186.5803
の,14,281,16539.1407
が,15,268,15773.9847
に,16,248,14596.8217
は,17,247,14537.9635
って,18,244,14361.3891
と,19,232,13655.0912
もう,20,198,11653.9141
ない,21,197,11595.0559
よ,22,194,11418.4815
,23,185,10888.7581
為る,24,177,10417.8929
か,25,173,10182.4603
無い,26,165,9711.5951
から,27,144,8475.5739
けれど,28,139,8181.2831
良い,29,118,6945.2619
を,30,117,6886.4038
な,31,108,6356.6804
で,32,103,6062.3896
あっ,33,102,6003.5315
其れ,33,102,6003.5315
有る,35,101,5944.6733
の,36,100,5885.8152
です,37,94,5532.6663
あの,38,93,5473.8081
遣る,39,87,5120.6592
さ,40,85,5002.9429
其の,41,82,4826.3685
みたい,42,80,4708.6521
思う,43,78,4590.9358
ああ,44,77,4532.0777
まあ,45,76,4473.2195
御,45,76,4473.2195
私,47,72,4237.7869
人,48,68,4002.3543
居る,49,66,3884.638
成る,50,64,3766.9217
凄い,50,64,3766.9217
つう,52,62,3649.2054
事,53,58,3413.7728
さん,53,58,3413.7728
本当,53,58,3413.7728
行く,56,55,3237.1984
来る,56,55,3237.1984
たい,56,55,3237.1984
今,59,54,3178.3402
分かる,60,49,2884.0494
感じ,60,49,2884.0494
一,62,48,2825.1913
し,63,45,2648.6168
自分,63,45,2648.6168
矢張り,65,44,2589.7587
と,66,43,2530.9005
から,66,43,2530.9005
いや,68,41,2413.1842
彼れ,68,41,2413.1842
こう,68,41,2413.1842
多分,68,41,2413.1842
はい,72,40,2354.3261
えっ,72,40,2354.3261
一寸,74,38,2236.6098
其処,75,37,2177.7516
的,75,37,2177.7516
ば,77,36,2118.8935
れる,78,34,2001.1772
話,79,33,1942.319
くらい,80,32,1883.4609
だけ,80,32,1883.4609
止める,80,32,1883.4609
員,80,32,1883.4609
ます,84,31,1824.6027
ちゃう,84,31,1824.6027
どう,84,31,1824.6027
その,84,31,1824.6027
訳,84,31,1824.6027
公務,84,31,1824.6027
出る,90,30,1765.7446
所,91,29,1706.8864
じゃん,92,28,1648.0283
ちゃん,93,27,1589.1701
気,93,27,1589.1701
此の,95,26,1530.3119
結構,95,26,1530.3119
逆,95,26,1530.3119
,98,24,1412.5956
別,98,24,1412.5956
御前,98,24,1412.5956
うち,98,24,1412.5956
方,102,23,1353.7375
三,103,22,1294.8793
全然,103,22,1294.8793
貰う,103,22,1294.8793
此れ,106,21,1236.0212
会,106,21,1236.0212
働く,106,21,1236.0212
時,109,20,1177.163
皆,109,20,1177.163
まで,109,20,1177.163
父,109,20,1177.163
回る,109,20,1177.163
民間,109,20,1177.163
臨時,115,19,1118.3049
二,116,18,1059.4467
そんな,116,18,1059.4467
子供,116,18,1059.4467
怖い,116,18,1059.4467
まじ,116,18,1059.4467
試験,116,18,1059.4467
俺,122,17,1000.5886
彼の,122,17,1000.5886
絶対,122,17,1000.5886
金,122,17,1000.5886
見る,126,16,941.7304
出来る,126,16,941.7304
もの,126,16,941.7304
奴,126,16,941.7304
前,126,16,941.7304
回,126,16,941.7304
達,126,16,941.7304
家,126,16,941.7304
出す,126,16,941.7304
頑張る,126,16,941.7304
地区,126,16,941.7304
団,126,16,941.7304
違う,138,15,882.8723
後,138,15,882.8723
未だ,138,15,882.8723
買う,138,15,882.8723
しか,138,15,882.8723
子,138,15,882.8723
一応,138,15,882.8723
ふん,145,14,824.0141
知る,145,14,824.0141
作る,145,14,824.0141
