word,rank,freq,pmw
うん,1,6439,42655.661
だ,2,6201,41079.0113
ね,3,3783,25060.7805
て,4,3648,24166.4624
の,5,3519,23311.8918
です,6,3492,23133.0282
そう,7,3468,22974.0383
はい,8,3398,22510.3178
の,9,2739,18144.7205
は,10,2673,17707.4984
た,11,2619,17349.7711
と,12,2605,17257.027
で,13,2475,16395.8318
に,14,2399,15892.3638
が,15,2204,14600.571
も,16,2179,14434.9566
,17,2162,14322.3387
か,18,2087,13825.4954
言う,19,1982,13129.9146
為る,20,1921,12725.8153
か,21,1894,12546.9517
って,22,1684,11155.7902
よ,23,1637,10844.435
てる,24,1625,10764.9401
ます,25,1590,10533.0798
で,26,1362,9022.6759
ない,27,1350,8943.181
から,28,1285,8512.5834
を,29,1231,8154.8561
何,30,1180,7817.0026
あの,31,1156,7658.0128
其れ,32,1150,7618.2653
あっ,33,1140,7552.0195
ええ,34,1132,7499.0229
ああ,35,1061,7028.6778
有る,36,1056,6995.5549
無い,37,1050,6955.8074
まあ,38,1028,6810.0667
けれど,39,1019,6750.4455
良い,40,996,6598.0802
遣る,41,943,6246.9775
此れ,42,922,6107.8614
な,43,735,4869.0652
事,44,632,4186.7336
もう,45,631,4180.109
来る,46,600,3974.7471
と,47,580,3842.2555
成る,48,578,3829.0064
思う,49,573,3795.8835
一寸,50,551,3650.1428
御,51,534,3537.5249
こう,52,517,3424.9071
さん,53,480,3179.7977
一,54,478,3166.5485
ちゃう,55,468,3100.3027
行く,56,466,3087.0536
其の,57,465,3080.429
さ,58,458,3034.057
から,59,457,3027.4324
此処,60,423,2802.1967
人,61,417,2762.4492
いや,62,398,2636.5822
つう,63,386,2557.0873
分かる,64,385,2550.4627
の,65,362,2398.0974
えーと,65,362,2398.0974
ば,67,352,2331.8516
二,68,351,2325.2271
彼れ,69,346,2292.1042
えー,70,332,2199.3601
居る,71,310,2053.6193
どう,72,308,2040.3702
十,73,307,2033.7456
今,74,304,2013.8719
みたい,75,302,2000.6227
此の,76,296,1960.8752
後,77,295,1954.2507
くらい,78,279,1848.2574
見る,79,274,1815.1345
時,79,274,1815.1345
矢張り,81,272,1801.8854
方,82,269,1782.0116
私,83,257,1702.5167
,84,254,1682.6429
えっ,85,250,1656.1446
