word,rank,freq,pmw
だ,1,1717,49353.2624
うん,2,1665,47858.5801
た,3,907,26070.71
の,4,786,22592.6991
ね,5,785,22563.9552
て,6,771,22161.5407
そう,7,738,21212.9922
は,8,604,17361.3107
の,9,589,16930.1523
に,10,544,15636.6772
が,11,533,15320.4944
よ,12,512,14716.8727
,13,499,14343.2021
で,13,499,14343.2021
か,15,493,14170.7387
と,16,486,13969.5315
か,17,466,13394.6536
為る,18,453,13020.983
ない,19,449,12906.0075
って,20,447,12848.5197
てる,21,442,12704.8002
も,22,440,12647.3124
何,23,400,11497.5568
言う,24,357,10261.5694
ああ,25,352,10117.85
良い,25,352,10117.85
無い,27,324,9313.021
あっ,28,319,9169.3015
です,29,316,9083.0698
から,30,313,8996.8382
な,31,277,7962.0581
を,32,266,7645.8753
あの,33,245,7042.2535
有る,34,233,6697.3268
其れ,35,232,6668.5829
で,36,221,6352.4001
けれど,37,215,6179.9368
まあ,38,191,5490.0834
えっ,39,184,5288.8761
思う,40,163,4685.2544
事,41,159,4570.2788
遣る,42,153,4397.8155
もう,43,150,4311.5838
彼れ,44,148,4254.096
ます,45,147,4225.3521
つう,46,141,4052.8888
成る,47,136,3909.1693
俺,48,131,3765.4498
行く,49,123,3535.4987
の,50,122,3506.7548
さ,51,121,3478.0109
さん,52,119,3420.5231
一寸,53,118,3391.7792
一,54,117,3363.0354
分かる,54,117,3363.0354
ば,56,112,3219.3159
えーと,56,112,3219.3159
から,58,109,3133.0842
,58,109,3133.0842
来る,60,102,2931.877
此れ,61,100,2874.3892
人,62,97,2788.1575
いや,63,94,2701.9258
はい,64,93,2673.1819
け,64,93,2673.1819
多分,66,92,2644.4381
其の,67,89,2558.2064
みたい,68,84,2414.4869
どう,69,81,2328.2552
と,70,79,2270.7675
見る,71,78,2242.0236
方,71,78,2242.0236
オーケー,73,71,2040.8163
後,74,70,2012.0724
御,75,69,1983.3285
感じ,76,67,1925.8408
ちゃう,77,66,1897.0969
居る,78,65,1868.353
私,79,61,1753.3774
違う,79,61,1753.3774
れる,81,60,1724.6335
本当,82,58,1667.1457
時,82,58,1667.1457
今,84,57,1638.4018
大丈夫,84,57,1638.4018
ふん,86,56,1609.6579
たい,86,56,1609.6579
だけ,88,55,1580.9141
奴,89,54,1552.1702
話,89,54,1552.1702
こう,91,53,1523.4263
じゃん,91,53,1523.4263
出来る,91,53,1523.4263
作る,91,53,1523.4263
成る程,95,52,1494.6824
二,96,50,1437.1946
ん,97,49,1408.4507
十,97,49,1408.4507
企画,97,49,1408.4507
貰う,100,45,1293.4751
使う,100,45,1293.4751
知る,100,45,1293.4751
取る,103,44,1264.7312
時間,103,44,1264.7312
出す,103,44,1264.7312
此の,106,42,1207.2435
三,106,42,1207.2435
くらい,108,41,1178.4996
生,108,41,1178.4996
ちゃん,110,40,1149.7557
し,110,40,1149.7557
別,110,40,1149.7557
凄い,113,39,1121.0118
持つ,113,39,1121.0118
年,113,39,1121.0118
其処,116,38,1092.2679
とく,116,38,1092.2679
何処,118,37,1063.524
呉れる,118,37,1063.524
その,120,36,1034.7801
所,121,35,1006.0362
誰,121,35,1006.0362
終わる,121,35,1006.0362
今年,121,35,1006.0362
入る,125,34,977.2923
入れる,125,34,977.2923
書く,125,34,977.2923
御免,125,34,977.2923
時,129,33,948.5484
あれ,129,33,948.5484
待つ,129,33,948.5484
所,132,32,919.8045
ええ,133,31,891.0606
聞く,133,31,891.0606
的,133,31,891.0606
全部,133,31,891.0606
前,137,30,862.3168
四,137,30,862.3168
えー,137,30,862.3168
人,137,30,862.3168
去年,137,30,862.3168
借りる,137,30,862.3168
てく,143,29,833.5729
当日,143,29,833.5729
下さる,145,28,804.829
彼の,146,27,776.0851
気,146,27,776.0851
一応,146,27,776.0851
方,146,27,776.0851
決まる,146,27,776.0851
もの,151,26,747.3412
まで,151,26,747.3412
全然,151,26,747.3412
そんな,151,26,747.3412
考える,151,26,747.3412
ちゃんと,151,26,747.3412
矢張り,157,25,718.5973
此処,157,25,718.5973
ず,157,25,718.5973
達,157,25,718.5973
何,157,25,718.5973
バス,157,25,718.5973
出る,163,24,689.8534
個,163,24,689.8534
やばい,163,24,689.8534
免許,163,24,689.8534
へえ,167,23,661.1095
皆,167,23,661.1095
様,167,23,661.1095
駄目,167,23,661.1095
確か,167,23,661.1095
見える,167,23,661.1095
や,167,23,661.1095
取り敢えず,167,23,661.1095
部,167,23,661.1095
結構,176,22,632.3656
わ,176,22,632.3656
つ,176,22,632.3656
普通,176,22,632.3656
六,176,22,632.3656
百,176,22,632.3656
もっと,176,22,632.3656
証,176,22,632.3656
シフト,176,22,632.3656
回,185,21,603.6217
早い,185,21,603.6217
あー,185,21,603.6217
欲しい,185,21,603.6217
まじ,185,21,603.6217
渡す,185,21,603.6217
コーラス,185,21,603.6217
此方,192,20,574.8778
月,192,20,574.8778
知れる,192,20,574.8778
られる,192,20,574.8778
置く,192,20,574.8778
止める,192,20,574.8778
最後,192,20,574.8778
場,192,20,574.8778
オックスフォード,192,20,574.8778
食べる,201,19,546.1339
訳,201,19,546.1339
未だ,201,19,546.1339
二十,201,19,546.1339
子,201,19,546.1339
八,201,19,546.1339
等,201,19,546.1339
番号,201,19,546.1339
ポスター,201,19,546.1339
二元,201,19,546.1339
自分,211,18,517.3901
五,211,18,517.3901
そう,211,18,517.3901
又,211,18,517.3901
彼処,211,18,517.3901
風,211,18,517.3901
目茶,211,18,517.3901
他,211,18,517.3901
願う,211,18,517.3901
五十,211,18,517.3901
参加,211,18,517.3901
前日,211,18,517.3901
タケナカ,211,18,517.3901
んー,224,17,488.6462
絶対,224,17,488.6462
内,224,17,488.6462
二人,224,17,488.6462
忘れる,224,17,488.6462
必要,224,17,488.6462
決める,224,17,488.6462
進捗,224,17,488.6462
イシヤマ,224,17,488.6462
捌け,224,17,488.6462
たり,234,16,459.9023
買う,234,16,459.9023
上げる,234,16,459.9023
次,234,16,459.9023
七,234,16,459.9023
御,234,16,459.9023
おっ,234,16,459.9023
車,234,16,459.9023
若し,234,16,459.9023
送る,234,16,459.9023
カー,234,16,459.9023
とこ祭,234,16,459.9023
おお,246,15,431.1584
しか,246,15,431.1584
嫌,246,15,431.1584
多い,246,15,431.1584
要る,246,15,431.1584
悪い,246,15,431.1584
読む,246,15,431.1584
其方,246,15,431.1584
言葉,246,15,431.1584
連絡,246,15,431.1584
張る,246,15,431.1584
ピアノ,246,15,431.1584
モリ,246,15,431.1584
