word,rank,freq,pmw
うん,1,10902,54626.0804
だ,2,8018,40175.3727
て,3,4690,23499.9374
の,4,4646,23279.4689
ね,5,4528,22688.2125
です,6,4061,20348.24
の,7,3912,19601.6535
,8,3846,19270.9508
は,9,3746,18769.886
と,10,3716,18619.5666
そう,11,3574,17908.0546
が,12,3323,16650.3821
に,13,3245,16259.5515
た,14,3201,16039.0831
で,15,3075,15407.7415
言う,16,3022,15142.1771
か,17,3005,15056.9961
も,18,2993,14996.8683
為る,19,2795,14004.7601
はい,20,2654,13298.2588
か,21,2571,12882.375
って,22,2094,10492.2961
ます,23,2011,10076.4124
てる,24,1939,9715.6457
あの,25,1915,9595.3902
を,26,1914,9590.3796
ない,27,1792,8979.0805
よ,28,1688,8457.9732
まあ,29,1662,8327.6964
何,30,1657,8302.6431
けれど,31,1551,7771.5145
で,32,1510,7566.0779
から,33,1389,6959.7896
ああ,34,1341,6719.2785
無い,35,1333,6679.1933
有る,36,1315,6589.0016
其れ,37,1280,6413.629
良い,38,1244,6233.2456
事,39,1203,6027.8091
あっ,40,1158,5802.33
な,41,1153,5777.2767
思う,42,1071,5366.4036
遣る,43,1068,5351.3717
此れ,44,1026,5140.9245
一寸,45,1022,5120.8819
えーと,46,916,4589.7532
成る,47,822,4118.7523
と,48,797,3993.4862
もう,49,754,3778.0283
其の,50,730,3657.7728
さん,51,713,3572.5918
行く,52,637,3191.7825
一,53,613,3071.527
えー,54,608,3046.4738
どう,55,600,3006.3886
から,56,583,2921.2076
来る,57,582,2916.1969
つう,58,569,2851.0585
みたい,59,539,2700.7391
こう,60,517,2590.5048
人,61,513,2570.4622
居る,62,490,2455.2173
此の,63,475,2380.0576
,64,468,2344.9831
見る,65,460,2304.8979
御,66,451,2259.8021
十,67,443,2219.7169
いや,68,434,2174.6211
今,69,424,2124.5146
分かる,70,412,2064.3868
方,71,408,2044.3442
矢張り,72,386,1934.11
ちゃう,73,385,1929.0993
ず,74,382,1914.0674
時,75,378,1894.0248
その,76,376,1884.0035
ん,77,361,1808.8438
二,78,351,1758.7373
後,79,349,1748.716
ふん,80,340,1703.6202
ば,81,338,1693.5989
出来る,82,337,1688.5883
彼れ,83,334,1673.5563
感じ,84,325,1628.4605
れる,85,321,1608.4179
たい,86,320,1603.4072
月,87,319,1598.3966
凄い,88,312,1563.3221
三,89,302,1513.2156
様,90,301,1508.2049
くらい,91,296,1483.1517
の,92,291,1458.0985
や,93,290,1453.0878
先生,94,287,1438.0559
ええ,95,284,1423.0239
し,96,281,1407.992
的,97,272,1362.8962
多分,98,269,1347.8642
此処,99,263,1317.8003
皆,99,263,1317.8003
話,101,259,1297.7577
私,102,255,1277.7151
其処,103,251,1257.6726
二十,104,250,1252.6619
出る,105,249,1247.6513
本当,106,247,1237.63
だけ,107,238,1192.5341
使う,107,238,1192.5341
違う,109,232,1162.4702
貰う,110,230,1152.449
会,110,230,1152.449
書く,112,229,1147.4383
物,113,226,1132.4064
まで,114,222,1112.3638
えっ,115,217,1087.3105
とる,116,213,1067.2679
所,117,212,1062.2573
頂く,118,203,1017.1615
結構,119,199,997.1189
僕,120,197,987.0976
知れる,121,196,982.0869
んー,122,195,977.0763
たり,123,192,962.0443
考える,124,189,947.0124
さ,125,187,936.9911
入る,126,186,931.9805
前,127,183,916.9485
時間,128,180,901.9166
成る程,128,180,901.9166
五,130,179,896.9059
け,131,175,876.8633
自分,131,175,876.8633
作る,133,174,871.8527
四,134,172,861.8314
時,135,170,851.8101
取る,136,167,836.7782
入れる,137,166,831.7675
回,137,166,831.7675
奴,139,164,821.7462
風,140,158,791.6823
つ,141,157,786.6717
が,142,155,776.6504
んー,143,154,771.6397
気,144,149,746.5865
聞く,145,148,741.5758
中,146,146,731.5546
へえ,147,144,721.5333
日,147,144,721.5333
委員,147,144,721.5333
何処,150,142,711.512
出す,151,140,701.4907
訳,152,138,691.4694
未だ,152,138,691.4694
日,154,137,686.4587
所,155,136,681.4481
例えば,156,132,661.4055
持つ,157,131,656.3948
研究,157,131,656.3948
つく,159,129,646.3735
とく,160,128,641.3629
六,161,126,631.3416
人,162,125,626.331
今日,163,123,616.3097
別,163,123,616.3097
辺,163,123,616.3097
下さる,166,122,611.299
一応,167,120,601.2777
,167,120,601.2777
又,169,119,596.2671
はあ,170,115,576.2245
此方,171,114,571.2138
年,172,113,566.2032
駄目,173,111,556.1819
そんな,173,111,556.1819
済む,173,111,556.1819
八,176,109,546.1606
会議,176,109,546.1606
余り,178,108,541.1499
方,178,108,541.1499
御座る,180,107,536.1393
達,181,106,531.1286
御,181,106,531.1286
大丈夫,183,105,526.118
方,184,104,521.1074
物,185,103,516.0967
内,185,103,516.0967
有り難う,187,102,511.0861
次,187,102,511.0861
唯,189,101,506.0754
呉れる,190,100,501.0648
何,191,99,496.0541
てく,191,99,496.0541
一番,191,99,496.0541
九,191,99,496.0541
居る,191,99,496.0541
誰,196,97,486.0328
確か,197,96,481.0222
一,197,96,481.0222
他,197,96,481.0222
もの,200,95,476.0115
室,200,95,476.0115
全然,202,94,471.0009
日,202,94,471.0009
問題,202,94,471.0009
そう,205,93,465.9902
日本,205,93,465.9902
語,205,93,465.9902
大事,208,92,460.9796
俺,209,91,455.9689
全部,209,91,455.9689
何時,209,91,455.9689
食べる,212,90,450.9583
彼の,212,90,450.9583
そんな,212,90,450.9583
知る,212,90,450.9583
色々,212,90,450.9583
最初,212,90,450.9583
先ず,212,90,450.9583
多い,219,88,440.937
願う,220,87,435.9263
授業,220,87,435.9263
一人,222,86,430.9157
せる,222,86,430.9157
ながら,222,86,430.9157
仕舞う,222,86,430.9157
しか,226,84,420.8944
付ける,226,84,420.8944
データ,226,84,420.8944
られる,229,83,415.8838
置く,230,82,410.8731
面白い,230,82,410.8731
者,232,81,405.8625
終わる,233,79,395.8412
学校,234,78,390.8305
難しい,235,77,385.8199
付く,236,76,380.8092
結局,236,76,380.8092
関係,236,76,380.8092
円,239,75,375.7986
良く,239,75,375.7986
大体,239,75,375.7986
資料,239,75,375.7986
取り敢えず,243,74,370.7879
ちゃんと,244,73,365.7773
変わる,244,73,365.7773
決める,244,73,365.7773
万,247,72,360.7666
