word,rank,freq,pmw
だ,1,31619,49258.4515
うん,2,31229,48650.8802
ね,3,17053,26566.4434
た,4,15469,24098.7693
そう,5,14948,23287.1164
の,6,14452,22514.4103
て,7,13410,20891.1045
か,8,10687,16649.0107
,9,10094,15725.1908
も,10,10087,15714.2857
で,11,10049,15655.0865
の,12,10020,15609.9081
よ,13,9693,15100.4829
が,14,9526,14840.3178
は,15,9226,14372.9553
てる,16,8916,13890.014
に,17,8910,13880.6668
と,18,8900,13865.088
何,19,8443,13153.1391
って,20,8421,13118.8659
です,21,8342,12995.7937
言う,22,7773,12109.3628
ない,23,7044,10973.6719
為る,24,6755,10523.446
か,25,6444,10038.9469
ああ,26,6122,9537.3111
から,27,5921,9224.1782
あっ,28,5712,8898.5823
無い,29,5568,8674.2483
はい,30,5163,8043.3089
あの,31,4653,7248.7926
けれど,32,4472,6966.8173
で,33,4216,6568.0012
な,34,4011,6248.6369
の,35,4005,6239.2896
良い,36,3977,6195.6691
有る,37,3902,6078.8285
ます,38,3816,5944.8512
もう,39,3753,5846.7051
其れ,40,3727,5806.2003
行く,41,3312,5159.6822
さ,42,3308,5153.4507
を,43,3201,4986.7581
御,44,2769,4313.756
いや,45,2762,4302.8509
思う,46,2703,4210.9363
遣る,47,2685,4182.8945
まあ,48,2632,4100.3272
成る,49,2454,3823.0254
えっ,50,2340,3645.4276
来る,51,2230,3474.0614
此れ,52,2228,3470.9456
みたい,53,2190,3411.7464
凄い,54,2048,3190.5281
さん,55,2036,3171.8336
彼れ,56,1965,3061.2245
ちゃう,57,1959,3051.8772
一寸,58,1943,3026.9512
事,59,1922,2994.2359
こう,60,1838,2863.3744
つう,61,1833,2855.585
居る,62,1787,2783.9227
其の,63,1769,2755.881
と,64,1766,2751.2074
人,65,1727,2690.4502
私,66,1722,2682.6609
分かる,67,1658,2582.9568
本当,68,1522,2371.0858
,69,1508,2349.2756
一,70,1482,2308.7708
から,71,1450,2258.9188
ええ,72,1432,2230.8771
今,73,1355,2110.9207
矢張り,74,1326,2065.7423
時,75,1318,2053.2793
食べる,76,1301,2026.7955
見る,77,1275,1986.2907
くらい,78,1256,1956.6911
ふん,79,1215,1892.8182
じゃん,80,1207,1880.3552
へえ,81,1205,1877.2394
ん,82,1134,1766.6303
違う,83,1117,1740.1464
俺,84,1110,1729.2413
どう,85,1098,1710.5468
れる,86,1080,1682.5051
し,87,990,1542.2963
たい,88,981,1528.2754
感じ,89,904,1408.3191
此の,90,899,1400.5297
ず,91,884,1377.1616
後,92,880,1370.9301
もの,93,876,1364.6986
多分,94,869,1353.7934
方,95,866,1349.1198
飲む,96,855,1331.9832
其処,97,846,1317.9623
二,98,840,1308.615
前,99,833,1297.7099
その,100,800,1246.3
だけ,101,798,1243.1843
け,102,797,1241.6264
ば,103,792,1233.837
出来る,104,771,1201.1217
ちゃん,105,750,1168.4063
入る,106,745,1160.6169
結構,107,743,1157.5012
美味しい,107,743,1157.5012
三,109,694,1081.1653
年,110,685,1067.1444
皆,111,684,1065.5865
十,112,681,1060.9129
まで,113,675,1051.5657
話,114,665,1035.9869
知る,115,659,1026.6397
奴,116,657,1023.5239
大丈夫,117,653,1017.2924
全然,118,651,1014.1767
そんな,119,639,995.4822
自分,120,624,972.114
出る,121,610,950.3038
たり,121,610,950.3038
此処,123,607,945.6302
彼の,124,600,934.725
取る,125,550,856.8313
ほら,126,547,852.1577
所,127,534,831.9053
えーと,128,529,824.1159
訳,129,528,822.558
有り難う,130,521,811.6529
何処,131,514,800.7478
作る,131,514,800.7478
家,133,512,797.632
駄目,134,511,796.0742
呉れる,134,511,796.0742
おお,136,501,780.4954
此方,137,499,777.3797
持つ,138,491,764.9167
未だ,139,488,760.243
聞く,140,485,755.5694
つ,141,484,754.0115
貰う,142,482,750.8958
様,142,482,750.8958
的,142,482,750.8958
済む,145,480,747.78
所,146,472,735.317
子,147,465,724.4119
達,148,458,713.5068
時間,149,454,707.2753
五,150,446,694.8123
余り,151,444,691.6965
何,152,438,682.3493
そう,153,435,677.6757
御座る,154,427,665.2126
そんな,155,423,658.9811
時,156,420,654.3075
好き,157,419,652.7496
