word,rank,freq,pmw
だ,1,1378,50730.7735
うん,2,1357,49957.663
そう,3,714,26285.7564
ね,4,692,25475.8311
,5,614,22604.2779
の,6,605,22272.9448
か,7,569,20947.6126
て,8,522,19217.3177
た,9,508,18701.9107
です,10,473,17413.3932
何,11,448,16493.0236
で,12,438,16124.8758
の,13,424,15609.4688
ああ,14,421,15499.0244
と,15,415,15278.1357
は,16,408,15020.4322
も,17,407,14983.6174
が,18,376,13842.3591
って,19,360,13253.3225
よ,20,348,12811.5451
言う,21,325,11964.8051
に,22,321,11817.5459
てる,23,315,11596.6572
か,24,303,11154.8798
はい,25,294,10823.5467
ない,26,293,10786.732
あの,27,276,10160.8806
から,28,269,9903.1771
さ,29,240,8835.5484
無い,30,227,8356.9562
為る,31,223,8209.697
けれど,32,193,7105.2535
もう,32,193,7105.2535
まあ,34,188,6921.1795
遣る,35,176,6479.4021
あっ,36,171,6295.3282
で,36,171,6295.3282
有る,38,166,6111.2543
俺,39,162,5963.9951
其れ,40,152,5595.8473
こう,41,146,5374.9586
を,42,145,5338.1438
みたい,43,134,4933.1812
良い,44,126,4638.6629
彼れ,45,123,4528.2185
いや,46,112,4123.2559
の,47,110,4049.6263
成る,47,110,4049.6263
つう,49,106,3902.3672
な,50,105,3865.5524
行く,51,102,3755.1081
一寸,52,96,3534.2193
ます,53,93,3423.775
分かる,54,91,3350.1454
と,55,89,3276.5158
思う,56,80,2945.1828
居る,56,80,2945.1828
来る,58,78,2871.5532
事,59,77,2834.7384
其の,59,77,2834.7384
人,59,77,2834.7384
見る,62,75,2761.1089
その,63,74,2724.2941
矢張り,64,73,2687.4793
えっ,65,72,2650.6645
多分,65,72,2650.6645
おお,65,72,2650.6645
れる,68,71,2613.8497
一,69,67,2466.5906
くらい,70,66,2429.7758
凄い,71,62,2282.5167
し,72,60,2208.8871
出来る,73,59,2172.0723
時,74,57,2098.4427
ば,74,57,2098.4427
じゃん,76,53,1951.1836
二,76,53,1951.1836
だけ,78,52,1914.3688
訳,78,52,1914.3688
へえ,80,51,1877.554
感じ,80,51,1877.554
ちゃう,82,50,1840.7392
結構,82,50,1840.7392
本当,84,48,1767.1097
後,84,48,1767.1097
どう,86,47,1730.2949
もの,86,47,1730.2949
今,88,46,1693.4801
から,89,45,1656.6653
,90,40,1472.5914
ん,90,40,1472.5914
其処,90,40,1472.5914
たい,93,37,1362.147
け,93,37,1362.147
出る,95,36,1325.3323
彼の,95,36,1325.3323
此れ,97,35,1288.5175
たり,97,35,1288.5175
取る,97,35,1288.5175
普通,97,35,1288.5175
人,97,35,1288.5175
さん,102,34,1251.7027
皆,102,34,1251.7027
御,104,33,1214.8879
此の,104,33,1214.8879
此処,104,33,1214.8879
違う,107,32,1178.0731
自分,108,31,1141.2583
的,108,31,1141.2583
出す,108,31,1141.2583
次,108,31,1141.2583
まで,112,30,1104.4435
無理,112,30,1104.4435
五,114,29,1067.6288
奴,115,28,1030.814
聞く,116,26,957.1844
四,116,26,957.1844
成る程,116,26,957.1844
結局,116,26,957.1844
野球,116,26,957.1844
入る,121,25,920.3696
しか,121,25,920.3696
市,121,25,920.3696
ええ,124,24,883.5548
三,124,24,883.5548
打つ,124,24,883.5548
全然,127,23,846.7401
回,127,23,846.7401
絶対,127,23,846.7401
知る,130,22,809.9253
年,130,22,809.9253
確か,130,22,809.9253
らしい,130,22,809.9253
駄目,134,21,773.1105
呉れる,134,21,773.1105
んー,134,21,773.1105
ちゃんと,134,21,773.1105
百,134,21,773.1105
方,134,21,773.1105
例えば,134,21,773.1105
受ける,134,21,773.1105
音楽,134,21,773.1105
方,143,20,736.2957
前,143,20,736.2957
様,143,20,736.2957
所,143,20,736.2957
一番,143,20,736.2957
僕,143,20,736.2957
十,149,19,699.4809
てく,149,19,699.4809
等,149,19,699.4809
何処,152,18,662.6661
所,152,18,662.6661
全部,152,18,662.6661
良く,152,18,662.6661
ずっと,152,18,662.6661
高い,152,18,662.6661
先ず,152,18,662.6661
カスカベ,152,18,662.6661
貰う,160,17,625.8513
別,160,17,625.8513
やばい,160,17,625.8513
目茶,160,17,625.8513
大体,160,17,625.8513
あら,160,17,625.8513
落ちる,160,17,625.8513
ヨコハマ,160,17,625.8513
レフェリー,160,17,625.8513
あれ,169,16,589.0366
頭,169,16,589.0366
声,169,16,589.0366
話,172,15,552.2218
使う,172,15,552.2218
そんな,172,15,552.2218
何,172,15,552.2218
余り,172,15,552.2218
一緒,172,15,552.2218
考える,172,15,552.2218
体,172,15,552.2218
格好,172,15,552.2218
キロ,172,15,552.2218
キャッチャー,172,15,552.2218
反則,172,15,552.2218
ふん,184,14,515.407
六,184,14,515.407
色々,184,14,515.407
今年,184,14,515.407
通る,184,14,515.407
代,184,14,515.407
練習,184,14,515.407
県,184,14,515.407
レスラー,184,14,515.407
持つ,193,13,478.5922
そんな,193,13,478.5922
はあ,193,13,478.5922
そう,193,13,478.5922
られる,193,13,478.5922
御前,193,13,478.5922
さ,193,13,478.5922
喋る,193,13,478.5922
時代,193,13,478.5922
動く,193,13,478.5922
略,193,13,478.5922
グループ,193,13,478.5922
けれど,193,13,478.5922
福祉,193,13,478.5922
一応,207,12,441.7774
物,207,12,441.7774
最初,207,12,441.7774
会,207,12,441.7774
覚える,207,12,441.7774
最後,207,12,441.7774
然も,207,12,441.7774
遊ぶ,207,12,441.7774
匂い,207,12,441.7774
叩く,207,12,441.7774
プロレス,207,12,441.7774
楽器,207,12,441.7774
先生,219,11,404.9626
嫌,219,11,404.9626
辺,219,11,404.9626
より,219,11,404.9626
怖い,219,11,404.9626
唯,219,11,404.9626
逆,219,11,404.9626
取り敢えず,219,11,404.9626
楽しい,219,11,404.9626
取れる,219,11,404.9626
部,219,11,404.9626
系,219,11,404.9626
員,219,11,404.9626
試合,219,11,404.9626
楽しむ,219,11,404.9626
飲み会,219,11,404.9626
センサー,219,11,404.9626
ず,236,10,368.1478
飲む,236,10,368.1478
時間,236,10,368.1478
月,236,10,368.1478
つ,236,10,368.1478
気,236,10,368.1478
中,236,10,368.1478
好き,236,10,368.1478
生,236,10,368.1478
こんな,236,10,368.1478
付く,236,10,368.1478
乗る,236,10,368.1478
さっき,236,10,368.1478
決まる,236,10,368.1478
旅行,236,10,368.1478
チーム,236,10,368.1478
プロ,236,10,368.1478
其奴,236,10,368.1478
引っ張る,236,10,368.1478
カー,236,10,368.1478
級,236,10,368.1478
オープン,236,10,368.1478
公務,236,10,368.1478
残業,236,10,368.1478
基礎,236,10,368.1478
クキ,236,10,368.1478
大丈夫,262,9,331.3331
入れる,262,9,331.3331
書く,262,9,331.3331
時,262,9,331.3331
何時,262,9,331.3331
んー,262,9,331.3331
旨い,262,9,331.3331
なんか,262,9,331.3331
日,262,9,331.3331
あー,262,9,331.3331
ほう,262,9,331.3331
上がる,262,9,331.3331
因る,262,9,331.3331
見せる,262,9,331.3331
以上,262,9,331.3331
足,262,9,331.3331
割と,262,9,331.3331
小,262,9,331.3331
区,262,9,331.3331
社会,262,9,331.3331
日程,262,9,331.3331
専門,262,9,331.3331
サイタマ,262,9,331.3331
特別,262,9,331.3331
投げる,262,9,331.3331
草,262,9,331.3331
技,262,9,331.3331
サカシタ,262,9,331.3331
バット,262,9,331.3331
此方,291,8,294.5183
とく,291,8,294.5183
又,291,8,294.5183
返る,291,8,294.5183
一人,291,8,294.5183
何方,291,8,294.5183
悪い,291,8,294.5183
小さい,291,8,294.5183
二,291,8,294.5183
まじ,291,8,294.5183
朝,291,8,294.5183
頑張る,291,8,294.5183
