word,rank,freq,pmw
うん,1,7159,54144.6075
だ,2,6258,47330.2072
ね,3,3379,25555.8917
の,4,3181,24058.3875
そう,5,3035,22954.1673
た,6,2926,22129.7837
て,7,2789,21093.6318
か,8,2638,19951.5958
です,9,2458,18590.2284
で,10,2176,16457.4195
,11,2127,16086.825
の,12,2070,15655.7253
が,13,2057,15557.4043
も,14,1988,15035.5468
と,14,1988,15035.5468
何,16,1967,14876.7206
は,17,1926,14566.6314
に,18,1893,14317.0473
よ,19,1881,14226.2895
って,20,1723,13031.3115
てる,21,1681,12713.6591
か,22,1554,11753.1387
言う,23,1507,11397.6705
ない,24,1472,11132.9602
為る,25,1370,10361.5187
ああ,26,1362,10301.0135
あっ,27,1239,9370.7457
から,28,1098,8304.3412
無い,29,1012,7653.9101
あの,30,1001,7570.7155
けれど,31,900,6806.8371
で,32,876,6625.3214
有る,33,875,6617.7583
良い,34,853,6451.3689
其れ,35,835,6315.2322
はい,36,831,6284.9796
な,37,820,6201.7849
行く,38,757,5725.3063
もう,39,697,5271.5172
ます,40,686,5188.3225
の,41,671,5074.8752
を,42,666,5037.0594
まあ,43,599,4530.3282
遣る,44,580,4386.6283
さ,45,558,4220.239
御,46,535,4046.2865
成る,47,505,3819.3919
思う,48,502,3796.7025
みたい,49,481,3637.8763
いや,50,472,3569.8079
えっ,51,470,3554.6816
へえ,52,469,3547.1184
凄い,53,463,3501.7395
一寸,54,442,3342.9133
此れ,55,432,3267.2818
事,56,427,3229.466
其の,57,415,3138.7082
つう,58,413,3123.5819
その,59,397,3002.5715
と,60,396,2995.0083
来る,61,392,2964.7557
ええ,62,389,2942.0663
さん,63,388,2934.5031
彼れ,64,368,2783.2401
矢張り,65,359,2715.1717
分かる,66,356,2692.4822
一,67,348,2631.977
見る,68,347,2624.4139
本当,69,346,2616.8507
人,70,344,2601.7244
ちゃう,71,341,2579.0349
居る,72,318,2405.0824
こう,73,315,2382.393
から,74,312,2359.7035
私,75,302,2284.072
今,76,276,2087.43
れる,77,261,1973.9828
,78,258,1951.2933
どう,79,254,1921.0407
じゃん,80,251,1898.3512
くらい,81,247,1868.0986
ふん,82,246,1860.5355
ば,83,223,1686.583
時,84,217,1641.2041
感じ,85,215,1626.0777
違う,86,211,1595.8251
ん,87,208,1573.1357
出来る,88,204,1542.8831
後,89,202,1527.7568
し,90,198,1497.5042
たり,91,193,1459.6884
ちゃん,92,188,1421.8726
方,93,185,1399.1832
だけ,94,182,1376.4937
たい,95,171,1293.299
此の,96,167,1263.0464
出る,97,165,1247.9201
其処,98,163,1232.7938
皆,99,161,1217.6675
買う,100,156,1179.8518
多分,101,152,1149.5992
全然,102,149,1126.9097
此処,103,147,1111.7834
十,104,142,1073.9676
俺,105,141,1066.4045
結構,105,141,1066.4045
話,105,141,1066.4045
先生,108,140,1058.8413
成る程,109,138,1043.715
け,110,136,1028.5887
えーと,111,132,998.3361
書く,111,132,998.3361
もの,113,131,990.773
年,114,129,975.6466
二,115,128,968.0835
時,115,128,968.0835
三,117,127,960.5203
呉れる,118,126,952.9572
奴,119,125,945.394
貰う,120,124,937.8309
訳,120,124,937.8309
物,122,122,922.7046
前,123,121,915.1414
はあ,123,121,915.1414
入る,125,120,907.5783
家,126,117,884.8888
何処,127,114,862.1994
作る,127,114,862.1994
そんな,129,113,854.6362
ず,130,112,847.0731
ほら,130,112,847.0731
回,130,112,847.0731
食べる,133,111,839.5099
様,133,111,839.5099
彼の,135,110,831.9468
まで,136,106,801.6941
聞く,137,105,794.131
学校,138,104,786.5678
未だ,139,102,771.4415
知る,140,101,763.8784
面白い,140,101,763.8784
別,142,100,756.3152
五,143,99,748.7521
余り,143,99,748.7521
好き,143,99,748.7521
美味しい,146,98,741.1889
自分,146,98,741.1889
そう,146,98,741.1889
又,149,97,733.6258
所,150,95,718.4995
そんな,150,95,718.4995
所,152,94,710.9363
的,153,91,688.2469
駄目,154,90,680.6837
普通,154,90,680.6837
時間,156,89,673.1206
つ,157,87,657.9943
絶対,157,87,657.9943
中,159,84,635.3048
取る,160,83,627.7416
何,160,83,627.7416
大丈夫,162,82,620.1785
気,162,82,620.1785
おお,164,81,612.6153
出す,165,79,597.489
返る,165,79,597.489
可愛い,165,79,597.489
持つ,168,77,582.3627
使う,169,76,574.7996
入れる,169,76,574.7996
知れる,169,76,574.7996
しか,169,76,574.7996
んー,169,76,574.7996
一番,174,74,559.6733
乗る,174,74,559.6733
楽しい,176,73,552.1101
子,177,72,544.547
良く,178,71,536.9838
誰,179,70,529.4207
一人,179,70,529.4207
日本,179,70,529.4207
嫌,182,69,521.8575
達,183,68,514.2944
高校,183,68,514.2944
見える,185,67,506.7312
多い,186,66,499.1681
下,186,66,499.1681
読む,186,66,499.1681
個,189,65,491.6049
生,189,65,491.6049
ディズニー,189,65,491.6049
日,192,64,484.0417
何時,192,64,484.0417
やばい,194,62,468.9154
此方,195,61,461.3523
彼処,195,61,461.3523
ずっと,195,61,461.3523
上,195,61,461.3523
変わる,199,60,453.7891
昔,199,60,453.7891
一杯,201,59,446.226
全部,202,58,438.6628
月,203,57,431.0997
てく,203,57,431.0997
確か,203,57,431.0997
一緒,203,57,431.0997
大変,203,57,431.0997
四,208,56,423.5365
あれ,208,56,423.5365
君,208,56,423.5365
られる,208,56,423.5365
家,208,56,423.5365
円,213,54,408.4102
考える,213,54,408.4102
高い,213,54,408.4102
終わる,213,54,408.4102
うち,213,54,408.4102
最近,218,53,400.8471
同じ,219,51,385.7208
もっと,219,51,385.7208
んー,221,50,378.1576
悪い,221,50,378.1576
わ,223,49,370.5945
方,223,49,370.5945
二十,225,48,363.0313
待つ,225,48,363.0313
僕,225,48,363.0313
色々,225,48,363.0313
急度,225,48,363.0313
死ぬ,225,48,363.0313
早い,231,47,355.4682
止める,231,47,355.4682
より,233,46,347.905
今日,234,45,340.3419
とく,234,45,340.3419
子供,234,45,340.3419
仕事,234,45,340.3419
内,234,45,340.3419
有り難う,239,44,332.7787
置く,239,44,332.7787
万,239,44,332.7787
せる,239,44,332.7787
結局,239,44,332.7787
語,239,44,332.7787
人,245,43,325.2155
上げる,245,43,325.2155
最初,245,43,325.2155
らしい,245,43,325.2155
済む,249,42,317.6524
ちゃんと,249,42,317.6524
二,249,42,317.6524
此の間,249,42,317.6524
下さる,253,41,310.0892
屋,253,41,310.0892
朝,255,40,302.5261
えー,256,39,294.9629
母,256,39,294.9629
物,256,39,294.9629
掛かる,256,39,294.9629
等,256,39,294.9629
過ぎる,256,39,294.9629
まじ,256,39,294.9629
レイ,256,39,294.9629
シー,256,39,294.9629
飲む,265,38,287.3998
六,265,38,287.3998
日,265,38,287.3998
金,265,38,287.3998
其方,265,38,287.3998
一,270,37,279.8366
目茶,270,37,279.8366
例えば,270,37,279.8366
唯,270,37,279.8366
安い,270,37,279.8366
一応,275,36,272.2735
風,275,36,272.2735
意味,275,36,272.2735
色んな,275,36,272.2735
痛い,275,36,272.2735
友達,275,36,272.2735
受ける,275,36,272.2735
大体,282,35,264.7103
なんて,282,35,264.7103
父,282,35,264.7103
逆,282,35,264.7103
大学,282,35,264.7103
八,287,34,257.1472
御座る,287,34,257.1472
付ける,287,34,257.1472
大きい,287,34,257.1472
売る,287,34,257.1472
変,287,34,257.1472
場所,287,34,257.1472
いえ,287,34,257.1472
電車,287,34,257.1472
辺,296,33,249.584
どうぞ,296,33,249.584
奇麗,296,33,249.584
寝る,296,33,249.584
びっくり,296,33,249.584
気持ち,296,33,249.584
何方,302,32,242.0209
怖い,302,32,242.0209
あー,302,32,242.0209
さ,302,32,242.0209
向こう,302,32,242.0209
旅行,302,32,242.0209
猫,302,32,242.0209
シオン,302,32,242.0209
付く,310,31,234.4577
旨い,310,31,234.4577
無理,310,31,234.4577
易い,310,31,234.4577
系,310,31,234.4577
こそ,310,31,234.4577
文字,310,31,234.4577
分,317,30,226.8946
他,317,30,226.8946
今度,317,30,226.8946
難しい,317,30,226.8946
歳,317,30,226.8946
パン,317,30,226.8946
英語,317,30,226.8946
こんな,324,29,219.3314
九,324,29,219.3314
客,324,29,219.3314
シズオカ,324,29,219.3314
目,328,28,211.7683
頃,328,28,211.7683
トウキョウ,328,28,211.7683
アタミ,328,28,211.7683
頂く,332,27,204.2051
なんか,332,27,204.2051
日,332,27,204.2051
直ぐ,332,27,204.2051
侭,332,27,204.2051
御,332,27,204.2051
若し,332,27,204.2051
明日,332,27,204.2051
店,332,27,204.2051
勉強,332,27,204.2051
外,332,27,204.2051
温泉,332,27,204.2051
弟,332,27,204.2051
小さい,345,26,196.642
ながら,345,26,196.642
覚える,345,26,196.642
御飯,345,26,196.642
何れ,345,26,196.642
忘れる,345,26,196.642
問題,345,26,196.642
因る,345,26,196.642
人,345,26,196.642
どんどん,345,26,196.642
初めて,345,26,196.642
全く,345,26,196.642
夏,345,26,196.642
感,345,26,196.642
御前,359,25,189.0788
会社,359,25,189.0788
ぽい,359,25,189.0788
場合,359,25,189.0788
見せる,359,25,189.0788
イメージ,359,25,189.0788
音,359,25,189.0788
味噌,359,25,189.0788
よいしょ,367,24,181.5157
頑張る,367,24,181.5157
強い,367,24,181.5157
頭,367,24,181.5157
勿論,367,24,181.5157
無くなる,367,24,181.5157
でかい,367,24,181.5157
選ぶ,367,24,181.5157
さっき,375,23,173.9525
欲しい,375,23,173.9525
おっ,375,23,173.9525
先ず,375,23,173.9525
オーケー,375,23,173.9525
名前,375,23,173.9525
長い,375,23,173.9525
為さる,375,23,173.9525
うわ,375,23,173.9525
丁度,375,23,173.9525
時代,375,23,173.9525
割と,375,23,173.9525
館,375,23,173.9525
生きる,375,23,173.9525
代,375,23,173.9525
酷い,375,23,173.9525
ホッカイドウ,375,23,173.9525
体育,375,23,173.9525
御免,393,22,166.3894
百,393,22,166.3894
切る,393,22,166.3894
会う,393,22,166.3894
