word,rank,freq,pmw
だ,1,1914,38475.4553
うん,2,1777,35721.465
て,3,1532,30796.4459
の,4,1341,26956.9413
ね,5,1029,20685.0802
が,6,1027,20644.876
た,7,1007,20242.8336
です,8,988,19860.8933
は,9,908,18252.7238
に,10,881,17709.9666
と,11,820,16483.7374
も,12,769,15458.5293
の,13,767,15418.3251
って,14,763,15337.9166
言う,15,731,14694.6488
そう,16,710,14272.5043
てる,17,695,13970.9725
で,18,693,13930.7683
,19,674,13548.828
で,20,667,13408.1132
か,21,649,13046.2751
を,22,617,12403.0073
為る,23,599,12041.1691
ます,24,579,11639.1268
はい,25,534,10734.5314
か,26,505,10151.57
ない,27,498,10010.8551
けれど,28,398,8000.6433
あっ,29,374,7518.1924
何,30,371,7457.8861
此れ,31,370,7437.7839
良い,32,368,7397.5797
ああ,33,353,7096.0479
遣る,34,339,6814.6183
有る,35,333,6694.0055
よ,36,328,6593.495
無い,37,296,5950.2272
もう,38,279,5608.4911
こう,39,272,5467.7763
から,40,259,5206.4488
成る,41,257,5166.2445
一寸,42,245,4925.0191
な,43,235,4723.9979
と,44,224,4502.8746
事,45,221,4442.5682
あの,46,206,4141.0365
此処,46,206,4141.0365
使う,48,205,4120.9343
まあ,49,197,3960.1174
行く,50,190,3819.4026
えっ,51,188,3779.1983
思う,52,179,3598.2793
ふん,53,173,3477.6665
書く,54,171,3437.4623
其れ,55,169,3397.2581
此の,56,165,3316.8496
見る,57,162,3256.5432
ちゃう,58,155,3115.8284
其の,59,144,2894.7051
御,60,138,2774.0924
から,60,138,2774.0924
の,62,133,2673.5818
矢張り,63,129,2593.1733
一,64,128,2573.0712
来る,65,121,2432.3564
時,65,121,2432.3564
,67,119,2392.1521
えーと,67,119,2392.1521
さん,69,116,2331.8458
本当,70,115,2311.7437
居る,71,112,2251.4373
へえ,72,111,2231.3352
感じ,72,111,2231.3352
れる,74,109,2191.1309
どう,75,105,2110.7225
みたい,76,103,2070.5182
凄い,76,103,2070.5182
今,78,102,2050.4161
だけ,79,100,2010.2119
分かる,80,99,1990.1098
方,80,99,1990.1098
いや,82,98,1970.0076
私,82,98,1970.0076
人,84,97,1949.9055
意味,84,97,1949.9055
吐く,86,94,1889.5992
たり,87,92,1849.3949
後,88,90,1809.1907
様,89,89,1789.0886
下さる,90,86,1728.7822
皆,91,85,1708.6801
吸う,92,82,1648.3737
つう,93,80,1608.1695
此方,94,78,1567.9653
ええ,95,77,1547.8631
違う,96,75,1507.6589
言葉,96,75,1507.6589
貰う,98,70,1407.1483
二,99,69,1387.0462
前,99,69,1387.0462
其処,101,68,1366.9441
たい,102,67,1346.842
回,103,66,1326.7398
手,104,64,1286.5356
足,104,64,1286.5356
出来る,106,63,1266.4335
国語,107,61,1226.2292
くらい,108,60,1206.1271
多分,108,60,1206.1271
普通,110,56,1125.7187
まで,111,55,1105.6165
辞典,111,55,1105.6165
出る,113,54,1085.5144
大丈夫,113,54,1085.5144
物,113,54,1085.5144
てく,113,54,1085.5144
こんな,117,53,1065.4123
もふもふ,117,53,1065.4123
自分,119,52,1045.3102
聞く,119,52,1045.3102
ず,121,51,1025.2081
横,122,50,1005.1059
持つ,123,49,985.0038
ながら,124,47,944.7996
痛い,124,47,944.7996
その,126,46,924.6975
つ,127,45,904.5953
引く,127,45,904.5953
伸びる,127,45,904.5953
爪,130,44,884.4932
息,130,44,884.4932
ん,132,43,864.3911
奴,132,43,864.3911
気,132,43,864.3911
彼れ,135,42,844.289
十,135,42,844.289
所,135,42,844.289
ば,138,41,824.1869
取る,138,41,824.1869
はあ,138,41,824.1869
全部,138,41,824.1869
一番,138,41,824.1869
目,138,41,824.1869
し,144,40,804.0848
的,144,40,804.0848
多い,146,38,763.8805
日本,146,38,763.8805
付く,148,37,743.7784
最初,149,36,723.6763
語,149,36,723.6763
うんと,149,36,723.6763
磨く,149,36,723.6763
知れる,153,35,703.5742
風,153,35,703.5742
入れる,155,34,683.472
考える,155,34,683.472
ちゃんと,155,34,683.472
伸ばす,155,34,683.472
け,159,33,663.3699
彼の,159,33,663.3699
時間,159,33,663.3699
やばい,162,32,643.2678
最後,162,32,643.2678
が,162,32,643.2678
実,162,32,643.2678
結構,166,31,623.1657
何処,166,31,623.1657
知る,166,31,623.1657
例えば,166,31,623.1657
さっき,166,31,623.1657
全然,171,30,603.0636
所,171,30,603.0636
未だ,171,30,603.0636
又,171,30,603.0636
良く,171,30,603.0636
上,171,30,603.0636
辺,171,30,603.0636
先ず,171,30,603.0636
番,171,30,603.0636
ゆっくり,171,30,603.0636
辞書,171,30,603.0636
コーパス,171,30,603.0636
えー,183,29,582.9614
あれ,183,29,582.9614
入る,185,28,562.8593
そんな,185,28,562.8593
置く,185,28,562.8593
旨い,185,28,562.8593
一,185,28,562.8593
下,185,28,562.8593
侭,185,28,562.8593
今日,192,27,542.7572
今度,192,27,542.7572
目,192,27,542.7572
少し,192,27,542.7572
じゃん,196,26,522.6551
年,196,26,522.6551
何方,196,26,522.6551
目茶,196,26,522.6551
長い,196,26,522.6551
下ろす,196,26,522.6551
尻,196,26,522.6551
余り,203,25,502.553
中,203,25,502.553
や,203,25,502.553
用例,203,25,502.553
とく,207,24,482.4509
有り難う,207,24,482.4509
しか,207,24,482.4509
乗る,207,24,482.4509
歯,207,24,482.4509
戻す,207,24,482.4509
縦,207,24,482.4509
三,214,23,462.3487
わ,214,23,462.3487
んー,214,23,462.3487
上げる,214,23,462.3487
御座る,214,23,462.3487
変わる,214,23,462.3487
付ける,214,23,462.3487
色んな,214,23,462.3487
次,214,23,462.3487
他,214,23,462.3487
まじ,214,23,462.3487
左,214,23,462.3487
真ん中,214,23,462.3487
字,214,23,462.3487
光る,214,23,462.3487
げろ,214,23,462.3487
駄目,230,22,442.2466
面白い,230,22,442.2466
為,230,22,442.2466
パンダ,230,22,442.2466
さ,234,21,422.1445
ちゃん,234,21,422.1445
そんな,234,21,422.1445
達,234,21,422.1445
月,234,21,422.1445
日,234,21,422.1445
られる,234,21,422.1445
御免,234,21,422.1445
絶対,234,21,422.1445
生,234,21,422.1445
方,234,21,422.1445
悪い,234,21,422.1445
同じ,234,21,422.1445
大体,234,21,422.1445
嬉しい,234,21,422.1445
鬼,234,21,422.1445
ストレッチ,234,21,422.1445
先生,251,20,402.0424
過ぎる,251,20,402.0424
奇麗,251,20,402.0424
さ,251,20,402.0424
広い,251,20,402.0424
四,256,19,381.9403
おお,256,19,381.9403
出す,256,19,381.9403
より,256,19,381.9403
見える,256,19,381.9403
本,256,19,381.9403
上がる,256,19,381.9403
研究,256,19,381.9403
漢字,256,19,381.9403
肩,256,19,381.9403
鍋,256,19,381.9403
糞,256,19,381.9403
着物,256,19,381.9403
メタファー,256,19,381.9403
作る,270,18,361.8381
成る程,270,18,361.8381
確か,270,18,361.8381
七,270,18,361.8381
唯,270,18,361.8381
何れ,270,18,361.8381
頭,270,18,361.8381
体,270,18,361.8381
向く,270,18,361.8381
世代,270,18,361.8381
端っこ,270,18,361.8381
どきどき,270,18,361.8381
触り,270,18,361.8381
ほら,283,17,341.736
何時,283,17,341.736
母,283,17,341.736
一応,283,17,341.736
せる,283,17,341.736
日,283,17,341.736
問題,283,17,341.736
因る,283,17,341.736
御腹,283,17,341.736
調べる,283,17,341.736
打つ,283,17,341.736
本,283,17,341.736
ネット,283,17,341.736
など,283,17,341.736
右手,283,17,341.736
もの,298,16,321.6339
色々,298,16,321.6339
一杯,298,16,321.6339
昔,298,16,321.6339
難しい,298,16,321.6339
強い,298,16,321.6339
同じ,298,16,321.6339
元々,298,16,321.6339
新,298,16,321.6339
検索,298,16,321.6339
咲く,298,16,321.6339
