word,rank,freq,pmw
だ,1,21283,47284.8377
うん,2,18837,41850.5139
ね,3,10966,24363.3665
て,4,10939,24303.3801
の,5,10107,22454.9102
そう,6,9597,21321.8337
た,7,8817,19588.8932
の,8,7595,16873.953
で,9,7448,16547.3604
は,10,7279,16171.8899
に,11,7246,16098.5732
か,12,7097,15767.5371
が,13,6990,15529.8132
と,14,6961,15465.3834
も,15,6726,14943.2795
です,16,6318,14036.8183
,17,6274,13939.0627
よ,18,5655,12563.8189
はい,19,5551,12332.7601
為る,20,5441,12088.3711
言う,21,5343,11870.6427
何,22,5260,11686.24
って,23,5180,11508.5025
てる,24,5130,11397.4166
か,25,5051,11221.9008
ない,26,4742,10535.3898
から,27,3981,8844.6619
良い,28,3824,8495.8521
無い,29,3695,8209.2503
で,30,3600,7998.1871
あっ,31,3512,7802.6758
此れ,32,3404,7562.7302
を,33,3348,7438.314
けれど,34,3114,6918.4318
あの,35,3062,6802.9025
ます,36,2961,6578.5089
其れ,37,2941,6534.0745
ああ,38,2851,6334.1198
有る,39,2835,6298.5723
な,40,2527,5614.283
遣る,41,2497,5547.6314
まあ,42,2482,5514.3056
もう,43,2290,5087.7357
の,44,2046,4545.6363
さ,45,1945,4321.2427
一寸,46,1879,4174.6093
思う,47,1855,4121.2881
成る,48,1833,4072.4103
行く,49,1787,3970.2112
御,50,1680,3732.4873
事,51,1638,3639.1751
来る,52,1622,3603.6276
ええ,53,1595,3543.6412
こう,54,1574,3496.9851
と,55,1542,3425.8901
一,56,1520,3377.0123
ちゃう,57,1465,3254.8178
其の,58,1369,3041.5328
さん,59,1359,3019.3156
いや,60,1240,2754.9311
みたい,61,1239,2752.7094
人,62,1214,2697.1664
つう,63,1213,2694.9447
から,64,1161,2579.4153
分かる,65,1157,2570.5285
えっ,66,1110,2466.1077
此処,67,1107,2459.4425
此の,68,1094,2430.5602
二,69,1041,2312.8091
私,70,1027,2281.705
ば,71,1025,2277.2616
彼れ,72,1019,2263.9313
凄い,73,966,2146.1802
