word,rank,freq,pmw
うん,1,24562,50620.4415
だ,2,20580,42413.8379
ね,3,11727,24168.4683
の,4,11374,23440.9617
て,5,11190,23061.7515
そう,6,10086,20786.4902
です,7,10027,20664.8956
た,8,8813,18162.9326
の,9,8769,18072.2519
は,10,8395,17301.4659
と,11,8350,17208.7243
,12,8154,16804.783
で,13,7773,16019.5705
か,14,7749,15970.1083
が,15,7639,15743.4066
に,16,7595,15652.7259
も,17,7210,14859.2697
はい,18,6895,14210.0783
言う,19,6545,13488.7546
為る,20,6122,12616.9833
か,21,6037,12441.8046
って,22,5530,11396.9156
てる,23,5268,10856.9533
よ,24,5226,10770.3944
何,25,4826,9946.0244
ない,26,4637,9556.5095
ます,27,4288,8837.2467
あの,28,4077,8402.3915
を,29,3847,7928.3787
から,30,3786,7802.6623
ああ,31,3775,7779.9921
で,32,3757,7742.8955
あっ,33,3545,7305.9794
けれど,34,3488,7188.5066
無い,35,3416,7040.12
まあ,36,3299,6798.9918
其れ,37,3272,6743.3468
有る,38,3260,6718.6157
良い,39,3129,6448.6345
な,40,2726,5618.0817
遣る,41,2608,5374.8926
此れ,42,2400,4946.2202
事,43,2310,4760.7369
思う,44,2153,4437.1717
もう,45,2091,4309.3943
一寸,46,2017,4156.8859
成る,47,1915,3946.6715
行く,48,1862,3837.4425
ええ,49,1806,3722.0307
と,50,1781,3670.5075
其の,51,1617,3332.5158
来る,52,1581,3258.3225
さん,52,1581,3258.3225
御,54,1520,3132.6061
一,55,1444,2975.9758
えーと,56,1413,2912.0871
つう,57,1374,2831.711
から,58,1362,2806.9799
こう,59,1355,2792.5535
みたい,60,1332,2745.1522
の,61,1328,2736.9085
いや,62,1308,2695.69
人,63,1284,2646.2278
さ,64,1208,2489.5975
ちゃう,65,1199,2471.0492
どう,66,1166,2403.0386
分かる,67,1162,2394.7949
居る,68,1124,2316.4798
見る,69,1086,2238.1646
彼れ,70,1051,2166.0322
凄い,71,1023,2108.3263
その,72,1022,2106.2654
矢張り,73,1018,2098.0217
今,74,1006,2073.2906
,75,988,2036.194
えー,76,980,2019.7066
此の,77,950,1957.8788
えっ,78,942,1941.3914
ば,79,922,1900.1729
十,80,895,1844.5279
時,81,869,1790.9439
方,82,867,1786.822
後,83,857,1766.2128
此処,84,838,1727.0552
本当,85,835,1720.8724
二,86,834,1718.8115
れる,87,826,1702.3241
くらい,88,823,1696.1413
私,89,818,1685.8367
へえ,90,796,1640.4964
出来る,91,767,1580.7295
感じ,92,759,1564.2421
ふん,93,730,1504.4753
ん,94,698,1438.5257
し,95,660,1360.2105
たい,95,660,1360.2105
ず,97,656,1351.9668
だけ,98,648,1335.4794
三,99,642,1323.1139
様,100,622,1281.8954
其処,101,616,1269.5298
違う,102,598,1232.4332
書く,103,595,1226.2504
出る,104,590,1215.9458
多分,105,581,1197.3975
貰う,106,573,1180.9101
皆,107,565,1164.4227
たり,108,560,1154.118
話,109,553,1139.6916
先生,109,553,1139.6916
まで,111,550,1133.5088
成る程,112,542,1117.0214
物,113,541,1114.9605
入る,114,522,1075.8029
所,115,517,1065.4983
月,115,517,1065.4983
的,117,506,1042.8281
二十,118,495,1020.1579
結構,119,489,1007.7924
使う,120,485,999.5487
入れる,121,481,991.305
五,122,476,981.0003
作る,123,470,968.6348
け,124,469,966.5739
時,125,468,964.5129
前,126,467,962.452
訳,127,454,935.66
はあ,128,433,892.3806
奴,129,412,849.1011
じゃん,130,396,816.1263
何処,131,392,807.8826
持つ,131,392,807.8826
時間,133,390,803.7608
自分,134,386,795.5171
回,135,383,789.3343
知れる,136,376,774.9078
