word,rank,freq,pmw
だ,1,303,41724.043
うん,2,195,26852.1069
た,3,192,26438.9975
ね,4,145,19966.9513
て,5,136,18727.6232
,6,129,17763.7015
何,7,127,17488.2952
が,8,120,16524.3735
か,9,119,16386.6703
の,10,116,15973.561
えっ,10,116,15973.561
の,12,110,15147.3423
ない,13,108,14871.9361
よ,14,106,14596.5299
そう,15,100,13770.3112
で,16,96,13219.4988
無い,17,92,12668.6863
も,18,88,12117.8739
,18,88,12117.8739
と,20,86,11842.4676
てる,20,86,11842.4676
は,22,82,11291.6552
に,23,79,10878.5459
良い,24,74,10190.0303
ああ,25,70,9639.2178
ふん,26,67,9226.1085
ん,27,63,8675.2961
言う,28,61,8399.8898
あっ,29,59,8124.4836
の,30,58,7986.7805
へえ,31,56,7711.3743
此れ,32,55,7573.6712
為る,33,53,7298.2649
か,34,51,7022.8587
有る,34,51,7022.8587
って,36,50,6885.1556
です,37,47,6472.0463
,38,46,6334.3432
から,39,43,5921.2338
な,40,42,5783.5307
ええ,40,42,5783.5307
もう,42,39,5370.4214
遣る,43,38,5232.7183
使う,43,38,5232.7183
行く,45,35,4819.6089
んー,46,33,4544.2027
其れ,47,32,4406.4996
さ,47,32,4406.4996
みたい,47,32,4406.4996
で,50,30,4131.0934
いや,50,30,4131.0934
事,50,30,4131.0934
違う,53,28,3855.6871
後,54,27,3717.984
一寸,55,26,3580.2809
けれど,56,25,3442.5778
本当,56,25,3442.5778
時,56,25,3442.5778
食べる,59,24,3304.8747
まじ,59,24,3304.8747
はい,61,22,3029.4685
ます,61,22,3029.4685
御,63,21,2891.7654
ちゃん,63,21,2891.7654
方,63,21,2891.7654
彼れ,66,20,2754.0622
から,66,20,2754.0622
を,68,19,2616.3591
分かる,68,19,2616.3591
じゃん,68,19,2616.3591
要る,68,19,2616.3591
目茶,68,19,2616.3591
思う,73,18,2478.656
人,73,18,2478.656
一,73,18,2478.656
居る,73,18,2478.656
奴,73,18,2478.656
其の,78,17,2340.9529
つう,78,17,2340.9529
くらい,78,17,2340.9529
書く,81,16,2203.2498
待つ,81,16,2203.2498
止める,81,16,2203.2498
ハヅキ,81,16,2203.2498
成る,85,15,2065.5467
やばい,85,15,2065.5467
凄い,87,14,1927.8436
私,87,14,1927.8436
十,87,14,1927.8436
五,87,14,1927.8436
今,91,13,1790.1405
れる,91,13,1790.1405
嫌,91,13,1790.1405
パパ,91,13,1790.1405
あの,95,12,1652.4373
まあ,95,12,1652.4373
ちゃう,95,12,1652.4373
見る,95,12,1652.4373
知る,95,12,1652.4373
先生,95,12,1652.4373
普通,95,12,1652.4373
好き,95,12,1652.4373
ママ,95,12,1652.4373
高校,95,12,1652.4373
疲れる,95,12,1652.4373
ディズニー,95,12,1652.4373
だけ,107,11,1514.7342
其処,107,11,1514.7342
け,107,11,1514.7342
貰う,107,11,1514.7342
円,107,11,1514.7342
絶対,107,11,1514.7342
寒い,107,11,1514.7342
来る,114,10,1377.0311
どう,114,10,1377.0311
えーと,114,10,1377.0311
多分,114,10,1377.0311
うち,114,10,1377.0311
ば,119,9,1239.328
ず,119,9,1239.328
もの,119,9,1239.328
前,119,9,1239.328
何処,119,9,1239.328
はあ,119,9,1239.328
一人,119,9,1239.328
可愛い,119,9,1239.328
意味,119,9,1239.328
ううん,119,9,1239.328
此の,129,8,1101.6249
此処,129,8,1101.6249
感じ,129,8,1101.6249
皆,129,8,1101.6249
全然,129,8,1101.6249
余り,129,8,1101.6249
旨い,129,8,1101.6249
何方,129,8,1101.6249
と,137,7,963.9218
二,137,7,963.9218
し,137,7,963.9218
出る,137,7,963.9218
三,137,7,963.9218
入る,137,7,963.9218
美味しい,137,7,963.9218
たり,137,7,963.9218
持つ,137,7,963.9218
未だ,137,7,963.9218
四,137,7,963.9218
別,137,7,963.9218
あれ,137,7,963.9218
有り難う,137,7,963.9218
おっ,137,7,963.9218
友達,137,7,963.9218
味,137,7,963.9218
超,137,7,963.9218
ケーキ,137,7,963.9218
農家,137,7,963.9218
どきどき,137,7,963.9218
あは,137,7,963.9218
げろ,137,7,963.9218
たい,160,6,826.2187
出来る,160,6,826.2187
まで,160,6,826.2187
ほら,160,6,826.2187
此方,160,6,826.2187
年,160,6,826.2187
的,160,6,826.2187
わ,160,6,826.2187
二十,160,6,826.2187
誰,160,6,826.2187
六,160,6,826.2187
学校,160,6,826.2187
終わる,160,6,826.2187
欲しい,160,6,826.2187
朝,160,6,826.2187
痛い,160,6,826.2187
長い,160,6,826.2187
楽しい,160,6,826.2187
嘘,160,6,826.2187
うう,160,6,826.2187
科,160,6,826.2187
バッグ,160,6,826.2187
鬼,160,6,826.2187
制服,160,6,826.2187
嵐,160,6,826.2187
ミワ,160,6,826.2187
ミウ,160,6,826.2187
大丈夫,187,5,688.5156
駄目,187,5,688.5156
家,187,5,688.5156
今日,187,5,688.5156
てく,187,5,688.5156
返る,187,5,688.5156
られる,187,5,688.5156
個,187,5,688.5156
上げる,187,5,688.5156
分,187,5,688.5156
日,187,5,688.5156
昨日,187,5,688.5156
侭,187,5,688.5156
仕舞う,187,5,688.5156
目,187,5,688.5156
語,187,5,688.5156
七,187,5,688.5156
見せる,187,5,688.5156
全く,187,5,688.5156
馬鹿,187,5,688.5156
代,187,5,688.5156
嫌い,187,5,688.5156
マン,187,5,688.5156
連れる,187,5,688.5156
アイス,187,5,688.5156
発表,187,5,688.5156
青い,187,5,688.5156
シー,187,5,688.5156
シフォン,187,5,688.5156
火,187,5,688.5156
乗り物,187,5,688.5156
枝豆,187,5,688.5156
サツ,187,5,688.5156
うんこ,187,5,688.5156
チューズデイ,187,5,688.5156
ウェンズデー,187,5,688.5156
さん,223,4,550.8124
