word,rank,freq,pmw
だ,1,6298,49618.6815
うん,2,5353,42173.5157
ね,3,3300,25998.9916
の,4,2963,23343.943
た,5,2739,21579.163
て,6,2449,19294.4031
そう,7,2376,18719.2739
の,8,2226,17537.5016
で,9,2058,16213.9166
が,10,2023,15938.1697
よ,11,2016,15883.0203
です,12,1978,15583.638
,13,1920,15126.686
も,14,1880,14811.5467
に,15,1873,14756.3973
は,16,1841,14504.2859
と,17,1821,14346.7162
って,18,1752,13803.101
か,19,1663,13101.916
言う,20,1613,12707.9919
てる,21,1573,12392.8526
ああ,22,1459,11494.7057
為る,23,1390,10951.0904
ない,24,1365,10754.1283
はい,25,1347,10612.3156
か,26,1335,10517.7739
何,27,1289,10155.3637
あの,28,1124,8855.4141
無い,29,1118,8808.1432
から,30,1062,8366.9482
あっ,31,982,7736.6696
けれど,32,920,7248.2037
有る,33,870,6854.2796
を,34,856,6743.9808
ます,35,849,6688.8315
良い,36,814,6413.0846
な,37,811,6389.4491
で,38,809,6373.6922
まあ,39,701,5522.8161
其れ,40,679,5349.4895
もう,41,664,5231.3122
行く,42,616,4853.1451
いや,43,610,4805.8742
さ,44,547,4309.5298
思う,45,546,4301.6513
成る,46,539,4246.502
の,47,534,4207.1095
遣る,48,501,3947.1196
つう,49,457,3600.4664
さん,50,454,3576.831
と,51,443,3490.1677
来る,52,437,3442.8968
彼れ,53,431,3395.6259
事,54,428,3371.9904
此れ,55,419,3301.0841
人,56,404,3182.9068
俺,57,401,3159.2714
其の,58,386,3041.0942
みたい,59,384,3025.3372
凄い,60,380,2993.8233
一,61,361,2844.1321
分かる,62,355,2796.8612
居る,63,348,2741.7118
御,64,342,2694.4409
一寸,65,321,2528.9928
本当,66,320,2521.1143
くらい,67,308,2426.5725
から,68,288,2269.0029
じゃん,69,287,2261.1244
こう,70,273,2150.8257
今,71,269,2119.3117
えっ,72,258,2032.6484
ちゃう,73,253,1993.256
,74,252,1985.3775
ふん,75,249,1961.7421
ん,76,234,1843.5649
矢張り,77,232,1827.8079
えーと,77,232,1827.8079
れる,79,231,1819.9294
違う,80,228,1796.294
ええ,81,225,1772.6585
へえ,81,225,1772.6585
多分,81,225,1772.6585
見る,84,219,1725.3876
此の,85,218,1717.5091
時,86,215,1693.8737
その,87,214,1685.9952
ず,87,214,1685.9952
どう,89,213,1678.1167
二,90,212,1670.2382
し,91,206,1622.9674
三,92,202,1591.4534
ば,93,201,1583.5749
十,94,198,1559.9395
話,94,198,1559.9395
後,96,192,1512.6686
もの,97,187,1473.2762
だけ,98,186,1465.3977
前,99,182,1433.8838
奴,100,165,1299.9496
其処,101,163,1284.1926
まで,102,159,1252.6787
成る程,103,158,1244.8002
出る,104,152,1197.5293
たい,105,151,1189.6508
大丈夫,105,151,1189.6508
彼の,107,150,1181.7723
方,108,146,1150.2584
所,109,145,1142.3799
時,110,144,1134.5014
様,111,136,1071.4736
出来る,112,135,1063.5951
五,113,133,1047.8381
えー,113,133,1047.8381
け,115,132,1039.9597
飲む,116,126,992.6888
おお,116,126,992.6888
感じ,118,125,984.8103
結構,118,125,984.8103
訳,118,125,984.8103
回,118,125,984.8103
入る,122,124,976.9318
ちゃん,123,122,961.1748
年,124,121,953.2964
貰う,125,119,937.5394
そんな,126,118,929.6609
的,126,118,929.6609
物,128,115,906.0255
済む,129,113,890.2685
んー,130,110,866.6331
聞く,131,108,850.8761
此処,132,104,819.3622
皆,133,102,803.6052
作る,133,102,803.6052
そんな,133,102,803.6052
四,136,101,795.7267
全然,137,100,787.8482
駄目,137,100,787.8482
たり,139,99,779.9697
持つ,139,99,779.9697
ほら,141,96,756.3343
彼処,142,95,748.4558
取る,143,94,740.5773
知る,144,93,732.6989
つ,145,92,724.8204
円,145,92,724.8204
しか,145,92,724.8204
はあ,148,90,709.0634
時間,149,89,701.1849
食べる,150,88,693.3064
自分,150,88,693.3064
呉れる,152,86,677.5495
日,152,86,677.5495
有り難う,152,86,677.5495
確か,155,85,669.671
知れる,156,83,653.914
気,157,82,646.0355
未だ,158,80,630.2786
多い,158,80,630.2786
何,160,79,622.4001
中,160,79,622.4001
僕,160,79,622.4001
旨い,160,79,622.4001
所,164,78,614.5216
あれ,164,78,614.5216
何処,166,77,606.6431
此方,166,77,606.6431
達,168,76,598.7647
そう,168,76,598.7647
返る,168,76,598.7647
買う,171,75,590.8862
二十,171,75,590.8862
出す,171,75,590.8862
一番,171,75,590.8862
六,171,75,590.8862
万,171,75,590.8862
月,177,74,583.0077
んー,177,74,583.0077
ながら,177,74,583.0077
別,180,73,575.1292
全部,181,72,567.2507
良く,181,72,567.2507
人,183,71,559.3722
美味しい,184,70,551.4938
百,185,69,543.6153
普通,186,68,535.7368
余り,187,67,527.8583
御座る,187,67,527.8583
とく,189,65,512.1013
又,189,65,512.1013
より,189,65,512.1013
意味,192,64,504.2229
八,193,63,496.3444
食う,193,63,496.3444
使う,195,62,488.4659
家,195,62,488.4659
わ,195,62,488.4659
られる,195,62,488.4659
上,195,62,488.4659
日本,200,61,480.5874
一緒,201,60,472.7089
考える,201,60,472.7089
書く,203,59,464.8305
何時,203,59,464.8305
ちゃんと,203,59,464.8305
面白い,203,59,464.8305
絶対,203,59,464.8305
頂く,208,58,456.952
高い,208,58,456.952
変わる,208,58,456.952
誰,211,57,449.0735
上げる,211,57,449.0735
色々,211,57,449.0735
方,211,57,449.0735
今日,215,56,441.195
てく,215,56,441.195
仕事,217,55,433.3165
入れる,218,54,425.438
好き,218,54,425.438
三十,218,54,425.438
御前,221,53,417.5596
金,221,53,417.5596
,221,53,417.5596
物,224,52,409.6811
分,224,52,409.6811
同じ,224,52,409.6811
置く,227,51,401.8026
止める,227,51,401.8026
逆,227,51,401.8026
一応,230,50,393.9241
内,230,50,393.9241
らしい,232,49,386.0456
一,233,48,378.1671
結局,233,48,378.1671
ほう,233,48,378.1671
御免,236,46,362.4102
要る,236,46,362.4102
先生,238,45,354.5317
怖い,238,45,354.5317
会社,238,45,354.5317
子,241,44,346.6532
何方,241,44,346.6532
九,241,44,346.6532
下さる,244,43,338.7747
風,244,43,338.7747
日,244,43,338.7747
付ける,247,42,330.8963
色んな,247,42,330.8963
等,247,42,330.8963
ビール,247,42,330.8963
私,251,41,323.0178
ずっと,251,41,323.0178
会,251,41,323.0178
悪い,251,41,323.0178
二人,251,41,323.0178
大体,251,41,323.0178
然も,251,41,323.0178
一人,258,40,315.1393
もっと,258,40,315.1393
さっき,258,40,315.1393
七,258,40,315.1393
様,258,40,315.1393
目,258,40,315.1393
枚,258,40,315.1393
トウキョウ,258,40,315.1393
高校,258,40,315.1393
通り,258,40,315.1393
カオ,268,39,307.2608
君,269,38,299.3823
日,269,38,299.3823
最後,269,38,299.3823
朝,269,38,299.3823
個,273,37,291.5038
最近,273,37,291.5038
なんて,273,37,291.5038
本,273,37,291.5038
早い,277,36,283.6254
大変,277,36,283.6254
乗る,277,36,283.6254
最初,277,36,283.6254
子供,277,36,283.6254
問題,277,36,283.6254
半,277,36,283.6254
性,277,36,283.6254
勿論,285,35,275.7469
増える,285,35,275.7469
彼奴,285,35,275.7469
二,288,34,267.8684
や,288,34,267.8684
向こう,288,34,267.8684
仕舞う,288,34,267.8684
易い,288,34,267.8684
頭,288,34,267.8684
キョウト,288,34,267.8684
辺,295,33,259.9899
終わる,295,33,259.9899
九,295,33,259.9899
会う,295,33,259.9899
さ,295,33,259.9899
其方,295,33,259.9899
六十,295,33,259.9899
奥,295,33,259.9899
世界,295,33,259.9899
せる,304,32,252.1114
覚える,304,32,252.1114
他,304,32,252.1114
願う,304,32,252.1114
関係,304,32,252.1114
婆,309,31,244.233
侭,309,31,244.233
五十,309,31,244.233
水,309,31,244.233
人間,309,31,244.233
こんな,314,30,236.3545
例えば,314,30,236.3545
欲しい,314,30,236.3545
どうぞ,314,30,236.3545
四十,314,30,236.3545
人,314,30,236.3545
可笑しい,314,30,236.3545
爺,314,30,236.3545
嫌,322,29,228.476
家,322,29,228.476
直ぐ,322,29,228.476
無理,322,29,228.476
まじ,322,29,228.476
売る,322,29,228.476
形,322,29,228.476
二千,322,29,228.476
生きる,322,29,228.476
旅行,322,29,228.476
試験,322,29,228.476
席,322,29,228.476
ツタヤ,322,29,228.476
や,335,28,220.5975
待つ,335,28,220.5975
生,335,28,220.5975
大きい,335,28,220.5975
次,335,28,220.5975
見える,335,28,220.5975
屋,335,28,220.5975
変,335,28,220.5975
為,335,28,220.5975
パン,335,28,220.5975
合う,335,28,220.5975
或る,335,28,220.5975
イメージ,335,28,220.5975
完全,335,28,220.5975
親父,335,28,220.5975
付く,350,27,212.719
昔,350,27,212.719
唯,350,27,212.719
読む,350,27,212.719
語,350,27,212.719
方,350,27,212.719
うわ,350,27,212.719
丁度,350,27,212.719
強い,350,27,212.719
死ぬ,350,27,212.719
ああ,350,27,212.719
近い,350,27,212.719
客,350,27,212.719
キロ,350,27,212.719
渡す,350,27,212.719
掛ける,365,26,204.8405
先ず,365,26,204.8405
難しい,365,26,204.8405
若し,365,26,204.8405
写真,365,26,204.8405
後ろ,365,26,204.8405
関する,365,26,204.8405
管理,365,26,204.8405
一杯,373,25,196.9621
過ぎる,373,25,196.9621
バス,373,25,196.9621
頼む,373,25,196.9621
酒,373,25,196.9621
起きる,373,25,196.9621
居る,373,25,196.9621
ナッツ,373,25,196.9621
受講,373,25,196.9621
あー,382,24,189.0836
今度,382,24,189.0836
おっ,382,24,189.0836
安い,382,24,189.0836
車,382,24,189.0836
目,382,24,189.0836
寝る,382,24,189.0836
為さる,382,24,189.0836
駅,382,24,189.0836
始める,382,24,189.0836
感,382,24,189.0836
九十,382,24,189.0836
丁目,382,24,189.0836
可愛い,395,23,181.2051
名前,395,23,181.2051
長い,395,23,181.2051
三,395,23,181.2051
うんと,395,23,181.2051
