word,rank,freq,pmw
うん,1,115108,47581.5889
だ,2,115059,47561.334
ね,3,62223,25720.7944
た,4,56273,23261.2742
て,5,54502,22529.2053
の,6,54036,22336.5773
そう,7,50673,20946.4316
の,8,39840,16468.4514
,9,39037,16136.5195
か,10,38219,15798.3871
で,11,37903,15667.7639
が,12,37723,15593.3582
は,13,36449,15066.7315
も,14,36116,14929.0811
に,15,35722,14766.2154
よ,16,34443,14237.5219
と,17,34431,14232.5615
てる,18,31973,13216.5109
って,19,30126,12453.0263
です,20,29750,12297.6011
何,21,29706,12279.4131
言う,22,28447,11758.9869
ない,23,26762,11062.4673
為る,24,26609,10999.2225
か,25,24713,10215.4829
から,26,22106,9137.841
ああ,27,20510,8478.1109
あっ,28,20163,8334.6733
無い,29,19788,8179.6615
はい,30,18554,7669.5695
あの,31,17072,7056.9629
で,32,16809,6948.248
良い,33,16754,6925.5129
けれど,34,16596,6860.2013
な,35,14974,6189.7237
其れ,36,14879,6150.454
有る,37,14795,6115.7314
を,38,14302,5911.9426
の,39,13747,5682.5251
ます,40,13085,5408.8777
もう,41,13061,5398.9569
此れ,42,12030,4972.7779
行く,43,11908,4922.3474
さ,44,11658,4819.0062
まあ,45,11225,4640.0192
遣る,46,11064,4573.4675
御,47,10500,4340.3298
思う,48,9740,4026.1726
成る,49,9386,3879.8415
来る,50,8709,3599.9936
一寸,51,8549,3533.8552
いや,52,8353,3452.8357
事,53,8163,3374.2964
さん,53,8163,3374.2964
えっ,55,7532,3113.4632
ちゃう,56,7306,3020.0428
と,57,7216,2982.84
彼れ,58,6993,2890.6597
みたい,59,6912,2857.1771
其の,60,6895,2850.1499
こう,61,6873,2841.0559
つう,62,6840,2827.4148
凄い,63,6639,2744.3285
人,64,6580,2719.94
一,65,6552,2708.3658
居る,66,6160,2546.3268
分かる,67,6041,2497.1364
ええ,68,5939,2454.9732
から,69,5924,2448.7727
,70,5810,2401.6492
見る,71,5420,2240.4369
本当,72,5250,2170.1649
私,73,5223,2159.0041
今,74,4983,2059.7965
ふん,75,4862,2009.7794
どう,76,4744,1961.0023
くらい,77,4557,1883.7031
時,78,4517,1867.1685
じゃん,79,4442,1836.1662
此の,80,4372,1807.2307
矢張り,81,4353,1799.3767
ん,82,4338,1793.1763
ちゃん,83,4266,1763.414
へえ,84,4137,1710.0899
違う,85,4079,1686.1148
れる,86,3902,1612.9492
方,87,3873,1600.9617
二,88,3849,1591.0409
食べる,89,3831,1583.6003
ば,90,3753,1551.3579
此処,91,3650,1508.7813
し,92,3558,1470.7518
後,93,3475,1436.4425
十,94,3367,1391.7991
感じ,95,3352,1385.5986
だけ,96,3288,1359.1433
その,97,3286,1358.3165
えーと,98,3264,1349.2225
其処,99,3195,1320.7004
たい,100,3193,1319.8736
出来る,101,3069,1268.6164
俺,102,3064,1266.5496
け,103,3048,1259.9357
ず,104,2927,1209.9186
出る,105,2898,1197.931
三,106,2892,1195.4508
多分,107,2890,1194.6241
入る,108,2817,1164.4485
もの,109,2802,1158.248
皆,110,2773,1146.2604
奴,111,2693,1113.1913
まで,112,2643,1092.523
ほら,113,2577,1065.2409
前,114,2568,1061.5207
結構,115,2418,999.5159
美味しい,116,2302,951.5656
何処,117,2294,948.2587
全然,118,2283,943.7117
貰う,119,2282,943.2983
話,120,2276,940.8182
彼の,121,2230,921.8034
たり,122,2226,920.1499
取る,123,2208,912.7094
大丈夫,124,2203,910.6425
使う,125,2178,900.3084
持つ,126,2166,895.348
様,127,2158,892.0411
そんな,128,2130,880.4669
知る,129,2124,877.9867
此方,130,2109,871.7862
入れる,131,2095,865.9991
年,132,2093,865.1724
訳,133,2087,862.6922
所,134,2082,860.6254
書く,135,2071,856.0784
作る,136,2041,843.6774
自分,137,2029,838.7171
所,138,1959,809.7815
駄目,139,1955,808.1281
呉れる,140,1951,806.4746
時,141,1948,805.2345
五,142,1937,800.6875
未だ,143,1905,787.4598
はあ,144,1839,760.1778
買う,145,1776,734.1358
や,146,1765,729.5888
