word,rank,freq,pmw
うん,1,4893,51655.3355
だ,2,4585,48403.7836
て,3,2454,25906.8452
ね,4,2353,24840.5895
の,5,2176,22972.0029
そう,6,2146,22655.2933
が,7,1729,18253.0299
た,8,1702,17967.9912
に,9,1645,17366.243
の,10,1639,17302.9011
か,11,1621,17112.8753
と,12,1604,16933.4065
は,13,1546,16321.1013
で,14,1503,15867.1509
も,15,1472,15539.8843
言う,16,1257,13270.1322
為る,17,1242,13111.7774
って,18,1173,12383.3453
,19,1128,11908.2809
てる,20,1090,11507.1154
よ,21,1070,11295.9757
です,22,1069,11285.4187
何,23,1048,11063.722
はい,24,1029,10863.1392
か,25,989,10440.8598
ない,26,954,10071.3652
から,27,834,8804.5268
を,28,797,8413.9183
で,29,775,8181.6646
あの,30,756,7981.0819
良い,31,745,7864.955
あっ,32,687,7252.6498
無い,33,669,7062.624
けれど,33,669,7062.624
ます,35,616,6503.1038
有る,36,583,6154.7232
ああ,37,521,5500.19
まあ,38,505,5331.2782
此れ,39,498,5257.3793
遣る,40,490,5172.9234
其れ,41,486,5130.6955
な,42,467,4930.1127
もう,43,444,4687.3021
思う,44,436,4602.8462
一寸,45,432,4560.6182
成る,46,421,4444.4914
さ,47,420,4433.9344
来る,48,401,4233.3516
の,49,385,4064.4398
人,50,368,3884.9711
こう,51,360,3800.5152
と,52,352,3716.0593
御,53,346,3652.7174
さん,54,341,3599.9324
行く,55,336,3547.1475
事,56,330,3483.8056
其の,57,326,3441.5776
ちゃう,58,286,3019.2982
みたい,58,286,3019.2982
此の,60,269,2839.8294
凄い,61,258,2723.7025
私,62,248,2618.1327
居る,63,244,2575.9047
分かる,64,239,2523.1198
つう,65,236,2491.4488
いや,66,235,2480.8919
一,67,231,2438.6639
えーと,68,230,2428.1069
本当,69,225,2375.322
感じ,70,211,2227.5242
方,71,210,2216.9672
今,72,209,2206.4102
から,73,207,2185.2962
矢張り,74,196,2069.1694
見る,75,186,1963.5995
くらい,76,179,1889.7006
ば,77,177,1868.5866
後,77,177,1868.5866
彼れ,79,171,1805.2447
どう,80,168,1773.5738
その,81,167,1763.0168
其処,82,160,1689.1179
此処,83,157,1657.4469
貰う,83,157,1657.4469
大丈夫,85,154,1625.7759
時,86,152,1604.662
じゃん,87,148,1562.434
皆,87,148,1562.434
,89,143,1509.6491
出来る,89,143,1509.6491
達,89,143,1509.6491
し,92,141,1488.5351
十,93,139,1467.4211
れる,94,136,1435.7502
自分,95,133,1404.0792
物,96,131,1382.9652
だけ,97,130,1372.4083
二,98,129,1361.8513
日,98,129,1361.8513
出る,100,127,1340.7373
たり,101,126,1330.1803
まで,102,123,1298.5094
えっ,103,122,1287.9524
たい,103,122,1287.9524
所,105,119,1256.2814
話,106,118,1245.7244
書く,107,117,1235.1674
違う,108,116,1224.6104
多分,108,116,1224.6104
月,110,115,1214.0535
此方,111,113,1192.9395
様,112,108,1140.1546
ず,113,107,1129.5976
呉れる,113,107,1129.5976
取る,115,106,1119.0406
ふん,116,105,1108.4836
作る,117,104,1097.9266
持つ,118,103,1087.3696
ん,119,100,1055.6987
三,119,100,1055.6987
入る,119,100,1055.6987
使う,122,96,1013.4707
へえ,123,95,1002.9137
下さる,123,95,1002.9137
ええ,125,93,981.7998
入れる,125,93,981.7998
訳,127,92,971.2428
先生,127,92,971.2428
ちゃん,129,91,960.6858
何,129,91,960.6858
け,131,88,929.0148
結構,132,86,907.9008
駄目,132,86,907.9008
時,132,86,907.9008
的,135,83,876.2299
とく,135,83,876.2299
雲,135,83,876.2299
全然,138,82,865.6729
二十,138,82,865.6729
回,140,81,855.1159
成る程,141,80,844.5589
有り難う,142,79,834.0019
食べる,143,78,823.445
買う,144,74,781.217
時間,145,73,770.66
てく,145,73,770.66
御免,145,73,770.66
そんな,148,72,760.103
何処,149,71,749.546
出す,150,70,738.9891
四,151,67,707.3181
もの,152,66,696.7611
彼の,152,66,696.7611
知る,152,66,696.7611
頂く,152,66,696.7611
奴,156,64,675.6471
前,156,64,675.6471
俺,158,63,665.0902
そんな,158,63,665.0902
そう,158,63,665.0902
会,161,62,654.5332
聞く,162,60,633.4192
ほら,163,59,622.8622
未だ,163,59,622.8622
気,163,59,622.8622
余り,163,59,622.8622
又,167,58,612.3052
はあ,168,57,601.7482
御座る,168,57,601.7482
つ,170,56,591.1913
考える,170,56,591.1913
万,170,56,591.1913
年,173,55,580.6343
全部,173,55,580.6343
面白い,173,55,580.6343
色んな,173,55,580.6343
六,177,54,570.0773
八,177,54,570.0773
日,177,54,570.0773
所,180,53,559.5203
今日,180,53,559.5203
一緒,180,53,559.5203
済む,180,53,559.5203
一人,180,53,559.5203
五,185,52,548.9633
誰,185,52,548.9633
一番,185,52,548.9633
仕事,185,52,548.9633
ホテル,185,52,548.9633
若し,190,51,538.4063
子,191,50,527.8493
上げる,191,50,527.8493
色,191,50,527.8493
中,194,49,517.2923
知れる,194,49,517.2923
変わる,194,49,517.2923
風,194,49,517.2923
普通,198,48,506.7354
待つ,198,48,506.7354
例えば,198,48,506.7354
円,201,47,496.1784
別,201,47,496.1784
金,201,47,496.1784
願う,201,47,496.1784
良く,205,46,485.6214
上,205,46,485.6214
色々,205,46,485.6214
一応,205,46,485.6214
られる,209,45,475.0644
置く,209,45,475.0644
何方,209,45,475.0644
二人,209,45,475.0644
方,213,44,464.5074
大学,213,44,464.5074
人,215,42,443.3934
大変,215,42,443.3934
七,215,42,443.3934
唯,215,42,443.3934
日,219,41,432.8365
奇麗,219,41,432.8365
会社,219,41,432.8365
美味しい,222,40,422.2795
おお,222,40,422.2795
何時,222,40,422.2795
好き,222,40,422.2795
生,222,40,422.2795
最初,222,40,422.2795
いえ,222,40,422.2795
付く,229,39,411.7225
終わる,229,39,411.7225
必要,229,39,411.7225
こんな,232,38,401.1655
先ず,232,38,401.1655
枚,232,38,401.1655
確か,235,37,390.6085
辺,235,37,390.6085
オーケー,235,37,390.6085
ぽい,235,37,390.6085
去年,235,37,390.6085
ヨーガ,235,37,390.6085
家,241,36,380.0515
さっき,241,36,380.0515
直ぐ,241,36,380.0515
彼処,244,35,369.4945
一,244,35,369.4945
当日,244,35,369.4945
しか,247,34,358.9375
せる,247,34,358.9375
九,247,34,358.9375
七,247,34,358.9375
全員,247,34,358.9375
役員,247,34,358.9375
ながら,253,33,348.3806
返る,254,32,337.8236
一杯,254,32,337.8236
欲しい,254,32,337.8236
難しい,254,32,337.8236
売る,254,32,337.8236
話す,254,32,337.8236
形,254,32,337.8236
分,254,32,337.8236
細い,254,32,337.8236
大きい,263,31,327.2666
同じ,263,31,327.2666
他,263,31,327.2666
今度,263,31,327.2666
車,263,31,327.2666
其方,263,31,327.2666
取り敢えず,263,31,327.2666
んー,270,30,316.7096
あれ,270,30,316.7096
下,270,30,316.7096
掛かる,270,30,316.7096
さ,270,30,316.7096
メール,270,30,316.7096
ちゃんと,276,29,306.1526
ずっと,276,29,306.1526
高い,276,29,306.1526
もっと,276,29,306.1526
逆,276,29,306.1526
五十,276,29,306.1526
為さる,276,29,306.1526
親,276,29,306.1526
連絡,276,29,306.1526
多い,285,28,295.5956
付ける,285,28,295.5956
結局,285,28,295.5956
安い,285,28,295.5956
九,285,28,295.5956
合う,285,28,295.5956
キョウト,285,28,295.5956
アロマ,285,28,295.5956
意味,293,27,285.0386
次,293,27,285.0386
どうぞ,293,27,285.0386
うんと,293,27,285.0386
個,297,26,274.4817
大体,297,26,274.4817
今年,297,26,274.4817
夜,297,26,274.4817
動く,297,26,274.4817
張る,297,26,274.4817
日程,297,26,274.4817
搬入,297,26,274.4817
乗る,305,25,263.9247
屋,305,25,263.9247
勿論,305,25,263.9247
ずつ,305,25,263.9247
白,305,25,263.9247
日本,310,24,253.3677
早い,310,24,253.3677
旨い,310,24,253.3677
子供,310,24,253.3677
昨日,310,24,253.3677
急度,310,24,253.3677
為,310,24,253.3677
少し,310,24,253.3677
基本,310,24,253.3677
中,310,24,253.3677
委員,310,24,253.3677
社会,310,24,253.3677
代表,310,24,253.3677
わ,323,23,242.8107
より,323,23,242.8107
方,323,23,242.8107
無理,323,23,242.8107
何の,323,23,242.8107
第,323,23,242.8107
必ず,323,23,242.8107
素敵,323,23,242.8107
ロー,323,23,242.8107
