word,rank,freq,pmw
うん,1,15351,51248.239
だ,2,14641,48877.9537
ね,3,8214,27421.864
の,4,6912,23075.2282
そう,5,6826,22788.1232
た,6,6670,22267.3281
て,7,6551,21870.055
の,8,4875,16274.8463
か,9,4851,16194.7239
も,10,4780,15957.6954
で,11,4753,15867.5578
が,12,4687,15647.2214
に,13,4531,15126.4263
よ,14,4367,14578.9238
と,15,4320,14422.0176
,16,4271,14258.4345
は,17,4026,13440.5192
って,18,3926,13106.6762
です,19,3868,12913.0473
てる,20,3784,12632.6191
何,21,3605,12035.0402
言う,22,3487,11641.1054
ない,23,3365,11233.817
為る,24,3353,11193.7558
か,25,3236,10803.1595
ああ,26,2687,8970.3614
あっ,27,2600,8679.918
無い,28,2413,8055.6316
から,29,2394,7992.2014
けれど,30,2138,7137.5633
はい,31,2072,6917.227
あの,32,2012,6716.9212
良い,33,1926,6429.8162
で,34,1923,6419.8009
有る,35,1914,6389.755
を,36,1902,6349.6939
な,37,1867,6232.8488
ます,38,1781,5945.7438
もう,39,1510,5041.0293
行く,40,1481,4944.2148
其れ,41,1462,4880.7847
の,42,1461,4877.4462
さ,43,1441,4810.6776
思う,44,1362,4546.9417
まあ,45,1348,4500.2036
此れ,46,1307,4363.328
遣る,47,1280,4273.1904
成る,48,1230,4106.2689
御,49,1173,3915.9784
さん,50,1087,3628.8734
凄い,51,1049,3502.0131
いや,52,1024,3418.5523
一寸,53,1022,3411.8755
来る,54,977,3261.6461
事,55,967,3228.2618
みたい,55,967,3228.2618
と,57,918,3064.6787
人,58,895,2987.8949
其の,59,892,2977.8796
居る,60,848,2830.9886
彼れ,61,846,2824.3118
一,62,841,2807.6196
本当,62,841,2807.6196
分かる,64,803,2680.7593
ちゃう,65,789,2634.0213
つう,66,788,2630.6828
こう,67,753,2513.8378
えっ,68,716,2390.3159
ふん,69,710,2370.2853
から,70,673,2246.7634
,71,667,2226.7328
私,72,648,2163.3026
へえ,73,643,2146.6105
じゃん,74,624,2083.1803
くらい,75,611,2039.7807
見る,76,604,2016.4117
此の,77,571,1906.2435
どう,78,568,1896.2282
違う,79,565,1886.213
今,80,551,1839.4749
ん,81,539,1799.4138
矢張り,82,531,1772.7063
ちゃん,83,528,1762.691
れる,84,517,1725.9683
ええ,85,514,1715.953
時,86,512,1709.2762
二,87,487,1625.8154
多分,88,471,1572.4005
十,89,468,1562.3852
ば,90,467,1559.0468
し,91,449,1498.9551
方,92,448,1495.6166
だけ,93,435,1452.2171
其処,94,434,1448.8786
後,95,432,1442.2018
えーと,96,425,1418.8328
俺,97,414,1382.11
感じ,98,407,1358.741
その,99,404,1348.7257
たい,100,401,1338.7104
ず,100,401,1338.7104
食べる,102,388,1295.3108
三,103,385,1285.2956
出来る,104,383,1278.6187
此処,105,378,1261.9265
け,106,375,1251.9113
出る,107,363,1211.8501
もの,108,358,1195.1579
まで,109,350,1168.4505
奴,110,345,1151.7584
前,110,345,1151.7584
大丈夫,112,341,1138.4046
入る,113,329,1098.3435
話,114,320,1068.2976
美味しい,115,319,1064.9592
作る,116,312,1041.5902
彼の,117,308,1028.2364
貰う,118,299,998.1906
ほら,119,296,988.1753
様,120,292,974.8216
結構,121,283,944.7757
