word,rank,freq,pmw
うん,1,13785,53135.7206
だ,2,10893,41988.2049
の,3,6042,23289.5193
て,4,6015,23185.445
ね,5,6014,23181.5904
の,6,4903,18899.125
です,7,4892,18856.7244
そう,8,4890,18849.0151
,9,4801,18505.9554
は,10,4765,18367.1896
た,11,4567,17603.978
と,12,4547,17526.8859
が,13,4257,16409.0506
に,14,4144,15973.4803
で,15,3983,15352.889
も,16,3832,14770.8438
か,17,3766,14516.4399
言う,18,3675,14165.6709
為る,19,3543,13656.8631
か,20,3323,12808.8502
はい,21,3116,12010.9471
って,22,2748,10592.4527
てる,23,2597,10010.4074
よ,24,2544,9806.1134
ない,25,2512,9682.7661
ます,26,2395,9231.7774
あの,27,2357,9085.3024
を,28,2325,8961.9551
何,29,2203,8491.6933
まあ,30,2092,8063.8322
で,31,1959,7551.1699
から,32,1951,7520.333
けれど,33,1942,7485.6416
ああ,34,1912,7370.0035
無い,35,1833,7065.4897
良い,36,1828,7046.2167
其れ,37,1752,6753.2668
有る,38,1702,6560.5366
あっ,39,1634,6298.4235
な,40,1576,6074.8564
事,41,1464,5643.1407
思う,42,1359,5238.4073
遣る,43,1324,5103.4961
一寸,44,1234,4756.5817
此れ,45,1220,4702.6173
えーと,46,1089,4197.6641
成る,47,1035,3989.5155
さん,48,1015,3912.4234
もう,49,1013,3904.7142
と,50,965,3719.6932
其の,51,908,3499.9807
一,52,871,3357.3604
行く,53,848,3268.7045
来る,54,797,3072.1196
から,55,774,2983.4637
つう,56,764,2944.9177
どう,57,747,2879.3894
人,58,689,2655.8224
えー,59,687,2648.1132
みたい,60,667,2571.0211
こう,61,616,2374.4363
十,62,612,2359.0178
居る,63,611,2355.1632
,64,607,2339.7448
御,65,605,2332.0356
いや,66,603,2324.3264
分かる,67,578,2227.9613
見る,68,574,2212.5429
此の,69,564,2173.9968
彼れ,70,550,2120.0324
方,71,546,2104.614
今,72,527,2031.3765
ちゃう,73,524,2019.8127
ば,74,504,1942.7206
の,75,490,1888.7561
時,76,467,1800.1002
二,76,467,1800.1002
後,78,466,1796.2456
矢張り,79,455,1753.845
ふん,80,448,1726.8627
その,81,440,1696.0259
ず,82,438,1688.3167
ん,83,433,1669.0437
感じ,83,433,1669.0437
えっ,85,431,1661.3345
出来る,86,423,1630.4976
くらい,87,415,1599.6608
多分,88,408,1572.6786
れる,89,406,1564.9694
月,90,402,1549.5509
たい,91,399,1537.9871
三,92,394,1518.7141
凄い,93,386,1487.8773
私,94,367,1414.6398
様,95,354,1364.5299
さ,96,351,1352.9661
本当,97,349,1345.2569
ええ,98,345,1329.8385
し,98,345,1329.8385
だけ,100,338,1302.8563
皆,101,333,1283.5832
話,102,332,1279.7286
此処,103,329,1268.1648
違う,104,328,1264.3102
的,105,321,1237.328
貰う,106,320,1233.4734
出る,107,316,1218.055
其処,108,311,1198.7819
使う,109,305,1175.6543
二十,109,305,1175.6543
や,111,298,1148.6721
先生,112,297,1144.8175
け,113,294,1133.2537
まで,114,291,1121.6899
書く,115,286,1102.4168
時,115,286,1102.4168
所,117,275,1060.0162
会,118,273,1052.307
入る,119,261,1006.0517
物,120,259,998.3425
俺,121,258,994.4879
成る程,122,253,975.2149
奴,123,252,971.3603
前,124,250,963.6511
取る,125,245,944.3781
時間,126,244,940.5235
結構,127,241,928.9596
作る,128,240,925.105
んー,129,230,886.559
知れる,130,228,878.8498
考える,131,222,855.7222
入れる,132,221,851.8676
五,133,220,848.013
四,133,220,848.013
僕,133,220,848.013
頂く,133,220,848.013
たり,137,217,836.4491
出す,137,217,836.4491
とる,139,215,828.7399
持つ,140,214,824.8853
回,141,208,801.7577
大丈夫,142,206,794.0485
自分,143,203,782.4847
聞く,144,201,774.7755
何処,145,198,763.2117
風,146,195,751.6478
とく,147,194,747.7932
つ,148,193,743.9386
へえ,149,190,732.3748
気,150,188,724.6656
所,151,185,713.1018
一応,152,182,701.538
訳,153,179,689.9742
日,154,178,686.1196
んー,155,177,682.265
別,156,173,666.8465
下さる,157,172,662.9919
人,158,171,659.1373
達,159,170,655.2827
日,159,170,655.2827
年,161,169,651.4281
中,161,169,651.4281
未だ,163,167,643.7189
が,164,164,632.1551
委員,165,162,624.4459
駄目,166,161,620.5913
はあ,166,161,620.5913
そんな,168,158,609.0275
呉れる,169,157,605.1729
六,170,155,597.4637
八,171,153,589.7545
此方,172,152,585.8999
又,172,152,585.8999
例えば,174,149,574.336
知る,175,148,570.4814
九,176,147,566.6268
てく,177,146,562.7722
済む,178,145,558.9176
今日,179,144,555.063
研究,179,144,555.063
何,181,142,547.3538
誰,182,141,543.4992
もの,183,140,539.6446
全部,184,139,535.79
日,184,139,535.79
彼の,186,138,531.9354
辺,187,137,528.0808
内,188,135,520.3716
全然,189,134,516.517
方,189,134,516.517
余り,191,132,508.8078
そんな,192,131,504.9532
,192,131,504.9532
確か,194,130,501.0986
オーケー,194,130,501.0986
つく,194,130,501.0986
そう,197,128,493.3894
御,198,127,489.5347
方,199,126,485.6801
じゃん,200,124,477.9709
終わる,201,123,474.1163
他,201,123,474.1163
置く,203,122,470.2617
有り難う,204,121,466.4071
次,204,121,466.4071
られる,206,120,462.5525
御座る,207,119,458.6979
唯,207,119,458.6979
願う,207,119,458.6979
何時,210,118,454.8433
しか,211,116,447.1341
一番,211,116,447.1341
問題,213,114,439.4249
生,214,112,431.7157
円,215,110,424.0065
ちゃんと,215,110,424.0065
多い,215,110,424.0065
会議,215,110,424.0065
食べる,219,109,420.1519
一人,219,109,420.1519
物,219,109,420.1519
一,219,109,420.1519
せる,223,107,412.4427
最初,224,104,400.8788
取り敢えず,224,104,400.8788
仕舞う,224,104,400.8788
居る,224,104,400.8788
御免,228,103,397.0242
色々,228,103,397.0242
買う,230,101,389.315
日本,230,101,389.315
面白い,232,100,385.4604
先ず,233,99,381.6058
大事,233,99,381.6058
室,233,99,381.6058
大体,236,98,377.7512
欲しい,236,98,377.7512
語,236,98,377.7512
あれ,239,97,373.8966
個,239,97,373.8966
付ける,239,97,373.8966
者,239,97,373.8966
決める,243,96,370.042
最後,244,95,366.1874
良く,245,94,362.3328
七,245,94,362.3328
必要,245,94,362.3328
普通,248,93,358.4782
結局,248,93,358.4782
もっと,248,93,358.4782
あー,248,93,358.4782
難しい,248,93,358.4782
関係,248,93,358.4782
授業,254,92,354.6236
早い,255,91,350.769
等,256,90,346.9144
データ,256,90,346.9144
上げる,258,89,343.0598
万,258,89,343.0598
ながら,258,89,343.0598
先,258,89,343.0598
子,262,88,339.2052
待つ,262,88,339.2052
付く,262,88,339.2052
学校,262,88,339.2052
返る,266,86,331.496
変わる,266,86,331.496
今年,266,86,331.496
さっき,269,85,327.6414
言葉,270,84,323.7868
決まる,270,84,323.7868
関する,270,84,323.7868
ちゃん,273,83,319.9322
大変,273,83,319.9322
今回,273,83,319.9322
より,276,82,316.0776
子供,276,82,316.0776
