word,rank,freq,pmw
だ,1,3438,48678.9568
うん,2,2534,35879.138
ね,3,1916,27128.8194
た,4,1673,23688.1602
て,5,1581,22385.5237
そう,6,1526,21606.7737
の,7,1474,20870.5009
か,8,1344,19029.819
が,9,1241,17571.4326
の,10,1213,17174.9781
何,11,1172,16594.4553
も,12,1122,15886.5007
よ,13,1086,15376.7734
で,14,1081,15305.978
てる,15,1043,14767.9325
に,16,1010,14300.6825
,17,985,13946.7052
は,18,934,13224.5915
って,19,887,12559.1142
と,20,849,12021.0687
言う,21,847,11992.7505
か,22,807,11426.3869
ない,23,801,11341.4323
あっ,24,744,10534.3641
為る,25,735,10406.9323
です,26,701,9925.5232
ああ,27,649,9189.2504
無い,28,602,8523.7731
良い,29,512,7249.4549
な,30,511,7235.2958
から,31,502,7107.864
けれど,32,453,6414.0685
もう,33,434,6145.0457
此れ,34,432,6116.7276
有る,35,425,6017.6139
行く,36,404,5720.273
の,37,387,5479.5684
御,38,386,5465.4093
を,39,381,5394.6139
で,40,367,5196.3866
あの,41,357,5054.7957
其れ,42,348,4927.3639
はい,43,335,4743.2957
来る,44,327,4630.0229
一寸,45,304,4304.3638
ます,46,300,4247.7275
居る,47,283,4007.0229
さ,48,277,3922.0684
遣る,49,274,3879.5911
成る,50,269,3808.7956
凄い,51,265,3752.1593
思う,52,251,3553.932
彼れ,53,238,3369.8638
ちゃう,54,230,3256.5911
いや,55,225,3185.7956
えっ,56,224,3171.6365
さん,57,221,3129.1592
ちゃん,58,218,3086.682
みたい,59,217,3072.5229
事,60,216,3058.3638
本当,61,213,3015.8865
まあ,62,206,2916.7729
此の,63,195,2761.0229
こう,64,194,2746.8638
と,65,187,2647.7501
見る,66,185,2619.4319
ふん,66,185,2619.4319
私,68,184,2605.2728
人,69,183,2591.1138
此処,70,182,2576.9547
其の,71,179,2534.4774
へえ,71,179,2534.4774
分かる,73,173,2449.5228
から,74,165,2336.2501
つう,75,155,2194.6592
今,76,145,2053.0683
,77,136,1925.6365
一,78,135,1911.4774
違う,79,132,1869.0001
たい,80,128,1812.3637
此方,80,128,1812.3637
矢張り,82,126,1784.0455
くらい,83,123,1741.5683
其処,84,121,1713.2501
どう,85,120,1699.091
感じ,86,117,1656.6137
ええ,87,113,1599.9773
れる,87,113,1599.9773
方,87,113,1599.9773
ば,87,113,1599.9773
し,91,112,1585.8183
出る,92,109,1543.341
食べる,93,108,1529.1819
ほら,94,107,1515.0228
彼の,95,105,1486.7046
時,96,97,1373.4319
じゃん,97,96,1359.2728
だけ,97,96,1359.2728
入る,97,96,1359.2728
結構,100,93,1316.7955
多分,101,91,1288.4773
ん,102,88,1246.0001
持つ,103,86,1217.6819
全然,104,85,1203.5228
何処,105,83,1175.2046
はあ,106,79,1118.5682
皆,107,78,1104.4091
知る,107,78,1104.4091
自分,107,78,1104.4091
もの,110,75,1061.9319
取る,111,74,1047.7728
奴,112,72,1019.4546
後,113,71,1005.2955
け,113,71,1005.2955
大丈夫,113,71,1005.2955
的,116,69,976.9773
気,117,67,948.6591
子,117,67,948.6591
上,117,67,948.6591
訳,120,66,934.5
余り,120,66,934.5
たり,122,64,906.1819
所,122,64,906.1819
様,124,63,892.0228
一杯,124,63,892.0228
可愛い,124,63,892.0228
,124,63,892.0228
駄目,128,62,877.8637
家,128,62,877.8637
そう,128,62,877.8637
達,131,61,863.7046
未だ,132,60,849.5455
奇麗,133,59,835.3864
そんな,134,58,821.2273
ず,135,57,807.0682
前,135,57,807.0682
回,135,57,807.0682
おお,135,57,807.0682
まで,139,56,792.9091
彼処,139,56,792.9091
君,139,56,792.9091
話,142,55,778.75
呉れる,143,54,764.5909
買う,143,54,764.5909
確か,143,54,764.5909
その,146,53,750.4319
出来る,146,53,750.4319
貰う,146,53,750.4319
返る,146,53,750.4319
中,150,52,736.2728
鳥,150,52,736.2728
三,152,51,722.1137
所,153,49,693.7955
百,153,49,693.7955
誰,155,48,679.6364
木,155,48,679.6364
又,157,47,665.4773
止める,157,47,665.4773
さっき,157,47,665.4773
小さい,157,47,665.4773
書く,161,46,651.3182
成る程,161,46,651.3182
水,161,46,651.3182
今日,164,45,637.1591
顔,164,45,637.1591
二,166,44,623.0
俺,166,44,623.0
聞く,166,44,623.0
あれ,166,44,623.0
嫌,166,44,623.0
ママ,166,44,623.0
頑張る,166,44,623.0
えーと,173,43,608.8409
知れる,173,43,608.8409
辺,173,43,608.8409
意味,173,43,608.8409
あら,173,43,608.8409
歩く,173,43,608.8409
使う,179,42,594.6818
年,179,42,594.6818
作る,179,42,594.6818
物,179,42,594.6818
怖い,179,42,594.6818
見える,184,41,580.5228
花,184,41,580.5228
何,186,40,566.3637
別,186,40,566.3637
分,186,40,566.3637
どうぞ,186,40,566.3637
茶,186,40,566.3637
落ちる,186,40,566.3637
多い,192,39,552.2046
