word,rank,freq,pmw
だ,1,3985,49988.7102
うん,2,3479,43641.3357
ね,3,1889,23696.0285
た,4,1886,23658.3958
の,5,1841,23093.906
て,6,1826,22905.7427
そう,7,1697,21287.5386
か,8,1391,17449.0078
は,9,1291,16194.5859
,10,1284,16106.7764
で,11,1266,15880.9805
の,12,1239,15542.2866
と,13,1182,14827.2661
が,14,1162,14576.3817
よ,15,1136,14250.2321
に,16,1105,13861.3613
何,17,1094,13723.3749
も,18,1091,13685.7422
です,19,1030,12920.5449
か,20,1006,12619.4837
って,21,1000,12544.2184
てる,22,982,12318.4224
ない,23,963,12080.0823
為る,24,876,10988.7353
ああ,25,871,10926.0142
言う,26,848,10637.4972
無い,27,712,8931.4835
良い,28,704,8831.1297
から,29,699,8768.4086
あっ,30,663,8316.8168
あの,31,589,7388.5446
けれど,32,563,7062.3949
な,33,531,6660.98
で,34,523,6560.6262
まあ,35,493,6184.2997
を,36,490,6146.667
其れ,37,488,6121.5786
有る,38,487,6109.0343
はい,39,483,6058.8575
さ,40,479,6008.6806
遣る,41,467,5858.15
もう,42,449,5632.354
えっ,43,363,4553.5513
ます,44,346,4340.2996
思う,45,344,4315.2111
一寸,46,327,4101.9594
成る,47,319,4001.6057
彼れ,47,319,4001.6057
の,49,316,3963.973
つう,50,308,3863.6193
行く,51,307,3851.075
俺,52,297,3725.6329
みたい,53,295,3700.5444
事,54,294,3688.0002
いや,55,276,3462.2043
来る,56,262,3286.5852
こう,57,254,3186.2315
分かる,58,250,3136.0546
此れ,59,246,3085.8777
一,60,240,3010.6124
見る,61,238,2985.524
と,62,222,2784.8165
多分,63,219,2747.1838
ば,64,217,2722.0954
其の,65,205,2571.5648
から,66,199,2496.2995
人,67,192,2408.4899
どう,68,191,2395.9457
さん,69,181,2270.5035
,70,177,2220.3267
ちゃう,71,176,2207.7824
居る,72,170,2132.5171
れる,73,162,2032.1634
二,74,151,1894.177
出来る,74,151,1894.177
御,76,149,1869.0885
私,76,149,1869.0885
感じ,76,149,1869.0885
後,79,143,1793.8232
本当,80,142,1781.279
け,80,142,1781.279
方,82,141,1768.7348
その,82,141,1768.7348
くらい,84,140,1756.1906
時,84,140,1756.1906
じゃん,86,135,1693.4695
し,87,134,1680.9253
凄い,88,133,1668.381
今,88,133,1668.381
だけ,90,130,1630.7484
えーと,91,125,1568.0273
奴,91,125,1568.0273
違う,93,124,1555.4831
ちゃん,94,121,1517.8504
此の,95,116,1455.1293
矢張り,95,116,1455.1293
ん,97,115,1442.5851
たい,98,113,1417.4967
其処,99,109,1367.3198
待つ,100,106,1329.6871
取る,101,101,1266.9661
此処,102,100,1254.4218
結構,103,99,1241.8776
年,103,99,1241.8776
話,105,97,1216.7892
オーケー,105,97,1216.7892
貰う,107,96,1204.245
おお,107,96,1204.245
三,109,95,1191.7007
十,110,92,1154.0681
もの,110,92,1154.0681
呉れる,112,91,1141.5239
成る程,113,88,1103.8912
出る,114,86,1078.8028
四,114,86,1078.8028
的,116,85,1066.2586
生,117,84,1053.7143
ふん,118,83,1041.1701
出す,118,83,1041.1701
訳,120,82,1028.6259
大丈夫,121,81,1016.0817
五,122,80,1003.5375
ええ,123,79,990.9933
知る,123,79,990.9933
へえ,125,78,978.449
入る,126,76,953.3606
皆,126,76,953.3606
まで,128,75,940.8164
全然,128,75,940.8164
彼の,130,74,928.2722
使う,131,72,903.1837
自分,131,72,903.1837
別,131,72,903.1837
何処,134,71,890.6395
普通,135,70,878.0953
