word,rank,freq,pmw
だ,1,3881,49651.3785
うん,2,2782,35591.3772
ね,3,2048,26200.9851
た,4,1979,25318.2371
の,5,1762,22542.0585
て,6,1603,20507.9
そう,7,1409,18025.9707
の,8,1396,17859.6559
に,9,1355,17335.1244
,10,1257,16081.3663
よ,11,1240,15863.8777
が,12,1195,15288.1725
で,13,1189,15211.4118
てる,14,1182,15121.8576
か,15,1153,14750.8476
も,16,1116,14277.4899
は,17,1100,14072.7947
と,18,963,12320.0921
って,19,950,12153.7773
ない,20,917,11731.5934
何,21,875,11194.2685
か,22,804,10285.9336
無い,23,765,9786.9891
から,24,763,9761.4022
為る,25,733,9377.5987
です,26,719,9198.4904
ああ,26,719,9198.4904
言う,28,676,8648.372
な,29,639,8175.0144
あっ,30,623,7970.3192
あの,31,567,7253.886
で,32,562,7189.9188
けれど,33,541,6921.2563
有る,34,538,6882.876
行く,35,524,6703.7677
さ,36,523,6690.9742
の,37,507,6486.279
良い,38,458,5859.4
もう,39,428,5475.5965
其れ,40,405,5181.3472
はい,41,345,4413.7402
を,42,323,4132.2843
来る,43,313,4004.3498
いや,44,301,3850.8284
まあ,45,291,3722.8939
思う,46,289,3697.307
彼れ,47,286,3658.9266
御,48,280,3582.1659
成る,48,280,3582.1659
,48,280,3582.1659
えっ,51,274,3505.4052
ちゃう,52,265,3390.2642
から,53,260,3326.2969
つう,54,242,3096.0148
遣る,55,239,3057.6345
一,56,235,3006.4607
と,57,233,2980.8738
さん,58,231,2955.2869
人,59,226,2891.3196
此れ,60,215,2750.5917
居る,61,214,2737.7982
ます,62,210,2686.6244
くらい,63,208,2661.0375
此処,64,207,2648.2441
一寸,65,206,2635.4506
分かる,66,202,2584.2769
じゃん,67,192,2456.3424
見る,68,191,2443.5489
其の,69,190,2430.7555
事,70,187,2392.3751
みたい,71,181,2315.6144
こう,72,165,2110.9192
ちゃん,73,164,2098.1258
凄い,74,163,2085.3323
其処,74,163,2085.3323
違う,76,158,2021.3651
此の,77,156,1995.7782
方,78,155,1982.9847
本当,79,148,1893.4306
二,79,148,1893.4306
へえ,81,146,1867.8437
食べる,81,146,1867.8437
ええ,83,143,1829.4633
ふん,84,140,1791.083
し,85,136,1739.9092
け,86,135,1727.1157
入る,86,135,1727.1157
時,88,134,1714.3223
彼の,89,129,1650.355
ほら,90,125,1599.1812
所,91,124,1586.3878
