word,rank,freq,pmw
うん,1,502,42796.2489
ます,2,427,36402.387
だ,3,421,35890.8781
た,4,317,27024.7229
ね,5,269,22932.6513
はい,6,260,22165.3879
です,7,249,21227.6215
の,8,214,18243.8193
て,9,199,16965.0469
御,9,199,16965.0469
の,11,188,16027.2805
為る,11,188,16027.2805
が,13,176,15004.2626
で,14,163,13895.9932
か,15,156,13299.2327
に,15,156,13299.2327
ない,17,150,12787.7238
よ,18,145,12361.4663
てる,19,142,12105.7118
か,19,142,12105.7118
も,21,135,11508.9514
と,22,133,11338.4484
は,23,126,10741.688
,24,120,10230.179
失礼,25,119,10144.9275
って,26,115,9803.9216
そう,27,110,9377.6641
何,28,109,9292.4126
言う,29,108,9207.1611
あっ,30,98,8354.6462
致す,31,95,8098.8917
此方,32,81,6905.3708
から,33,77,6564.3649
良い,34,71,6052.8559
,34,71,6052.8559
で,36,69,5882.3529
御座る,37,68,5797.1014
の,38,65,5541.347
無い,39,60,5115.0895
な,39,60,5115.0895
行く,41,59,5029.838
ああ,42,56,4774.0835
を,43,55,4688.8321
ふん,44,54,4603.5806
ちゃん,45,53,4518.3291
此れ,46,51,4347.8261
ちゃう,46,51,4347.8261
ず,48,50,4262.5746
済む,49,48,4092.0716
けれど,50,47,4006.8201
成る,51,46,3921.5686
待つ,52,45,3836.3171
有る,53,41,3495.3112
せる,54,38,3239.5567
あの,55,36,3069.0537
から,56,35,2983.8022
其れ,57,34,2898.5507
来る,58,33,2813.2992
一寸,58,33,2813.2992
と,58,33,2813.2992
へえ,58,33,2813.2992
つ,58,33,2813.2992
有り難う,58,33,2813.2992
もう,64,32,2728.0477
見る,64,32,2728.0477
みたい,66,30,2557.5448
さ,67,29,2472.2933
思う,67,29,2472.2933
食べる,67,29,2472.2933
遣る,70,28,2387.0418
分かる,70,28,2387.0418
ん,70,28,2387.0418
つう,73,27,2301.7903
凄い,73,27,2301.7903
方,75,25,2131.2873
大丈夫,75,25,2131.2873
一,75,25,2131.2873
どうぞ,78,24,2046.0358
レオ,78,24,2046.0358
君,80,23,1960.7843
下さる,80,23,1960.7843
こう,82,22,1875.5328
百,82,22,1875.5328
此の,84,21,1790.2813
出来る,84,21,1790.2813
使う,84,21,1790.2813
まあ,87,20,1705.0298
えっ,87,20,1705.0298
違う,87,20,1705.0298
五,87,20,1705.0298
ハルヤ,87,20,1705.0298
畏まる,87,20,1705.0298
ええ,93,19,1619.7783
私,93,19,1619.7783
先生,93,19,1619.7783
万,93,19,1619.7783
下げる,93,19,1619.7783
事,98,18,1534.5269
本当,98,18,1534.5269
二,98,18,1534.5269
たい,98,18,1534.5269
持つ,98,18,1534.5269
俺,103,17,1449.2754
三,103,17,1449.2754
前,103,17,1449.2754
宜しい,103,17,1449.2754
さん,107,16,1364.0239
居る,107,16,1364.0239
今,107,16,1364.0239
くらい,107,16,1364.0239
はあ,107,16,1364.0239
六,107,16,1364.0239
其の,113,15,1278.7724
一,113,15,1278.7724
どう,113,15,1278.7724
れる,113,15,1278.7724
だけ,113,15,1278.7724
奴,113,15,1278.7724
月,113,15,1278.7724
生,113,15,1278.7724
タイワン,113,15,1278.7724
ば,122,14,1193.5209
十,122,14,1193.5209
其処,122,14,1193.5209
皆,125,13,1108.2694
取る,125,13,1108.2694
頂く,125,13,1108.2694
御,125,13,1108.2694
以上,125,13,1108.2694
此処,130,12,1023.0179
け,130,12,1023.0179
呉れる,130,12,1023.0179
中,130,12,1023.0179
一番,130,12,1023.0179
ビール,130,12,1023.0179
まで,136,11,937.7664
日,136,11,937.7664
御免,136,11,937.7664
より,136,11,937.7664
付ける,136,11,937.7664
為さる,136,11,937.7664
ホット,136,11,937.7664
木の芽,136,11,937.7664
美味しい,144,10,852.5149
入れる,144,10,852.5149
時,144,10,852.5149
そう,144,10,852.5149
高い,144,10,852.5149
二,144,10,852.5149
御飯,144,10,852.5149
己,144,10,852.5149
時,152,9,767.2634
し,152,9,767.2634
感じ,152,9,767.2634
えーと,152,9,767.2634
出る,152,9,767.2634
入る,152,9,767.2634
飲む,152,9,767.2634
誰,152,9,767.2634
置く,152,9,767.2634
茶,152,9,767.2634
チーズ,152,9,767.2634
牛蒡,152,9,767.2634
いや,164,8,682.0119
じゃん,164,8,682.0119
後,164,8,682.0119
年,164,8,682.0119
所,164,8,682.0119
達,164,8,682.0119
的,164,8,682.0119
円,164,8,682.0119
良く,164,8,682.0119
何時,164,8,682.0119
返る,164,8,682.0119
確か,164,8,682.0119
個,164,8,682.0119
色々,164,8,682.0119
要る,164,8,682.0119
安い,164,8,682.0119
サラダ,164,8,682.0119
ハル,164,8,682.0119
ナオヤ,164,8,682.0119
人,183,7,596.7604
もの,183,7,596.7604
結構,183,7,596.7604
貰う,183,7,596.7604
知る,183,7,596.7604
書く,183,7,596.7604
作る,183,7,596.7604
自分,183,7,596.7604
未だ,183,7,596.7604
聞く,183,7,596.7604
えー,183,7,596.7604
成る程,183,7,596.7604
二十,183,7,596.7604
とく,183,7,596.7604
んー,183,7,596.7604
八,183,7,596.7604
上,183,7,596.7604
学校,183,7,596.7604
様,183,7,596.7604
番,183,7,596.7604
明日,183,7,596.7604
飛ぶ,183,7,596.7604
熱い,183,7,596.7604
醤油,183,7,596.7604
伺う,183,7,596.7604
ニコラス,183,7,596.7604
フライト,183,7,596.7604
彼れ,210,6,511.509
矢張り,210,6,511.509
ほら,210,6,511.509
全然,210,6,511.509
所,210,6,511.509
駄目,210,6,511.509
物,210,6,511.509
回,210,6,511.509
又,210,6,511.509
られる,210,6,511.509
一人,210,6,511.509
日本,210,6,511.509
生,210,6,511.509
終わる,210,6,511.509
らしい,210,6,511.509
掛かる,210,6,511.509
もっと,210,6,511.509
三十,210,6,511.509
ママ,210,6,511.509
奇麗,210,6,511.509
手,210,6,511.509
水,210,6,511.509
ぽい,210,6,511.509
味,210,6,511.509
分,210,6,511.509
部屋,210,6,511.509
幾ら,210,6,511.509
野菜,210,6,511.509
ゲーム,210,6,511.509
コーヒー,210,6,511.509
