term,reading_frequency
の,1
は,2
に,3
を,4
と,5
も,6
が,7
で,8
から,9
だ,10
する,11
か,12
よ,13
ある,14
こと,15
なる,16
それ,17
いる,18
ね,19
思う,20
この,21
には,22
でも,23
です,24
その,25
な,26
言う,27
って,28
ない,29
んだ,30
そう,31
私,32
いい,33
これ,34
だった,35
見る,36
だけ,37
くる,38
さん,39
くれる,40
やる,41
まで,42
もの,43
行く,44
という,45
もう,46
だから,47
そんな,48
あの,49
だろう,50
しまう,52
来る,53
ん,54
人,55
ここ,56
や,57
し,58
お,59
とする,60
自分,61
じゃない,62
知る,63
なら,64
いく,65
わ,66
今,67
聞く,68
へ,69
ような,70
とは,71
何,72
前,73
出る,74
中,75
にも,76
ように,77
顔,78
である,79
んです,80
また,81
ながら,82
なんて,83
考える,84
どう,85
いう,86
さ,87
そして,88
ため,89
まだ,90
いや,91
ちょっと,92
のに,93
できる,94
話,95
とか,96
ぞ,97
そこ,98
なの,99
ではない,100
何,101
待つ,102
ので,103
ところ,104
だって,105
だが,106
たち,107
こんな,108
持つ,109
みる,110
声,111
もらう,112
入る,113
手,114
ですか,115
見える,116
方,117
目,118
男,119
本当,120
あなた,121
今日,122
ほど,123
言葉,124
らしい,125
として,126
など,127
ただ,128
しかし,129
かな,130
違う,131
使う,132
少し,133
より,134
時,135
家,136
あれ,137
彼,138
よい,139
人間,140
同じ,141
上,142
よく,143
よう,144
とも,145
でしょう,146
出す,147
どこ,148
しか,149
悪い,150
なん,151
時間,152
部屋,153
わけ,154
おく,155
かもしれない,156
作る,157
まま,158
て,159
早い,160
感じる,161
呼ぶ,162
話す,163
何か,164
のように,165
死ぬ,166
姿,167
頭,168
強い,169
こう,170
いつも,171
会う,172
ばかり,173
一緒に,174
好き,175
相手,176
帰る,177
みんな,178
音,179
うち,180
ずっと,181
のです,182
でした,183
食べる,184
場所,185
あと,186
どうして,187
もっと,188
くらい,189
世界,190
あげる,191
戻る,192
力,193
仕事,194
必要,195
続ける,196
つもり,197
どんな,198
誰,199
による,200
次,201
かける,202
見せる,203
動く,204
となる,205
はず,206
子,207
歩く,208
こちら,209
きっと,210
意味,211
終わる,212
変わる,213
すぐに,214
とき,215
気持ち,216
始める,217
大きい,218
ことになる,219
向かう,220
何も,221
受ける,222
日,223
年,224
心配,225
教える,226
心,227
立つ,228
おる,229
やめる,230
外,231
間,232
について,233
よりも,234
後,235
様子,236
忘れる,237
口,238
にとって,239
名前,240
大きな,241
信じる,242
すぎる,243
なのに,244
生きる,245
問題,246
理由,247
それでも,248
これから,249
以上,250
逃げる,251
多い,252
そういう,253
絶対,254
開く,255
今度,256
最後,257
最初,258
こそ,259
存在,260
誰か,261
初めて,262
書く,263
取る,264
高い,265
もちろん,266
かも,267
べき,268
入れる,269
体,270
答える,271
そのまま,272
置く,273
覚える,274
あり,275
無理,276
ご,277
残る,278
いけない,279
長い,280
普通,281
どういう,282
守る,283
とても,284
楽しい,285
どこか,286
夜,287
感じ,288
気,289
許す,290
もし,291
驚く,292
別に,293
離れる,294
いつ,295
消える,296
助ける,297
止める,298
困る,299
かかる,300
もの,301
人,302
中,303
方,304
飲む,305
走る,306
以外,307
下,308
買う,309
足,310
説明,311
読む,312
女性,313
落ちる,314
このまま,315
つける,316
起きる,317
あまり,318
ことができる,319
続く,320
すぐ,321
決める,322
でもない,323
状況,324
関係,325
ことがある,326
いただく,327
先,328
伝える,329
ようになる,330
先に,331
夢,332
誰も,333
小さい,334
選ぶ,335
こういう,336
理解,337
ですが,338
場合,339
得る,340
深い,341
見つける,342
一度,343
ほしい,344
なぜ,345
昔,346
水,347
近く,348
進む,349
大変,350
としても,351
道,352
簡単,353
変える,354
別,355
なので,356
本,357
完全,358
状態,359
しっかり,360
行う,361
送る,362
形,363
上げる,364
近づく,365
乗る,366
与える,367
勝手,368
的,369
結果,370
ために,371
朝,372
新しい,373
急,374
ようにする,375
自分で,376
元,377
最近,378
大,379
決まる,380
準備,381
近い,382
失う,383
不安,384
残す,385
安心,386
大事,387
ほとんど,388
認める,389
特に,390
求める,391
用意,392
少ない,393
まず,394
ことにする,395
始まる,396
家族,397
似る,398
用,399
元気,400
後,401
に対して,402
生む,403
思い,404
なかなか,405
たくさん,406
目的,407
合う,408
生活,409
方法,410
なくなる,411
切る,412
分,413
つく,414
としては,415
十分,416
働く,417
若い,418
歳,419
調べる,420
急ぐ,421
必ず,422
かどうか,423
途中,424
側,425
見つかる,426
重い,427
期待,428
集まる,429
その後,430
とる,431
ないと,432
考え,433
住む,434
大切,435
毎日,436
広い,437
やすい,438
自由,439
になると,440
ないか,441
原因,442
けど,443
俺,444
ああ,445
はい,446
じゃ,447
うん,448
お前,449
彼女,450
みたい,451
大丈夫,452
ちゃん,453
よね,454
わかる,455
え,456
あっ,457
僕,458
なんか,459
ください,460
笑う,461
なんだ,462
なんだ,463
じゃあ,464
分かる,465
様,466
まあ,467
だろ,468
ええ,469
女,470
君,471
君,472
だけど,473
二人,474
者,475
やっぱり,476
でしょ,477
えっ,478
ちゃんと,479
こっち,480
すごい,481
確かに,482
聞こえる,483
なんで,484
先生,485
だろうか,486
まさか,487
ようだ,488
ねえ,489
そうだ,490
なんです,491
けれど,492
なに,493
まるで,494
他,495
殺す,496
事,497
じゃないか,498
胸,499
さっき,500
そう,501
思い出す,502
へと,503
あんた,504
おい,505
一番,506
一人,507
ありがとう,508
そうか,509
頼む,510
一つ,511
表情,512
ごめん,513
怖い,514
良い,515
ゆっくり,516
つまり,517
だったら,518
腕,519
それから,520
ほら,521
あ,522
欲しい,523
やはり,524
確認,525
そうです,526
全部,527
何度,528
そんなに,529
ほう,530
子供,531
二,532
光,533
おかしい,534
寝る,535
なのだ,536
なるほど,537
もん,538
小さな,539
瞬間,540
気がする,541
今まで,542
優しい,543
嫌,544
あいつ,545
ううん,546
明日,547
泣く,548
頑張る,549
怒る,550
はずだ,551
あんな,552
娘,553
今回,554
やつ,555
昨日,556
ですから,557
かしら,558
変,559
探す,560
しかも,561
返す,562
国,563
なあ,564
当然,565
座る,566
でしょうか,567
つつ,568
ではある,569
黙る,570
気づく,571
しばらく,572
いえ,573
隠す,574
気になる,575
奥,576
向ける,577
笑顔,578
かなり,579
軽い,580
目の前,581
お願い,582
開ける,583
せい,584
まったく,585
女の子,586
こんなに,587
しかない,588
ならば,589
とにかく,590
ことはない,591
痛い,592
敵,593
一,594
実は,595
後ろ,596
そこまで,597
物,598
さらに,599
髪,600
もん,601
一瞬,602
落ち着く,603
どうした,604
隣,605
不思議,606
戦う,607
さあ,608
こいつ,609
現れる,610
そろそろ,611
私たち,612
記憶,613
彼ら,614
すべて,615
学校,616
さえ,617
情報,618
意識,619
というのは,620
肩,621
色,622
触れる,623
勝つ,624
結局,625
三,626
全然,627
上がる,628
げ,629
動き,630
白い,631
指,632
可能性,633
赤い,634
失礼,635
幸せ,636
負ける,637
背中,638
反応,639
壁,640
どうやら,641
いきなり,642
空,643
約束,644
血,645
服,646
恥ずかしい,647
過ぎる,648
事実,649
静か,650
すむ,651
行動,652
突然,653
友達,654
喜ぶ,655
止まる,656
命,657
自身,658
想像,659
面白い,660
父,661
身,662
渡す,663
名,664
ようやく,665
全員,666
頃,667
そもそも,668
空気,669
再び,670
着る,671
母,672
首,673
美しい,674
一体,675
店,676
程度,677
届く,678
さて,679
難しい,680
向こう,681
神,682
気分,683
耳,684
ごめんなさい,685
通り,686
ひどい,687
むしろ,688
飛ぶ,689
眠る,690
仲間,691
でない,692
さすがに,693
山,694
感情,695
ぐらい,696
結構,697
すら,698
危険,699
以前,700
いる,701
あれ,702
もう一度,703
ありがとうございます,704
どうぞ,705
済む,706
とりあえず,707
任せる,708
遅い,709
気にする,710
いくら,711
本気,712
あら,713
正直,714
動かす,715
事件,716
きる,717
そういえば,718
おりる,719
起こす,720
周囲,721
海,722
すでに,723
叫ぶ,724
引く,725
返事,726
逆,727
捨てる,728
甘い,729
窓,730
遊ぶ,731
結婚,732
おお,733
会話,734
戻ってくる,735
どうしたの,736
邪魔,737
腰,738
その時,739
うまい,740
握る,741
確か,742
いっぱい,743
部分,744
無事,745
せっかく,746
風,747
起こる,748
であろう,749
熱い,750
意外,751
これ以上,752
間違いない,753
流れる,754
花,755
涙,756
やってくる,757
倒れる,758
人生,759
一人で,760
もう少し,761
襲う,762
所,763
料理,764
決して,765
愛する,766
黒い,767
冷たい,768
合わせる,769
楽しむ,770
自然,771
納得,772
周り,773
どうも,774
珍しい,775
いいから,776
どうしても,777
疲れる,778
必死,779
前に,780
内,781
追う,782
激しい,783
場,784
食う,785
慣れる,786
勢い,787
答え,788
落とす,789
同時に,790
判断,791
横,792
町,793
報告,794
食事,795
緊張,796
金,797
受け取る,798
まずは,799
感謝,800
ある,801
者,802
日本,803
つい,804
並ぶ,805
避ける,806
連絡,807
奪う,808
過ごす,809
狙う,810
向く,811
諦める,812
足りる,813
いろいろ,814
そうする,815
話をする,816
望む,817
一応,818
特別,819
救う,820
帰ってくる,821
時代,822
いらっしゃる,823
いつか,824
終わり,825
語る,826
繰り返す,827
助かる,828
点,829
ところで,830
運ぶ,831
素直,832
よし,833
態度,834
失敗,835
とこ,836
全く,837
木,838
それぞれ,839
内容,840
と言われる,841
示す,842
妙,843
あんまり,844
冗談,845
自ら,846
低い,847
わざわざ,848
そっち,849
雰囲気,850
はっきり,851
移動,852
過去,853
手伝う,854
描く,855
余裕,856
なんとか,857
出会う,858
と言う,859
みせる,860
やっと,861
嫌い,862
質問,863
人々,864
どれ,865
現実,866
感覚,867
正しい,868
未来,869
興味,870
遠い,871
ながらも,872
本人,873
能力,874
あの人,875
っぽい,876
それでは,877
と言った,878
その場,879
事情,880
暗い,881
あそこ,882
んで,883
休む,884
一緒,885
おかげで,886
なさる,887
息,888
これまで,889
予定,890
伝わる,891
距離,892
どうせ,893
多く,894
残念,895
ま,896
終える,897
覚悟,898
勉強,899
さすが,900
上,901
分,902
風,903
よし,904
だけに,905
自信,906
我慢,907
相談,908
死,909
増える,910
離す,911
半分,912
人物,913
回る,914
親,915
弱い,916
っけ,917
立てる,918
この人,919
といった,920
降りる,921
打つ,922
席,923
経験,924
よろしく,925
すっかり,926
現在,927
広がる,928
に対する,929
振る,930
集める,931
当たる,932
直接,933
数,934
明るい,935
ということは,936
件,937
当たり前,938
お金,939
抱える,940
連れる,941
他人,942
母親,943
忙しい,944
寂しい,945
くださる,946
どうか,947
誘う,948
いたす,949
立場,950
そのため,951
他に,952
大好き,953
協力,954
抜ける,955
持ってくる,956
のみ,957
詳しい,958
押す,959
愛,960
だす,961
もつ,962
変化,963
男性,964
ような気がする,965
車,966
断る,967
利用,968
熱,969
というもの,970
抱く,971
苦しい,972
最高,973
満足,974
無視,975
余計,976
一気に,977
どちら,978
成功,979
限り,980
代わりに,981
ではないか,982
父親,983
通る,984
暮らす,985
わけではない,986
雨,987
写真,988
火,989
否定,990
借りる,991
面倒,992
人たち,993
厳しい,994
危ない,995
どっち,996
どうやって,997
ときに,998
今から,999
参加,1000
つく,1001
ああ,1002
隠れる,1003
裏,1004
短い,1005
ちょうど,1006
機会,1007
恐ろしい,1008
大人,1009
売る,1010
輝く,1011
すぎ,1012
耐える,1013
悲しい,1014
たとえ,1015
受け入れる,1016
どうしよう,1017
味,1018
迷う,1019
手に入れる,1020
どんどん,1021
関係ない,1022
秘密,1023
部,1024
例,1025
いずれ,1026
それにしても,1027
包む,1028
川,1029
着く,1030
明らか,1031
そのもの,1032
地,1033
える,1034
願う,1035
位置,1036
方向,1037
戻す,1038
一部,1039
客,1040
薄い,1041
よろしい,1042
調子,1043
迎える,1044
流す,1045
新た,1046
平気,1047
外す,1048
かもしれません,1049
改めて,1050
どれだけ,1051
進める,1052
において,1053
うるさい,1054
去る,1055
腹,1056
それ以上,1057
くせに,1058
たまに,1059
と思われる,1060
間違う,1061
実際,1062
皆さん,1063
悩む,1064
迫る,1065
まだまだ,1066
第一,1067
友人,1068
練習,1069
と同時に,1070
まさに,1071
疑う,1072
目指す,1073
右,1074
消す,1075
気に入る,1076
払う,1077
