term,reading_frequency,kana_frequency
来る,53,38
後,235,186
置く,273,155
上げる,364,191
分かる,465,455
事,497,15
良い,515,139
欲しい,523,344
物,598,43
過ぎる,648,243
済む,706,651
所,763,104
全く,837,585
と言う,859,45
降りる,921,719
気,1203,629
出来る,1302,94
全て,1305,615
皆,1313,178
奴,1314,555
達,1319,107
何だ,1342,462
何で,1371,484
と共に,1383,1178
色々,1388,814
下さる,1409,946
無い,1442,29
そう言う,1465,253
既に,1503,723
様に,1531,77
何とか,1540,857
何でも,1564,1513
頂く,1569,327
って言う,1577,1456
付く,1619,414
辺り,1647,1484
経つ,1668,1291
訳,1756,154
付ける,1797,316
内,1801,180
に置いて,1956,1053
やって来る,1962,757
知れる,2024,1698
下りる,2026,719
１人,2053,1846
掛ける,2055,202
何だか,2075,1321
と言い,2125,1197
と言えば,2152,1255
時に,2272,998
１つ,2278,1352
何でもない,2522,2180
過ぎ,2528,1012
と言っても,2540,2205
一杯,2652,743
挙げる,2660,191
下る,2681,2483
余り,2913,318
居る,3021,18
美味しい,3022,1444
掴む,3024,1798
貰う,3028,112
凄い,3037,481
更に,3038,599
喋る,3048,2211
上手い,3055,740
御,3057,277
何故,3059,345
為,3066,89
元々,3069,1886
恐らく,3108,1434
酷い,3127,687
程,3138,123
貴方,3151,121
繋がる,3169,2354
ことが出来る,3193,319
傍,3214,1512
大人しい,3215,2507
僅か,3260,1548
叶う,3424,2718
何となく,3425,1686
かも知れない,3441,156
一旦,3503,2546
事になる,3523,219
致す,3549,949
何故か,3570,1516
真っ直ぐ,3586,2007
微か,3760,3386
故,3778,3560
要る,3812,701
被る,3823,2629
溜まる,3885,2701
そう言えば,3920,718
是非,3921,2439
造る,3935,2146
あり得ない,3999,3690
沢山,4032,406
締める,4051,3953
何とも,4085,3499
相応しい,4113,2767
事がある,4129,326
遥か,4137,2781
未だ,4169,90
度,4202,2613
繋ぐ,4211,2946
掛かる,4288,300
美味い,4371,740
釣る,4432,3979
色んな,4443,1953
観る,4453,110
兼ねる,4467,2744
否,4509,1466
可哀想,4519,2749
在る,4553,14
臭い,4601,4579
無くなる,4608,411
上手くいく,4690,2258
如く,4750,3685
着ける,4770,316
良く,4899,143
何だって,5026,3596
辺,5032,4816
何という,5194,4385
本,5301,2802
頂戴,5341,2442
敵う,5346,2718
何とかなる,5454,4499
何だと,5504,3298
初めまして,5754,5690
成す,5758,1972
空ける,5777,4191
掻く,5814,2224
始め,5900,2988
所へ,6053,2614
明ける,6222,4191
と言うと,6254,2492
及び,6285,5585
段々,6436,2383
難い,6580,1267
留まる,6601,6270
お帰りなさい,6627,5798
初め,6648,2988
成る,6705,16
良くなる,6788,2979
開く,6901,3980
分かりやすい,6987,4583
沸く,7019,6476
稀,7084,7003
に取って,7204,239
ついて来る,7512,2134
絶つ,7647,7001
誠に,7726,7389
沿う,7736,7601
に当たり,7934,7888
見なす,7999,7988
筈,8153,206
勿論,8158,266
噓,8166,2769
流石に,8169,693
嚙む,8209,6897
摑む,8229,1798
何処,8254,148
云う,8261,86
方が良い,8278,1849
事はない,8280,591
分る,8294,455
仰る,8298,2031
事にする,8316,395
