Word,Form,Rank
の,の,1
に,に,2
は,は,3
が,が,4
を,を,5
と,と,6
も,も,7
だ,だ,8
で,で,9
よ,よ,10
な,な,11
俺,おれ,12
から,から,13
か,か,14
する,する,15
こと,こと,16
ね,ね,17
んだ,んだ,18
僕,ぼく,19
って,って,20
です,です,21
お前,おまえ,22
思う,おもう,23
いい,いい,24
なる,なる,25
ある,ある,26
言う,いう,27
それ,それ,28
でも,でも,29
ん,ん,30
君,きみ,31
けど,けど,32
そう,そう,33
この,この,34
し,し,35
いる,いる,36
さん,さん,37
だから,だから,38
そんな,そんな,39
なら,なら,40
もう,もう,41
ない,ない,42
だった,だった,42
これ,これ,44
その,その,45
あ,あ,46
ああ,ああ,47
じゃない,じゃない,47
今,いま,49
だけ,だけ,50
だろう,だろう,51
見る,みる,52
ここ,ここ,53
来る,くる,54
には,には,55
なんて,なんて,56
わかる,わかる,57
まで,まで,58
もの,もの,59
さ,さ,60
かな,かな,61
人,ひと,62
できる,できる,63
だって,だって,64
うん,うん,65
いう,いう,66
聞く,きく,67
では,では,68
こんな,こんな,69
という,という,69
顔,かお,71
自分,じぶん,71
時,とき,73
あの,あの,74
とは,とは,75
もっと,もっと,76
なんだ,なんだ,77
ところ,ところ,78
まだ,まだ,78
なんか,なんか,80
知る,しる,81
悪い,わるい,82
のに,のに,82
いや,いや,84
はい,はい,84
ため,ため,86
少し,すこし,87
みたい,みたい,88
ずっと,ずっと,89
へ,へ,89
本当,ほんとう,91
まあ,まあ,92
ぞ,ぞ,92
くらい,くらい,92
前,まえ,95
好き,すき,96
また,また,96
ように,ように,98
して,して,99
ただ,ただ,100
中,なか,101
どう,どう,102
話す,はなす,103
より,より,103
として,として,105
一緒,いっしょ,106
ような,ような,107
とか,とか,108
じゃ,じゃ,109
や,や,109
よね,よね,111
違う,ちがう,112
なん,なん,113
部屋,へや,113
今日,きょう,115
よい,よい,116
気持ち,きもち,117
なんで,なんで,117
あなた,あなた,119
本当に,ほんとうに,120
だろ,だろ,121
私,わたし,122
嬉しい,うれしい,123
会う,あう,124
戻る,もどる,124
ごめん,ごめん,124
やる,やる,127
ありがとう,ありがとう,128
わけ,わけ,128
ちゃんと,ちゃんと,130
だけど,だけど,130
考える,かんがえる,130
話,はなし,133
お,お,134
待つ,まつ,134
終わる,おわる,136
あれ,あれ,136
出る,でる,138
んです,んです,139
初めて,はじめて,140
心,こころ,140
ねえ,ねえ,142
全部,ぜんぶ,142
行く,いく,142
何,なに,145
どこ,どこ,146
ので,ので,146
誰か,だれか,148
え,え,149
ほら,ほら,150
分かる,わかる,150
ちょっと,ちょっと,152
よう,よう,153
あいつ,あいつ,153
大丈夫,だいじょうぶ,155
君,くん,156
