Word,Form,Rank
の,の,1
を,を,2
に,に,3
は,は,4
が,が,5
と,と,6
も,も,7
で,で,8
だ,だ,9
する,する,10
から,から,11
その,その,12
か,か,13
こと,こと,14
それ,それ,15
ある,ある,16
な,な,17
なる,なる,18
よ,よ,19
そう,そう,20
言う,いう,21
ない,ない,22
には,には,23
だった,だった,24
私,わたし,25
思う,おもう,26
である,である,27
だろう,だろう,28
この,この,29
という,という,30
もの,もの,31
だが,だが,32
です,です,33
だけ,だけ,34
へ,へ,35
自分,じぶん,36
彼女,かのじょ,37
わかる,わかる,38
でも,でも,39
見る,みる,40
いる,いる,41
さん,さん,42
って,って,43
し,し,44
いい,いい,45
ように,ように,46
そんな,そんな,47
ね,ね,48
まで,まで,49
なら,なら,49
ような,ような,51
んだ,んだ,52
そして,そして,53
けど,けど,54
言葉,ことば,55
だから,だから,55
今,いま,57
中,なか,58
聞く,きく,59
顔,かお,60
や,や,61
では,では,62
として,として,63
できる,できる,64
とは,とは,65
これ,これ,66
ではない,ではない,67
話,はなし,68
声,こえ,69
ん,ん,70
たち,たち,71
前,まえ,72
じゃない,じゃない,73
考える,かんがえる,74
彼,かれ,75
手,て,76
知る,しる,77
ここ,ここ,78
ため,ため,79
なんて,なんて,80
より,より,81
そこ,そこ,82
とか,とか,83
相手,あいて,84
二人,ふたり,85
もう,もう,86
目,め,87
ので,ので,87
あの,あの,89
ほど,ほど,90
いう,いう,91
どう,どう,92
体,からだ,93
まま,まま,94
やる,やる,94
何,なに,96
くる,くる,97
らしい,らしい,98
など,など,99
人,ひと,100
のに,のに,101
世界,せかい,102
けれど,けれど,103
俺,おれ,104
違う,ちがう,105
とき,とき,106
見える,みえる,107
同じ,おなじ,108
存在,そんざい,109
して,して,110
持つ,もつ,111
上,うえ,112
ただ,ただ,113
かもしれない,かもしれない,114
出る,でる,115
お,お,116
わ,わ,117
男,おとこ,118
時間,じかん,119
悪い,わるい,120
部屋,へや,121
しか,しか,122
力,ちから,123
また,また,124
頭,あたま,125
理由,りゆう,126
戻る,もどる,127
だって,だって,128
ところ,ところ,129
少し,すこし,130
強い,つよい,130
なん,なん,132
いや,いや,133
死ぬ,しぬ,134
感じる,かんじる,135
よう,よう,136
続ける,つづける,137
はず,はず,138
視線,しせん,139
べき,べき,140
者,もの,141
一人,ひとり,142
姿,すがた,143
状況,じょうきょう,143
場所,ばしょ,145
何か,なにか,146
必要,ひつよう,146
ぞ,ぞ,148
受ける,うける,149
まだ,まだ,150
あ,あ,151
入る,はいる,152
なの,なの,153
みたい,みたい,154
ちょっと,ちょっと,155
意味,いみ,156
無い,ない,157
つもり,つもり,157
心,こころ,159
名前,なまえ,160
腕,うで,161
んです,んです,162
なに,なに,163
ですか,ですか,163
今日,きょう,165
こんな,こんな,166
行う,おこなう,167
来る,くる,168
待つ,まつ,169
こちら,こちら,170
使う,つかう,171
にとって,にとって,172
作る,つくる,172
つつ,つつ,174
へと,へと,175
わけ,わけ,175
