Word,Form,Rank
の,の,1
を,を,2
に,に,3
は,は,4
が,が,5
と,と,6
で,で,7
も,も,8
こと,こと,9
から,から,10
ある,ある,11
する,する,12
その,その,13
です,です,14
なる,なる,15
である,である,16
この,この,17
という,という,18
か,か,19
や,や,20
には,には,21
だ,だ,22
では,では,23
もの,もの,24
それ,それ,25
人,ひと,26
ので,ので,27
ため,ため,28
として,として,29
ように,ように,30
ない,ない,31
これ,これ,32
など,など,33
自分,じぶん,34
思う,おもう,35
できる,できる,36
いる,いる,37
ような,ような,38
見る,みる,39
でも,でも,40
言う,いう,41
な,な,42
まで,まで,43
年,ねん,44
また,また,45
について,について,46
とは,とは,47
へ,へ,48
し,し,49
だけ,だけ,50
中,なか,51
とき,とき,52
考える,かんがえる,53
ではない,ではない,54
私,わたし,55
前,まえ,56
より,より,57
ここ,ここ,58
行う,おこなう,59
たち,たち,60
場合,ばあい,61
だった,だった,62
そこ,そこ,63
お,お,64
いう,いう,65
使う,つかう,66
によって,によって,67
しかし,しかし,68
多い,おおい,69
書く,かく,70
ようになる,ようになる,71
必要,ひつよう,72
すべて,すべて,73
聞く,きく,74
そして,そして,75
ことができる,ことができる,76
知る,しる,77
よ,よ,78
して,して,79
言葉,ことば,80
方,ほう,81
ね,ね,82
いい,いい,83
次,つぎ,84
日本,にほん,85
ところ,ところ,86
同じ,おなじ,87
そう,そう,88
となる,となる,89
持つ,もつ,90
だろう,だろう,91
だから,だから,92
意味,いみ,93
人間,にんげん,94
ことになる,ことになる,95
のに,のに,96
べき,べき,97
何,なに,98
うち,うち,99
読む,よむ,100
来る,くる,101
なら,なら,102
よく,よく,103
問題,もんだい,104
話,はなし,105
よい,よい,106
もう,もう,107
出る,でる,108
とする,とする,109
行く,いく,110
本,ほん,111
時間,じかん,112
上,うえ,113
仕事,しごと,114
関係,かんけい,115
多く,おおく,116
ほど,ほど,117
他,ほか,118
つまり,つまり,119
与える,あたえる,120
目,め,121
心,こころ,122
新しい,あたらしい,123
大きな,おおきな,124
による,による,125
間,あいだ,126
少し,すこし,127
高い,たかい,128
説明,せつめい,129
感じる,かんじる,130
世界,せかい,131
どう,どう,132
得る,える,133
存在,そんざい,134
的,てき,135
受ける,うける,136
やる,やる,137
入る,はいる,138
家,いえ,139
まだ,まだ,140
今,いま,141
とか,とか,142
にとって,にとって,143
まず,まず,144
対して,たいして,145
そんな,そんな,146
彼,かれ,147
以上,いじょう,148
おく,おく,149
場所,ばしょ,150
あなた,あなた,151
強い,つよい,152
さん,さん,153
時代,じだい,154
点,てん,155
ただ,ただ,156
重要,じゅうよう,157
理由,りゆう,158
手,て,159
見える,みえる,160
生まれる,うまれる,161
ことがある,ことがある,162
後,あと,163
よう,よう,165
内容,ないよう,166
しか,しか,167
最初,さいしょ,168
大きい,おおきい,169
彼ら,かれら,170
それぞれ,それぞれ,171
さらに,さらに,172
でしょう,でしょう,173
日,ひ,174
結果,けっか,175
最後,さいご,176
示す,しめす,177
