WORD,FREQUENCY_RANKING
の,1
だ,2
た,3
は,4
て,5
に,6
が,7
を,8
する,9
ない,10
ん,11
か,12
よ,13
です,14
と,15
で,16
ます,17
も,18
ね,19
いる,20
てる,21
な,22
から,23
う,24
こと,25
じゃ,26
何,27
ある,28
なる,29
さん,30
って,31
そう,32
れる,33
この,34
私,35
いい,36
あっ,37
お,38
これ,39
やる,40
人,41
俺,42
言う,43
それ,44
はい,45
お前,46
あ,47
くる,48
その,49
え,50
わ,51
どう,52
けど,53
あの,54
たい,55
もう,56
でも,57
ば,58
うん,59
ぞ,60
思う,61
君,62
くれる,63
く,64
ああ,65
行く,66
や,67
えっ,68
さ,69
ちゃん,70
来る,71
よう,72
見る,73
だけ,74
まで,75
そんな,76
できる,77
ここ,78
せる,79
ちょっと,80
今,81
たち,82
事,83
いや,84
分かる,85
あなた,86
ちゃう,87
いく,88
られる,89
へ,90
だって,91
なんだ,92
僕,93
なんて,94
みんな,95
いう,96
ぬ,97
ぜ,98
一,99
くださる,100
待つ,101
先生,102
じゃあ,103
ため,104
よい,105
出る,106
知る,107
ら,108
あれ,109
ござる,110
という,111
し,112
ありがとう,113
こんな,114
聞く,115
どこ,116
誰,117
前,118
大丈夫,119
もの,120
時,121
今日,122
また,123
自分,124
ねえ,125
まだ,126
わかる,127
気,128
みる,129
うわ,130
様,131
もらう,132
おい,133
のに,134
早い,135
中,136
みたい,137
だから,138
なんか,139
うる,140
かも,141
わけ,142
お願い,143
とき,144
もん,145
話,146
力,147
年,148
ちゃ,149
持つ,150
帰る,151
手,152
男,153
とか,154
方,155
しまう,156
おる,157
違う,158
やめる,159
ご,160
うち,161
すごい,162
悪い,163
あんた,164
まあ,165
子,166
あぁ,167
入る,168
・,169
日,170
より,171
食べる,172
死ぬ,173
そして,174
考える,175
やつ,176
目,177
はっ,178
こっち,179
なさる,180
音,181
あと,182
よく,183
あいつ,184
として,185
声,186
使う,187
人間,188
ま,189
さあ,190
しか,191
はず,192
心,193
やっぱり,194
時間,195
仕事,196
どうして,197
ほら,198
何で,199
ただ,200
好き,201
ええ,202
同じ,203
ほう,204
頑張る,205
ところ,206
しれる,207
ねぇ,208
そういう,209
そこ,210
作る,211
戻る,212
なぁ,213
出す,214
会う,215
ふる,216
しかし,217
なん,218
はぁ,219
殺す,220
たり,221
絶対,222
ごめん,223
もっと,224
家,225
なんです,226
次,227
世界,228
相手,229
強い,230
俺たち,231
ダメ,232
女,233
くん,234
とる,235
あげる,236
体,237
一緒に,238
おく,239
まま,240
者,241
頼む,242
すぐ,243
バカ,244
おっ,245
うい,246
つく,247
本当に,248
すいません,249
まさか,250
入れる,251
ちゃんと,252
お父さん,253
こそ,254
逃げる,255
助ける,256
顔,257
いつも,258
こいつ,259
見える,260
生きる,261
おお,262
どういう,263
守る,264
いける,265
夢,266
オレ,267
どうぞ,268
なぜ,269
つもり,270
なんで,271
よし,272
つける,273
何だ,274
お母さん,275
どんな,276
こちら,277
ずっと,278
す,279
わし,280
今度,281
ので,282
なに,283
こう,284
戦う,285
信じる,286
教える,287
なあ,288
だが,289
め,290
これから,291
うまい,292
無理,293
うわる,294
はあ,295
取る,296
彼女,297
最後,298
きっと,299
それで,300
らしい,301
さっき,302
心配,303
彼,304
がる,305
など,306
忘れる,307
じゃん,308
ほど,309
達,310
とく,311
私たち,312
わたし,313
以上,314
必要,315
終わる,316
呼ぶ,317
っす,318
大,319
見せる,320
かける,321
上,322
んで,323
万,324
事件,325
先,326
おいしい,327
ちる,328
分,329
命,330
痛い,331
敵,332
ハッ,333
すぎる,334
あんな,335
子供,336
本当,337
よろしく,338
負ける,339
あー,340
犯人,341
大変,342
話す,343
とこ,344
ママ,345
では,346
ほしい,347
全部,348
いつ,349
わぁ,350
ちまう,351
ホント,352
二,353
変わる,354
っていう,355
ほる,356
仲間,357
いただく,358
かい,359
確かに,360
攻撃,361
星,362
おう,363
あら,364
決める,365
行う,366
後,367
そ,368
少し,369
明日,370
皆さん,371
全然,372
名前,373
フッ,374
でる,375
受ける,376
買う,377
先輩,378
どうも,379
怖い,380
他,381
殿,382
勝つ,383
本,384
第,385
楽しい,386
気持ち,387
すべて,388
ど,389
友達,390
どうか,391
あッ,392
ちょ,393
書く,394
だったら,395
おはよう,396
空,397
いえ,398
頭,399
たって,400
意味,401
金,402
さすが,403
関係,404
大事,405
必ず,406
くらい,407
飲む,408
我々,409
続ける,410
せい,411
場所,412
えッ,413
ごめんなさい,414
回,415
一緒,416
ぐらい,417
貴様,418
海,419
問題,420
とおり,421
べし,422
部屋,423
さぁ,424
かしら,425
実は,426
警察,427
全て,428
駄目,429
社長,430
元気,431
かかる,432
名,433
下さる,434
嫌,435
それに,436
さま,437
許す,438
すみません,439
パパ,440
決まる,441
所,442
同,443
見つける,444
そっ,445
今回,446
円,447
覚える,448
動く,449
ボク,450
結婚,451
三,452
神,453
出来る,454
初めて,455
悟,456
王,457
なるほど,458
しっかり,459
道,460
つ,461
倒す,462
もちろん,463
ながら,464
える,465
とにかく,466
わっ,467
あ～,468
っと,469
うつ,470
カード,471
度,472
一番,473
奴,474
電話,475
幸せ,476
地球,477
変,478
学校,479
かわいい,480
花,481
昔,482
もし,483
戦い,484
始める,485
もらえる,486
感じ,487
すむ,488
ホントに,489
任せる,490
１つ,491
家族,492
消える,493
言葉,494
急ぐ,495
最初,496
乗る,497
会社,498
一体,499
外,500
そんなに,501
起きる,502
店,503
止める,504
元,505
間,506
姿,507
新しい,508
約束,509
つまり,510
昨日,511
べ,512
連絡,513
食う,514
言える,515
よる,516
寝る,517
残る,518
こ,519
野郎,520
高い,521
開く,522
光,523
日本,524
枚,525
まぁ,526
なれる,527
ポケモン,528
娘,529
ったら,530
まったく,531
おかしい,532
調べる,533
フン,534
き,535
超,536
国,537
探す,538
遅い,539
困る,540
ばかり,541
あたし,542
水,543
口,544
返す,545
おかげ,546
こういう,547
始まる,548
夜,549
普通,550
ひる,551
勝負,552
そりゃ,553
村,554
女性,555
落ちる,556
召喚,557
番,558
あの人,559
今まで,560
いったい,561
愛,562
破壊,563
あの子,564
黙る,565
へん,566
っけ,567
別に,568
未来,569
病院,570
選ぶ,571
見つかる,572
捨てる,573
キミ,574
連れる,575
写真,576
怒る,577
笑う,578
向かう,579
嘘,580
なんと,581
送る,582
泣く,583
お金,584
にとって,585
そろそろ,586
立つ,587
け,588
何でも,589
危ない,590
もしかして,591
お兄ちゃん,592
マジ,593
歳,594
のび太,595
勝手,596
申し訳,597
結構,598
いっぱい,599
刑事,600
宇宙,601
急,602
いやいや,603
ふう,604
捜す,605
簡単,606
最近,607
ひどい,608
風,609
り,610
試合,611
頃,612
邪魔,613
車,614
すげる,615
じ,616
町,617
せっかく,618
バトル,619
下,620
失礼します,621
感じる,622
思い,623
準備,624
読む,625
くい,626
いらっしゃる,627
場合,628
間違い,629
効果,630
やはり,631
させる,632
どれ,633
終わり,634
いたす,635
チーム,636
最高,637
おぉ,638
開ける,639
現れる,640
欲しい,641
足,642
たくさん,643
朝,644
夫,645
生まれる,646
全員,647
とも,648
情報,649
可能性,650
失礼,651
数,652
働く,653
東京,654
隠す,655
過ぎる,656
島,657
もう一度,658
それでは,659
やっぱ,660
一つ,661
どっち,662
パワー,663
別,664
作戦,665
っていうか,666
こら,667
ほんと,668
合う,669
狙う,670
頂く,671
面白い,672
用,673
変える,674
兄,675
なかなか,676
理由,677
優しい,678
父,679
そっち,680
モンスター,681
あそこ,682
人生,683
まずは,684
る,685
なり,686
いろいろ,687
もしもし,688
存在,689
真,690
残念,691
多い,692
選手,693
ろ,694
うーん,695
剣,696
魔法,697
上がる,698
てめえ,699
十,700
本気,701
やっと,702
ドラゴン,703
聞こえる,704
だい,705
ども,706
こんなに,707
ン,708
まず,709
たん,710
伝える,711
ターン,712
山,713
認める,714
いくら,715
しかも,716
母さん,717
料理,718
渡す,719
奪う,720
切る,721
大きな,722
確認,723
物,724
号,725
うるさい,726
屋,727
親,728
龍,729
飛ぶ,730
博士,731
だけど,732
部,733
捜査,734
獣,735
確か,736
我が,737
落ち着く,738
諦める,739
ねる,740
走る,741
助かる,742
城,743
ボール,744
無事,745
身,746
了解,747
用意,748
危険,749
によって,750
船,751
思い出す,752
完全,753
勉強,754
お疲れさま,755
うれしい,756
置く,757
件,758
発動,759
点,760
そいつ,761
ウソ,762
い,763
軍,764
若い,765
男性,766
月,767
訳,768
夏,769
息子,770
気づく,771
鬼,772
絵,773
結果,774
お姉ちゃん,775
遊ぶ,776
よろしい,777
わける,778
きれい,779
大切,780
覚悟,781
何とか,782
救う,783
について,784
与える,785
ついに,786
隊長,787
太,788
へぇ,789
さえ,790
ふん,791
のう,792
こんにちは,793
失う,794
女の子,795
離れる,796
結局,797
天,798
続く,799
貸す,800
犬,801
現場,802
くせ,803
血,804
生徒,805
奥さん,806
残す,807
良い,808
甘い,809
へえ,810
ばっかり,811
千,812
能力,813
状況,814
ううん,815
付ける,816
闇,817
時代,818
大人,819
楽しみ,820
方法,821
もう少し,822
待てる,823
手伝う,824
まずい,825
練習,826
似る,827
父さん,828
いつか,829
本物,830
申す,831
ルパン,832
まるで,833
いきなり,834
おじさん,835
近く,836
魂,837
大好き,838
長い,839
勝てる,840
母,841
まだまだ,842
部長,843
魔,844
だす,845
得る,846
辞める,847
恋,848
親父,849
打つ,850
毎日,851
冗談,852
とても,853
当然,854
彼ら,855
証拠,856
妖怪,857
味,858
ふざける,859
上げる,860
以外,861
内,862
飯,863
ゆっくり,864
なくなる,865
それより,866
描く,867
おめでとう,868
戦,869
的,870
こりゃ,871
死,872
無線,873
行ける,874
あっち,875
当たる,876
会える,877
安心,878
使える,879
みせる,880
久しぶり,881
右,882
ここから,883
いいえ,884
売る,885
父親,886
姫,887
新,888
ほんとに,889
まっ,890
患者,891
歩く,892
よいしょ,893
どく,894
母親,895
人たち,896
どうせ,897
僕たち,898
み,899
向こう,900
失敗,901
春,902
追う,903
謝る,904
ゲーム,905
それでも,906
ってば,907
よっしゃ,908
被害者,909
たま,910
調子,911
変身,912
マン,913
くう,914
おっしゃる,915
嫌い,916
我ら,917
はる,918
撮る,919
介,920
腕,921
止まる,922
目的,923
すか,924
起こる,925
街,926
牙,927
難しい,928
ドア,929
それから,930
