WORD,FREQUENCY_RANKING
見,1
思,2
出,3
上,4
一,5
中,6
人,7
何,8
知,9
行,10
立,11
間,12
時,13
大,14
前,15
方,16
下,17
入,18
今,19
来,20
手,21
生,22
考,23
自分,24
持,25
私,26
通,27
少,28
話,29
二,30
心,31
気,32
向,33
後,34
日,35
家,36
聞,37
目,38
感,39
一人,40
取,41
同,42
小,43
多,44
合,45
書,46
起,47
風,48
近,49
引,50
切,51
足,52
者,53
言,54
三,55
得,56
口,57
外,58
高,59
誰,60
頭,61
先,62
落,63
顔,64
人間,65
歩,66
今日,67
男,68
深,69
違,70
若,71
長,72
事,73
物,74
明,75
女,76
眼,77
置,78
身,79
彼,80
早,81
出来,82
姿,83
新,84
好,85
声,86
他,87
過,88
死,89
別,90
夜,91
笑,92
遠,93
言葉,94
忘,95
二人,96
動,97
呼,98
変,99
飛,100
待,101
分,102
美,103
力,104
流,105
実,106
頃,107
次,108
返,109
光,110
子,111
恐,112
打,113
受,114
年,115
云,116
四,117
名,118
音,119
強,120
急,121
決,122
空,123
直,124
開,125
白,126
着,127
悪,128
水,129
残,130
現,131
一度,132
全,133
対,134
止,135
重,136
始,137
寄,138
道,139
色,140
五,141
作,142
渡,143
驚,144
山,145
例,146
世,147
町,148
意味,149
昔,150
居,151
振,152
苦,153
的,154
子供,155
浮,156
以上,157
生活,158
耳,159
赤,160
朝,161
胸,162
日本,163
終,164
或,165
送,166
押,167
離,168
語,169
限,170
不思議,171
所,172
食,173
当,174
消,175
金,176
木,177
使,178
張,179
暮,180
横,181
場合,182
古,183
覚,184
皆,185
黒,186
花,187
人人,188
追,189
形,190
降,191
代,192
集,193
鳴,194
似,195
答,196
並,197
月,198
六,199
初,200
仕事,201
吹,202
第一,203
去,204
失,205
乗,206
御,207
君,208
又,209
進,210
面白,211
三十,212
抱,213
買,214
同時,215
投,216
泣,217
無,218
有,219
走,220
申,221
暗,222
夢,223
折,224
越,225
遊,226
自然,227
果,228
住,229
逃,230
共,231
与,232
眺,233
腹,234
必要,235
連,236
達,237
信,238
内,239
親,240
問題,241
最,242
今度,243
困,244
次第,245
用,246
加,247
時代,248
本,249
腰,250
突,251
如,252
更,253
極,254
伝,255
続,256
点,257
解,258
最後,259
教,260
及,261
七,262
指,263
非常,264
喜,265
川,266
静,267
八,268
悲,269
面,270
二十,271
母,272
付,273
許,274
必,275
世界,276
時間,277
底,278
火,279
一番,280
首,281
貰,282
奥,283
難,284
細,285
娘,286
真,287
青,288
自身,289
放,290
涙,291
楽,292
等,293
気持,294
寝,295
余,296
十,297
右,298
村,299
妙,300
太,301
冷,302
結,303
三人,304
助,305
数,306
父,307
相手,308
愛,309
肩,310
窓,311
程,312
叫,313
殺,314
国,315
示,316
筈,317
息,318
踏,319
東京,320
晩,321
影,322
位,323
草,324
一日,325
運,326
地,327
野,328
立派,329
掛,330
眠,331
疑,332
盛,333
酒,334
春,335
事実,336
然,337
正,338
絶,339
弱,340
求,341
最初,342
低,343
一方,344
無理,345
様,346
命,347
移,348
仰,349
夏,350
心配,351
関係,352
左,353
鼻,354
願,355
一緒,356
想像,357
我,358
負,359
薄,360
毎日,361
石,362
血,363
時時,364
一時,365
注意,366
再,367
確,368
僕,369
幾,370
如何,371
坐,372
部屋,373
至,374
黙,375
実際,376
珍,377
側,378
葉,379
味,380
角,381
一種,382
二三,383
常,384
場所,385
度,386
描,387
探,388
捨,389
秋,390
半,391
三年,392
晴,393
根,394
門,395
惜,396
奴,397
怒,398
様子,399
飲,400
場,401
差,402
従,403
歌,404
田,405
破,406
結果,407
雨,408
十年,409
腕,410
片,411
毒,412
互,413
一本,414
五十,415
相,416
自由,417
裏,418
屋,419
四十,420
先生,421
会,422
要,423
久,424
傍,425
庭,426
海,427
氏,428
調子,429
此,430
積,431
自,432
守,433
表,434
以前,435
問,436
包,437
散,438
客,439
理由,440
説明,441
床,442
戸,443
殆,444
世間,445
経,446
辺,447
主,448
成,449
望,450
当時,451
縁,452
響,453
認,454
於,455
交,456
定,457
幸,458
背,459
寒,460
迎,461
休,462
仕方,463
処,464
巻,465
主人,466
照,467
一年,468
倒,469
相違,470
堪,471
馬鹿,472
興味,473
詰,474
態度,475
欲,476
神,477
軽,478
関,479
普通,480
安,481
焼,482
痛,483
調,484
曲,485
勿論,486
郎,487
触,488
訪,489
勝,490
這,491
歳,492
安心,493
嫌,494
容易,495
燃,496
茶,497
構,498
体,499
遂,500
故,501
突然,502
返事,503
荒,504
存,505
頬,506
為,507
現在,508
心持,509
熱,510
附,511
島,512
松,513
雲,514
其,515
借,516
際,517
明日,518
傾,519
以外,520
閉,521
以,522
九,523
種,524
恥,525
店,526
額,527
怪,528
髪,529
円,530
丸,531
勢,532
甚,533
説,534
疲,535
本当,536
隣,537
組,538
発見,539
化,540
平,541
利,542
役,543
存在,544
手紙,545
馬,546
途中,547
二年,548
逢,549
特,550
既,551
覗,552
冬,553
妻,554
叩,555
記憶,556
脱,557
洗,558
端,559
含,560
毛,561
暫,562
握,563
一枚,564
以来,565
彼女,566
割,567
新聞,568
添,569
帯,570
訳,571
念,572
土地,573
育,574
事件,575
比,576
膝,577
土,578
橋,579
短,580
波,581
方法,582
感情,583
試,584
半分,585
宿,586
輝,587
壁,588
五年,589
勝手,590
十分,591
伸,592
雪,593
吉,594
済,595
約束,596
大変,597
一面,598
之,599
忍,600
尽,601
殊,602
吐,603
断,604
沈,605
丁度,606
紙,607
骨,608
優,609
当然,610
一体,611
相当,612
嬉,613
何時,614
寺,615
原,616
不安,617
着物,618
結局,619
他人,620
元,621
森,622
幸福,623
承知,624
拾,625
一層,626
反,627
末,628
研究,629
罪,630
事情,631
浅,632
三日,633
伴,634
何処,635
情,636
小説,637
大事,638
固,639
微笑,640
第二,641
字,642
仲間,643
何故,644
就,645
学校,646
垂,647
二度,648
反対,649
憎,650
満足,651
