WORD,FREQUENCY_RANKING
の,1
に,2
は,3
て,4
を,5
に,6
は,7
た,8
だ,9
が,10
を,11
だ,12
た,13
為る,14
と,15
て,16
が,17
と,18
で,19
で,20
も,21
も,22
ます,23
居る,24
ている,25
する,26
ます,27
事,28
れる,29
有る,30
です,31
言う,32
ない,33
事,34
成る,35
ない,36
有る,37
れる,38
から,39
成る,40
か,41
一,42
言う,43
無い,44
から,45
其の,46
か,47
様,48
二,49
である,50
という,51
其の,52
様,53
のだ,54
此の,55
三,56
十,57
無い,58
ず,59
物,60
ず,61
此の,62
や,63
物,64
的,65
其れ,66
のです,67
思う,68
御,69
其れ,70
や,71
など,72
ね,73
年,74
ば,75
来る,76
られる,77
五,78
よ,79
ば,80
思う,81
此れ,82
見る,83
私,84
行く,85
時,86
まで,87
四,88
出来る,89
見る,90
此れ,91
として,92
良い,93
へ,94
者,95
私,96
てる,97
人,98
など,99
来る,100
ね,101
そう,102
られる,103
行く,104
よ,105
だけ,106
さん,107
たい,108
因る,109
中,110
何,111
何,112
せる,113
まで,114
居る,115
時,116
六,117
為,118
二十,119
について,120
って,121
人,122
自分,123
為,124
月,125
どう,126
八,127
ではない,128
へ,129
てくる,130
てる,131
な,132
場合,133
第,134
そう,135
方,136
七,137
けれど,138
九,139
出来る,140
だけ,141
てしまう,142
日本,143
二,144
達,145
一,146
考える,147
たい,148
又,149
どう,150
中,151
良い,152
所,153
せる,154
持つ,155
又,156
つく,157
分かる,158
出る,159
千,160
行う,161
自分,162
たり,163
所,164
三十,165
ておる,166
零,167
良い,168
って,169
遣る,170
訳,171
考える,172
ながら,173
仕舞う,174
彼,175
つ,176
けれど,177
然し,178
方,179
ていく,180
より,181
場合,182
し,183
な,184
そして,185
今,186
持つ,187
もう,188
彼,189
聞く,190
遣る,191
知る,192
．,193
てみる,194
等,195
のである,196
分かる,197
によって,198
こう,199
日,200
居る,201
てくれる,202
於く,203
三,204
五十,205
後,206
入る,207
出る,208
前,209
日本,210
行う,211
今,212
此処,213
取る,214
たり,215
使う,216
等,217
御座る,218
円,219
気,220
一つ,221
万,222
其処,223
性,224
多い,225
九百,226
訳,227
ほど,228
てくださる,229
ながら,230
取る,231
時,232
目,233
さ,234
作る,235
百,236
下さる,237
くらい,238
問題,239
然し,240
問題,241
前,242
及び,243
必要,244
において,245
対する,246
使う,247
による,248
より,249
手,250
人,251
べし,252
上,253
化,254
内,255
時間,256
僕,257
聞く,258
次,259
四十,260
同じ,261
呉れる,262
人,263
受ける,264
子供,265
知る,266
し,267
ことができる,268
後,269
良く,270
話,271
パーセント,272
付く,273
御,274
そして,275
そんな,276
もう,277
他,278
一,279
会,280
貴方,281
書く,282
置く,283
侭,284
子供,285
日,286
間,287
こう,288
何時,289
入る,290
入れる,291
四,292
気,293
ことになる,294
方,295
顔,296
作る,297
彼女,298
関係,299
言葉,300
此処,301
多い,302
でも,303
御座る,304
掛ける,305
其処,306
上げる,307
六十,308
誰,309
付ける,310
目,311
により,312
九十,313
ために,314
度,315
国,316
ほど,317
少し,318
くらい,319
上,320
何処,321
高い,322
市,323
のではない,324
日,325
八十,326
見える,327
出す,328
男,329
及び,330
社会,331
彼の,332
話,333
出す,334
貴方,335
僕,336
声,337
手,338
未だ,339
以上,340
人間,341
事業,342
必要,343
歳,344
仕事,345
内,346
掛かる,347
者,348
私,349
皆,350
家,351
ておく,352
七十,353
教える,354
付ける,355
べし,356
意味,357
付く,358
における,359
世界,360
他,361
私,362
わ,363
点,364
受ける,365
違う,366
人間,367
日,368
大きな,369
二千,370
次,371
大きい,372
良く,373
心,374
時間,375
生活,376
法,377
又は,378
他,379
同じ,380
食べる,381
書く,382
貰う,383
会社,384
本当,385
置く,386
何時,387
に対する,388
高い,389
得る,390
先ず,391
掛ける,392
呼ぶ,393
直ぐ,394
条,395
そんな,396
二人,397
俺,398
中,399
今日,400
男,401
研究,402
しか,403
地域,404
ばかり,405
特に,406
顔,407
大,408
に対して,409
に関する,410
情報,411
或いは,412
意味,413
一寸,414
回,415
彼女,416
何の,417
知れる,418
てもらう,419
一人,420
侭,421
変わる,422
図,423
悪い,424
強い,425
言葉,426
入れる,427
筈,428
国,429
例えば,430
五,431
関する,432
買う,433
県,434
こんな,435
学校,436
間,437
示す,438
女性,439
上げる,440
言える,441
り,442
みたい,443
所,444
なければならない,445
仕事,446
大きい,447
昭和,448
にとって,449
一人,450
企業,451
相手,452
誰,453
世界,454
女,455
可能,456
分,457
何故,458
二百,459
気持ち,460
何処,461
得る,462
見える,463
図,464
関係,465
委員,466
頂く,467
返る,468
時代,469
頃,470
なんて,471
利用,472
少し,473
結果,474
共,475
今日,476
全く,477
本当,478
平成,479
者,480
新しい,481
様,482
彼の,483
一番,484
二人,485
頭,486
方法,487
掛かる,488
全て,489
立つ,490
感ずる,491
声,492
或る,493
現在,494
体,495
不,496
家,497
早い,498
好き,499
点,500
方法,501
一緒,502
経済,503
未だ,504
子,505
形,506
別,507
だから,508
女性,509
勿論,510
矢張り,511
食べる,512
場所,513
教える,514
多く,515
詰まり,516
頃,517
若し,518
通り,519
彼等,520
共,521
此れ等,522
他,523
与える,524
心,525
年度,526
求める,527
らしい,528
後,529
活動,530
感じ,531
我が,532
違う,533
何,534
既に,535
更に,536
しか,537
始める,538
矢張り,539
わ,540
内容,541
車,542
環境,543
大きな,544
続く,545
かもしれない,546
部,547
どんな,548
俺,549
家,550
ちゃう,551
トウキョウ,552
風,553
一寸,554
認める,555
長い,556
先,557
全て,558
子,559
つう,560
電話,561
一度,562
結果,563
笑い,564
読む,565
調査,566
変わる,567
初めて,568
過ぎる,569
ちゃん,570
水,571
開く,572
君,573
含む,574
内,575
力,576
相手,577
行ける,578
呼ぶ,579
人々,580
感ずる,581
写真,582
最初,583
状況,584
少ない,585
強い,586
アメリカ,587
最後,588
力,589
口,590
女,591
状況,592
アメリカ,593
上,594
教育,595
理由,596
乗る,597
買う,598
姿,599
地,600
最も,601
計画,602
技術,603
余り,604
会社,605
用,606
戻る,607
先ず,608
直ぐ,609
重要,610
悪い,611
だが,612
大学,613
言う,614
飲む,615
続ける,616
下,617
先生,618
何,619
特に,620
ばかり,621
部屋,622
可成,623
何の,624
内容,625
でない,626
向かう,627
或いは,628
図る,629
書,630
生きる,631
写真,632
通り,633
約,634
終わる,635
保険,636
待つ,637
生,638
午後,639
号,640
場所,641
ていただく,642
話す,643
車,644
昭和,645
もっと,646
筈,647
先,648
状態,649
代,650
六,651
状態,652
一般,653
非常,654
其れから,655
例えば,656
少ない,657
こそ,658
現在,659
五百,660
使用,661
唯,662
示す,663
迚も,664
部分,665
答える,666
館,667
ばいい,668
身,669
政府,670
長い,671
こんな,672
部分,673
八百,674
会う,675
平成,676
情報,677
対象,678
ページ,679
労働,680
見せる,681
私達,682
好き,683
二,684
残る,685
早い,686
なり,687
制度,688
変える,689
時代,690
員,691
対象,692
地域,693
みたい,694
様々,695
存在,696
名前,697
返る,698
のみ,699
死ぬ,700
開発,701
確か,702
致す,703
音,704
気持ち,705
先生,706
切る,707
てある,708
国,709
中心,710
基本,711
殆ど,712
三百,713
電話,714
規定,715
体,716
別,717
頭,718
実際,719
生活,720
質問,721
項,722
目的,723
説明,724
合わせる,725
読む,726
旨い,727
生まれる,728
氏,729
省,730
規定,731
水,732
定める,733
何故,734
質問,735
始まる,736
実施,737
表,738
つく,739
全く,740
然も,741
母,742
重要,743
加える,744
立つ,745
歩く,746
施設,747
殆ど,748
因る,749
当たる,750
なんて,751
新しい,752
進む,753
といった,754
話す,755
君,756
中国,757
ための,758
地方,759
一緒,760
皆さん,761
さ,762
一番,763
管理,764
切る,765
費,766
道,767
参加,768
夜,769
機,770
ことがある,771
易い,772
花,773
小,774
選ぶ,775
物,776
利用する,777
或る,778
我々,779
基づく,780
車,781
口,782
影響,783
型,784
足,785
述べる,786
最近,787
本,788
形,789
事件,790
決める,791
語,792
越える,793
国民,794
可能性,795
続ける,796
億,797
程度,798
若い,799
例,800
勿論,801
中心,802
比べる,803
凄い,804
機関,805
まあ,806
余り,807
向ける,808
求める,809
色々,810
与える,811
七,812
多く,813
欲しい,814
実施する,815
センター,816
可能,817
簡単,818
生きる,819
立てる,820
権,821
起こる,822
文化,823
飲む,824
学校,825
其々,826
此方,827
忘れる,828
詰まり,829
若し,830
明らか,831
整備,832
小さな,833
各,834
国際,835
何れ,836
額,837
送る,838
願う,839
働く,840
目的,841
進める,842
人達,843
姿,844
長,845
用いる,846
笑い,847
最初,848
企業,849
さえ,850
実際,851
父,852
部屋,853
感じ,854
始める,855
待つ,856
力,857
ぞ,858
走る,859
らしい,860
小さい,861
三月,862
続く,863
我が,864
家族,865
御願いする,866
実,867
猶,868
従う,869
既に,870
方,871
今回,872
木,873
主義,874
更に,875
新,876
大切,877
外,878
風,879
評価,880
描く,881
金,882
中々,883
率,884
彼れ,885
乗る,886
色,887
止める,888
どんな,889
認める,890
思い,891
理由,892
現われる,893
ちゃう,894
但し,895
全体,896
中国,897
笑う,898
自由,899
変化,900
二つ,901
生産,902
引く,903
難しい,904
金,905
以外,906
御前,907
普通,908
否,909
下,910
使用する,911
楽しい,912
つう,913
同時,914
答える,915
最後,916
ずっと,917
美味しい,918
終わる,919
実は,920
開く,921
表,922
側,923
親,924
分,925
程度,926
初めて,927
家族,928
午前,929
効果,930
所が,931
変化,932
含む,933
量,934
矢っ張り,935
子供達,936
機能,937
人々,938
異なる,939
会う,940
十分,941
貰う,942
頑張る,943
以下,944
必ず,945
迚も,946
箇月,947
際,948
戻る,949
気付く,950
影響,951
原因,952
理解,953
作品,954
守る,955
対策,956
伝える,957
母,958
一部,959
山,960
なんか,961
感,962
近い,963
都市,964
数,965
最近,966
違い,967
相談,968
四百,969
当時,970
娘,971
例,972
健康,973
覚える,974
系,975
奇麗,976
低い,977
対応,978
法律,979
区,980
増える,981
歩く,982
住む,983
当たる,984
運動,985
下,986
最も,987
■,988
此方,989
東京,990
業,991
積り,992
料,993
時期,994
午後,995
昔,996
個人,997
夢,998
夜,999
障害,1000
伴う,1001
非常,1002
様子,1003
七,1004
十月,1005
自然,1006
かもしれません,1007
上がる,1008
品,1009
学,1010
即ち,1011
八,1012
頂く,1013
安全,1014
当時,1015
調べる,1016
期間,1017
打つ,1018
図る,1019
こともある,1020
何方,1021
政治,1022
九月,1023
町,1024
社,1025
神,1026
店,1027
期,1028
向かう,1029
嬉しい,1030
沢山,1031
可成,1032
元,1033
四月,1034
大臣,1035
ああ,1036
確認,1037
事実,1038
指導,1039
開ける,1040
に対し,1041
なり,1042
面白い,1043
本,1044
後,1045
残す,1046
花,1047
以下,1048
意識,1049
自身,1050
存在する,1051
起きる,1052
もっと,1053
同様,1054
結婚,1055
成す,1056
のみ,1057
式,1058
十二月,1059
身,1060
日本人,1061
名,1062
新た,1063
其々,1064
サービス,1065
こそ,1066
何れ,1067
経営,1068
町,1069
深い,1070
唯,1071
山,1072
限り,1073
父,1074
面,1075
動き,1076
深い,1077
探す,1078
システム,1079
てほしい,1080
夫,1081
色,1082
妻,1083
商品,1084
場,1085
今回,1086
局,1087
奴,1088
見せる,1089
させる,1090
店,1091
存在,1092
年間,1093
男性,1094
嫌,1095
事務,1096
数,1097
作品,1098
死ぬ,1099
寝る,1100
朝,1101
六百,1102
海,1103
名前,1104
若い,1105
致す,1106
推進,1107
動く,1108
無くなる,1109
音,1110
変える,1111
一月,1112
どうして,1113
メートル,1114
社会,1115
六月,1116
行動,1117
御金,1118
同,1119
従って,1120
法律,1121
意見,1122
語る,1123
七百,1124
自動,1125
君,1126
三十分,1127
残る,1128
其れでも,1129
発生,1130
大変,1131
決定,1132
歴史,1133
所謂,1134
三,1135
光,1136
五月,1137
駅,1138
広い,1139
産業,1140
テレビ,1141
八月,1142
組織,1143
国民,1144
屋,1145
関わる,1146
メール,1147
十一月,1148
課,1149
町,1150
違い,1151
離れる,1152
暫く,1153
様々,1154
特別,1155
従う,1156
協力,1157
欲しい,1158
今度,1159
首,1160
病院,1161
消費,1162
報告,1163
経つ,1164
確か,1165
友達,1166
事件,1167
道,1168
旨い,1169
人生,1170
価格,1171
駄目,1172
処理,1173
占める,1174
選ぶ,1175
幾つ,1176
驚く,1177
事実,1178
保護,1179
金,1180
具体的,1181
増加,1182
神,1183
思える,1184
止める,1185
生まれる,1186
名,1187
紹介する,1188
表示,1189
合わせる,1190
条件,1191
除く,1192
つつ,1193
精神,1194
客,1195
説明する,1196
行為,1197
効果,1198
胸,1199
責任,1200
似る,1201
進む,1202
二月,1203
必ず,1204
逆,1205
無,1206
殺す,1207
医療,1208
限る,1209
室,1210
確認する,1211
設定,1212
詳しい,1213
凄い,1214
定める,1215
立場,1216
決まる,1217
経験,1218
表わす,1219
我々,1220
大丈夫,1221
文字,1222
落ちる,1223
加える,1224
取れる,1225
始まる,1226
昔,1227
困る,1228
紹介,1229
済む,1230
病院,1231
然も,1232
親,1233
失う,1234
足,1235
土地,1236
今後,1237
一日,1238
元,1239
場,1240
何度,1241
市場,1242
考え方,1243
一部,1244
座る,1245
線,1246
意見,1247
起こす,1248
走る,1249
聞こえる,1250
忘れる,1251
含める,1252
関わる,1253
皆,1254
土地,1255
現実,1256
歴史,1257
何方,1258
ずつ,1259
木,1260
目指す,1261
至る,1262
映画,1263
再び,1264
枚,1265
過ぎる,1266
団体,1267
御前,1268
とともに,1269
まあ,1270
繰り返す,1271
際,1272
働く,1273
環境,1274
送る,1275
普通,1276
耳,1277
戦争,1278
白い,1279
渡る,1280
体,1281
以上,1282
決める,1283
一方,1284
資料,1285
ものの,1286
注意,1287
母親,1288
新聞,1289
店,1290
研究,1291
売る,1292
述べる,1293
応ずる,1294
娘,1295
病気,1296
同時,1297
且つ,1298
起こる,1299
何とか,1300
福祉,1301
因みに,1302
判断,1303
参加する,1304
四,1305
見付ける,1306
銀行,1307
厳しい,1308
差す,1309
三千,1310
基づく,1311
知れる,1312
税,1313
私,1314
基準,1315
住宅,1316
乗せる,1317
時期,1318
活動,1319
簡単,1320
信ずる,1321
つつ,1322
物,1323
行政,1324
周り,1325
遊ぶ,1326
交通,1327
楽しむ,1328
構造,1329
思い出す,1330
朝,1331
美しい,1332
越える,1333
資料,1334
政府,1335
川,1336
午前,1337
役,1338
決して,1339
居る,1340
契約,1341
基本的,1342
予定,1343
通す,1344
■■,1345
役割,1346
番,1347
代表,1348
丸で,1349
連れる,1350
為さる,1351
常,1352
作業,1353
