WORD,FREQUENCY_RANKING
の,1
は,2
を,3
に,4
た,5
が,6
だ,7
と,8
て,9
で,10
も,11
ます,12
ている,13
する,14
事,15
れる,16
です,17
ない,18
成る,19
有る,20
から,21
か,22
言う,23
其の,24
様,25
である,26
という,27
のだ,28
此の,29
無い,30
物,31
ず,32
や,33
のです,34
思う,35
其れ,36
など,37
ね,38
ば,39
られる,40
よ,41
此れ,42
私,43
時,44
まで,45
見る,46
として,47
へ,48
てる,49
人,50
来る,51
そう,52
行く,53
だけ,54
たい,55
中,56
何,57
せる,58
居る,59
為,60
について,61
って,62
自分,63
どう,64
ではない,65
てくる,66
な,67
場合,68
方,69
けれど,70
出来る,71
てしまう,72
二,73
一,74
考える,75
又,76
良い,77
所,78
持つ,79
分かる,80
出る,81
行う,82
たり,83
ておる,84
遣る,85
訳,86
ながら,87
彼,88
然し,89
ていく,90
より,91
し,92
そして,93
もう,94
聞く,95
知る,96
てみる,97
のである,98
によって,99
こう,100
てくれる,101
三,102
後,103
入る,104
日本,105
今,106
此処,107
使う,108
御座る,109
気,110
一つ,111
其処,112
多い,113
ほど,114
てくださる,115
取る,116
目,117
作る,118
くらい,119
問題,120
前,121
及び,122
において,123
による,124
手,125
べし,126
上,127
内,128
僕,129
次,130
同じ,131
受ける,132
子供,133
ことができる,134
良く,135
話,136
付く,137
そんな,138
他,139
貴方,140
書く,141
侭,142
間,143
何時,144
入れる,145
四,146
ことになる,147
顔,148
彼女,149
言葉,150
でも,151
掛ける,152
上げる,153
誰,154
付ける,155
により,156
ために,157
国,158
少し,159
何処,160
高い,161
のではない,162
見える,163
男,164
彼の,165
出す,166
声,167
未だ,168
人間,169
必要,170
仕事,171
掛かる,172
者,173
家,174
ておく,175
教える,176
意味,177
における,178
わ,179
違う,180
日,181
大きな,182
大きい,183
心,184
時間,185
又は,186
食べる,187
本当,188
置く,189
に対する,190
先ず,191
呼ぶ,192
直ぐ,193
二人,194
俺,195
今日,196
しか,197
ばかり,198
特に,199
に対して,200
に関する,201
或いは,202
一寸,203
何の,204
てもらう,205
一人,206
変わる,207
悪い,208
強い,209
筈,210
例えば,211
五,212
買う,213
こんな,214
示す,215
女性,216
言える,217
みたい,218
なければならない,219
昭和,220
にとって,221
相手,222
世界,223
女,224
何故,225
気持ち,226
得る,227
図,228
関係,229
返る,230
頃,231
なんて,232
結果,233
共,234
全く,235
平成,236
新しい,237
一番,238
頭,239
方法,240
立つ,241
感ずる,242
或る,243
体,244
早い,245
好き,246
点,247
一緒,248
子,249
形,250
だから,251
勿論,252
場所,253
多く,254
詰まり,255
若し,256
彼等,257
此れ等,258
与える,259
求める,260
らしい,261
感じ,262
我が,263
既に,264
更に,265
矢張り,266
内容,267
車,268
続く,269
かもしれない,270
どんな,271
ちゃう,272
風,273
認める,274
長い,275
全て,276
つう,277
一度,278
読む,279
笑い,280
初めて,281
水,282
開く,283
含む,284
力,285
行ける,286
人々,287
写真,288
最初,289
少ない,290
最後,291
口,292
状況,293
アメリカ,294
理由,295
乗る,296
姿,297
最も,298
余り,299
会社,300
戻る,301
重要,302
だが,303
飲む,304
下,305
部屋,306
可成,307
でない,308
向かう,309
図る,310
生きる,311
通り,312
終わる,313
待つ,314
午後,315
ていただく,316
話す,317
もっと,318
先,319
状態,320
六,321
非常,322
其れから,323
こそ,324
現在,325
唯,326
迚も,327
答える,328
ばいい,329
身,330
部分,331
会う,332
情報,333
対象,334
見せる,335
私達,336
残る,337
なり,338
変える,339
時代,340
地域,341
様々,342
名前,343
のみ,344
死ぬ,345
確か,346
音,347
先生,348
てある,349
中心,350
殆ど,351
電話,352
別,353
実際,354
生活,355
目的,356
合わせる,357
旨い,358
生まれる,359
規定,360
定める,361
質問,362
始まる,363
つく,364
然も,365
母,366
加える,367
歩く,368
因る,369
当たる,370
進む,371
といった,372
君,373
ための,374
皆さん,375
さ,376
切る,377
道,378
夜,379
ことがある,380
花,381
選ぶ,382
利用する,383
我々,384
基づく,385
影響,386
足,387
述べる,388
本,389
決める,390
越える,391
可能性,392
続ける,393
若い,394
例,395
比べる,396
凄い,397
まあ,398
向ける,399
色々,400
七,401
実施する,402
可能,403
簡単,404
立てる,405
起こる,406
学校,407
此方,408
忘れる,409
明らか,410
小さな,411
何れ,412
送る,413
働く,414
進める,415
人達,416
用いる,417
企業,418
さえ,419
父,420
始める,421
ぞ,422
走る,423
小さい,424
三月,425
家族,426
御願いする,427
猶,428
木,429
今回,430
大切,431
外,432
描く,433
中々,434
彼れ,435
色,436
止める,437
思い,438
現われる,439
但し,440
中国,441
笑う,442
二つ,443
引く,444
難しい,445
御前,446
否,447
使用する,448
楽しい,449
同時,450
ずっと,451
美味しい,452
実は,453
表,454
親,455
程度,456
午前,457
所が,458
変化,459
矢っ張り,460
子供達,461
異なる,462
十分,463
頑張る,464
貰う,465
必ず,466
際,467
気付く,468
原因,469
作品,470
守る,471
伝える,472
一部,473
なんか,474
近い,475
最近,476
違い,477
当時,478
娘,479
覚える,480
奇麗,481
低い,482
法律,483
増える,484
住む,485
東京,486
積り,487
時期,488
昔,489
夢,490
伴う,491
様子,492
十月,493
かもしれません,494
上がる,495
即ち,496
八,497
頂く,498
調べる,499
打つ,500
こともある,501
何方,502
九月,503
神,504
店,505
嬉しい,506
沢山,507
四月,508
ああ,509
事実,510
開ける,511
に対し,512
面白い,513
残す,514
以下,515
存在する,516
起きる,517
同様,518
成す,519
十二月,520
日本人,521
新た,522
其々,523
深い,524
山,525
限り,526
動き,527
探す,528
てほしい,529
夫,530
妻,531
場,532
奴,533
させる,534
存在,535
男性,536
嫌,537
数,538
寝る,539
朝,540
海,541
致す,542
動く,543
無くなる,544
一月,545
どうして,546
社会,547
六月,548
御金,549
意見,550
語る,551
従って,552
三十分,553
其れでも,554
大変,555
所謂,556
光,557
五月,558
広い,559
八月,560
国民,561
関わる,562
十一月,563
町,564
離れる,565
暫く,566
従う,567
欲しい,568
首,569
今度,570
経つ,571
友達,572
事件,573
人生,574
駄目,575
占める,576
幾つ,577
驚く,578
金,579
具体的,580
思える,581
紹介する,582
名,583
つつ,584
除く,585
説明する,586
効果,587
胸,588
似る,589
二月,590
逆,591
殺す,592
限る,593
確認する,594
詳しい,595
立場,596
決まる,597
表わす,598
大丈夫,599
落ちる,600
取れる,601
困る,602
済む,603
病院,604
失う,605
土地,606
一日,607
何度,608
元,609
考え方,610
座る,611
起こす,612
聞こえる,613
含める,614
皆,615
現実,616
歴史,617
ずつ,618
目指す,619
至る,620
再び,621
過ぎる,622
とともに,623
繰り返す,624
環境,625
普通,626
耳,627
白い,628
以上,629
一方,630
ものの,631
母親,632
研究,633
売る,634
応ずる,635
病気,636
且つ,637
何とか,638
因みに,639
参加する,640
見付ける,641
厳しい,642
差す,643
知れる,644
乗せる,645
活動,646
信ずる,647
周り,648
遊ぶ,649
楽しむ,650
思い出す,651
美しい,652
資料,653
政府,654
決して,655
基本的,656
通す,657
役割,658
丸で,659
連れる,660
常,661
第一,662
酷い,663
歌,664
生ずる,665
所為,666
上る,667
責任,668
商品,669
てやる,670
扠,671
実,672
寧ろ,673
年,674
大事,675
確り,676
辺り,677
今年,678
正しい,679
発生する,680
触れる,681
死,682
行動,683
経験,684
食事,685
結構,686
迎える,687
雨,688
整備,689
九,690
多分,691
申し上げる,692
軽い,693
事業,694
着る,695
正に,696
過去,697
夏,698
極めて,699
恐らく,700
安い,701
評価,702
十,703
理解する,704
てもいい,705
参る,706
其れ等,707
三人,708
軈て,709
ゆっくり,710
テレビ,711
表示する,712
兎に角,713
略,714
消える,715
完全,716
考え,717
一体,718
大学,719
条件,720
振る,721
急度,722
押す,723
メール,724
有り難う,725
嘗て,726
注,727
面,728
やら,729
ことにする,730
流れる,731
直接,732
結局,733
明日,734
対応する,735
にしても,736
特徴,737
歌う,738
可愛い,739
映画,740
友人,741
七月,742
表情,743
空,744
調査,745
近く,746
はい,747
並ぶ,748
昨日,749
回る,750
第二,751
古い,752
自然,753
横,754
激しい,755
犬,756
繋がる,757
許す,758
学ぶ,759
合う,760
一般,761
味,762
当然,763
優しい,764
はっきり,765
データ,766
行為,767
払う,768
積極的,769
御母さん,770
頼む,771
文字,772
増加する,773
い,774
ことはない,775
宜しく,776
全体,777
息子,778
気分,779
に関して,780
ちゃんと,781
右,782
届く,783
機能,784
腰,785
下りる,786
大人,787
肩,788
機会,789
三つ,790
広がる,791
り,792
若しくは,793
予定,794
月,795
方向,796
絵,797
毎日,798
第一項,799
火,800
パソコン,801
怖い,802
捕らえる,803
割合,804
突然,805
是非,806
幾ら,807
流れ,808
建物,809
有する,810
尋ねる,811
結婚する,812
集める,813
戦争,814
集まる,815
では,816
説明,817
腕,818
規定する,819
近付く,820
壁,821
止まる,822
使える,823
父親,824
後ろ,825
出掛ける,826
身体,827
技術,828
押さえる,829
手紙,830
今後,831
種類,832
丁度,833
額,834
窓,835
どうしても,836
喜ぶ,837
権利,838
だけでなく,839
ポイント,840
制度,841
課題,842
掲げる,843
見詰める,844
命,845
ドア,846
以前,847
自由,848
個人,849
飛ぶ,850
他人,851
イメージ,852
クリックする,853
呉れる,854
張る,855
教育,856
果たす,857
始め,858
家庭,859
運ぶ,860
曲,861
英語,862
有名,863
黒,864
土,865
十時,866
渡る,867
作成する,868
記事,869
人物,870
可笑しい,871
感じる,872
絶対,873
何でも,874
金額,875
色んな,876
患者,877
避ける,878
警察,879
ホテル,880
抱く,881
意識,882
仕方,883
興味,884
春,885
酒,886
纏める,887
血,888
捨てる,889
推進する,890
船,891
性格,892
あんた,893
明るい,894
目標,895
音楽,896
ケース,897
次第,898
齎す,899
努力,900
過ごす,901
元々,902
本人,903
一般的,904
対応,905
当てる,906
大きさ,907
位置,908
伸ばす,909
無理,910
途中,911
度,912
としても,913
不思議,914
期待する,915
短い,916
白,917
赤い,918
雪,919
検討する,920
素晴らしい,921
開催する,922
左,923
痛い,924
落とす,925
秋,926
指,927
議論,928
匂い,929
結ぶ,930
すると,931
息,932
全然,933
眺める,934
計画,935
にて,936
タイプ,937
あらゆる,938
仰る,939
其れとも,940
一回,941
態度,942
材料,943
漸く,944
頷く,945
静か,946
によると,947
設ける,948
愛,949
傾向,950
女の子,951
能力,952
知識,953
成れる,954
分ける,955
泣く,956
全部,957
奥,958
一年,959
雰囲気,960
辛い,961
九時,962
を通じて,963
全国,964
提供する,965
地,966
米国,967
設定する,968
於く,969
答え,970
将来,971
設置する,972
馬,973
たらいい,974
訪れる,975
達する,976
涙,977
一層,978
返す,979
残念,980
通る,981
イギリス,982
敵,983
漸と,984
周囲,985
作業,986
記憶,987
施設,988
冬,989
急,990
利益,991
薬,992
いらっしゃる,993
支える,994
叫ぶ,995
事情,996
無料,997
選択する,998
量,999
文化,1000
分,1001
き,1002
取り組む,1003
猫,1004
段階,1005
組織,1006
少なくとも,1007
発表する,1008
重い,1009
ではありません,1010
上で,1011
料理,1012
取り敢えず,1013
人気,1014
逃げる,1015
及ぶ,1016
適切,1017
ええ,1018
発見する,1019
追う,1020
フランス,1021
新聞,1022
遅い,1023
購入する,1024
問う,1025
まい,1026
参考,1027
代わり,1028
関心,1029
遂に,1030
ごとし,1031
連絡,1032
同,1033
あ,1034
三年,1035
差,1036
抱える,1037
自分達,1038
指摘する,1039
嘘,1040
期間,1041
隣り,1042
向こう,1043
基準,1044
利く,1045
運動,1046
判断する,1047
年齢,1048
明治,1049
一本,1050
零,1051
自ら,1052
原則,1053
用意する,1054
価格,1055
伸びる,1056
腹,1057
表現,1058
二年,1059
見付かる,1060
システム,1061
うん,1062
旅,1063
髪,1064
勤める,1065
費用,1066
やや,1067
印象,1068
育てる,1069
申す,1070
魚,1071
特別,1072
実現する,1073
御店,1074
どんどん,1075
森,1076
ファックス,1077
怒る,1078
有り得る,1079
如何,1080
背景,1081
瞬間,1082
如何に,1083
減る,1084
韓国,1085
私共,1086
注意する,1087
隠す,1088
黒い,1089
固い,1090
村,1091
焼く,1092
先程,1093
姿勢,1094
其れで,1095
弱い,1096
流石,1097
従来,1098
側,1099
何だか,1100
かしら,1101
