WORD,FREQUENCY_RANKING
の,1
に,2
て,3
は,4
だ,5
を,6
た,7
為る,8
が,9
と,10
で,11
も,12
居る,13
ます,14
有る,15
です,16
言う,17
事,18
ない,19
れる,20
成る,21
一,22
無い,23
から,24
か,25
二,26
其の,27
様,28
三,29
十,30
ず,31
此の,32
物,33
的,34
其れ,35
御,36
や,37
年,38
来る,39
五,40
ば,41
思う,42
見る,43
行く,44
四,45
出来る,46
此れ,47
良い,48
者,49
私,50
など,51
ね,52
られる,53
よ,54
さん,55
因る,56
何,57
まで,58
時,59
六,60
二十,61
人,62
為,63
月,64
八,65
へ,66
てる,67
第,68
そう,69
七,70
九,71
だけ,72
日本,73
達,74
たい,75
どう,76
中,77
せる,78
又,79
つく,80
千,81
自分,82
所,83
三十,84
零,85
って,86
考える,87
仕舞う,88
つ,89
けれど,90
方,91
場合,92
な,93
今,94
持つ,95
彼,96
遣る,97
．,98
等,99
分かる,100
日,101
於く,102
五十,103
出る,104
前,105
行う,106
取る,107
たり,108
円,109
万,110
性,111
九百,112
訳,113
ながら,114
さ,115
百,116
下さる,117
然し,118
問題,119
必要,120
対する,121
使う,122
より,123
化,124
時間,125
聞く,126
四十,127
呉れる,128
知る,129
し,130
後,131
パーセント,132
そして,133
もう,134
会,135
置く,136
子供,137
こう,138
入る,139
気,140
作る,141
関係,142
此処,143
多い,144
御座る,145
其処,146
六十,147
目,148
九十,149
度,150
ほど,151
くらい,152
上,153
市,154
八十,155
出す,156
及び,157
社会,158
話,159
貴方,160
僕,161
手,162
以上,163
事業,164
歳,165
内,166
皆,167
七十,168
付ける,169
べし,170
付く,171
世界,172
他,173
点,174
受ける,175
人間,176
二千,177
次,178
良く,179
生活,180
法,181
同じ,182
書く,183
貰う,184
会社,185
何時,186
高い,187
得る,188
掛ける,189
条,190
そんな,191
男,192
研究,193
地域,194
顔,195
大,196
情報,197
意味,198
回,199
彼女,200
知れる,201
侭,202
図,203
言葉,204
入れる,205
国,206
関する,207
県,208
学校,209
間,210
上げる,211
り,212
仕事,213
大きい,214
一人,215
企業,216
誰,217
可能,218
分,219
二百,220
何処,221
見える,222
委員,223
頂く,224
時代,225
利用,226
少し,227
今日,228
本当,229
彼の,230
二人,231
掛かる,232
全て,233
声,234
現在,235
不,236
家,237
方法,238
経済,239
未だ,240
別,241
女性,242
矢張り,243
食べる,244
教える,245
頃,246
通り,247
共,248
心,249
年度,250
活動,251
違う,252
しか,253
始める,254
わ,255
環境,256
大きな,257
部,258
俺,259
トウキョウ,260
一寸,261
先,262
子,263
電話,264
結果,265
調査,266
変わる,267
過ぎる,268
ちゃん,269
君,270
相手,271
呼ぶ,272
感ずる,273
状況,274
強い,275
アメリカ,276
力,277
女,278
教育,279
買う,280
地,281
計画,282
技術,283
用,284
先ず,285
直ぐ,286
悪い,287
大学,288
続ける,289
先生,290
特に,291
ばかり,292
何の,293
内容,294
或いは,295
書,296
写真,297
約,298
保険,299
生,300
号,301
場所,302
車,303
昭和,304
筈,305
代,306
状態,307
一般,308
例えば,309
少ない,310
五百,311
使用,312
示す,313
部分,314
館,315
政府,316
長い,317
こんな,318
八百,319
平成,320
ページ,321
労働,322
好き,323
早い,324
制度,325
員,326
対象,327
みたい,328
存在,329
返る,330
開発,331
致す,332
気持ち,333
切る,334
基本,335
三百,336
規定,337
体,338
頭,339
質問,340
項,341
説明,342
読む,343
氏,344
省,345
水,346
何故,347
実施,348
表,349
全く,350
重要,351
立つ,352
施設,353
殆ど,354
なんて,355
新しい,356
話す,357
中国,358
地方,359
一緒,360
一番,361
管理,362
費,363
参加,364
機,365
易い,366
小,367
或る,368
口,369
型,370
最近,371
形,372
事件,373
語,374
国民,375
億,376
程度,377
勿論,378
中心,379
機関,380
余り,381
求める,382
与える,383
多く,384
欲しい,385
センター,386
生きる,387
権,388
文化,389
飲む,390
其々,391
詰まり,392
若し,393
整備,394
各,395
国際,396
額,397
願う,398
目的,399
姿,400
長,401
笑い,402
最初,403
実際,404
部屋,405
感じ,406
待つ,407
らしい,408
続く,409
我が,410
実,411
従う,412
既に,413
主義,414
更に,415
新,416
風,417
評価,418
金,419
率,420
乗る,421
どんな,422
認める,423
理由,424
ちゃう,425
全体,426
自由,427
変化,428
生産,429
以外,430
普通,431
下,432
つう,433
答える,434
最後,435
終わる,436
開く,437
側,438
初めて,439
家族,440
効果,441
含む,442
量,443
機能,444
人々,445
会う,446
以下,447
迚も,448
箇月,449
戻る,450
影響,451
理解,452
対策,453
母,454
山,455
感,456
都市,457
数,458
相談,459
四百,460
例,461
健康,462
系,463
対応,464
区,465
歩く,466
当たる,467
運動,468
最も,469
■,470
此方,471
業,472
料,473
午後,474
個人,475
夜,476
障害,477
非常,478
自然,479
品,480
学,481
安全,482
当時,483
期間,484
図る,485
政治,486
町,487
社,488
期,489
向かう,490
可成,491
元,492
大臣,493
確認,494
指導,495
なり,496
本,497
花,498
意識,499
自身,500
もっと,501
結婚,502
のみ,503
式,504
身,505
名,506
サービス,507
こそ,508
経営,509
唯,510
父,511
面,512
深い,513
システム,514
色,515
商品,516
今回,517
局,518
見せる,519
店,520
年間,521
事務,522
作品,523
死ぬ,524
六百,525
名前,526
若い,527
推進,528
音,529
変える,530
メートル,531
行動,532
同,533
法律,534
七百,535
自動,536
残る,537
発生,538
決定,539
歴史,540
駅,541
産業,542
テレビ,543
組織,544
屋,545
メール,546
課,547
違い,548
様々,549
特別,550
協力,551
病院,552
消費,553
報告,554
確か,555
道,556
旨い,557
価格,558
処理,559
選ぶ,560
事実,561
保護,562
増加,563
神,564
生まれる,565
表示,566
合わせる,567
条件,568
精神,569
客,570
行為,571
責任,572
進む,573
必ず,574
無,575
医療,576
室,577
設定,578
凄い,579
定める,580
経験,581
我々,582
文字,583
加える,584
始まる,585
昔,586
紹介,587
然も,588
親,589
足,590
今後,591
場,592
市場,593
一部,594
線,595
意見,596
走る,597
忘れる,598
関わる,599
土地,600
何方,601
木,602
映画,603
枚,604
団体,605
御前,606
まあ,607
際,608
働く,609
送る,610
戦争,611
渡る,612
決める,613
資料,614
注意,615
新聞,616
述べる,617
娘,618
同時,619
起こる,620
福祉,621
判断,622
銀行,623
三千,624
基づく,625
税,626
基準,627
住宅,628
時期,629
簡単,630
つつ,631
行政,632
交通,633
構造,634
朝,635
越える,636
川,637
午前,638
役,639
契約,640
予定,641
■■,642
番,643
代表,644
為さる,645
作業,646
政策,647
立てる,648
比べる,649
外国,650
世紀,651
近く,652
向ける,653
家庭,654
色々,655
男性,656
データ,657
描く,658
検討,659
選択,660
原因,661
小さい,662
市民,663
以前,664
販売,665
進める,666
外,667
支援,668
警察,669
指定,670
庁,671
自己,672
笑う,673
小さな,674
大切,675
軍,676
十分,677
村,678
明らか,679
再,680
何れ,681
全国,682
料理,683
投資,684
済む,685
友達,686
用いる,687
駄目,688
嫌,689
専門,690
思い,691
表現,692
楽しい,693
法人,694
さえ,695
作成,696
年金,697
期待,698
ぞ,699
能力,700
動く,701
引く,702
取り引き,703
裁判,704
国家,705
種類,706
彼れ,707
台,708
今度,709
難しい,710
打つ,711
猶,712
当該,713
ずっと,714
止める,715
位置,716
守る,717
都,718
心配,719
現実,720
奴,721
現われる,722
美味しい,723
辺り,724
階,725
士,726
連絡,727
科学,728
中々,729
道路,730
面白い,731
住む,732
官,733
建設,734
中央,735
絶対,736
党,737
楽しむ,738
ああ,739
昨日,740
具体,741
患者,742
同様,743
毎日,744
五千,745
選手,746
頑張る,747
伝える,748
比較,749
通信,750
会議,751
光,752
負担,753
否,754
夢,755
但し,756
無し,757
奇麗,758
申し込み,759
規模,760
生ずる,761
業務,762
勧める,763
提供,764
構成,765
被害,766
事故,767
奥,768
増える,769
オオサカ,770
幾,771
方向,772
変更,773
逆,774
個,775
件,776
金融,777
気付く,778
近い,779
低い,780
異なる,781
総合,782
上がる,783
覚える,784
関連,785
検査,786
位,787
治療,788
今年,789
様子,790
資金,791
嬉しい,792
音楽,793
全,794
成長,795
積り,796
高齢,797
広い,798
なんか,799
特定,800
妻,801
始め,802
論,803
設置,804
放送,805
限り,806
夫,807
調べる,808
伴う,809
通ずる,810
フランス,811
措置,812
以降,813
成す,814
購入,815
人生,816
ポイント,817
安定,818
章,819
一日,820
探す,821
価値,822
少年,823
非,824
開ける,825
段階,826
起きる,827
ホーム,828
即ち,829
海,830
語る,831
危険,832
種,833
沢山,834
残す,835
寝る,836
右,837
指摘,838
完全,839
登録,840
府,841
曲,842
院,843
自ら,844
食事,845
ホテル,846
計算,847
明日,848
隊,849
はっきり,850
動き,851
美しい,852
不安,853
至る,854
最高,855
新た,856
記録,857
一方,858
合う,859
大変,860
信ずる,861
連れる,862
無理,863
参考,864
撮影,865
年齢,866
努力,867
高校,868
ブログ,869
利益,870
させる,871
発展,872
半,873
クリック,874
身体,875
監督,876
死,877
無くなる,878
公共,879
限る,880
運転,881
発表,882
グループ,883
首,884
開催,885
改善,886
反対,887
エネルギー,888
申し上げる,889
開始,890
離れる,891
確保,892
担当,893
参照,894
結局,895
公園,896
症,897
全部,898
確り,899
所謂,900
拡大,901
暫く,902
立場,903
住民,904
経つ,905
とも,906
あっ,907
農業,908
主人,909
介護,910
座る,911
発見,912
改革,913
胸,914
共同,915
解決,916
体験,917
振り,918
落ちる,919
目標,920
調整,921
表わす,922
タイプ,923
動物,924
夏,925
遊ぶ,926
過去,927
考え,928
役割,929
起こす,930
決まる,931
毎,932
減少,933
黒,934
占める,935
倍,936
殺す,937
回答,938
ドル,939
驚く,940
戦,941
体制,942
旅行,943
試験,944
平均,945
困る,946
週間,947
病気,948
所得,949
ドイツ,950
展開,951
アップ,952
除く,953
準備,954
大丈夫,955
母親,956
似る,957
見付ける,958
応ずる,959
詳しい,960
将来,961
範囲,962
歌,963
思い出す,964
実現,965
イメージ,966
繰り返す,967
失う,968
地区,969
勉強,970
明治,971
互い,972
知識,973
友人,974
白い,975
資本,976
厳しい,977
聞こえる,978
耳,979
割,980
派,981
問い合わせ,982
白,983
希望,984
センチメートル,985
人気,986
権利,987
認識,988
最大,989
売る,990
制,991
学習,992
通す,993
可愛い,994
上る,995
金額,996
作り,997
含める,998
韓国,999
特徴,1000
人口,1001
許す,1002
スポーツ,1003
尋ねる,1004
目指す,1005
材料,1006
資産,1007
分野,1008
ずつ,1009
パソコン,1010
傾向,1011
海外,1012
学生,1013
再び,1014
高,1015
常,1016
因み,1017
防止,1018
製品,1019
移動,1020
園,1021
科,1022
細胞,1023
費用,1024
モデル,1025
席,1026
国内,1027
横,1028
回る,1029
絵,1030
株式,1031
レベル,1032
職員,1033
周り,1034
次第,1035
天皇,1036
輸入,1037
息子,1038
記事,1039
差,1040
酒,1041
無料,1042
手続き,1043
課題,1044
且つ,1045
大事,1046
迎える,1047
事項,1048
乗せる,1049
大人,1050
成功,1051
犬,1052
キョウト,1053
カード,1054
本人,1055
登場,1056
四千,1057
チーム,1058
着る,1059
改正,1060
距離,1061
歌う,1062
優しい,1063
器,1064
気分,1065
バス,1066
アジア,1067
正しい,1068
組合,1069
左,1070
決して,1071
酷い,1072
維持,1073
携帯,1074
注,1075
所為,1076
製造,1077
電気,1078
末,1079
安い,1080
人物,1081
寺,1082
米国,1083
予算,1084
雨,1085
災害,1086
建物,1087
難い,1088
主張,1089
反応,1090
取れる,1091
興味,1092
丸で,1093
ゆっくり,1094
ソフト,1095
形成,1096
軽い,1097
以来,1098
導入,1099
最終,1100
団,1101
総,1102
イギリス,1103
英語,1104
生徒,1105
義務,1106
財政,1107
触れる,1108
ファイル,1109
古い,1110
地球,1111
エド,1112
流れる,1113
押す,1114
扠,1115
物質,1116
寧ろ,1117
保健,1118
適用,1119
割合,1120
積極,1121
老人,1122
表情,1123
振る,1124
有り難う,1125
参る,1126
元気,1127
東,1128
途中,1129
結構,1130
キロ,1131
基礎,1132
味,1133
規制,1134
分析,1135
如何に,1136
支配,1137
児童,1138
ケース,1139
通常,1140
消える,1141
多分,1142
馬鹿,1143
記憶,1144
間違い,1145
請求,1146
観光,1147
番号,1148
要求,1149
議論,1150
空,1151
怖い,1152
正に,1153
極めて,1154
恐らく,1155
急,1156
機会,1157
ドア,1158
交換,1159
自治,1160
サイト,1161
自体,1162
類,1163
神経,1164
軈て,1165
工事,1166
申請,1167
払う,1168
兎に角,1169
一体,1170
提出,1171
略,1172
嘗て,1173
促進,1174
はい,1175
出品,1176
原則,1177
窓,1178
学ぶ,1179
チェック,1180
激しい,1181
急度,1182
兄,1183
営業,1184
活用,1185
先程,1186
医師,1187
腕,1188
現代,1189
やら,1190
直接,1191
仲間,1192
有名,1193
保存,1194
事情,1195
王,1196
上昇,1197
不思議,1198
終了,1199
土,1200
南,1201
差す,1202
文,1203
向上,1204
強化,1205
ちゃんと,1206
並ぶ,1207
ファックス,1208
工場,1209
是非,1210
原子,1211
捕らえる,1212
春,1213
有効,1214
諸,1215
組,1216
繋がる,1217
試合,1218
民間,1219
案,1220
北,1221
病,1222
攻撃,1223
画像,1224
六千,1225
性格,1226
建築,1227
出掛ける,1228
ワン,1229
腰,1230
成立,1231
会場,1232
頼む,1233
予想,1234
愛,1235
状,1236
ヨーロッパ,1237
ゲーム,1238
肩,1239
火,1240
大会,1241
雇用,1242
西,1243
過ごす,1244
デザイン,1245
当然,1246
重い,1247
社長,1248
夫婦,1249
一杯,1250
手紙,1251
機械,1252
一定,1253
層,1254
指,1255
用意,1256
要する,1257
下りる,1258
ボール,1259
近付く,1260
泣く,1261
剤,1262
付き,1263
集団,1264
果たす,1265
箇所,1266
取得,1267
空間,1268
猫,1269
広がる,1270
宜しく,1271
秋,1272
低下,1273
安心,1274
界,1275
設備,1276
届く,1277
い,1278
飛ぶ,1279
想像,1280
選挙,1281
印象,1282
突然,1283
宗教,1284
クラブ,1285
周辺,1286
父親,1287
現場,1288
明るい,1289
教授,1290
感覚,1291
野菜,1292
押さえる,1293
壁,1294
若しくは,1295
流れ,1296
落札,1297
比,1298
主,1299
集まる,1300
所有,1301
見詰める,1302
練習,1303
集める,1304
従来,1305
貿易,1306
困難,1307
値,1308
本来,1309
有する,1310
関心,1311
航空,1312
実験,1313
注目,1314
作用,1315
実行,1316
後ろ,1317
代わり,1318
命,1319
雪,1320
止まる,1321
記載,1322
メーカー,1323
他人,1324
図書,1325
充実,1326
制限,1327
感情,1328
脳,1329
教室,1330
公開,1331
癌,1332
張る,1333
グラム,1334
船,1335
茶,1336
交流,1337
血,1338
