WORD,FREQUENCY_RANKING
の,1
は,2
が,3
を,4
に,5
よ,6
も,7
と,8
で,9
ね,10
か,11
って,12
だ,13
な,14
から,15
さん,16
です,17
私,18
言う,19
はい,20
来る,21
んだ,22
じゃ,23
何,24
アッ,25
思う,26
尾,27
でも,28
ない,29
俺,30
こと,31
ひと,32
んです,33
この,34
要る,35
や,36
ん,37
流,38
あの,39
けど,40
えっ,41
事,42
分かる,43
君,44
もう,45
嫌,46
お前,47
鋳る,48
あ,49
うん,50
いい,51
ちょっと,52
これ,53
あなた,54
ああ,55
鳴る,56
その,57
照る,58
ちゃん,59
だから,60
ある,61
には,62
田,63
ねえ,64
そんな,65
よね,66
さ,67
ください,68
わ,69
し,70
先生,71
今,72
だけ,73
柄,74
僕,75
何で,76
増す,77
暮れる,78
何か,79
そう,80
ぞ,81
ですか,82
なんて,83
だって,84
なんだ,85
て,86
じゃあ,87
聞く,88
知る,89
大丈夫,90
まで,91
反る,92
自分,93
どう,94
待つ,95
音,96
なら,97
のか,98
ここ,99
へ,100
のに,101
して,102
板,103
ー,104
だろ,105
とか,106
擦る,107
るん,108
とは,109
出る,110
い,111
話,112
老いる,113
あれ,114
みたい,115
皆,116
年,117
立つ,118
では,119
男,120
まだ,121
こんな,122
仕事,123
たい,124
違う,125
殊,126
難,127
ありがとう,128
時,129
かな,130
また,131
それは,132
中,133
う,134
という,135
出す,136
母,137
本当に,138
舌,139
吸う,140
考える,141
ええ,142
だと,143
でしょ,144
死ぬ,145
そうだ,146
頂く,147
担う,148
まあ,149
語,150
内,151
もの,152
方,153
あった,154
よう,155
病む,156
好き,157
溶く,158
子,159
入る,160
どこ,161
ので,162
反,163
前,164
悪い,165
殺す,166
誰,167
ゆく,168
帰る,169
女,170
食べる,171
なんか,172
あんた,173
家,174
みて,175
門,176
だけど,177
ごめん,178
本,179
一緒に,180
として,181
今日,182
診る,183
然う言う,184
なんです,185
彼女,186
算賀,187
買う,188
ほら,189
これは,190
作る,191
持つ,192
よかった,193
負,194
どうして,195
こんにちは,196
話す,197
羅,198
生きる,199
湧く,200
折る,201
どうぞ,202
やる,203
お母さん,204
魔,205
酔う,206
より,207
声,208
早く,209
そうです,210
ただ,211
んで,212
ちゃんと,213
にする,214
驢,215
それが,216
お父さん,217
使う,218
よく,219
お願いします,220
時間,221
こっち,222
失礼,223
事件,224
諸,225
欲しい,226
目,227
それで,228
多い,229
やっぱり,230
でしょう,231
やつ,232
同じ,233
澄む,234
人間,235
あい,236
ありがとうございます,237
頼む,238
分,239
ずっと,240
ないです,241
終わる,242
跡,243
婬,244
よし,245
個個に,246
顔,247
前に,248
じゃん,249
嘘,250
彼,251
だろう,252
無理,253
社長,254
どういう,255
ところ,256
戻る,257
になる,258
結婚,259
何も,260
背,261
本当,262
確か,263
子供,264
馬鹿,265
一,266
ありません,267
そして,268
犯人,269
あいつ,270
いえ,271
もっと,272
やった,273
痛い,274
一同,275
溜める,276
無くなる,277
巣,278
明日,279
感じる,280
すごい,281
飲む,282
警察,283
得る,284
医院,285
なかった,286
日,287
ママ,288
ですが,289
会社,290
のです,291
あります,292
こちら,293
ことは,294
力,295
たの,296
教える,297
訓,298
茣蓙,299
しかし,300
女性,301
度,302
書く,303
じゃないか,304
全て,305
金,306
ウッ,307
信じる,308
見える,309
心配,310
必要,311
積もる,312
みた,313
著,314
のために,315
あって,316
どんな,317
かね,318
万,319
できる,320
わよ,321
フッ,322
店,323
全部,324
ゆって,325
はあ,326
過ぎる,327
ぜ,328
気,329
全然,330
家族,331
体,332
だったら,333
さあ,334
だれか,335
渡す,336
心,337
者,338
焚く,339
どうも,340
気持ち,341
手,342
これから,343
負う,344
餡,345
これで,346
常,347
なぜ,348
助ける,349
電話,350
忘れる,351
呼ぶ,352
殿,353
なあ,354
名前,355
いつも,356
ですから,357
区,358
光,359
かもしれない,360
陽,361
次,362
入れる,363
一番,364
鳴く,365
守る,366
まさか,367
だが,368
御免なさい,369
逃げる,370
相手,371
お願い,372
陽に,373
かも,374
そうか,375
なきゃ,376
しか,377
韃靼,378
大事,379
茶,380
いいです,381
１人,382
私たち,383
問題,384
見せる,385
幸せ,386
以上,387
大変,388
友達,389
少し,390
絶対,391
など,392
部屋,393
っす,394
男性,395
ために,396
生む,397
鼻,398
ふふ,399
捕る,400
怖い,401
意味,402
きっと,403
取る,404
今度,405
変わる,406
野郎,407
第一,408
娘,409
とする,410
皆さん,411
もし,412
時に,413
初める,414
それに,415
調べる,416
韻,417
ぐらい,418
あんな,419
パパ,420
夢,421
実は,422
すか,423
動く,424
たら,425
なり,426
美味い,427
異,428
さっき,429
お金,430
別に,431
世界,432
働く,433
変,434
場所,435
いやいや,436
開く,437
致す,438
のだ,439
覚える,440
楽しい,441
刑事,442
ば,443
最後,444
始める,445
点,446
添う,447
壮,448
着る,449
わし,450
付ける,451
とも,452
請う,453
昨日,454
病院,455
決める,456
昔,457
連絡,458
どうした,459
もちろん,460
色々,461
関係,462
夜,463
人生,464
捜査,465
うさぎ,466
学校,467
続ける,468
街,469
ゆこう,470
言葉,471
ドア,472
歳,473
命,474
てるの,475
濃い,476
付き合う,477
達,478
許す,479
あの人,480
うわ,481
的,482
どの,483
売る,484
短打,485
言,486
ほど,487
決まる,488
季,489
残る,490
である,491
ではある,492
乗る,493
今回,494
父,495
外,496
日本,497
なくて,498
すぐ,499
元気,500
頑張って,501
賭ける,502
お疲れさま,503
寝る,504
どうしたの,505
教科書体,506
おいしい,507
我々,508
まず,509
こそ,510
食う,511
新しい,512
太い,513
去る,514
頭,515
詰まる,516
張る,517
すぐに,518
受ける,519
暮らす,520
最初,521
泣く,522
可愛い,523
勝手,524
困る,525
後,526
過渡,527
起きる,528
通る,529
撥ねる,530
生ける,531
上,532
まじ,533
もしもし,534
はず,535
底,536
笑う,537
わっ,538
普通,539
親,540
生徒,541
一つ,542
日文,543
写真,544
できない,545
先輩,546
必ず,547
あら,548
笑い声,549
ゆった,550
かたくな,551
怒る,552
遅い,553
おはようございます,554
み,555
糸,556
よろしく,557
このまま,558
しまった,559
読む,560
東京,561
奥さん,562
最近,563
俺たち,564
約束,565
見つける,566
母親,567
なるほど,568
あの子,569
諱む,570
送る,571
斯う言う,572
くらい,573
息子,574
欄,575
ただいま,576
車,577
件,578
いいから,579
いく,580
捨てる,581
文,582
とにかく,583
料理,584
強いる,585
け,586
面白い,587
辞める,588
竹刀,589
行,590
こいつ,591
返す,592
伝える,593
理由,594
高い,595
何とか,596
にとって,597
全く,598
かよ,599
部,600
そんなに,601
砲,602
旦那,603
もらって,604
黙る,605
っていうか,606
そっか,607
患者,608
似付く,609
明朝体,610
勝つ,611
現場,612
回,613
疲れる,614
落ちる,615
被害者,616
のこ,617
ごろ,618
側,619
情報,620
宝,621
七日,622
間,623
ったら,624
なんでも,625
今まで,626
父親,627
長い,628
一人,629
落ち着く,630
槍,631
もらう,632
確認,633
申す,634
若い,635
ところで,636
だれも,637
絶対に,638
負ける,639
消火,640
ながら,641
あるの,642
かい,643
携帯,644
選ぶ,645
つま,646
いつ,647
里,648
もしかして,649
他,650
部長,651
まま,652
可能性,653
大,654
じゃね,655
間違う,656
よろしくお願いします,657
ばかり,658
朝,659
ダメ,660
認める,661
地,662
証拠,663
寸,664
戦う,665
答える,666
おはよう,667
一体,668
隠す,669
始まる,670
亡くなる,671
らしい,672
探す,673
へえ,674
分かんない,675
課長,676
慕う,677
早い,678
諦める,679
労,680
恋,681
参る,682
あり,683
そうですね,684
字,685
ばっかり,686
やだ,687
大切,688
屎,689
賞,690
帰ってくる,691
気になる,692
そりゃ,693
急に,694
辛い,695
最高,696
仲間,697
ことがある,698
元,699
優しい,700
切る,701
殊に,702
白い,703
愚,704
夫,705
しまう,706
１つ,707
国,708
変える,709
一緒,710
似寄る,711
閉まる,712
別れる,713
羃,714
それだけ,715
注す,716
やばい,717
素,718
円い,719
捜す,720
打ち荷,721
もらった,722
簡単,723
突く,724
用,725
結果,726
似合う,727
かしら,728
出てくる,729
できた,730
けっこう,731
道,732
急ぐ,733
先,734
お帰り,735
名,736
賀する,737
続く,738
べ,739
そっち,740
思い出す,741
空,742
一度,743
救う,744
つ,745
母さん,746
忙しい,747
任せる,748
準備,749
そろそろ,750
それから,751
本気,752
毎日,753
貸す,754
やっと,755
相談,756
どっち,757
開ける,758
泣き声,759
ことも,760
久しぶり,761
でございます,762
します,763
ゆき,764
風,765
結局,766
手伝う,767
足,768
あげる,769
たって,770
巳,771
向かう,772
謝る,773
みる,774
御座います,775
しかない,776
やっぱ,777
場合,778
愛,779
ますよ,780
お店,781
同氏,782
図,783
区内,784
折れる,785
その時,786
聞こえる,787
やがる,788
二人,789
大学,790
止める,791
医者,792
撮る,793
大きい,794
別,795
たくさん,796
もう一度,797
いいえ,798
多分,799
先に,800
すごく,801
休む,802
かもしれません,803
ヤツ,804
貼る,805
離れる,806
罪,807
辺,808
揉む,809
わけ,810
一人で,811
木,812
よい,813
ません,814
狙う,815
うれしい,816
味,817
消える,818
邦画,819
遭難,820
ものを,821
あはは,822
邪魔,823
座る,824
遊ぶ,825
ため息,826
ないと,827
舎,828
親父,829
ううん,830
しかも,831
やって来る,832
説明,833
県,834
姿,835
ならない,836
払う,837
済む,838
気づく,839
大きな,840
女子,841
口,842
はいはい,843
勉強,844
ダメだ,845
ゆっくり,846
底荷,847
神,848
ひどい,849
歩く,850
状況,851
広い,852
当たる,853
花,854
近く,855
手術,856
首,857
拍手,858
出会う,859
わけじゃない,860
海,861
内科,862
用意,863
山,864
残す,865
桜,866
町,867
全員,868
逮捕,869
しま,870
住む,871
自殺,872
強い,873
方がいい,874
メール,875
せっかく,876
教授,877
ナレーター,878
随分,879
合う,880
疑う,881
未来,882
他に,883
兄,884
熱い,885
こんなに,886
ないで,887
今夜,888
素っ,889
さすが,890
上がる,891
難しい,892
釣る,893
大人,894
弟子,895
なかなか,896
会,897
素敵,898
噂,899
造る,900
乃至,901
穂,902
農,903
飛ぶ,904
のように,905
どうしても,906
雅,907
歌,908
敵,909
るか,910
お腹,911
以外,912
大好き,913
弁護士,914
下,915
女の子,916
やん,917
あげて,918
驚く,919
起こす,920
おかしい,921
だめ,922
借りる,923
水,924
いくら,925
ありました,926
乗せる,927
そこで,928
こら,929
それでも,930
楽しむ,931
いいか,932
お姉ちゃん,933
戦,934
東,935
したら,936
すね,937
愛する,938
黒い,939
何て,940
正直,941
責任,942
銅貨,943
伺う,944
はずだ,945
お待ち,946
組む,947
危ない,948
課,949
私達,950
存在,951
向こう,952
離婚,953
いらっしゃい,954
お話,955
いっぱい,956
そこまで,957
匂う,958
とりあえず,959
願う,960
気付く,961
あとで,962
屋,963
無事,964
方法,965
オペ,966
誘う,967
生,968
似る,969
安心,970
波動,971
持ってくる,972
笑む,973
戻ってくる,974
父さん,975
あそこ,976
五日,977
そうね,978
時代,979
いらっしゃいませ,980
とても,981
知り合う,982
湾,983
今から,984
座,985
失敗,986
鷹,987
視点,988
客,989
番,990
れる,991
騙す,992
殺害,993
担当,994
走る,995
事故,996
どうせ,997
たかった,998
奪う,999
社員,1000
気にする,1001
そういえば,1002
助かる,1003
よいしょ,1004
隣る,1005
突然,1006
わざわざ,1007
様,1008
今年,1009
様子,1010
うるさい,1011
箱,1012
多様,1013
そしたら,1014
夏,1015
空く,1016
報告,1017
非,1018
としても,1019
遺体,1020
どこか,1021
えっと,1022
どうやって,1023
糊塗,1024
犬,1025
間違いない,1026
願,1027
余計,1028
易い,1029
断る,1030
問う,1031
発見,1032
十分,1033
消す,1034
悼む,1035
っけ,1036
黄,1037
危険,1038
やはり,1039
知,1040
過去,1041
生活,1042
葬送,1043
下さる,1044
傷つく,1045
でき,1046
おかげで,1047
言値,1048
それも,1049
ことになる,1050
裏,1051
甘い,1052
しっかり,1053
ばれる,1054
失う,1055
多飲,1056
覚悟,1057
紹介,1058
超,1059
望む,1060
デート,1061
お兄ちゃん,1062
描く,1063
回想,1064
ノック,1065
当然,1066
週間,1067
盗む,1068
貫,1069
残念,1070
関係ない,1071
くせに,1072
