WORD,FREQUENCY_RANKING
の,1
だ,2
は,3
た,4
に,5
を,6
が,7
て,8
する,9
ない,10
よ,11
と,12
で,13
か,14
も,15
てる,16
ん,17
です,18
ます,19
ね,20
いる,21
な,22
から,23
何,24
う,25
ある,26
私,27
こと,28
わ,29
れる,30
いい,31
そう,32
なる,33
じゃ,34
人,35
俺,36
言う,37
この,38
たい,39
って,40
やる,41
これ,42
行く,43
分かる,44
君,45
ば,46
くれる,47
それ,48
でも,49
ぞ,50
どう,51
見る,52
来る,53
くる,54
お前,55
さん,56
けど,57
お,58
思う,59
もう,60
その,61
や,62
できる,63
あなた,64
さ,65
だけ,66
僕,67
あっ,68
ここ,69
へ,70
ああ,71
せる,72
よう,73
彼,74
あ,75
まで,76
られる,77
たち,78
今,79
知る,80
時,81
誰,82
え,83
あの,84
聞く,85
はい,86
出る,87
話,88
く,89
ため,90
年,91
待つ,92
前,93
どこ,94
気,95
音,96
なぜ,97
彼女,98
中,99
うん,100
そんな,101
違う,102
大丈夫,103
ぬ,104
自分,105
なんて,106
のに,107
いく,108
男,109
よい,110
まだ,111
し,112
ありがとう,113
ちょっと,114
また,115
みんな,116
いや,117
やめる,118
かも,119
悪い,120
いう,121
死ぬ,122
みたい,123
だって,124
日,125
家,126
みる,127
時間,128
早い,129
手,130
えっ,131
もの,132
すごい,133
話す,134
ダメ,135
くださる,136
殺す,137
戻る,138
なんだ,139
持つ,140
帰る,141
だから,142
こんな,143
今日,144
ら,145
目,146
入る,147
仕事,148
よく,149
好き,150
必要,151
ちゃん,152
ちゃう,153
より,154
考える,155
会う,156
女,157
じゃあ,158
食べる,159
同じ,160
ねえ,161
はず,162
あれ,163
という,164
ええ,165
本当に,166
おい,167
あと,168
あんた,169
とか,170
使う,171
もらう,172
ぜ,173
ほう,174
子,175
作る,176
さあ,177
すぐ,178
分,179
先生,180
問題,181
すぎる,182
様,183
次,184
ご,185
他,186
バカ,187
入れる,188
だが,189
心配,190
出す,191
信じる,192
頼む,193
そして,194
まあ,195
電話,196
なさる,197
車,198
子供,199
一,200
者,201
ただ,202
私たち,203
お願い,204
一緒に,205
しか,206
見える,207
べし,208
後,209
わけ,210
こっち,211
として,212
どうも,213
人間,214
ママ,215
忘れる,216
声,217
友達,218
もっと,219
呼ぶ,220
顔,221
力,222
しまう,223
最高,224
うち,225
飲む,226
こう,227
方,228
つく,229
つける,230
ウソ,231
そこ,232
教える,233
取る,234
なんか,235
たり,236
女性,237
助ける,238
俺たち,239
少し,240
でる,241
何だ,242
おく,243
うる,244
名前,245
ちゃ,246
もん,247
家族,248
いつも,249
万,250
ごめん,251
世界,252
本当,253
ま,254
歳,255
あいつ,256
逃げる,257
せい,258
最後,259
奴,260
娘,261
頭,262
生きる,263
かける,264
無理,265
ほら,266
パパ,267
見せる,268
関係,269
うまい,270
それで,271
どんな,272
め,273
どうぞ,274
ござる,275
心,276
守る,277
場所,278
終わる,279
相手,280
我々,281
ので,282
あげる,283
変わる,284
ずっと,285
寝る,286
買う,287
ほしい,288
絶対,289
体,290
部屋,291
以上,292
先,293
１つ,294
彼ら,295
頑張る,296
明日,297
よし,298
上,299
ほど,300
怖い,301
神,302
強い,303
全部,304
どうして,305
楽しい,306
もちろん,307
すべて,308
回,309
息子,310
おる,311
夢,312
物,313
うわ,314
始める,315
まさか,316
らしい,317
つもり,318
とき,319
金,320
見つける,321
初めて,322
いつ,323
起きる,324
本,325
とる,326
結婚,327
大変,328
では,329
愛す,330
覚える,331
元気,332
がる,333
続ける,334
人生,335
なあ,336
意味,337
店,338
とく,339
黙る,340
こいつ,341
かい,342
やつ,343
まま,344
書く,345
そういう,346
乗る,347
など,348
所,349
しれる,350
第,351
一緒,352
警察,353
言葉,354
しかし,355
皆,356
気持ち,357
父,358
理由,359
きっと,360
受ける,361
ひどい,362
言える,363
決める,364
どういう,365
やっぱり,366
元,367
最初,368
うつ,369
ドル,370
犬,371
事,372
男性,373
こそ,374
変,375
き,376
準備,377
母,378
番,379
夜,380
仲間,381
かしら,382
敵,383
外,384
昔,385
感じる,386
危険,387
つ,388
なんで,389
怒る,390
写真,391
数,392
連絡,393
空,394
愛,395
命,396
確かに,397
ところ,398
くらい,399
大事,400
り,401
大,402
一番,403
うれしい,404
急ぐ,405
いける,406
どうか,407
約束,408
動く,409
ばかり,410
ハッ,411
別,412
許す,413
水,414
イヤ,415
おお,416
選ぶ,417
とおり,418
王,419
用,420
かかる,421
消える,422
何で,423
止める,424
妻,425
ハア,426
今度,427
残る,428
悟,429
そうね,430
送る,431
笑い声,432
何でも,433
欲しい,434
口,435
こちら,436
おいしい,437
海,438
一体,439
ちる,440
探す,441
全員,442
感じ,443
行う,444
面白い,445
幸せ,446
いいえ,447
任せる,448
ちゃんと,449
国,450
多い,451
名,452
わかる,453
度,454
開く,455
学校,456
はっ,457
開ける,458
さっき,459
間,460
伝える,461
うい,462
ながら,463
じ,464
新しい,465
野郎,466
高い,467
父親,468
戦う,469
星,470
料理,471
件,472
船,473
驚く,474
調べる,475
とても,476
母親,477
チーム,478
やあ,479
事件,480
今回,481
勝つ,482
道,483
情報,484
失う,485
夫,486
痛い,487
全て,488
なに,489
父さん,490
これから,491
終わり,492
姿,493
捜す,494
変える,495
今夜,496
もし,497
失礼,498
マジ,499
あー,500
普通,501
連れる,502
合う,503
それに,504
お母さん,505
座る,506
あんな,507
下,508
つまり,509
ドア,510
母さん,511
クソ,512
切る,513
嫌,514
得る,515
方法,516
撃つ,517
聞こえる,518
える,519
フッ,520
一同,521
よろしく,522
確認,523
読む,524
はあ,525
落ちる,526
簡単,527
状況,528
銃,529
感謝,530
なん,531
負ける,532
なんです,533
必ず,534
全然,535
立つ,536
気分,537
ごめんなさい,538
なれる,539
み,540
る,541
冗談,542
捨てる,543
かわいい,544
すみません,545
おっ,546
残念,547
なるほど,548
そ,549
皆さん,550
わし,551
殴る,552
町,553
泣く,554
実は,555
ふる,556
まったく,557
犯人,558
質問,559
落ち着く,560
とにかく,561
離れる,562
あら,563
病院,564
んで,565
酒,566
隠す,567
について,568
長い,569
食う,570
頃,571
お金,572
返す,573
遅い,574
ゲーム,575
ホント,576
困る,577
気づく,578
渡す,579
売る,580
こ,581
服,582
ちまう,583
血,584
死,585
楽しむ,586
結果,587
足,588
働く,589
映画,590
すむ,591
平気,592
け,593
じゃん,594
見つかる,595
まず,596
最近,597
認める,598
与える,599
会社,600
お父さん,601
花,602
計画,603
存在,604
先輩,605
ぐらい,606
きれい,607
馬,608
にとって,609
了解,610
成功,611
ど,612
会える,613
説明,614
良い,615
おかげ,616
始まる,617
救う,618
木,619
本気,620
週間,621
薬,622
難しい,623
大きな,624
笑う,625
とこ,626
しっかり,627
結構,628
おはよう,629
社長,630
食事,631
街,632
走る,633
失敗,634
昨日,635
向かう,636
あの子,637
当然,638
払う,639
要る,640
証拠,641
奪う,642
置く,643
二,644
朝,645
選手,646
つらい,647
通り,648
優しい,649
手伝う,650
答える,651
攻撃,652
着る,653
用意,654
今まで,655
理解,656
銀,657
秘密,658
以外,659
決まる,660
似る,661
ろ,662
いただく,663
試合,664
おかしい,665
別に,666
的,667
いろいろ,668
住む,669
火,670
アメリカ,671
村,672
月,673
さすが,674
たくさん,675
っていう,676
そんなに,677
上げる,678
妹,679
島,680
求める,681
美しい,682
ジョン,683
邪魔,684
す,685
本物,686
てめえ,687
とも,688
よる,689
軍,690
助かる,691
真,692
パーティー,693
キス,694
すばらしい,695
撮る,696
点,697
何とか,698
曲,699
位,700
味,701
調子,702
させる,703
まるで,704
協力,705
ファン,706
特別,707
おめでとう,708
行ける,709
おう,710
無事,711
十分,712
もらえる,713
ン,714
忙しい,715
生徒,716
２つ,717
未来,718
っす,719
南,720
親,721
州,722
戦い,723
キロ,724
貸す,725
ステキ,726
罪,727
聖,728
大好き,729
狙う,730
経験,731
人々,732
大学,733
若い,734
くん,735
もしもし,736
友人,737
思い出す,738
ほる,739
どれ,740
気に入る,741
歩く,742
女の子,743
続く,744
身,745
こんにちは,746
練習,747
弟,748
号,749
嫌い,750
僕ら,751
止まる,752
盗む,753
音楽,754
間違い,755
チャンス,756
過去,757
最悪,758
いえ,759
生まれる,760
逮捕,761
光,762
だったら,763
オレ,764
恋人,765
デート,766
どっち,767
生活,768
急,769
客,770
進む,771
歌う,772
ひる,773
歌,774
腕,775
考え,776
やっと,777
だい,778
毎日,779
飛ぶ,780
ゆっくり,781
どの,782
近く,783
ったら,784
風,785
危ない,786
安心,787
諦める,788
安全,789
テレビ,790
絵,791
疲れる,792
記憶,793
現れる,794
そっち,795
兄,796
済む,797
貴様,798
追う,799
作戦,800
べ,801
こういう,802
正直,803
連中,804
すいません,805
謝る,806
携帯,807
あそこ,808
真実,809
遊ぶ,810
剣,811
命令,812
勝手,813
多く,814
目的,815
子供たち,816
番組,817
可能性,818
まずは,819
かなり,820
奴ら,821
上がる,822
ナレーション,823
行動,824
くせ,825
完璧,826
正しい,827
ケンカ,828
わっ,829
秒,830
楽しみ,831
兵士,832
もう一度,833
場合,834
マン,835
宇宙,836
望む,837
楽,838
息,839
色,840
ナレーター,841
休む,842
あたし,843
大切,844
患者,845
そりゃ,846
事故,847
戦争,848
責任,849
さくら,850
触る,851
ちょ,852
確か,853
別れる,854
残す,855
助け,856
室,857
紹介,858
っけ,859
状態,860
消す,861
胸,862
いくら,863
報告,864
魔法,865
重要,866
引く,867
自由,868
打つ,869
フン,870
弁護士,871
観客,872
ほか,873
着く,874
キム,875
興味,876
使える,877
勉強,878
後ろ,879
バレる,880
警官,881
時代,882
様子,883
会長,884
組,885
大人,886
たって,887
親父,888
くい,889
なら,890
山,891
期待,892
倒す,893
イカ,894
もう少し,895
襲う,896
病気,897
起こす,898
うるさい,899
小さい,900
傷,901
完全,902
捕まえる,903
メール,904
断る,905
トイレ,906
ホテル,907
君たち,908
城,909
そっ,910
大きい,911
それから,912
壁,913
両親,914
陛下,915
描く,916
運ぶ,917
深い,918
ホントに,919
ども,920
日本語字幕,921
超,922
鍵,923
特に,924
大統領,925
迎える,926
地球,927
解決,928
ケガ,929
雪,930
だけど,931
役,932
そろそろ,933
記録,934
僕たち,935
近づく,936
ふざける,937
刑事,938
そば,939
捜査,940
仕方,941
天,942
魂,943
