WORD,FREQUENCY_RANKING
だ,1
は,2
の,3
た,4
に,5
を,6
て,7
が,8
する,9
も,10
と,11
で,12
よ,13
ない,14
てる,15
か,16
です,17
ます,18
ね,19
ん,20
何,21
な,22
私,23
いる,24
お,25
こと,26
ある,27
わ,28
いい,29
から,30
れる,31
なる,32
そう,33
さん,34
どう,35
俺,36
それ,37
って,38
言う,39
ぬ,40
この,41
やる,42
これ,43
たい,44
行く,45
ば,46
分かる,47
くれる,48
見る,49
もう,50
ぞ,51
その,52
たち,53
来る,54
けど,55
お前,56
くる,57
思う,58
僕,59
だけ,60
で,61
君,62
いう,63
できる,64
今,65
彼,66
あなた,67
ここ,68
人,69
せる,70
まで,71
ああ,72
へ,73
誰,74
知る,75
あっ,76
よう,77
られる,78
聞く,79
さ,80
ら,81
はい,82
気,83
待つ,84
出る,85
話,86
あの,87
前,88
ため,89
年,90
者,91
どこ,92
なぜ,93
時,94
ちゃん,95
彼女,96
自分,97
だ,98
なん,99
本当,100
し,101
うん,102
違う,103
大丈夫,104
よい,105
いく,106
いや,107
あ,108
もの,109
様,110
まだ,111
時間,112
ちょっと,113
ありがとう,114
なんて,115
いつ,116
男,117
やめる,118
そんな,119
死ぬ,120
悪い,121
入る,122
みんな,123
すごい,124
みたい,125
的,126
早い,127
や,128
話す,129
ダメ,130
手,131
持つ,132
つ,133
くださる,134
より,135
家,136
帰る,137
一緒,138
ご,139
戻る,140
みる,141
殺す,142
えっ,143
今日,144
仕事,145
子,146
２人,147
好き,148
人,149
よく,150
中,151
なさる,152
すぐ,153
ちゃう,154
っつう,155
必要,156
考える,157
父,158
度,159
会う,160
おい,161
こんな,162
女,163
ええ,164
じゃあ,165
母,166
食べる,167
ん,168
こう,169
はず,170
でる,171
使う,172
あんた,173
君,174
あと,175
子供,176
え,177
目,178
い,179
出す,180
ごめん,181
作る,182
そこ,183
もらう,184
問題,185
ぜ,186
バカ,187
次,188
世界,189
少し,190
わけ,191
まあ,192
電話,193
あれ,194
さあ,195
先生,196
日,197
中,198
心配,199
入れる,200
１人,201
ほう,202
頼む,203
奴,204
そして,205
しまう,206
べし,207
すむ,208
人間,209
皆,210
じゃ,211
また,212
見える,213
呼ぶ,214
人,215
他,216
しか,217
願う,218
車,219
顔,220
関係,221
こっち,222
友達,223
つける,224
忘れる,225
場所,226
もっと,227
最高,228
すぎる,229
取る,230
力,231
助ける,232
飲む,233
金,234
ママ,235
ウソ,236
教える,237
うっ,238
信ずる,239
せい,240
心,241
家族,242
先,243
別,244
ところ,245
名前,246
生きる,247
同じ,248
者,249
かける,250
こそ,251
逃げる,252
歳,253
結婚,254
娘,255
あいつ,256
最後,257
相手,258
時,259
無理,260
変わる,261
怖い,262
もし,263
うまい,264
見せる,265
分,266
ほら,267
まま,268
おく,269
守る,270
頭,271
絶対,272
ござる,273
どうぞ,274
終わる,275
パパ,276
ヤツ,277
我々,278
たり,279
部屋,280
回,281
あげる,282
ずっと,283
大,284
買う,285
寝る,286
後,287
愛する,288
始める,289
ほど,290
以上,291
神,292
て,293
ほしい,294
とく,295
頑張る,296
息子,297
どんな,298
警察,299
じゃ,300
意味,301
確か,302
強い,303
っす,304
全部,305
もちろん,306
よし,307
続ける,308
女性,309
すべて,310
見つける,311
気持ち,312
夢,313
明日,314
まさか,315
つもり,316
楽しい,317
方,318
人生,319
第,320
体,321
元気,322
物,323
しれる,324
後,325
上,326
初めて,327
とき,328
起きる,329
よる,330
覚える,331
こいつ,332
所,333
準備,334
番,335
書く,336
失礼,337
まず,338
もん,339
ひどい,340
つく,341
言葉,342
など,343
店,344
しかし,345
写真,346
乗る,347
ホント,348
料理,349
理由,350
不,351
きっと,352
仲間,353
受ける,354
黙る,355
かしら,356
連絡,357
決める,358
事,359
大変,360
やっぱり,361
危険,362
最初,363
学校,364
ドル,365
性,366
感じ,367
昔,368
所,369
つう,370
変,371
会,372
約束,373
間,374
命,375
やつ,376
いける,377
野郎,378
情報,379
実,380
くらい,381
事件,382
動く,383
急ぐ,384
敵,385
怒る,386
一番,387
ねえ,388
立つ,389
日,390
なし,391
うれしい,392
声,393
大事,394
ばかり,395
方,396
う,397
らしい,398
元,399
ハッ,400
残る,401
連れる,402
夜,403
ああっ,404
口,405
止める,406
おる,407
任せる,408
面白い,409
許す,410
多い,411
水,412
とる,413
とおり,414
選ぶ,415
外,416
送る,417
新しい,418
ちゃ,419
伝える,420
ながら,421
わかる,422
欲しい,423
今度,424
家,425
月,426
消える,427
かかる,428
おいしい,429
幸せ,430
うち,431
痛い,432
こちら,433
いいえ,434
イヤ,435
全員,436
可能,437
落ち着く,438
戦う,439
さっき,440
客,441
件,442
探す,443
開ける,444
チーム,445
高い,446
妻,447
さま,448
ちゃんと,449
嫌,450
撃つ,451
勝つ,452
国,453
驚く,454
長い,455
室,456
愛,457
調べる,458
なんか,459
とても,460
兄,461
日,462
父親,463
今回,464
聞こえる,465
姉,466
部,467
気分,468
返す,469
座る,470
王,471
置く,472
会社,473
機,474
やがる,475
姿,476
全て,477
かわいい,478
失う,479
得る,480
やあ,481
負ける,482
言える,483
はっ,484
よろしく,485
感謝,486
確認,487
普通,488
てく,489
官,490
変える,491
大きい,492
今夜,493
映画,494
終わり,495
切る,496
一体,497
マジ,498
ただ,499
母親,500
ゲーム,501
捜す,502
方法,503
つまり,504
なあ,505
頃,506
状況,507
必ず,508
死,509
道,510
語,511
ん,512
銃,513
アア,514
生,515
簡単,516
長,517
説明,518
犯人,519
はあ,520
読む,521
船,522
泣く,523
全然,524
士,525
冗談,526
下,527
隠す,528
なるほど,529
残念,530
成功,531
員,532
質問,533
とこ,534
服,535
結果,536
なに,537
役,538
食う,539
そ,540
捨てる,541
まったく,542
落ちる,543
とにかく,544
宇宙,545
離れる,546
働く,547
困る,548
計画,549
犬,550
病院,551
なれる,552
あら,553
気づく,554
生活,555
攻撃,556
楽しむ,557
平気,558
わし,559
自由,560
邪魔,561
渡す,562
存在,563
笑う,564
点,565
ちまう,566
血,567
感ずる,568
うう,569
奥,570
証拠,571
町,572
じゃん,573
見つかる,574
最近,575
通り,576
与える,577
きれい,578
認める,579
足,580
秘密,581
ぶり,582
酒,583
夫,584
失敗,585
フッ,586
責任,587
食事,588
ぐらい,589
大学,590
あんな,591
勝手,592
了解,593
間違い,594
おかげ,595
週間,596
会える,597
遅い,598
救う,599
良い,600
え,601
難しい,602
本気,603
始まる,604
大きな,605
車,606
開く,607
向かう,608
試合,609
喜ぶ,610
先輩,611
は,612
いただく,613
しっかり,614
売る,615
ハア,616
おはよう,617
