WORD,FREQUENCY_RANKING
の,1
た,2
だ,3
て,4
は,5
に,6
を,7
が,8
と,9
為る,10
も,11
居る,12
で,13
か,14
言う,15
有る,16
ない,17
から,18
無い,19
成る,20
です,21
ます,22
れる,23
其の,24
其れ,25
様,26
ず,27
来る,28
御,29
よ,30
何,31
此の,32
行く,33
そう,34
見る,35
ね,36
ば,37
へ,38
思う,39
私,40
さん,41
な,42
彼,43
良い,44
どう,45
って,46
達,47
や,48
られる,49
此れ,50
まで,51
てる,52
だけ,53
せる,54
さ,55
出来る,56
遣る,57
分かる,58
私,59
ながら,60
仕舞う,61
僕,62
つ,63
俺,64
もう,65
たい,66
等,67
出る,68
知る,69
聞く,70
的,71
けれど,72
呉れる,73
貴方,74
彼女,75
又,76
此処,77
わ,78
そんな,79
持つ,80
然し,81
其処,82
彼の,83
そして,84
ほど,85
様,86
入る,87
取る,88
考える,89
出す,90
より,91
し,92
こう,93
など,94
誰,95
者,96
御,97
置く,98
人,99
そう,100
何時,101
らしい,102
知れる,103
たり,104
り,105
見える,106
何処,107
つう,108
掛ける,109
い,110
御前,111
未だ,112
まあ,113
良く,114
つく,115
付く,116
因る,117
上げる,118
同じ,119
居る,120
少し,121
くらい,122
君,123
直ぐ,124
ばかり,125
立つ,126
返る,127
付ける,128
唯,129
こんな,130
一寸,131
得る,132
ぞ,133
目,134
第,135
貰う,136
待つ,137
人,138
始める,139
御座る,140
死ぬ,141
しか,142
下さる,143
君,144
笑う,145
悪い,146
書く,147
なんて,148
べし,149
ちゃん,150
使う,151
過ぎる,152
歩く,153
答える,154
切る,155
不,156
感ずる,157
続ける,158
長い,159
此方,160
戻る,161
会う,162
みたい,163
話す,164
若し,165
掛かる,166
見せる,167
余り,168
為さる,169
殺す,170
入れる,171
彼れ,172
呼ぶ,173
作る,174
若い,175
矢張り,176
違う,177
変わる,178
向かう,179
早い,180
何故,181
き,182
対する,183
どんな,184
全く,185
確か,186
屋,187
大きな,188
大,189
開く,190
受ける,191
じゃ,192
方,193
気,194
飲む,195
さえ,196
大きい,197
聞こえる,198
氏,199
我々,200
こそ,201
日,202
強い,203
立てる,204
高い,205
丸で,206
走る,207
嫌,208
済む,209
小さな,210
開ける,211
更に,212
わし,213
既に,214
乗る,215
深い,216
読む,217
動く,218
或る,219
生きる,220
中,221
勿論,222
多い,223
打つ,224
詰まり,225
忘れる,226
終わる,227
歳,228
暫く,229
長,230
好き,231
気付く,232
無,233
白い,234
なり,235
やら,236
残る,237
初めて,238
続く,239
先ず,240
連れる,241
まい,242
酷い,243
本,244
性,245
頷く,246
食べる,247
思い出す,248
向ける,249
もっと,250
信ずる,251
尋ねる,252
一番,253
振る,254
室,255
見詰める,256
買う,257
ずっと,258
ちゃう,259
座る,260
於く,261
所,262
軈て,263
驚く,264
現われる,265
家,266
引く,267
迚も,268
ぜ,269
叫ぶ,270
覚える,271
我,272
落ちる,273
頂く,274
止める,275
っこ,276
然も,277
なんか,278
旨い,279
急度,280
消える,281
少ない,282
はっきり,283
逃げる,284
下りる,285
離れる,286
一体,287
美しい,288
与える,289
車,290
教える,291
欲しい,292
止める,293
ゆっくり,294
近付く,295
生,296
可能,297
上る,298
再び,299
黒い,300
もの,301
怖い,302
起こる,303
振り,304
眺める,305
回る,306
飛ぶ,307
当たる,308
つつ,309
後,310
面白い,311
我が,312
新しい,313
可成,314
させる,315
立ち上がる,316
失う,317
或いは,318
黙る,319
頼む,320
たり,321
探す,322
似る,323
色々,324
上がる,325
とも,326
何の,327
ど,328
行う,329
見付ける,330
大変,331
あんな,332
着る,333
送る,334
呟く,335
兎に角,336
申す,337
進む,338
押す,339
小さい,340
赤い,341
泣く,342
変える,343
静か,344
枚,345
大丈夫,346
凄い,347
何方,348
生まれる,349
経つ,350
上,351
当然,352
かしら,353
突然,354
許す,355
渡る,356
彼奴,357
近い,358
困る,359
暗い,360
がる,361
返す,362
遠い,363
十分,364
起こす,365
住む,366
嬉しい,367
致す,368
すっかり,369
じっと,370
恐ろしい,371
如何に,372
恐らく,373
決して,374
残す,375
眠る,376
寝る,377
最も,378
食う,379
隠す,380
軽い,381
ごとし,382
丁度,383
彼,384
激しい,385
従う,386
擤む,387
願う,388
運ぶ,389
示す,390
守る,391
多分,392
調べる,393
掴む,394
必ず,395
用,396
低い,397
完全,398
成る程,399
員,400
共,401
求める,402
出掛ける,403
家,404
小,405
奇麗,406
認める,407
殿,408
止まる,409
抱く,410
下ろす,411
始まる,412
働く,413
力,414
僅か,415
起きる,416
何れ,417
追う,418
官,419
漸く,420
語る,421
沢山,422
決める,423
場,424
ふと,425
猶,426
流れる,427
ちゃんと,428
特に,429
優しい,430
無くなる,431
隊,432
此奴,433
何れ,434
決まる,435
中々,436
可笑しい,437
抜ける,438
館,439
落とす,440
振り返る,441
簡単,442
急ぐ,443
合う,444
流石,445
いらっしゃる,446
慌てる,447
国,448
中,449
合わせる,450
喋る,451
愛する,452
漸と,453
のみ,454
広い,455
並ぶ,456
選ぶ,457
通る,458
参る,459
浮かぶ,460
まさか,461
乗せる,462
明らか,463
冷たい,464
たって,465
随分,466
触れる,467
取り出す,468
化,469
共,470
喜ぶ,471
繰り返す,472
伝える,473
扠,474
楽しい,475
下げる,476
伸ばす,477
内,478
固い,479
寧ろ,480
仰る,481
戦う,482
怒る,483
寺,484
捨てる,485
師,486
重い,487
とく,488
古い,489
書,490
叩く,491
きり,492
動かす,493
相,494
浮かべる,495
遂に,496
成す,497
付き,498
例えば,499
非常,500
押さえる,501
着く,502
利く,503
明るい,504
結構,505
落ち着く,506
びっ,507
告げる,508
つい,509
渡す,510
助ける,511
掻く,512
ちまう,513
新,514
ぽい,515
去る,516
構う,517
心,518
学,519
倒れる,520
握る,521
仮令,522
行成,523
迎える,524
ずつ,525
