WORD,FREQUENCY_RANKING
だ,1
は,2
の,3
た,4
に,5
を,6
て,7
が,8
為る,9
も,10
と,11
で,12
よ,13
ない,14
てる,15
か,16
です,17
の,18
ます,19
無い,20
ね,21
の,22
何,23
な,24
私-代名詞,25
居る,26
か,27
御,28
事,29
有る,30
わ,31
の,32
良い,33
から,34
れる,35
成る,36
そう,37
さん,38
どう,39
俺,40
其れ,41
って,42
言う,43
から,44
ず,45
此の,46
遣る,47
此れ,48
たい,49
行く,50
ば,51
が,52
分かる,53
呉れる,54
見る,55
もう,56
ぞ,57
其の,58
達,59
来る,60
けれど,61
御前,62
来る,63
思う,64
僕-代名詞,65
だけ,66
て,67
君-代名詞,68
言う,69
出来る,70
今,71
彼,72
貴方,73
此処,74
と,75
人,76
せる,77
まで,78
ああ,79
へ,80
誰,81
知る,82
あっ,83
様,84
られる,85
聞く,86
さ,87
等,88
はい,89
気,90
待つ,91
出る,92
話,93
あの,94
前,95
為,96
年,97
者,98
何処,99
何故,100
時,101
ちゃん,102
彼女,103
自分,104
た,105
何,106
本当,107
し,108
うん,109
違う,110
大丈夫,111
良い,112
行く,113
いや,114
あっ,115
物,116
様,117
未だ,118
時間,119
一寸,120
有り難う,121
なんて,122
何時,123
男,124
止める,125
そんな,126
死ぬ,127
悪い,128
入る,129
皆,130
凄い,131
みたい,132
的,133
早い,134
や,135
話す,136
駄目,137
手,138
持つ,139
つ,140
下さる,141
より,142
家,143
返る,144
一緒,145
御,146
戻る,147
見る,148
殺す,149
えっ,150
そう-様態,151
今日,152
仕事,153
子,154
二人,155
好き,156
人,157
良く,158
中,159
為さる,160
直ぐ,161
ちゃう,162
つう,163
必要,164
考える,165
父,166
度,167
会う,168
おい,169
や,170
こんな,171
女,172
ええ,173
で,174
母,175
食べる,176
んっ,177
こう,178
筈,179
てる,180
使う,181
貴方,182
君,183
後,184
子供,185
えっ,186
目,187
い,188
出す,189
御免,190
作る,191
其処,192
貰う,193
問題,194
ぜ,195
馬鹿,196
次,197
世界,198
少し,199
訳,200
まあ,201
電話,202
彼れ,203
さあ,204
先生,205
日,206
中,207
心配,208
入れる,209
一人,210
方,211
頼む,212
奴,213
そして,214
仕舞う,215
べし,216
済む,217
人間,218
皆,219
じゃ,220
又,221
さ,222
見える,223
呼ぶ,224
人,225
他,226
しか,227
願う,228
車,229
顔,230
関係,231
此方,232
友達,233
付ける,234
忘れる,235
場所,236
もっと,237
最高,238
過ぎる,239
取る,240
力,241
助ける,242
飲む,243
金,244
ママ-mama,245
又,246
嘘,247
教える,248
うう,249
彼の,250
信ずる,251
所為,252
心,253
家族,254
先,255
別,256
所,257
名前,258
生きる,259
同じ,260
者,261
掛ける,262
こそ,263
逃げる,264
歳,265
結婚,266
娘,267
彼奴,268
最後,269
相手,270
時,271
無理,272
変わる,273
怖い,274
若し,275
旨い,276
見せる,277
分,278
ほら,279
侭,280
置く,281
守る,282
頭,283
絶対,284
御座る,285
どうぞ,286
終わる,287
パパ-papa,288
奴,289
我々-代名詞,290
たり,291
部屋,292
そんな,293
回,294
上げる,295
ずっと,296
大,297
買う,298
寝る,299
後,300
愛する,301
始める,302
ほど,303
以上,304
神,305
って,306
欲しい,307
とく,308
頑張る,309
息子,310
どんな,311
警察,312
で,313
意味,314
目,315
確か,316
強い,317
です,318
全部,319
勿論,320
よし,321
続ける,322
女性,323
全て,324
見付ける,325
気持ち,326
夢,327
明日,328
まさか,329
積り,330
楽しい,331
方,332
人生,333
第,334
体,335
元気,336
物,337
知れる,338
後,339
上,340
初めて,341
時,342
起きる,343
で,344
因る,345
覚える,346
此奴,347
所,348
準備,349
番,350
書く,351
失礼,352
先ず,353
物,354
酷い,355
付く,356
言葉,357
など,358
店,359
然し,360
写真,361
乗る,362
つく,363
本当,364
料理,365
理由,366
不,367
急度,368
仲間,369
受ける,370
黙る,371
かしら,372
連絡,373
決める,374
事,375
大変,376
矢張り,377
危険,378
最初,379
学校,380
ドル-dollar,381
性,382
感じ,383
昔,384
所,385
つう,386
変,387
会,388
約束,389
間,390
命,391
奴,392
行く,393
野郎,394
情報,395
実,396
くらい,397
事件,398
動く,399
急ぐ,400
同じ,401
敵,402
怒る,403
一番,404
ねえ,405
立つ,406
日,407
無し,408
嬉しい,409
声,410
大事,411
ばかり,412
方,413
うー,414
らしい,415
元,416
はっ,417
残る,418
連れる,419
夜,420
ああ,421
口,422
止める,423
居る,424
任せる,425
面白い,426
許す,427
多い,428
水,429
取る,430
通り,431
選ぶ,432
外,433
送る,434
新しい,435
て,436
伝える,437
ながら,438
分かる,439
欲しい,440
今度,441
家,442
月,443
消える,444
掛かる,445
美味しい,446
幸せ,447
内,448
痛い,449
此方,450
いいえ,451
嫌,452
全員,453
可能,454
落ち着く,455
戦う,456
さっき,457
客,458
件,459
探す,460
開ける,461
チーム-team,462
高い,463
家,464
妻,465
様,466
ちゃんと,467
嫌,468
打つ,469
勝つ,470
国,471
驚く,472
長い,473
室,474
愛,475
調べる,476
なんか,477
迚も,478
兄,479
日,480
父親,481
今回,482
聞こえる,483
姉,484
部,485
気分,486
返す,487
座る,488
王,489
置く,490
会社,491
機,492
やがる,493
姿,494
全て,495
可愛い,496
失う,497
得る,498
やあ,499
負ける,500
言う,501
はっ,502
宜しく,503
感謝,504
確認,505
普通,506
てく,507
官,508
変える,509
大きい,510
今夜,511
映画,512
終わり,513
切る,514
一体,515
まじ,516
唯,517
母親,518
ゲーム-game,519
探す,520
方法,521
詰まり,522
な,523
で,524
頃,525
只,526
状況,527
必ず,528
死,529
道,530
語,531
んー,532
銃,533
ああ,534
生,535
簡単,536
長,537
説明,538
犯人,539
はあ,540
読む,541
船,542
あれ,543
泣く,544
全然,545
士,546
冗談,547
下,548
隠す,549
成る程,550
残念,551
成功,552
員,553
質問,554
所,555
服,556
結果,557
何,558
役,559
食う,560
そう,561
捨てる,562
全く,563
こんな,564
落ちる,565
もの,566
兎に角,567
宇宙,568
離れる,569
働く,570
困る,571
計画,572
犬,573
病院,574
成る,575
あら,576
気付く,577
生活,578
攻撃,579
楽しむ,580
平気,581
わし,582
自由,583
邪魔,584
渡す,585
存在,586
笑う,587
点,588
ちまう,589
血,590
感ずる,591
うう,592
奥,593
証拠,594
町,595
じゃん,596
見付かる,597
最近,598
或る,599
通り,600
や,601
与える,602
奇麗,603
認める,604
足,605
秘密,606
振り,607
酒,608
そう-伝聞,609
夫,610
失敗,611
ふっ,612
責任,613
食事,614
くらい,615
大学,616
あんな,617
勝手,618
了解,619
間違い,620
御陰,621
週間,622
会う,623
遅い,624
