WORD,FREQUENCY_RANKING
、,1
の,2
。,3
た,4
に,5
は,6
て,7
を,8
だ,9
が,10
と,11
する,12
」,13
「,14
ない,15
いる,16
で,17
も,18
ある,19
…,20
｜,21
か,22
こと,23
から,24
なる,25
ます,26
です,27
ん,28
れる,29
う,30
よう,31
その,32
？,33
人,34
それ,35
よ,36
この,37
という,38
そう,39
言う,40
一,41
もの,42
へ,43
ば,44
いう,45
私,46
くる,47
二,48
――,49
ね,50
ぬ,51
思う,52
お,53
！,54
見る,55
何,56
な,57
まで,58
や,59
られる,60
彼,61
たち,62
十,63
さん,64
じゃ,65
自分,66
だけ,67
これ,68
三,69
中,70
せる,71
てる,72
来る,73
さ,74
ながら,75
いい,76
でも,77
しまう,78
顔,79
）,80
（,81
男,82
あの,83
行く,84
できる,85
者,86
やる,87
目,88
出る,89
たい,90
手,91
いく,92
日,93
前,94
くれる,95
声,96
ところ,97
・,98
知る,99
時,100
彼女,101
的,102
とき,103
って,104
どう,105
女,106
として,107
『,108
』,109
わかる,110
わたし,111
ここ,112
もう,113
わ,114
しかし,115
ため,116
年,117
家,118
気,119
また,120
そんな,121
そして,122
みる,123
五,124
方,125
考える,126
上,127
より,128
たり,129
ので,130
ほど,131
聞く,132
など,133
わけ,134
あなた,135
今,136
話,137
四,138
つく,139
し,140
］,141
入る,142
持つ,143
そこ,144
らしい,145
けど,146
俺,147
出す,148
かも,149
人間,150
見える,151
僕,152
まだ,153
どこ,154
口,155
ぼく,156
かける,157
言葉,158
頭,159
ほう,160
君,161
─,162
心,163
部屋,164
よく,165
よい,166
いや,167
まま,168
おく,169
おれ,170
うち,171
六,172
だって,173
誰,174
同じ,175
［,176
ただ,177
すぐ,178
おる,179
ばかり,180
八,181
のに,182
大,183
時間,184
しれる,185
間,186
あと,187
立つ,188
ら,189
つける,190
だが,191
姿,192
音,193
帰る,194
子,195
はず,196
なん,197
こんな,198
七,199
いま,200
とる,201
なんて,202
後,203
眼,204
少し,205
あげる,206
死ぬ,207
度,208
ぞ,209
体,210
ご,211
笑う,212
ござる,213
なに,214
とか,215
力,216
さま,217
第,218
しか,219
歩く,220
ちょっと,221
事,222
書く,223
九,224
下,225
ああ,226
身,227
先生,228
待つ,229
夜,230
あ,231
一つ,232
相手,233
なか,234
あたし,235
本,236
百,237
感じる,238
べし,239
く,240
殺す,241
娘,242
悪い,243
そういう,244
日本,245
みたい,246
だから,247
数,248
子供,249
“,250
え,251
かかる,252
先,253
もらう,254
答える,255
神,256
仕事,257
呼ぶ,258
電話,259
について,260
おまえ,261
あれ,262
”,263
入れる,264
首,265
くらい,266
話す,267
金,268
大きな,269
いつも,270
外,271
名,272
足,273
こう,274
ねえ,275
使う,276
氏,277
によって,278
戻る,279
分,280
車,281
まあ,282
以上,283
道,284
〇,285
長い,286
ちゃん,287
若い,288
彼ら,289
御,290
意味,291
早い,292
風,293
みんな,294
字,295
胸,296
事件,297
世界,298
〉,299
〈,300
会う,301
なさる,302
お前,303
今日,304
大きい,305
他,306
すべて,307
必要,308
取る,309
すぎる,310
様,311
どうして,312
父,313
もつ,314
【,315
問題,316
開く,317
さえ,318
関係,319
それから,320
水,321
】,322
万,323
どんな,324
とも,325
次,326
くださる,327
店,328
にとって,329
見せる,330
置く,331
’,332
屋,333
なんか,334
高い,335
けれど,336
なぜ,337
国,338
町,339
強い,340
つもり,341
違う,342
受ける,343
もん,344
まるで,345
それで,346
歳,347
きく,348
所,349
場所,350
ほか,351
ひとり,352
あんた,353
終わる,354
耳,355
こそ,356
軍,357
ゆく,358
走る,359
ひとつ,360
なり,361
もし,362
光,363
飲む,364
色,365
わし,366
通り,367
はじめる,368
小さな,369
千,370
山,371
場,372
性,373
敵,374
頃,375
好き,376
生きる,377
ドア,378
多い,379
まったく,380
母,381
腕,382
白い,383
肩,384
つまり,385
こちら,386
馬,387
王,388
得る,389
忘れる,390
向かう,391
読む,392
最後,393
一緒,394
上げる,395
まい,396
出来る,397
物,398
様子,399
表情,400
窓,401
さらに,402
室,403
別,404
あたり,405
場合,406
深い,407
すでに,408
続ける,409
ほとんど,410
時代,411
あまり,412
最初,413
しばらく,414
もっと,415
自身,416
やつ,417
ふる,418
地,419
いける,420
名前,421
だす,422
もちろん,423
ええ,424
残る,425
こむ,426
つ,427
信じる,428
やがて,429
食べる,430
なあ,431
作る,432
‘,433
血,434
だれ,435
動く,436
始める,437
存在,438
女性,439
聞こえる,440
ひと,441
朝,442
腰,443
がる,444
生活,445
酒,446
ま,447
そこで,448
１,449
どの,450
乗る,451
知れる,452
空,453
息,454
