WORD,FREQUENCY_RANKING
だ,1
の,2
は,3
た,4
に,5
て,6
を,7
が,8
為る,9
も,10
と,11
で,12
よ,13
ない,14
か,15
の,16
の,17
な,18
無い,19
てる,20
居る,21
何,22
です,23
か,24
事,25
ます,26
ね,27
俺,28
成る,29
此の,30
御,31
って,32
御前,33
有る,34
其れ,35
ず,36
から,37
れる,38
遣る,39
さん,40
良い,41
どう,42
あっ,43
そう,44
私-代名詞,45
達,46
此れ,47
ぞ,48
から,49
ば,50
言う,51
其の,52
が,53
言う,54
ああ,55
等,56
来る,57
もう,58
何,59
今,60
まで,61
だけ,62
呉れる,63
あっ,64
の,65
ぜ,66
此処,67
わ,68
けれど,69
行く,70
うん,71
様,72
見る,73
ちゃん,74
えっ,75
出来る,76
来る,77
思う,78
せる,79
つう,80
て,81
たい,82
あの,83
様,84
僕-代名詞,85
られる,86
んっ,87
うう,88
分かる,89
君,90
さ,91
いや,92
そんな,93
知る,94
行く,95
と,96
人,97
待つ,98
へ,99
おい,100
はい,101
物,102
気,103
誰,104
力,105
為,106
未だ,107
死ぬ,108
なんて,109
し,110
こんな,111
何処,112
出る,113
一寸,114
訳,115
前,116
奴,117
えっ,118
ちゃう,119
聞く,120
い,121
皆,122
じゃ,123
彼れ,124
つ,125
手,126
彼奴,127
貴方,128
より,129
た,130
君-代名詞,131
やがる,132
人間,133
仕舞う,134
うー,135
大丈夫,136
早い,137
良い,138
自分,139
何時,140
彼の,141
で,142
時,143
強い,144
此奴,145
場所,146
分かる,147
貰う,148
です,149
下さる,150
や,151
殺す,152
持つ,153
本当,154
悪い,155
中,156
凄い,157
で,158
話,159
其処,160
世界,161
違う,162
ああ,163
そして,164
奴,165
貴方,166
筈,167
はっ,168
見る,169
男,170
入る,171
方,172
止める,173
者,174
ちまう,175
物,176
所,177
使う,178
くっ,179
はあ,180
度,181
そう-様態,182
者,183
みたい,184
戦う,185
目,186
時間,187
しか,188
侭,189
然し,190
良く,191
逃げる,192
さ,193
ゴクウ,194
馬鹿,195
人,196
年,197
俺,198
まあ,199
時,200
此方,201
目指す,202
考える,203
王,204
後,205
子,206
相手,207
仲間,208
まさか,209
居る,210
父,211
うわ,212
為さる,213
次,214
返る,215
海賊,216
生きる,217
貴様,218
出す,219
こう,220
何故,221
体,222
少し,223
様,224
先生,225
ああ,226
今日,227
済む,228
見える,229
てまえ,230
うわ,231
戻る,232
直ぐ,233
野郎,234
もっと,235
魔法,236
大,237
そんな,238
絶対,239
御,240
敵,241
又,242
こそ,243
はっ,244
一緒,245
助ける,246
ほど,247
さあ,248
ルフィ,249
若し,250
はあ,251
など,252
的,253
な,254
術,255
さっき,256
知れる,257
置く,258
女,259
わし,260
守る,261
御座る,262
有り難う,263
彼,264
ふっ,265
積り,266
んー,267
命,268
第,269
駄目,270
先,271
又,272
付ける,273
何,274
矢張り,275
目,276
心,277
負ける,278
以上,279
とく,280
顔,281
確か,282
隊長,283
攻撃,284
頼む,285
変わる,286
犬,287
御免,288
同じ,289
入れる,290
うう,291
つう,292
はあ,293
最後,294
て,295
あれ,296
食う,297
呼ぶ,298
てる,299
能力,300
で,301
必要,302
夢,303
作る,304
教える,305
上げる,306
って,307
戦い,308
食べる,309
木,310
くらい,311
好き,312
因る,313
母,314
えー,315
倒す,316
見せる,317
動く,318
ナルト,319
全て,320
なんか,321
終わる,322
行く,323
の,324
ええ,325
神,326
おっ,327
そう,328
勝つ,329
所,330
会う,331
ほら,332
過ぎる,333
や,334
願う,335
どんな,336
取る,337
今度,338
皆,339
兄,340
止める,341
べし,342
いー,343
魂,344
忘れる,345
人,346
痛い,347
里,348
内,349
国,350
番,351
上,352
旨い,353
んっ,354
頑張る,355
ずっと,356
全て,357
頭,358
本当,359
まあ,360
煩い,361
よし,362
別,363
夜叉-yaksa,364
おお,365
あー,366
