WORD,FREQUENCY_RANKING
だ,1
た,2
の,3
て,4
は,5
に,6
が,7
為る,8
も,9
よ,10
で,11
を,12
と,13
の,14
か,15
ない,16
てる,17
です,18
の,19
ね,20
無い,21
な,22
か,23
ます,24
御,25
って,26
何,27
から,28
事,29
さん,30
居る,31
良い,32
私-代名詞,33
そう,34
其れ,35
成る,36
有る,37
の,38
ちゃん,39
あっ,40
どう,41
言う,42
俺,43
けれど,44
此の,45
此れ,46
言う,47
遣る,48
ず,49
から,50
うん,51
れる,52
あっ,53
ああ,54
来る,55
もう,56
わ,57
思う,58
御前,59
何,60
行く,61
ば,62
たい,63
し,64
其の,65
んっ,66
達,67
見る,68
えっ,69
分かる,70
呉れる,71
はい,72
だけ,73
来る,74
いや,75
人,76
ぞ,77
今,78
が,79
君,80
ちゃう,81
一寸,82
と,83
まで,84
て,85
出来る,86
様,87
ナツメ,88
さ,89
此処,90
僕-代名詞,91
クスノキ,92
タケシ,93
そんな,94
えっ,95
つう,96
あの,97
で,98
気,99
今日,100
先輩,101
音,102
先生,103
なんて,104
せる,105
物,106
何時,107
られる,108
待つ,109
行く,110
良い,111
まあ,112
大丈夫,113
知る,114
誰,115
聞く,116
皆,117
等,118
キョン,119
出る,120
生徒,121
前,122
見る,123
凄い,124
みたい,125
御免,126
こんな,127
そう-様態,128
彼の,129
自分,130
返る,131
何処,132
有り難う,133
未だ,134
子,135
好き,136
い,137
本当,138
下さる,139
訳,140
一緒,141
食べる,142
違う,143
話,144
為さる,145
彼れ,146
悪い,147
貴方,148
貴方,149
うう,150
君,151
母,152
入る,153
駄目,154
おい,155
仕舞う,156
こう,157
貰う,158
持つ,159
ぜ,160
音,161
です,162
部,163
早い,164
方,165
な,166
より,167
時間,168
又,169
つ,170
時,171
学校,172
ほら,173
考える,174
為,175
所,176
矢張り,177
年,178
後,179
君-代名詞,180
夢,181
家,182
済む,183
へ,184
良く,185
女子,186
作る,187
様,188
的,189
時,190
頑張る,191
ニシカタ,192
父,193
別,194
じゃん,195
若し,196
や,197
たり,198
トオル,199
生,200
止める,201
其処,202
目,203
はあ,204
本当,205
ハルヒ,206
少し,207
そんな,208
御,209
ハル,210
彼奴,211
で,212
男子,213
家,214
さ,215
人,216
兄,217
上げる,218
姉,219
此方,220
友達,221
くらい,222
もっと,223
ちゃんと,224
御座る,225
馬鹿,226
中,227
ずっと,228
日,229
あっ,230
ええ,231
た,232
見える,233
次,234
あれ,235
しか,236
キョウコ,237
んー,238
度,239
手,240
てる,241
や,242
って,243
とく,244
ユキ,245
買う,246
出す,247
願う,248
顔,249
直ぐ,250
者,251
男,252
楽しい,253
侭,254
もの,255
終わる,256
変わる,257
知れる,258
明かり,259
声,260
タカギ,261
置く,262
カイトウ,263
気持ち,264
絶対,265
使う,266
うー,267
にゃんこ,268
そう,269
イオリ,270
さっき,271
怖い,272
妖怪,273
同じ,274
忘れる,275
世界,276
人間,277
コタカ,278
皆,279
奴,280
堂,281
私,282
又,283
うう,284
リュウジ,285
会う,286
はっ,287
さあ,288
物,289
ユイ,290
急度,291
可愛い,292
えー,293
の,294
行く,295
鷹,296
はあ,297
マコト,298
奴,299
過ぎる,300
先,301
渚,302
ゆき,303
家,304
話す,305
全然,306
えーと,307
戻る,308
ね,309
入れる,310
旨い,311
力,312
年,313
付ける,314
で,315
おっ,316
そう,317
んっ,318
寝る,319
普通,320
明日,321
此奴,322
呼ぶ,323
無理,324
ネン,325
こそ,326
仕事,327
取る,328
ああ,329
て,330
つう,331
名前,332
大河,333
掛ける,334
そして,335
感じ,336
教える,337
確か,338
回,339
様,340
で,341
ふふ,342
何故,343
美味しい,344
まさか,345
えっ,346
何,347
まあ,348
変,349
はあ,350
会,351
意味,352
書く,353
どんな,354
かしら,355
内,356
筈,357
所,358
ゲーム-game,359
場所,360
電話,361
はっ,362
御早う,363
青葉,364
遊ぶ,365
チセ,366
見せる,367
埋まる,368
クラス-class,369
目,370
ホウタロウ,371
ああ,372
やれ,373
ふっ,374
キョウスケ,375
女,376
死ぬ,377
まじ,378
超,379
昨日,380
こんな,381
心配,382
心,383
方,384
達,385
らしい,386
高校,387
てく,388
頼む,389
ミクル,390
いえ,391
なんか,392
負ける,393
全部,394
照,395
積り,396
実,397
食う,398
強い,399
宜しく,400
夏,401
此方,402
うん,403
レイ,404
今度,405
おっ,406
初めて,407
妹,408
空,409
け,410
花,411
部屋,412
覚える,413
方,414
チアキ,415
子供,416
付く,417
ドア-door,418
所,419
欲しい,420
所為,421
間,422
練習,423
おお,424
最後,425
彼女,426
鏡,427
っこ,428
開く,429
よし,430
決める,431
あー,432
な,433
相手,434
然し,435
関係,436
全く,437
カイザキ,438
流石,439
の,440
り,441
飲む,442
中,443
面白い,444
トール-tall,445
得る,446
痛い,447
うわ,448
必要,449
じゃ,450
篠,451
大変,452
最近,453
トモコ,454
夏,455
鳥,456
問題,457
蛍,458
先ず,459
人,460
取る,461
女の子,462
怒る,463
滴,464
一番,465
頭,466
コバヤシ,467
客,468
ほど,469
屋,470
夜空,471
以上,472
昔,473
生きる,474
体,475
結構,476
そろそろ,477
アズサ,478
元気,479
決まる,480
勝手,481
読む,482
海,483
始める,484
猫,485
言葉,486
へえ,487
分かる,488
わあ,489
あんな,490
上,491
勉強,492
色々,493
笑う,494
会長,495
最初,496
の,497
ちまう,498
ながら,499
嬉しい,500
ハルカ,501
はあ,502
桐,503
不,504
エリアス-Elias,505
いー,506
勝つ,507
うん,508
あら,509
劫,510
古銭,511
頂く,512
逃げる,513
一人,514
ハルヒコ,515
者,516
橋,517
笑い声,518
祭,519
サエキ,520
携帯,521
泣く,522
能力,523
助ける,524
起きる,525
どうぞ,526
ああ,527
大事,528
折角,529
成る程,530
只,531
貰う,532
