WORD,FREQUENCY_RANKING
ない,1
から,2
ある,3
いる,4
その,5
こと,6
それ,7
いう,8
する,9
よう,10
なる,11
もの,12
この,13
そう,14
一,15
見る,16
どう,17
無い,18
これ,19
人,20
られる,21
なら,22
まで,23
だけ,24
目,25
ところ,26
ながら,27
たら,28
二,29
顔,30
いい,31
前,32
自分,33
者,34
もう,35
たい,36
的,37
手,38
あの,39
くれる,40
ます,41
出る,42
声,43
気,44
日,45
三,46
年,47
れる,48
さん,49
上,50
ここ,51
また,52
そんな,53
くる,54
ため,55
何,56
です,57
男,58
そこ,59
わけ,60
そして,61
中,62
ほど,63
たち,64
つい,65
あと,66
より,67
できる,68
しまう,69
話,70
しかし,71
など,72
知る,73
こう,74
いつ,75
度,76
たり,77
やる,78
まま,79
考える,80
よく,81
どこ,82
らしい,83
かける,84
まだ,85
家,86
五,87
十,88
人間,89
思う,90
口,91
頭,92
心,93
いや,94
とる,95
見える,96
いく,97
うち,98
月,99
つける,100
ただ,101
すぐ,102
女,103
ばかり,104
はず,105
あれ,106
間,107
こんな,108
言葉,109
感じる,110
四,111
時間,112
出す,113
立つ,114
第,115
おく,116
時,117
あげる,118
姿,119
音,120
下,121
とも,122
よる,123
大,124
子,125
力,126
六,127
しか,128
せる,129
同じ,130
持つ,131
待つ,132
べし,133
身,134
てる,135
先,136
部屋,137
相手,138
夜,139
ああ,140
八,141
本,142
あなた,143
ちょっと,144
風,145
彼,146
悪い,147
もし,148
見せる,149
かかる,150
別,151
こちら,152
あまり,153
首,154
つく,155
聞く,156
今日,157
長い,158
入る,159
他,160
死ぬ,161
次,162
くらい,163
入れる,164
なぜ,165
道,166
歩く,167
やはり,168
世界,169
仕事,170
早い,171
通り,172
話す,173
どんな,174
はい,175
笑う,176
数,177
帰る,178
やら,179
大きな,180
七,181
高い,182
方,183
少し,184
意味,185
実,186
外,187
すぎる,188
なさる,189
受ける,190
以上,191
なんて,192
使う,193
足,194
水,195
不,196
胸,197
さえ,198
強い,199
関係,200
大きい,201
今,202
必要,203
奥,204
問題,205
分,206
せい,207
知れる,208
場所,209
止める,210
こそ,211
みたい,212
答える,213
つもり,214
みんな,215
まあ,216
光,217
けど,218
若い,219
まるで,220
山,221
呼ぶ,222
小さな,223
名,224
色,225
立てる,226
性,227
生きる,228
二人,229
場,230
金,231
書く,232
耳,233
切る,234
腕,235
もちろん,236
二十,237
あたり,238
つまり,239
最後,240
忘れる,241
表情,242
まい,243
どれ,244
しばらく,245
乗る,246
無,247
歳,248
ほとんど,249
開く,250
すべて,251
娘,252
好き,253
部,254
得る,255
まず,256
場合,257
時代,258
腰,259
客,260
もらう,261
白い,262
深い,263
肩,264
私,265
最初,266
名前,267
所,268
残る,269
もっと,270
自身,271
窓,272
信じる,273
そば,274
子供,275
一人,276
誰,277
読む,278
ずっと,279
存在,280
やがて,281
空,282
点,283
九,284
生活,285
走る,286
夢,287
とても,288
すでに,289
形,290
どの,291
対する,292
役,293
万,294
彼女,295
離れる,296
息,297
血,298
落ちる,299
昔,300
様子,301
朝,302
理由,303
地,304
用,305
今度,306
多い,307
父,308
近く,309
やつ,310
急,311
心配,312
向ける,313
しかも,314
教える,315
なんか,316
三十,317
逃げる,318
きっと,319
壁,320
はっきり,321
母,322
消える,323
つれる,324
着る,325
様,326
死,327
横,328
なし,329
屋,330
説明,331
うまい,332
買う,333
火,334
事実,335
会う,336
ページ,337
ゆっくり,338
神,339
事件,340
さっき,341
一番,342
木,343
本当,344
わかる,345
小,346
可能,347
ござる,348
いくら,349
どちら,350
不思議,351
流れる,352
指,353
意識,354
さらに,355
黒い,356
元,357
花,358
百,359
主人,360
食べる,361
つつ,362
まったく,363
女性,364
新しい,365
たり,366
かなり,367
変える,368
うん,369
室,370
失う,371
階,372
ひどい,373
願う,374
似る,375
近づく,376
同時,377
送る,378
服,379
面,380
腹,381
がる,382
見つける,383
させる,384
寝る,385
あんな,386
多く,387
とにかく,388
内,389
ぶり,390
さあ,391
殺す,392
小さい,393
視線,394
返す,395
飲む,396
思い出す,397
赤い,398
動く,399
感,400
静か,401
回,402
かしら,403
当然,404
突然,405
大丈夫,406
枚,407
人物,408
命,409
海,410
床,411
席,412
開ける,413
状態,414
普通,415
酒,416
困る,417
穴,418
進む,419
髪,420
黙る,421
驚く,422
例,423
一瞬,424
瞬間,425
明日,426
生,427
すっかり,428
自由,429
涙,430
じっと,431
会,432
住む,433
ええ,434
作る,435
いかに,436
無理,437
美しい,438
背,439
実際,440
以外,441
飛ぶ,442
敵,443
残す,444
仲間,445
絶対,446
暗い,447
いろいろ,448
代,449
ちゃ,450
連中,451
軽い,452
妙,453
覚える,454
ちょうど,455
影,456
嘘,457
雨,458
調べる,459
自然,460
与える,461
動き,462
つき,463
すむ,464
見つめる,465
結果,466
押す,467
端,468
記憶,469
機,470
認める,471
叫ぶ,472
必ず,473
想像,474
少ない,475
膝,476
夏,477
気分,478
遠い,479
引く,480
両手,481
なるほど,482
打つ,483
底,484
完全,485
決して,486
五十,487
求める,488
抱く,489
近い,490
きれい,491
唇,492
部分,493
運ぶ,494
店,495
低い,496
背中,497
国,498
理解,499
一緒,500
あら,501
助ける,502
広い,503
決める,504
確か,505
追う,506
ころ,507
よし,508
危険,509
全部,510
おかしい,511
あいつ,512
なあ,513
石,514
ようやく,515
不安,516
生まれる,517
返事,518
日本,519
当時,520
ふと,521
戻る,522
廊下,523
階段,524
ちゃんと,525
抜ける,526
半,527
車,528
なくなる,529
起きる,530
あるいは,531
ごと,532
紙,533
約束,534
許す,535
一方,536
昨日,537
先生,538
なかなか,539
台,540
精神,541
発見,542
たつ,543
番,544
学校,545
違う,546
なお,547
のみ,548
人々,549
四十,550
闇,551
鼻,552
さすが,553
簡単,554
書,555
母親,556
縁,557
次第,558
こいつ,559
行動,560
少年,561
おそらく,562
文字,563
並ぶ,564
椅子,565
いただく,566
化,567
語,568
さて,569
君,570
途中,571
眠る,572
やっと,573
泣く,574
いったい,575
変,576
結局,577
大変,578
遠く,579
父親,580
まさか,581
違い,582
明らか,583
示す,584
働く,585
体,586
始める,587
聞こえる,588
以前,589
合わせる,590
おけ,591
冷たい,592
線,593
茶,594
ずいぶん,595
わずか,596
伝える,597
頬,598
左,599
方法,600
振る,601
目的,602
午後,603
現在,604
状況,605
いっぱい,606
むしろ,607
妻,608
赤,609
結婚,610
くださる,611
選ぶ,612
気づく,613
初めて,614
恐怖,615
右,616
周囲,617
触れる,618
質問,619
捨てる,620
告げる,621
口調,622
乗せる,623
黒,624
もっとも,625
動かす,626
品,627
現実,628
たって,629
ついに,630
出かける,631
態度,632
隠す,633
それぞれ,634
急ぐ,635
たとえ,636
程度,637
雲,638
食事,639
ねえ,640
眺める,641
罪,642
絵,643
特に,644
箱,645
降りる,646
新,647
ちゃん,648
利く,649
門,650
明るい,651
続ける,652
挨拶,653
報告,654
際,655
眉,656
テーブル,657
反対,658
くせ,659
掻く,660
連絡,661
だめ,662
感情,663
玄関,664
額,665
非常,666
肉,667
空気,668
町,669
ざる,670
限り,671
迎える,672
料理,673
ありがとう,674
興味,675
相,676
白,677
いたす,678
噂,679
わたし,680
下げる,681
互い,682
晩,683
合う,684
注意,685
傷,686
倒れる,687
息子,688
友人,689
犬,690
命令,691
老人,692
別れる,693
員,694
きり,695
間違い,696
ガラス,697
微笑,698
いきなり,699
天,700
人生,701
式,702
庭,703
家族,704
立派,705
着く,706
他人,707
疲れる,708
ごめん,709
かつて,710
向かう,711
社会,712
背後,713
喜ぶ,714
親,715
通る,716
裏,717
仕方,718
半分,719
改,720
毎日,721
川,722
渡す,723
組,724
ずつ,725
手紙,726
秘密,727
怒る,728
通す,729
情報,730
逆,731
いでる,732
おお,733
調子,734
ども,735
女の子,736
計画,737
大事,738
元気,739
要る,740
がたい,741
以来,742
となり,743
汗,744
大学,745
用意,746
勝手,747
千,748
たった,749
楽,750
起こす,751
館,752
続く,753
事情,754
扉,755
探す,756
常,757
土地,758
ほしい,759
今夜,760
もはや,761
すら,762
長,763
閉じる,764
ドア,765
確認,766
しっかり,767
たとえば,768
頼む,769
暇,770
あそこ,771
かつ,772
おれ,773
気味,774
少女,775
そっと,776
二三,777
終わり,778
かく,779
巨大,780
距離,781
そいつ,782
去る,783
怒り,784
時計,785
機嫌,786
握る,787
古い,788
鍵,789
利用,790
変わる,791
旅,792
気配,793
件,794
ベッド,795
向く,796
守る,797
歩,798
証拠,799
集まる,800
重,801
夫,802
消す,803
痛い,804
鳴る,805
建物,806
会社,807
あらゆる,808
ポケット,809
世,810
意見,811
じゃあ,812
右手,813
びっくり,814
再び,815
ほら,816
重い,817
星,818
段,819
満足,820
どころ,821
ともかく,822
愛,823
安心,824
社,825
たくさん,826
負ける,827
短い,828
馬鹿,829
奇妙,830
浮かぶ,831
判断,832
一言,833
ほんの,834
真,835
机,836
かすか,837
字,838
ちゃう,839
最近,840
とたん,841
位置,842
責任,843
礼,844
めく,845
生命,846
つまる,847
物語,848
笑顔,849
相談,850
経験,851
地面,852
我,853
旅行,854
全,855
写真,856
春,857
杯,858
中央,859
器,860
落とす,861
全員,862
流す,863
案内,864
新聞,865
医者,866
全体,867
細い,868
青い,869
表,870
種,871
全身,872
承知,873
御,874
苦労,875
冗談,876
僕,877
ごく,878
おかげ,879
電話,880
世間,881
どうぞ,882
語る,883
通じる,884
兄,885
かねる,886
取り出す,887
切れる,888
わたる,889
正しい,890
方向,891
払う,892
期待,893
放つ,894
骨,895
幾,896
週間,897
波,898
猫,899
主,900
法,901
若者,902
妹,903
能力,904
夫婦,905
いいえ,906
研究,907
いよいよ,908
かかわる,909
緊張,910
鏡,911
悲鳴,912
従う,913
終える,914
棒,915
借りる,916
小説,917
世話,918
秋,919
青年,920
光る,921
歴史,922
地下,923
中心,924
天井,925
抜く,926
号,927
たか,928
攻撃,929
歯,930
決まる,931
そっち,932
同様,933
病気,934
避ける,935
たちまち,936
市,937
大人,938
見上げる,939
愛する,940
自信,941
慣れる,942
煙,943
浮かべる,944
太陽,945
あわてる,946
感覚,947
沈黙,948
動物,949
かまう,950
一部,951
気持ち,952
一時,953
まわり,954
張る,955
鳥,956
変化,957
鋭い,958
メートル,959
特別,960
つかむ,961
靴,962
狭い,963
玉,964
神経,965
成功,966
越える,967
冬,968
土,969
薄い,970
楽しい,971
激しい,972
飛び出す,973
まさに,974
歌,975
立場,976
型,977
準備,978
嫌,979
さし,980
失礼,981
西,982
美,983
肌,984
緑,985
邪魔,986
納得,987
師,988
作業,989
描く,990
昼,991
反応,992
全然,993
当てる,994
やすい,995
意外,996
悪,997
関する,998
肉体,999
運命,1000
へん,1001
寄る,1002
昨夜,1003
紹介,1004
始まる,1005
街,1006
正面,1007
面倒,1008
作品,1009
行為,1010
後ろ,1011
終わる,1012
向こう,1013
角,1014
性格,1015
東京,1016
支配,1017
内容,1018
南,1019
しょう,1020
念,1021
謎,1022
熱,1023
かげ,1024
会話,1025
ぼんやり,1026
過去,1027
加える,1028
隠れる,1029
集める,1030
学,1031
勢い,1032
恐ろしい,1033
匂い,1034
正直,1035
行,1036
命じる,1037
珍しい,1038
わし,1039
一般,1040
恋,1041
鉄,1042
一生,1043
とれる,1044
込める,1045
さまざま,1046
一応,1047
必死,1048
伸ばす,1049
売る,1050
とうとう,1051
もともと,1052
弟,1053
青,1054
自ら,1055
驚き,1056
無駄,1057
限る,1058
ふん,1059
遊び,1060
戦争,1061
主義,1062
左右,1063
迫る,1064
薬,1065
やや,1066
お前,1067
重要,1068
東,1069
恐る,1070
弱い,1071
姉,1072
舌,1073
とく,1074
印象,1075
北,1076
大声,1077
雪,1078
覚悟,1079
人形,1080
包む,1081
戸,1082
味,1083
現場,1084
魚,1085
よほど,1086
騒ぎ,1087
ますます,1088
直接,1089
我慢,1090
見事,1091
有名,1092
地方,1093
馬,1094
だいたい,1095
訪れる,1096
船,1097
学生,1098
原因,1099
袋,1100
喉,1101
興奮,1102
文句,1103
駅,1104
具合,1105
事務,1106
甘い,1107
ごらん,1108
年間,1109
魂,1110
この世,1111
居,1112
わき,1113
個,1114
死体,1115
抱える,1116
氏,1117
たぶん,1118
よろしい,1119
虫,1120
投げる,1121
自動,1122
出発,1123
空間,1124
発,1125
葉,1126
遅れる,1127
味方,1128
糸,1129
機会,1130
術,1131
発する,1132
何事,1133
官,1134
地上,1135
嬢,1136
翌日,1137
匹,1138
大切,1139
呼吸,1140
はん,1141
あちこち,1142
左手,1143
村,1144
光景,1145
一切,1146
残念,1147
かぶる,1148
不意,1149
条件,1150
しく,1151
警察,1152
鳴らす,1153
文,1154
半ば,1155
かわり,1156
熱い,1157
病院,1158
午前,1159
痛み,1160
運動,1161
雰囲気,1162
けん,1163
最も,1164
勉強,1165
いらっしゃる,1166
貸す,1167
並べる,1168
予定,1169
予想,1170
耐える,1171
受け取る,1172
正確,1173
伸びる,1174
個人,1175
兄弟,1176
出会う,1177
機械,1178
音楽,1179
舞台,1180
商売,1181
両親,1182
そもそも,1183
心臓,1184
偶然,1185
顎,1186
嫌い,1187
家庭,1188
寄せる,1189
恋人,1190
ふり,1191
丸,1192
疑う,1193
状,1194
都合,1195
橋,1196
そろそろ,1197
確かめる,1198
自己,1199
申す,1200
真似,1201
面白い,1202
しも,1203
跡,1204
皿,1205
存ずる,1206
訪ねる,1207
どうせ,1208
うなずく,1209
失敗,1210
パン,1211
喜び,1212
希望,1213
吐く,1214
本人,1215
意地,1216
今回,1217
起こる,1218
疑問,1219
やがる,1220
不幸,1221
事故,1222
入り口,1223
無事,1224
加減,1225
森,1226
ただし,1227
約,1228
わが,1229
はるか,1230
本気,1231
せき,1232
移動,1233
とりあえず,1234
被害,1235
表現,1236
閉める,1237
片手,1238
座,1239
かえって,1240
望む,1241
足音,1242
苦しい,1243
時期,1244
ついで,1245
外国,1246
わざわざ,1247
食う,1248
久しい,1249
事態,1250
組む,1251
今朝,1252
枝,1253
倍,1254
喧嘩,1255
柱,1256
知識,1257
しん,1258
友達,1259
襲う,1260
堪る,1261
苦笑,1262
上がる,1263
士,1264
男性,1265
軒,1266
自殺,1267
努力,1268
次々,1269
映画,1270
草,1271
ありがたい,1272
隊,1273
技術,1274
いったん,1275
すごい,1276
無視,1277
ゆえ,1278
せっかく,1279
ぜひ,1280
炎,1281
運転,1282
武器,1283
道具,1284
絶える,1285
一種,1286
揺れる,1287
見つかる,1288
燃える,1289
迷惑,1290
結ぶ,1291
遊ぶ,1292
十分,1293
類,1294
意志,1295
楽しむ,1296
秒,1297
要する,1298
幸福,1299
爆発,1300
直す,1301
道路,1302
脳,1303
遅い,1304
顔色,1305
調査,1306
ろう,1307
おろす,1308
任せる,1309
遠慮,1310
達する,1311
洗う,1312
尻,1313
針,1314
雑誌,1315
決定,1316
公,1317
割,1318
吹く,1319
がん,1320
ほっと,1321
姿勢,1322
荷物,1323
夕方,1324
休む,1325
あたる,1326
うわ,1327
アメリカ,1328
異常,1329
悲しい,1330
