WORD,FREQUENCY_RANKING
だ,1
の,2
は,3
た,4
に,5
て,6
を,7
が,8
する,9
も,10
と,11
で,12
よ,13
ない,14
か,15
ん,16
の,17
な,18
ない,19
てる,20
いる,21
何,22
です,23
か,24
こと,25
ます,26
ね,27
俺,28
なる,29
この,30
お,31
って,32
お前,33
ある,34
それ,35
ぬ,36
から,37
れる,38
やる,39
さん,40
いい,41
どう,42
あっ,43
そう,44
私,45
たち,46
これ,47
ぞ,48
から,49
ば,50
言う,51
その,52
が,53
いう,54
ああ,55
ら,56
くる,57
もう,58
なん,59
今,60
まで,61
だけ,62
くれる,63
あ,64
の,65
ぜ,66
ここ,67
わ,68
けど,69
行く,70
うん,71
よう,72
見る,73
ちゃん,74
えっ,75
できる,76
来る,77
思う,78
せる,79
っつう,80
で,81
たい,82
あの,83
様,84
僕,85
られる,86
ん,87
うっ,88
分かる,89
君,90
さ,91
いや,92
そんな,93
知る,94
いく,95
と,96
人,97
待つ,98
へ,99
おい,100
はい,101
もの,102
気,103
誰,104
力,105
ため,106
まだ,107
死ぬ,108
なんて,109
し,110
こんな,111
どこ,112
出る,113
ちょっと,114
わけ,115
前,116
やつ,117
え,118
ちゃう,119
聞く,120
い,121
みんな,122
じゃ,123
あれ,124
つ,125
手,126
あいつ,127
あなた,128
より,129
だ,130
君,131
やがる,132
人間,133
しまう,134
う,135
大丈夫,136
早い,137
よい,138
自分,139
いつ,140
あの,141
じゃ,142
とき,143
強い,144
こいつ,145
場所,146
わかる,147
もらう,148
っす,149
くださる,150
や,151
殺す,152
持つ,153
本当,154
悪い,155
中,156
すごい,157
じゃあ,158
話,159
そこ,160
世界,161
違う,162
ああっ,163
そして,164
ヤツ,165
あんた,166
はず,167
はっ,168
みる,169
男,170
入る,171
ほう,172
やめる,173
者,174
ちまう,175
もん,176
ところ,177
使う,178
くっ,179
ハァ,180
度,181
そう,182
者,183
みたい,184
戦う,185
目,186
時間,187
しか,188
まま,189
しかし,190
よく,191
逃げる,192
さ,193
悟空,194
バカ,195
人,196
年,197
オレ,198
まあ,199
時,200
こっち,201
目指す,202
考える,203
王,204
あと,205
子,206
相手,207
仲間,208
まさか,209
おる,210
父,211
うわっ,212
なさる,213
次,214
帰る,215
海賊,216
生きる,217
貴様,218
出す,219
こう,220
なぜ,221
体,222
少し,223
さま,224
先生,225
あぁ,226
今日,227
すむ,228
見える,229
てめえ,230
うわ,231
戻る,232
すぐ,233
野郎,234
もっと,235
魔法,236
大,237
そんな,238
絶対,239
ご,240
敵,241
また,242
こそ,243
ハッ,244
一緒,245
助ける,246
ほど,247
さあ,248
ルフィ,249
もし,250
はあ,251
など,252
的,253
なぁ,254
術,255
さっき,256
しれる,257
おく,258
女,259
わし,260
守る,261
ござる,262
ありがとう,263
彼,264
フッ,265
つもり,266
ん,267
命,268
第,269
ダメ,270
先,271
また,272
つける,273
なに,274
やっぱり,275
目,276
心,277
負ける,278
以上,279
とく,280
顔,281
確か,282
隊長,283
攻撃,284
頼む,285
変わる,286
犬,287
ごめん,288
同じ,289
入れる,290
うう,291
つう,292
はぁ,293
最後,294
ちゃ,295
あれ,296
食う,297
呼ぶ,298
でる,299
能力,300
で,301
必要,302
夢,303
作る,304
教える,305
あげる,306
て,307
戦い,308
食べる,309
木,310
くらい,311
好き,312
よる,313
母,314
え,315
倒す,316
見せる,317
動く,318
ナルト,319
すべて,320
なんか,321
終わる,322
いける,323
ノ,324
ええ,325
神,326
おっ,327
そ,328
勝つ,329
とこ,330
会う,331
ほら,332
すぎる,333
や,334
願う,335
どんな,336
取る,337
今度,338
皆,339
兄,340
止める,341
べし,342
い,343
魂,344
忘れる,345
人,346
痛い,347
里,348
うち,349
国,350
番,351
上,352
うまい,353
んっ,354
頑張る,355
ずっと,356
全て,357
頭,358
ホント,359
ま,360
うるさい,361
