WORD,FREQUENCY_RANKING
だ,1
の,2
は,3
た,4
に,5
て,6
を,7
が,8
する,9
も,10
と,11
で,12
よ,13
ない,14
か,15
ん,16
な,17
てる,18
いる,19
何,20
です,21
こと,22
ます,23
ね,24
俺,25
なる,26
この,27
お,28
って,29
お前,30
ある,31
それ,32
ぬ,33
から,34
れる,35
やる,36
さん,37
いい,38
どう,39
あっ,40
そう,41
私,42
たち,43
これ,44
ぞ,45
ば,46
言う,47
その,48
いう,49
ああ,50
ら,51
くる,52
もう,53
なん,54
今,55
まで,56
だけ,57
くれる,58
あ,59
ぜ,60
ここ,61
わ,62
けど,63
行く,64
うん,65
よう,66
見る,67
ちゃん,68
えっ,69
できる,70
来る,71
思う,72
せる,73
っつう,74
たい,75
あの,76
様,77
僕,78
られる,79
うっ,80
分かる,81
君,82
さ,83
いや,84
そんな,85
知る,86
いく,87
人,88
待つ,89
へ,90
おい,91
はい,92
もの,93
気,94
誰,95
力,96
ため,97
まだ,98
死ぬ,99
なんて,100
し,101
こんな,102
どこ,103
出る,104
ちょっと,105
わけ,106
前,107
やつ,108
え,109
ちゃう,110
聞く,111
い,112
みんな,113
じゃ,114
あれ,115
つ,116
手,117
あいつ,118
あなた,119
より,120
やがる,121
人間,122
しまう,123
う,124
大丈夫,125
早い,126
よい,127
自分,128
いつ,129
とき,130
強い,131
こいつ,132
場所,133
わかる,134
もらう,135
っす,136
くださる,137
や,138
殺す,139
持つ,140
本当,141
悪い,142
中,143
すごい,144
じゃあ,145
話,146
そこ,147
世界,148
違う,149
ああっ,150
そして,151
ヤツ,152
あんた,153
はず,154
はっ,155
みる,156
男,157
入る,158
ほう,159
やめる,160
者,161
ちまう,162
もん,163
ところ,164
使う,165
くっ,166
ハァ,167
度,168
みたい,169
戦う,170
目,171
時間,172
しか,173
まま,174
しかし,175
よく,176
逃げる,177
悟空,178
バカ,179
年,180
オレ,181
まあ,182
時,183
こっち,184
目指す,185
考える,186
王,187
あと,188
子,189
相手,190
仲間,191
まさか,192
おる,193
父,194
うわっ,195
なさる,196
次,197
帰る,198
海賊,199
生きる,200
貴様,201
出す,202
こう,203
なぜ,204
体,205
少し,206
さま,207
先生,208
あぁ,209
今日,210
すむ,211
見える,212
てめえ,213
うわ,214
戻る,215
すぐ,216
野郎,217
もっと,218
魔法,219
大,220
絶対,221
ご,222
敵,223
また,224
こそ,225
ハッ,226
一緒,227
助ける,228
ほど,229
さあ,230
ルフィ,231
もし,232
はあ,233
など,234
的,235
なぁ,236
術,237
さっき,238
しれる,239
おく,240
女,241
わし,242
守る,243
ござる,244
ありがとう,245
彼,246
フッ,247
つもり,248
命,249
第,250
ダメ,251
先,252
つける,253
なに,254
やっぱり,255
心,256
負ける,257
以上,258
とく,259
顔,260
確か,261
隊長,262
攻撃,263
頼む,264
変わる,265
犬,266
ごめん,267
同じ,268
入れる,269
うう,270
つう,271
はぁ,272
最後,273
ちゃ,274
食う,275
呼ぶ,276
でる,277
能力,278
必要,279
夢,280
作る,281
教える,282
あげる,283
戦い,284
食べる,285
木,286
くらい,287
好き,288
よる,289
母,290
倒す,291
見せる,292
動く,293
ナルト,294
すべて,295
なんか,296
終わる,297
いける,298
ノ,299
ええ,300
神,301
おっ,302
そ,303
勝つ,304
とこ,305
会う,306
ほら,307
すぎる,308
願う,309
どんな,310
取る,311
今度,312
皆,313
兄,314
止める,315
べし,316
魂,317
忘れる,318
痛い,319
里,320
うち,321
国,322
番,323
上,324
うまい,325
んっ,326
頑張る,327
ずっと,328
全て,329
頭,330
ホント,331
ま,332
うるさい,333
よし,334
別,335
夜叉,336
おう,337
ボール,338
オラ,339
きっと,340
方,341
意味,342
さすが,343
心配,344
続ける,345
一人,346
たり,347
ドラゴン,348
あんな,349
とる,350
霊,351
なあ,352
つく,353
実,354
ううっ,355
日,356
