WORD,FREQUENCY_RANKING
だ,1
た,2
の,3
て,4
は,5
に,6
が,7
する,8
も,9
よ,10
で,11
を,12
と,13
ん,14
か,15
ない,16
てる,17
です,18
ね,19
な,20
ます,21
お,22
って,23
何,24
から,25
こと,26
さん,27
いる,28
いい,29
私,30
そう,31
それ,32
なる,33
ある,34
ちゃん,35
あっ,36
どう,37
言う,38
俺,39
けど,40
この,41
これ,42
いう,43
やる,44
ぬ,45
うん,46
れる,47
あ,48
ああ,49
くる,50
もう,51
わ,52
思う,53
お前,54
なん,55
行く,56
ば,57
たい,58
し,59
その,60
ん,61
たち,62
見る,63
えっ,64
分かる,65
くれる,66
はい,67
だけ,68
来る,69
いや,70
人,71
ぞ,72
今,73
君,74
ちゃう,75
ちょっと,76
まで,77
で,78
できる,79
よう,80
夏目,81
さ,82
ここ,83
僕,84
楠,85
雄,86
そんな,87
え,88
っつう,89
あの,90
じゃあ,91
気,92
今日,93
先輩,94
音,95
先生,96
なんて,97
せる,98
もの,99
いつ,100
られる,101
待つ,102
いく,103
よい,104
まあ,105
大丈夫,106
知る,107
誰,108
聞く,109
みんな,110
ら,111
キョン,112
出る,113
生徒,114
前,115
みる,116
すごい,117
みたい,118
ごめん,119
こんな,120
自分,121
帰る,122
どこ,123
ありがとう,124
まだ,125
子,126
好き,127
い,128
本当,129
くださる,130
わけ,131
一緒,132
食べる,133
違う,134
話,135
なさる,136
あれ,137
悪い,138
あなた,139
あんた,140
うっ,141
くん,142
母,143
入る,144
ダメ,145
おい,146
しまう,147
こう,148
もらう,149
持つ,150
ぜ,151
音,152
っす,153
部,154
早い,155
ほう,156
なあ,157
より,158
時間,159
また,160
つ,161
とき,162
学校,163
ほら,164
考える,165
ため,166
ところ,167
やっぱり,168
年,169
あと,170
君,171
夢,172
ち,173
すむ,174
へ,175
よく,176
女子,177
作る,178
様,179
的,180
時,181
頑張る,182
西片,183
父,184
別,185
じゃん,186
もし,187
や,188
たり,189
透,190
生,191
やめる,192
そこ,193
目,194
はあ,195
ホント,196
ハルヒ,197
少し,198
ご,199
ハル,200
あいつ,201
じゃ,202
男子,203
家,204
人,205
兄,206
あげる,207
姉,208
こっち,209
友達,210
くらい,211
もっと,212
ちゃんと,213
ござる,214
バカ,215
中,216
ずっと,217
日,218
あッ,219
ええ,220
だ,221
見える,222
次,223
しか,224
京子,225
ん,226
度,227
手,228
でる,229
て,230
とく,231
由希,232
買う,233
出す,234
願う,235
顔,236
すぐ,237
者,238
男,239
楽しい,240
まま,241
もん,242
終わる,243
変わる,244
しれる,245
あかり,246
声,247
高木,248
おく,249
海藤,250
気持ち,251
絶対,252
使う,253
う,254
ニャンコ,255
そ,256
伊織,257
さっき,258
怖い,259
妖怪,260
同じ,261
忘れる,262
世界,263
人間,264
小鷹,265
皆,266
やつ,267
堂,268
あたし,269
うう,270
竜児,271
会う,272
ハッ,273
さあ,274
結衣,275
きっと,276
かわいい,277
え,278
乃,279
いける,280
タカ,281
ハァ,282
真琴,283
ヤツ,284
すぎる,285
先,286
渚,287
ゆき,288
うち,289
話す,290
全然,291
えっと,292
戻る,293
ねえ,294
入れる,295
うまい,296
力,297
トシ,298
つける,299
おっ,300
そっ,301
んっ,302
寝る,303
普通,304
明日,305
こいつ,306
呼ぶ,307
無理,308
燃,309
こそ,310
仕事,311
取る,312
ああっ,313
ちゃ,314
つう,315
名前,316
大河,317
かける,318
そして,319
感じ,320
教える,321
確か,322
回,323
さま,324
フフッ,325
なぜ,326
おいしい,327
まさか,328
えッ,329
なに,330
ま,331
変,332
ハア,333
会,334
意味,335
書く,336
どんな,337
かしら,338
はず,339
とこ,340
ゲーム,341
場所,342
電話,343
はっ,344
おはよう,345
青葉,346
遊ぶ,347
チセ,348
見せる,349
うまる,350
クラス,351
奉太郎,352
アア,353
やれ,354
フッ,355
京介,356
女,357
死ぬ,358
マジ,359
超,360
昨日,361
心配,362
心,363
方,364
達,365
らしい,366
高校,367
てく,368
頼む,369
みくる,370
いえ,371
なんか,372
負ける,373
全部,374
照,375
つもり,376
実,377
食う,378
強い,379
よろしく,380
なつ,381
こなた,382
うーん,383
怜,384
今度,385
お,386
初めて,387
妹,388
空,389
っけ,390
花,391
部屋,392
覚える,393
方,394
千秋,395
子供,396
つく,397
ドア,398
所,399
ほしい,400
せい,401
間,402
練習,403
おう,404
最後,405
彼女,406
かがみ,407
こ,408
開く,409
よし,410
決める,411
あ,412
なぁ,413
相手,414
しかし,415
関係,416
まったく,417
海崎,418
さすが,419
り,420
飲む,421
中,422
面白い,423
トール,424
える,425
痛い,426
うわ,427
必要,428
じゃ,429
シノ,430
大変,431
最近,432
智子,433
夏,434
鳥,435
問題,436
ほたる,437
まず,438
人,439
とる,440
女の子,441
怒る,442
雫,443
一番,444
頭,445
小林,446
客,447
ほど,448
屋,449
夜空,450
以上,451
昔,452
生きる,453
体,454
結構,455
そろそろ,456
梓,457
元気,458
決まる,459
勝手,460
読む,461
海,462
始める,463
猫,464
言葉,465
へえ,466
わかる,467
わあ,468
あんな,469
上,470
勉強,471
いろいろ,472
笑う,473
会長,474
最初,475
ちまう,476
ながら,477
うれしい,478
遙,479
は,480
桐,481
不,482
エリアス,483
い,484
勝つ,485
う～ん,486
あら,487
コウ,488
古泉,489
いただく,490
逃げる,491
一人,492
晴彦,493
者,494
橋,495
笑い声,496
祭,497
斉木,498
携帯,499
泣く,500
能力,501
助ける,502
起きる,503
どうぞ,504
あー,505
大事,506
せっかく,507
なるほど,508
唯,509
もらえる,510
多い,511
ウソ,512
続ける,513
優しい,514
困る,515
ねえ,516
べし,517
見つける,518
ただ,519
遅い,520
イヤ,521
うるさい,522
～,523
星奈,524
祐子,525
綾乃,526
ぶり,527
勝負,528
体,529
大,530
