WORD,FREQUENCY_RANKING
の,1
だ,2
て,3
は,4
た,5
に,6
を,7
が,8
する,9
ない,10
と,11
ん,12
も,13
で,14
いる,15
か,16
から,17
よ,18
こと,19
う,20
です,21
く,22
俺,23
てる,24
そう,25
ある,26
なる,27
な,28
れる,29
ます,30
ね,31
あ,32
それ,33
言う,34
よう,35
じゃ,36
って,37
さん,38
くる,39
その,40
けど,41
いい,42
私,43
思う,44
ば,45
何,46
この,47
だけ,48
でも,49
人,50
たい,51
くれる,52
お,53
見る,54
まで,55
これ,56
そんな,57
わ,58
られる,59
あっ,60
ああ,61
しまう,62
さ,63
せる,64
へ,65
いく,66
ふる,67
もう,68
という,69
し,70
どう,71
いう,72
ちゃん,73
もの,74
え,75
やる,76
僕,77
ぬ,78
ながら,79
気,80
できる,81
ちる,82
手,83
あの,84
わかる,85
うん,86
なんだ,87
自分,88
や,89
なんて,90
ちゃう,91
今,92
中,93
だって,94
一,95
顔,96
ここ,97
行く,98
来る,99
事,100
ぞ,101
いや,102
ちょっと,103
はぁ,104
かも,105
だから,106
声,107
方,108
目,109
みたい,110
出る,111
はい,112
のに,113
とか,114
知る,115
彼女,116
聞く,117
時,118
分かる,119
前,120
みる,121
わけ,122
また,123
言葉,124
そして,125
話,126
より,127
こんな,128
考える,129
として,130
まま,131
今日,132
まだ,133
二,134
ところ,135
良い,136
ため,137
そこ,138
入る,139
そういう,140
ひる,141
音,142
なに,143
少し,144
誰,145
先輩,146
くん,147
お前,148
違う,149
様,150
好き,151
わたし,152
ほど,153
口,154
しれる,155
なん,156
そ,157
たち,158
悪い,159
君,160
どこ,161
大丈夫,162
子,163
たり,164
感じる,165
ただ,166
出来る,167
ちゃ,168
じゃあ,169
出す,170
くらい,171
もっと,172
時間,173
身体,174
なんか,175
あげる,176
待つ,177
持つ,178
はず,179
頭,180
みんな,181
本当に,182
見える,183
すごい,184
力,185
しか,186
らしい,187
よい,188
おく,189
ま,190
日,191
気持ち,192
あなた,193
えっ,194
まあ,195
もらう,196
なぁ,197
同じ,198
つく,199
男,200
など,201
くださる,202
強い,203
あぁ,204
ので,205
胸,206
いつも,207
しかし,208
とき,209
食べる,210
やっぱり,211
ら,212
戻る,213
はっ,214
おまえ,215
体,216
すぎる,217
部屋,218
よく,219
お兄ちゃん,220
もん,221
姿,222
あれ,223
かける,224
すぐ,225
あたし,226
ずっと,227
・,228
帰る,229
腰,230
上,231
達,232
ちゃんと,233
先,234
さっき,235
どうして,236
意味,237
うつ,238
続ける,239
こそ,240
早い,241
ねー,242
くい,243
笑う,244
嬉しい,245
後,246
家,247
他,248
けれど,249
ありがとう,250
ご,251
恥ずかしい,252
一緒に,253
人間,254
俺たち,255
ぜ,256
作る,257
以上,258
ほら,259
あと,260
だが,261
終わる,262
確かに,263
こっち,264
うい,265
きっと,266
ダメ,267
相手,268
なんで,269
無い,270
じ,271
ごめん,272
話す,273
夜,274
ええ,275
彼,276
こ,277
心,278
欲しい,279
ねぇ,280
使う,281
者,282
指,283
入れる,284
いける,285
べし,286
動く,287
感じ,288
先生,289
つもり,290
見せる,291
おる,292
場所,293
変わる,294
こう,295
剣,296
取る,297
それで,298
死ぬ,299
まぁ,300
女,301
始める,302
つける,303
世界,304
必要,305
呼ぶ,306
ゆっくり,307
心配,308
そのまま,309
ねえ,310
無理,311
奥,312
最後,313
表情,314
視線,315
り,316
がる,317
夢,318
キス,319
だめ,320
ばかり,321
姫,322
唇,323
そんなに,324
間,325
お願い,326
ござる,327
それでも,328
女の子,329
夏葉,330
なさる,331
存在,332
可愛い,333
こいつ,334
優しい,335
開く,336
うち,337
様子,338
よる,339
熱い,340
歩く,341
忘れる,342
問題,343
そっ,344
上げる,345
風,346
やめる,347
向かう,348
明日,349
一つ,350
腕,351
空,352
本,353
教える,354
まるで,355
仕事,356
こちら,357
楽しい,358
三,359
一緒,360
通り,361
身,362
痛い,363
初めて,364
だったら,365
今度,366
どんな,367
ふう,368
普通,369
絶対,370
立つ,371
舌,372
姉,373
くう,374
さすが,375
信じる,376
一番,377
さま,378
桜,379
だけど,380
やつ,381
覚える,382
内,383
花,384
いっぱい,385
足,386
向ける,387
止める,388
聞こえる,389
言える,390
もちろん,391
め,392
深い,393
あー,394
別,395
変,396
年,397
ほう,398
にとって,399
次,400
理由,401
いつ,402
ペニス,403
殺す,404
あいつ,405
全部,406
分,407
頑張る,408
見つめる,409
嫌,410
これから,411
大きく,412
寝る,413
まさか,414
雅也,415
せい,416
それに,417
生きる,418
なあ,419
膣,420
瞬間,421
こういう,422
関係,423
なぜ,424
振る,425
下,426
度,427
なんです,428
笑顔,429
なるほど,430
全て,431
会う,432
かしら,433
触れる,434
あんた,435
合う,436
息,437
こんなに,438
まったく,439
困る,440
ちょ,441
っと,442
逃げる,443
受ける,444
どういう,445
外,446
学園,447
でる,448
仕方,449
はあ,450
いま,451
数,452
少女,453
昨日,454
別に,455
動き,456
とても,457
最初,458
光,459
首,460
怖い,461
震える,462
消える,463
愛,464
残る,465
つまり,466
さえ,467
怒る,468
気持ちいい,469
軽い,470
小さい,471
水,472
反応,473
丞,474
落ちる,475
ど,476
おかしい,477
理解,478
ボク,479
す,480
幸せ,481
朝,482
本当,483
引く,484
状況,485
答える,486
よー,487
動かす,488
どうか,489
守る,490
名前,491
意識,492
驚く,493
奴,494
思える,495
今まで,496
あまり,497
まひる,498
ぐらい,499
多い,500
何度も,501
起きる,502
とる,503
肩,504
頼む,505
激しい,506
妹,507
思い出す,508
精液,509
気持ちよい,510
走る,511
ほる,512
子供,513
行う,514
四,515
天,516
当然,517
かかる,518
気づく,519
背中,520
決める,521
全然,522
許す,523
おお,524
小さな,525
置く,526
我慢,527
飲む,528
いきなり,529
離れる,530
頃,531
過ぎる,532
じゃん,533
抱く,534
オレ,535
物,536
させる,537
泣く,538
ほしい,539
記憶,540
頷く,541
血,542
瞳,543
求める,544
月,545
嘘,546
舐める,547
真,548
つつ,549
一瞬,550
さらに,551
とも,552
高い,553
頬,554
そろそろ,555
しっかり,556
もし,557
こうして,558
姉さん,559
気付く,560
探す,561
大きな,562
目の前,563
的,564
得る,565
以外,566
元気,567
形,568
どれ,569
では,570
返す,571
やはり,572
とにかく,573
同時に,574
い,575
耳,576
撫でる,577
落ち着く,578
確認,579
そりゃ,580
おい,581
服,582
琴,583
つ,584
長い,585
大,586
居る,587
肉,588
命,589
大事,590
紫,591
急,592
皆,593
甘い,594
っす,595
止まる,596
ごめんなさい,597
すら,598
買う,599
海,600
開ける,601
快感,602
再び,603
宮,604
敵,605
大変,606
える,607
部,608
なー,609
なのだ,610
妙,611
色々,612
不安,613
駄目,614
握る,615
あんな,616
モノ,617
射精,618
結構,619
決まる,620
学校,621
所,622
友達,623
昔,624
隠す,625
感触,626
完全,627
とりあえず,628
思わず,629
について,630
説明,631
もしかして,632
伝える,633
大好き,634
約束,635
なれる,636
触る,637
任せる,638
上がる,639
失う,640
雪,641
気分,642
読む,643
続く,644
ひとつ,645
回,646
エッチ,647
っていう,648
かなり,649
準備,650
もつ,651
る,652
安心,653
感覚,654
本気,655
道,656
立てる,657
匂い,658
伸ばす,659
おっぱい,660
下さる,661
たって,662
むしろ,663
っけ,664
書く,665
浮かべる,666
店,667
黙る,668
よし,669
合わせる,670
空気,671
教室,672
あんまり,673
しばらく,674
想像,675
ううん,676
里,677
陽,678
選ぶ,679
結局,680
とく,681
りす,682
夏,683
構う,684
たくさん,685
ねる,686
助ける,687
十,688
簡単,689
付く,690
ようやく,691
秋,692
ならば,693
刺激,694
綺麗,695
凄い,696
冗談,697
慌てる,698
最近,699
興奮,700
座る,701
部分,702
状態,703
不思議,704
それも,705
もらえる,706
馬鹿,707
うむ,708
そもそも,709
結果,710
歩,711
わっ,712
素直,713
押す,714
き,715
もう少し,716
己,717
濡れる,718
どうやら,719
それだけ,720
しかも,721
事実,722
涙,723
ぼく,724
なり,725
セイバー,726
正直,727
星,728
美味しい,729
後ろ,730
百,731
私たち,732
飛ぶ,733
変える,734
抜ける,735
逆,736
げ,737
緊張,738
とこ,739
鬼,740
赤い,741
戦う,742
すべて,743
にゃ,744
け,745
あう,746
特に,747
見つける,748
負ける,749
認める,750
切る,751
すい,752
料理,753
さて,754
うわ,755
抱きしめる,756
進む,757
ン,758
放つ,759
届く,760
与える,761
っぽい,762
面白い,763
難しい,764
村,765
だす,766
バカ,767
似る,768
場合,769
掴む,770
乗る,771
よろしく,772
肌,773
いただく,774
感情,775
マスター,776
そっと,777
当たり前,778
吸う,779
恋,780
もしか,781
程度,782
確か,783
羽,784
叩く,785
向こう,786
こむ,787
すむ,788
疲れる,789
付き合う,790
生徒,791
乃,792
勉強,793
白い,794
可能性,795
慣れる,796
うーん,797
そっち,798
髪,799
彼ら,800
マジ,801
雨,802
答え,803
遅い,804
龍,805
名,806
なんと,807
聖,808
んで,809
元,810
練習,811
一体,812
かい,813
落とす,814
ベッド,815
ふふふ,816
死,817
離す,818
自身,819
おはよう,820
回る,821
によって,822
いえる,823
実は,824
訳,825
いくら,826
勝手,827
実際,828
閉じる,829
期待,830
なにか,831
乳首,832
せっかく,833
行動,834
静,835
伝わる,836
溢れる,837
全身,838
平気,839
謝る,840
仁,841
っていうか,842
あら,843
今回,844
大切,845
すみ,846
ほとんど,847
樹里,848
それとも,849
千,850
殿,851
響く,852
重い,853
味,854
娘,855
自ら,856
痛み,857
愛す,858
手伝う,859
近い,860
抜く,861
横,862
納得,863
残す,864
街,865
さあ,866
ふたり,867
隣,868
電話,869
貴方,870
笑み,871
どの,872
それなら,873
神,874
情報,875
かわいい,876
普段,877
デート,878
すみません,879
微笑む,880
もう一度,881
近づく,882
用意,883
自然,884
望む,885
兄さん,886
必死,887
ぶる,888
起こす,889
呟く,890
終わり,891
零,892
会話,893
着る,894
えと,895
遊ぶ,896
一気に,897
全員,898
家族,899
なかなか,900
現れる,901
ひどい,902
生まれる,903
うる,904
汗,905
築,906
まず,907
兄,908
色,909
亀頭,910
おっ,911
場,912
熱,913
用,914
きる,915
指先,916
ろ,917
鈴,918
女性,919
お姉ちゃん,920
辛い,921
返事,922
立ち上がる,923
送る,924
会長,925
連れる,926
告げる,927
吐く,928
なんとか,929
魔法,930
うまい,931
まずは,932
ひとり,933
