WORD,FREQUENCY_RANKING
い,1
の,2
は,3
て,4
た,5
に,6
な,7
を,8
る,9
だ,10
が,11
で,12
し,13
っ,14
か,15
と,16
も,17
ん,18
す,19
よ,20
う,21
ま,22
私,23
ら,24
く,25
何,26
わ,27
から,28
あ,29
れ,30
ね,31
する,32
それ,33
彼,34
さ,35
ろ,36
こと,37
そう,38
あなた,39
お,40
どう,41
君,42
せ,43
言,44
俺,45
や,46
じゃ,47
り,48
かっ,49
行,50
よう,51
くれ,52
これ,53
この,54
事,55
ここ,56
人,57
知,58
き,59
ば,60
その,61
誰,62
彼女,63
思,64
見,65
って,66
お前,67
話,68
だっ,69
つ,70
ぞ,71
さん,72
もう,73
来,74
僕,75
しょ,76
でき,77
だけ,78
なら,79
者,80
わか,81
今,82
分か,83
たち,84
聞,85
出,86
まで,87
けど,88
どこ,89
られ,90
死,91
へ,92
時,93
殺,94
達,95
ああ,96
前,97
中,98
必要,99
み,100
ため,101
もの,102
あの,103
待,104
奴,105
気,106
無,107
良,108
大丈夫,109
我々,110
自分,111
持,112
時間,113
一,114
なぜ,115
家,116
本当,117
まだ,118
そんな,119
的,120
む,121
戻,122
ありがとう,123
いや,124
男,125
考え,126
会,127
年,128
日,129
方,130
そして,131
仕事,132
手,133
見つけ,134
ちょっと,135
じ,136
いつ,137
出来,138
違,139
後,140
他,141
そこ,142
一緒,143
電話,144
すぐ,145
悪,146
なさ,147
入,148
助け,149
ええ,150
なんて,151
目,152
所,153
やめ,154
車,155
居,156
分,157
なん,158
みたい,159
より,160
様,161
あんた,162
こ,163
また,164
場所,165
みんな,166
父,167
度,168
べ,169
欲し,170
同じ,171
金,172
しろ,173
問題,174
こんな,175
おい,176
え,177
子供,178
愛,179
名前,180
帰,181
子,182
もし,183
ただ,184
はず,185
信,186
全て,187
けれ,188
好き,189
ご,190
使,191
少し,192
くださ,193
さあ,194
見え,195
通り,196
教え,197
皆,198
ー,199
為,200
入れ,201
よく,202
つもり,203
来る,204
早,205
探,206
物,207
人間,208
ダメ,209
パパ,210
世界,211
上,212
どんな,213
もっと,214
ママ,215
頼,216
ちゃ,217
l,218
行け,219
よし,220
女,221
止め,222
呼,223
警察,224
心配,225
ぜ,226
ぬ,227
願,228
今日,229
逃げ,230
官,231
ところ,232
こっち,233
関係,234
生き,235
すべて,236
家族,237
連れ,238
撃,239
外,240
ごめん,241
母,242
起き,243
いいえ,244
神,245
力,246
しま,247
ず,248
じゃあ,249
捜査,250
あれ,251
忘れ,252
意味,253
しかし,254
最後,255
くる,256
息子,257
きゃ,258
娘,259
次,260
取,261
ねえ,262
間,263
終わ,264
殺人,265
しれ,266
書,267
つけ,268
全部,269
情報,270
起こ,271
作,272
頭,273
銃,274
事件,275
調べ,276
理由,277
もちろん,278
もら,279
ジョン,280
数,281
準備,282
とても,283
うん,284
しか,285
連絡,286
残,287
別,288
心,289
一人,290
以上,291
長,292
ずっと,293
回,294
部屋,295
下さ,296
守,297
見せ,298
始め,299
丶,300
人生,301
危険,302
続け,303
覚え,304
女性,305
すれ,306
ぶ,307
安全,308
こう,309
貴方,310
急,311
新し,312
最初,313
万,314
約束,315
なに,316
ドル,317
結婚,318
飲,319
下,320
方法,321
得,322
二,323
わけ,324
友達,325
食べ,326
オレ,327
すぎ,328
すご,329
計画,330
無理,331
楽し,332
顔,333
仲間,334
送,335
こちら,336
可能,337
聞こえ,338
夜,339
あいつ,340
友人,341
犯人,342
はい,343
性,344
まあ,345
i,346
まま,347
先,348
かけ,349
バカ,350
どうぞ,351
いけ,352
せい,353
ほど,354
かしら,355
嘘,356
変わ,357
命,358
失,359
確認,360
そ,361
最高,362
あと,363
感じ,364
とき,365
着,366
動,367
the,368
け,369
船,370
ほら,371
機,372
与え,373
明日,374
全員,375
二人,376
くらい,377
開け,378
あげ,379
理解,380
質問,381
たら,382
不,383
確か,384
怖,385
こいつ,386
あぁ,387
離れ,388
どの,389
答え,390
たり,391
とも,392
置,393
素晴らし,394
今夜,395
言え,396
見つか,397
こそ,398
黙,399
イ,400
つまり,401
受け,402
you,403
伝え,404
第,405
クソ,406
感謝,407
ドア,408
用,409
妻,410
写真,411
街,412
盗,413
うち,414
本,415
感,416
渡,417
博士,418
説明,419
かか,420
証拠,421
うま,422
向か,423
望,424
乗,425
道,426
だめ,427
正し,428
寝,429
言葉,430
買,431
働,432
失礼,433
攻撃,434
夢,435
立,436
大,437
逮捕,438
歳,439
たぶん,440
名,441
野郎,442
隠,443
戦,444
座,445
国,446
終わり,447
強,448
どれ,449
ちゃん,450
件,451
救,452
きっと,453
絶対,454
警官,455
血,456
ある,457
刑事,458
先生,459
なし,460
まず,461
父親,462
状況,463
会社,464
番,465
間違い,466
嫌,467
重要,468
捕まえ,469
室,470
員,471
週間,472
了解,473
a,474
なんか,475
十分,476
秘密,477
変え,478
元気,479
一番,480
やあ,481
やつ,482
大統領,483
一体,484
水,485
ち,486
会え,487
犯,488
犯罪,489
過ぎ,490
残念,491
自由,492
士,493
敵,494
報告,495
やれ,496
もん,497
簡単,498
音,499
消え,500
命令,501
相手,502
声,503
王,504
ござ,505
おまえ,506
対,507
多く,508
アメリカ,509
チーム,510
通,511
ひど,512
自身,513
等,514
語,515
母親,516
選,517
ヤツ,518
何処,519
切,520
らし,521
学校,522
元,523
昔,524
人々,525
被害,526
ジャック,527
読,528
大変,529
口,530
奥,531
要,532
あそこ,533
真実,534
記録,535
戦争,536
決め,537
病院,538
携帯,539
店,540
許,541
深,542
月,543
監視,544
実,545
学,546
体,547
初めて,548
思い出,549
運,550
高,551
武器,552
手伝,553
to,554
など,555
責任,556
間違,557
ほう,558
変,559
ばかり,560
協力,561
犬,562
役,563
落ち着,564
頃,565
行動,566
実際,567
存在,568
発見,569
解決,570
刑務,571
追,572
番号,573
捨て,574
兄,575
こんにちは,576
大きな,577
サム,578
返,579
罪,580
足,581
いえ,582
研究,583
ボス,584
させ,585
歩,586
さえ,587
軍,588
結果,589
冗談,590
かなり,591
ながら,592
薬,593
ジェーン,594
ほし,595
驚,596
気持ち,597
破壊,598
任せ,599
興味,600
カメラ,601
場,602
上手,603
弁護,604
払,605
住,606
fbi,607
死体,608
怒,609
生活,610
状態,611
調査,612
気分,613
ヶ月,614
なれ,615
来い,616
ゲーム,617
近く,618
夫,619
済,620
地球,621
願い,622
止ま,623
そいつ,624
兄弟,625
嬉し,626
信用,627
何故,628
以外,629
大き,630
運転,631
なあ,632
ぼく,633
売,634
普通,635
事故,636
後ろ,637
歌,638
おかし,639
今度,640
大事,641
医者,642
場合,643
政府,644
チャンス,645
あまり,646
有,647
サラ,648
開,649
不明,650
装置,651
現場,652
遅,653
邪魔,654
目的,655
静か,656
限り,657
もしもし,658
少な,659
飛行,660
精神,661
朝,662
映画,663
幸せ,664
さて,665
取引,666
ガ,667
話せ,668
連中,669
ちゃんと,670
人物,671
多分,672
弟,673
特別,674
恐れ,675
唯一,676
容疑,677
古,678
認め,679
多,680
共,681
ねぇ,682
互い,683
移動,684
銀行,685
用意,686
たくさん,687
警備,688
面白,689
最近,690
裁判,691
全く,692
とおり,693
犠牲,694
昨日,695
ぐ,696
傷,697
あら,698
信じ,699
傷つけ,700
過去,701
町,702
キミ,703
落ち,704
完全,705
求め,706
システム,707
始ま,708
失敗,709
さぁ,710
選択,711
あんな,712
信頼,713
無事,714
生,715
美し,716
島,717
客,718
くそ,719
隠れ,720
付け,721
素敵,722
若,723
リスト,724
想像,725
気づ,726
決して,727
馬鹿,728
鍵,729
聞け,730
とにかく,731
身,732
判,733
証明,734
やす,735
女の子,736
姿,737
嫌い,738
価値,739
and,740
もらえ,741
州,742
服,743
未来,744
必ず,745
カ,746
ビル,747
め,748
以前,749
奪,750
まるで,751
ウソ,752
三,753
ピーター,754
マジ,755
両親,756
痛,757
非常,758
壁,759
妹,760
違い,761
借り,762
無駄,763
丿,764
待て,765
思え,766
ホテル,767
治療,768
まさか,769
大学,770
降り,771
メール,772
年間,773
記憶,774
カード,775
部,776
現れ,777
病気,778
爆弾,779
経験,780
難し,781
注意,782
レッド,783
いく,784
腕,785
走,786
正直,787
今回,788
最も,789
任務,790
ハイ,791
許可,792
ホント,793
生まれ,794
関,795
空,796
貸,797
とこ,798
品,799
組織,800
本気,801
風,802
氏,803
化,804
宇宙,805
げ,806
近づ,807
おはよう,808
訳,809
事実,810
昨夜,811
本物,812
予定,813
科学,814
内,815
えっ,816
放,817
ショー,818
ス,819
やが,820
狂,821
ひと,822
完璧,823
最悪,824
秒,825
点,826
首,827
進,828
追跡,829
笑,830
少年,831
望み,832
頑張,833
我,834
従,835
襲,836
いま,837
爆発,838
時代,839
消,840
悪魔,841
ちょうど,842
勝,843
あっ,844
法,845
小さな,846
ベッド,847
階,848
ニュース,849
戦い,850
成功,851
式,852
個人,853
ジョー,854
保護,855
地下,856
作戦,857
光,858
ミス,859
どっち,860
無し,861
残り,862
レンジャー,863
疲れ,864
眠,865
困,866
利用,867
狙,868
期待,869
忙し,870
調子,871
向こう,872
技術,873
下が,874
やぁ,875
ほとんど,876
わし,877
落ち着け,878
今朝,879
使え,880
試,881
我が,882
平気,883
パーティー,884
駄目,885
明らか,886
患者,887
くそっ,888
局,889
線,890
さっき,891
当然,892
喜,893
しっかり,894
警部,895
付,896
申し訳,897
地,898
マシン,899
骨,900
検査,901
主人,902
コーヒー,903
遅れ,904
別れ,905
現実,906
館,907
ジム,908
全,909
誓,910
去,911
触,912
地獄,913
メッセージ,914
気付,915
誘拐,916
ニューヨーク,917
脳,918
毎日,919
部下,920
そっち,921
合,922
過ご,923
船長,924
貰,925
似,926
フランク,927
侵入,928
マイケル,929
殴,930
立て,931
酒,932
マイク,933
魔法,934
そりゃ,935
きみ,936
陛下,937
どちら,938
ゆっくり,939
麻薬,940
ボク,941
遺体,942
兵士,943
姉,944
ファイル,945
食,946
幸運,947
捜,948
結構,949
おお,950
能力,951
of,952
側,953
関わ,954
森,955
it,956
原因,957
まったく,958
続,959
小さ,960
少女,961
キス,962
トラック,963
耳,964
世話,965
動物,966
ロック,967
食事,968
捕ま,969
バー,970
夕食,971
大切,972
び,973
構,974
泣,975
ぐらい,976
赤,977
隊,978
酷,979
行方,980
パワー,981
行為,982
日本,983
現在,984
おそらく,985
たが,986
まぁ,987
号,988
緊急,989
チャーリー,990
警告,991
箱,992
切れ,993
要求,994
火,995
右,996
せよ,997
支配,998
ちま,999
海,1000
永遠,1001
到着,1002
赤ちゃん,1003
特に,1004
ウォルター,1005
ヘンリー,1006
全然,1007
負け,1008
屋,1009
希望,1010
管理,1011
自殺,1012
魂,1013
代わり,1014
影響,1015
休,1016
スパイ,1017
集め,1018
一部,1019
雇,1020
権利,1021
飛,1022
窓,1023
位,1024
オフィス,1025
なぁ,1026
えぇ,1027
あー,1028
賢,1029
何者,1030
助か,1031
常,1032
髪,1033
マーク,1034
山,1035
いた,1036
メガ,1037
デート,1038
いくら,1039
色々,1040
me,1041
運命,1042
オリバー,1043
心臓,1044
イヤ,1045
コード,1046
誕生,1047
ミスター,1048
馬,1049
向け,1050
音楽,1051
殺せ,1052
半分,1053
受け入れ,1054
議員,1055
保安,1056
正確,1057
混乱,1058
撮,1059
施設,1060
あたし,1061
活動,1062
可愛,1063
ベン,1064
木,1065
たって,1066
手紙,1067
映像,1068
判断,1069
殺害,1070
in,1071
しばらく,1072
将軍,1073
反応,1074
親父,1075
師,1076
たった,1077
ドイツ,1078
億,1079
疑,1080
チェック,1081
やっと,1082
訓練,1083
部隊,1084
強盗,1085
テスト,1086
再,1087
はっきり,1088
迎え,1089
上げ,1090
意見,1091
面倒,1092
フィンチ,1093
だれ,1094
壊,1095
行き,1096
めでと,1097
左,1098
引,1099
機会,1100
指示,1101
弾,1102
おかげ,1103
トム,1104
解,1105
感情,1106
ブラック,1107
ロシア,1108
ヘイ,1109
主,1110
担当,1111
ナイフ,1112
相棒,1113
こい,1114
通信,1115
s,1116
星,1117
事務,1118
器,1119
歴史,1120
反対,1121
データ,1122
亡くな,1123
勝手,1124
no,1125
料理,1126
事態,1127
捜索,1128
異常,1129
鳥,1130
社,1131
my,1132
出発,1133
祈,1134
以来,1135
テレビ,1136
遊,1137
一杯,1138
沢山,1139
住所,1140
結局,1141
ガス,1142
大好き,1143
直,1144
取り戻,1145
ほんと,1146
偉大,1147
近,1148
男性,1149
速,1150
戻れ,1151
知れ,1152
殺し,1153
証言,1154
示,1155
ビデオ,1156
みな,1157
一致,1158
脱出,1159
恐怖,1160
紹介,1161
触れ,1162
礼,1163
ネット,1164
突然,1165
裏,1166
打,1167
発,1168
意識,1169
尋ね,1170
きれい,1171
人類,1172
晩,1173
開始,1174
アア,1175
目撃,1176
解放,1177
平和,1178
真,1179
集中,1180
よろしく,1181
アンタ,1182
刺,1183
わたし,1184
様子,1185
専門,1186
スーツ,1187
かい,1188
賭け,1189
e,1190
悲し,1191
オーケー,1192
クラブ,1193
嬢,1194
司令,1195
完了,1196
信号,1197
ok,1198
契約,1199
部分,1200
クリスマス,1201
d,1202
穴,1203
すでに,1204
教会,1205
マイル,1206
途中,1207
is,1208
出かけ,1209
凄,1210
楽しみ,1211
バス,1212
あっち,1213
絵,1214
動き,1215
剣,1216
指,1217
筈,1218
上が,1219
痛み,1220
やら,1221
歯,1222
裏切,1223
位置,1224
掛け,1225
良く,1226
おけ,1227
ウォーカー,1228
種,1229
席,1230
ふざけ,1231
魔女,1232
that,1233
靴,1234
瞬間,1235
受け取,1236
確かめ,1237
取れ,1238
教授,1239
恐ろし,1240
落と,1241
フォース,1242
ボート,1243
奇妙,1244
キャリー,1245
弱,1246
ども,1247
天使,1248
息,1249
熱,1250
黒,1251
吸,1252
参加,1253
by,1254
建物,1255
優し,1256
出せ,1257
うーん,1258
ワン,1259
