WORD,FREQUENCY_RANKING
の,1
EOS,2
に,3
は,4
て,5
を,6
が,7
で,8
た,9
と,10
し,11
も,12
な,13
・,14
ない,15
ます,16
「,17
」,18
こと,19
e,20
か,21
です,22
o,23
a,24
いる,25
t,26
する,27
から,28
だ,29
ある,30
い,31
）,32
（,33
i,34
n,35
れ,36
さ,37
r,38
s,39
ん,40
よう,41
まし,42
う,43
人,44
m,45
この,46
という,47
その,48
l,49
的,50
c,51
年,52
いう,53
日,54
！,55
h,56
私,57
あり,58
もの,59
ば,60
や,61
d,62
なっ,63
？,64
p,65
それ,66
u,67
者,68
これ,69
#,70
|,71
b,72
S,73
y,74
なる,75
月,76
C,77
として,78
さん,79
T,80
A,81
ね,82
：,83
まで,84
g,85
w,86
など,87
ませ,88
k,89
中,90
P,91
お,92
なく,93
れる,94
，,95
…,96
へ,97
ため,98
M,99
そう,100
たい,101
日本,102
だけ,103
一,104
あっ,105
ので,106
よ,107
き,108
何,109
I,110
思い,111
なら,112
だっ,113
自分,114
について,115
R,116
方,117
E,118
時,119
なり,120
D,121
問題,122
でき,123
いい,124
O,125
たら,126
また,127
N,128
られ,129
B,130
より,131
f,132
見,133
『,134
今,135
』,136
L,137
でも,138
だろ,139
考え,140
わけ,141
━,142
おり,143
でしょ,144
ござい,145
たち,146
ところ,147
．,148
できる,149
なかっ,150
思う,151
って,152
前,153
せ,154
第,155
たり,156
ず,157
性,158
思っ,159
そして,160
けど,161
どう,162
時間,163
会,164
円,165
二,166
場合,167
必要,168
でし,169
情報,170
○,171
しかし,172
み,173
F,174
とき,175
v,176
コメント,177
化,178
上,179
事,180
W,181
出,182
ご,183
話,184
U,185
ながら,186
H,187
本,188
す,189
じゃ,190
ここ,191
分,192
十,193
目,194
感じ,195
■,196
いく,197
G,198
てる,199
言っ,200
今日,201
いっ,202
関係,203
ー,204
委員,205
後,206
かも,207
家,208
そういう,209
･,210
世界,211
気,212
点,213
万,214
】,215
【,216
もう,217
やっ,218
バック,219
社会,220
〜,221
言う,222
なけれ,223
トラック,224
によって,225
仕事,226
同じ,227
数,228
記事,229
行っ,230
彼,231
大,232
国,233
べき,234
られる,235
等,236
_,237
とか,238
回,239
三,240
君,241
法,242
K,243
意味,244
よく,245
力,246
以上,247
J,248
しまう,249
会社,250
しまっ,251
くる,252
j,253
持っ,254
くれ,255
ほど,256
そんな,257
人間,258
★,259
│,260
V,261
多く,262
来,263
現在,264
なん,265
企業,266
氏,267
ください,268
ちょっと,269
間,270
可能,271
研究,272
投稿,273
他,274
アメリカ,275
しれ,276
けれども,277
リンク,278
今回,279
次,280
ら,281
いたし,282
言葉,283
こういう,284
書い,285
僕,286
しか,287
●,288
多い,289
x,290
経済,291
あなた,292
手,293
そこ,294
あれ,295
による,296
最近,297
結果,298
度,299
％,300
くらい,301
映画,302
／,303
先生,304
生活,305
金,306
言わ,307
＝,308
時代,309
政府,310
非常,311
御,312
＞,313
店,314
良い,315
まだ,316
において,317
内容,318
^,319
一つ,320
心,321
――,322
見る,323
説明,324
せる,325
写真,326
ただ,327
サイト,328
教育,329
女性,330
子供,331
方法,332
に対して,333
＊,334
あるいは,335
名,336
利用,337
さらに,338
ブログ,339
少し,340
紹介,341
技術,342
いろいろ,343
なんて,344
名前,345
参加,346
入っ,347
大きな,348
うち,349
やはり,350
☆,351
こ,352
受け,353
どの,354
好き,355
にとって,356
活動,357
東京,358
どこ,359
かなり,360
こんな,361
状況,362
五,363
に対する,364
管理,365
特に,366
環境,367
ページ,368
Y,369
のに,370
地域,371
本当に,372
いただき,373
使っ,374
実際,375
中国,376
市,377
先,378
聞い,379
誰,380
個人,381
意見,382
状態,383
歳,384
大学,385
物,386
存在,387
最後,388
しまい,389
笑,390
システム,391
すべて,392
彼女,393
理解,394
学校,395
部分,396
すれ,397
とても,398
得,399
電話,400
考える,401
用,402
行く,403
部,404
z,405
県,406
日記,407
しよ,408
メール,409
制度,410
使用,411
事業,412
ス,413
四,414
いけ,415
固定,416
調査,417
基本,418
もちろん,419
関連,420
一般,421
あと,422
新しい,423
開発,424
あの,425
音楽,426
一番,427
内,428
作品,429
側,430
重要,431
X,432
出来,433
高い,434
最初,435
様,436
達,437
国民,438
サービス,439
もっと,440
に関する,441
出し,442
長,443
こちら,444
水,445
おる,446
らしい,447
新,448
事件,449
英語,450
所,451
質問,452
形,453
ほとんど,454
まず,455
男,456
はず,457
ふう,458
約,459
主義,460
下,461
場,462
読ん,463
ちゃん,464
理由,465
知ら,466
書,467
入れ,468
こう,469
始め,470
社,471
──,472
ン,473
みる,474
場所,475
機能,476
米,477
お願い,478
労働,479
いつも,480
→,481
車,482
食べ,483
相手,484
国際,485
自身,486
っ,487
声,488
計画,489
ほう,490
政治,491
別,492
ばかり,493
系,494
感,495
思わ,496
億,497
頃,498
号,499
における,500
つまり,501
日本人,502
今後,503
言え,504
くれる,505
まま,506
文化,507
いえ,508
体,509
違う,510
大変,511
ましょ,512
彼ら,513
評価,514
百,515
対応,516
あまり,517
権,518
頭,519
子,520
かけ,521
自由,522
｜,523
知っ,524
昨日,525
行わ,526
みたい,527
すぐ,528
これから,529
歴史,530
全体,531
気持ち,532
報告,533
程度,534
◆,535
元,536
♪,537
人々,538
＜,539
言い,540
予定,541
代表,542
あろ,543
その後,544
経験,545
型,546
員,547
ネット,548
以外,549
なぁ,550
よい,551
今年,552
価格,553
投資,554
経営,555
ニュース,556
見え,557
いき,558
それぞれ,559
自然,560
商品,561
なかなか,562
発表,563
目的,564
影響,565
地方,566
だから,567
テレビ,568
一緒,569
面,570
顔,571
選手,572
無い,573
道,574
けれど,575
みんな,576
子ども,577
実は,578
確か,579
違い,580
千,581
確認,582
ありがとう,583
下さい,584
夜,585
例えば,586
中心,587
つけ,588
市場,589
音,590
提供,591
たく,592
なぜ,593
事実,594
地,595
簡単,596
朝,597
版,598
学,599
当然,600
以下,601
責任,602
作っ,603
六,604
通り,605
ゲーム,606
議論,607
これら,608
続け,609
以前,610
位,611
データ,612
買っ,613
判断,614
例,615
ぬ,616
専門,617
家族,618
やる,619
向け,620
悪い,621
しかも,622
初めて,623
勉強,624
いま,625
期待,626
そこで,627
全く,628
教え,629
韓国,630
外,631
たくさん,632
効果,633
検討,634
つ,635
各,636
普通,637
組織,638
政策,639
わから,640
町,641
行動,642
TrackBack,643
年間,644
こそ,645
率,646
当時,647
学生,648
海,649
持つ,650
販売,651
どんな,652
つい,653
つつ,654
購入,655
科学,656
及び,657
監督,658
意識,659
高,660
わ,661
九,662
る,663
とも,664
のみ,665
生産,666
表現,667
戦争,668
参考,669
ひとつ,670
その他,671
決定,672
まあ,673
ぐらい,674
＆,675
曲,676
同,677
ク,678
やっぱり,679
法律,680
あ,681
機関,682
申し上げ,683
大きく,684
すぎ,685
行き,686
行う,687
ビジネス,688
さて,689
対象,690
チーム,691
現実,692
読む,693
対策,694
作業,695
価値,696
テーマ,697
十分,698
一部,699
語,700
姿,701
新聞,702
一方,703
風,704
八,705
際,706
ラ,707
論,708
全て,709
大臣,710
神,711
もし,712
国家,713
件,714
毎日,715
俺,716
試合,717
なし,718
七,719
ま,720
会議,721
使う,722
いつ,723
指摘,724
書く,725
＾,726
製品,727
変化,728
結局,729
消費,730
保険,731
観,732
具体,733
人生,734
量,735
米国,736
表示,737
いか,738
精神,739
街,740
過去,741
レベル,742
我々,743
わかり,744
近く,745
インターネット,746
能力,747
指導,748
わたし,749
更新,750
強い,751
いただい,752
公開,753
日本語,754
皆さん,755
―,756
屋,757
ほか,758
女,759
昔,760
担当,761
費,762
もらっ,763
明日,764
旅行,765
夢,766
それから,767
明らか,768
＿,769
木,770
機,771
大切,772
局,773
求め,774
行政,775
安全,776
外国,777
お金,778
資料,779
部屋,780
行為,781
平成,782
いや,783
色,784
難しい,785
登録,786
ドイツ,787
設定,788
どういう,789
成功,790
､,791
努力,792
戦,793
生まれ,794
与え,795
団体,796
につきまして,797
支援,798
最も,799
自己,800
全,801
年度,802
運動,803
構造,804
特別,805
ド,806
解決,807
え,808
完全,809
欲しい,810
限り,811
品,812
訳,813
生き,814
やすい,815
使わ,816
男性,817
結構,818
出る,819
産業,820
軍,821
主,822
流れ,823
出来る,824
に関して,825
人気,826
お話,827
過ぎ,828
駅,829
最終,830
答え,831
ドル,832
保護,833
再,834
グループ,835
生,836
ポイント,837
ども,838
センター,839
開催,840
方向,841
改革,842
検索,843
および,844
□,845
忘れ,846
Q,847
健康,848
障害,849
ヶ月,850
認め,851
協力,852
時期,853
料理,854
考え方,855
楽しみ,856
医療,857
金融,858
試験,859
により,860
フランス,861
立場,862
契約,863
すでに,864
良く,865
条件,866
放送,867
※,868
全国,869
室,870
なあ,871
枚,872
ずっと,873
作成,874
足,875
成長,876
施設,877
リ,878
来る,879
登場,880
知識,881
携帯,882
よる,883
実現,884
友人,885
早く,886
｢,887
おき,888
海外,889
原因,890
実施,891
昨年,892
〇,893
病院,894
代,895
認識,896
夏,897
イメージ,898
段階,899
発生,900
反対,901
期間,902
区,903
トップ,904
条,905
午後,906
税,907
主張,908
変更,909
サッカー,910
パソコン,911
＋,912
書か,913
番組,914
はじめ,915
今度,916
ホームページ,917
さえ,918
入り,919
｣,920
続き,921
準備,922
述べ,923
処理,924
口,925
式,926
または,927
動き,928
だって,929
絶対,930
書き,931
結婚,932
社長,933
もん,934
体験,935
決め,936
基準,937
発言,938
おら,939
都市,940
ぞ,941
親,942
機会,943
展開,944
授業,945
デザイン,946
火,947
自体,948
興味,949
掲載,950
あたり,951
編集,952
選択,953
いわゆる,954
含め,955
話し,956
週間,957
負担,958
文字,959
やり,960
最大,961
無料,962
相談,963
注意,964
ホテル,965
まったく,966
終わっ,967
株,968
なれ,969
全部,970
しっかり,971
開始,972
やら,973
身,974
面白い,975
イベント,976
分析,977
アクセス,978
入る,979
同時に,980
詳細,981
先ほど,982
派,983
アップ,984
読み,985
将来,986
予算,987
愛,988
目標,989
台,990
通信,991
△,992
プログラム,993
長い,994
分野,995
｡,996
ちなみに,997
Z,998
花,999
国内,1000
帰っ,1001
作る,1002
土,1003
時刻,1004
そのまま,1005
逆,1006
発見,1007
とにかく,1008
最高,1009
為,1010
聞き,1011
利益,1012
どちら,1013
小,1014
銀行,1015
終了,1016
事務,1017
出版,1018
連絡,1019
プロ,1020
大会,1021
練習,1022
様々,1023
娘,1024
州,1025
もらい,1026
少ない,1027
こうした,1028
ろ,1029
ファン,1030
同様,1031
小さな,1032
つもり,1033
大阪,1034
共通,1035
増え,1036
現代,1037
被害,1038
住宅,1039
選挙,1040
とともに,1041
新た,1042
変わっ,1043
大事,1044
山,1045
わかっ,1046
批判,1047
報道,1048
なか,1049
▼,1050
心配,1051
本日,1052
残念,1053
なお,1054
クリック,1055
見える,1056
業界,1057
相当,1058
どれ,1059
議員,1060
業務,1061
章,1062
もっ,1063
攻撃,1064
スポーツ,1065
とっ,1066
近い,1067
メンバー,1068
世紀,1069
演奏,1070
家庭,1071
わかる,1072
直接,1073
ところが,1074
ほしい,1075
うまく,1076
構成,1077
もと,1078
文章,1079
案,1080
起き,1081
希望,1082
強く,1083
記憶,1084
方々,1085
おい,1086
とおり,1087
呼ば,1088
取引,1089
作り,1090
［,1091
付け,1092
思え,1093
感じる,1094
市民,1095
超,1096
上げ,1097
資金,1098
メディア,1099
友達,1100
危険,1101
運営,1102
導入,1103
予想,1104
ファイル,1105
おく,1106
いずれ,1107
モデル,1108
必ず,1109
たとえば,1110
レ,1111
発売,1112
はっきり,1113
あげ,1114
得る,1115
話題,1116
建築,1117
印象,1118
出す,1119
課題,1120
￣,1121
事故,1122
ライブ,1123
大きい,1124
ソフト,1125
額,1126
聞く,1127
バス,1128
母,1129
チェック,1130
ちゃんと,1131
われわれ,1132
］,1133
使い,1134
学習,1135
靴,1136
むしろ,1137
割,1138
まさに,1139
権利,1140
発展,1141
記録,1142
光,1143
個,1144
計算,1145
雨,1146
種類,1147
設計,1148
非,1149
現場,1150
途中,1151
気分,1152
昭和,1153
地球,1154
移動,1155
絵,1156
調べ,1157
ごと,1158
料,1159
発行,1160
企画,1161
宗教,1162
改正,1163
間違い,1164
数字,1165
若い,1166
覚え,1167
分から,1168
倍,1169
線,1170
そのもの,1171
不安,1172
自ら,1173
知れ,1174
広告,1175
土地,1176
それら,1177
有名,1178
言語,1179
共同,1180
年代,1181
タイプ,1182
プロジェクト,1183
要求,1184
差,1185
教授,1186
進め,1187
戦略,1188
営業,1189
制,1190
無理,1191
役割,1192
▲,1193
改善,1194
北朝鮮,1195
きっと,1196
期,1197
イギリス,1198
ユーザー,1199
撮影,1200
変え,1201
エネルギー,1202
楽しい,1203
拡大,1204
色々,1205
示し,1206
終わり,1207
道路,1208
種,1209
ちゃっ,1210
憲法,1211
見せ,1212
感謝,1213
感覚,1214
旅,1215
紙,1216
高校,1217
Ａ,1218
買い,1219
×,1220
仕方,1221
信じ,1222
実行,1223
もらう,1224
とりあえず,1225
記者,1226
通常,1227
既に,1228
現状,1229
建設,1230
味,1231
だが,1232
−,1233
スタッフ,1234
先日,1235
最新,1236
中央,1237
幸せ,1238
犬,1239
平均,1240
カード,1241
物語,1242
かかる,1243
似,1244
持ち,1245
末,1246
財政,1247
◇,1248
いわ,1249
追加,1250
