WORD,FREQUENCY_RANKING
の,1
だ,2
た,3
は,4
て,5
に,6
が,7
を,8
する,9
ない,10
ん,11
か,12
よ,13
です,14
と,15
で,16
ます,17
も,18
ね,19
いる,20
てる,21
な,22
から,23
う,24
こと,25
じゃ,26
何,27
ある,28
なる,29
さん,30
って,31
そう,32
れる,33
この,34
私,35
いい,36
あっ,37
お,38
これ,39
やる,40
人,41
俺,42
言う,43
それ,44
はい,45
お前,46
あ,47
くる,48
その,49
え,50
わ,51
どう,52
けど,53
あの,54
たい,55
もう,56
でも,57
ば,58
うん,59
ぞ,60
思う,61
君,62
くれる,63
く,64
ああ,65
行く,66
や,67
えっ,68
さ,69
ちゃん,70
来る,71
よう,72
見る,73
だけ,74
まで,75
そんな,76
できる,77
ここ,78
せる,79
ちょっと,80
今,81
たち,82
事,83
いや,84
分かる,85
あなた,86
ちゃう,87
いく,88
られる,89
へ,90
だって,91
なんだ,92
僕,93
なんて,94
みんな,95
いう,96
ぬ,97
ぜ,98
一,99
くださる,100
待つ,101
先生,102
じゃあ,103
ため,104
よい,105
出る,106
知る,107
ら,108
あれ,109
ござる,110
という,111
し,112
ありがとう,113
こんな,114
聞く,115
どこ,116
誰,117
前,118
大丈夫,119
もの,120
時,121
今日,122
また,123
自分,124
ねえ,125
まだ,126
わかる,127
気,128
みる,129
うわ,130
様,131
もらう,132
おい,133
のに,134
早い,135
中,136
みたい,137
だから,138
なんか,139
うる,140
かも,141
わけ,142
お願い,143
とき,144
もん,145
話,146
力,147
年,148
ちゃ,149
持つ,150
帰る,151
手,152
男,153
とか,154
方,155
しまう,156
おる,157
違う,158
やめる,159
ご,160
うち,161
すごい,162
悪い,163
あんた,164
まあ,165
子,166
あぁ,167
入る,168
日,169
より,170
食べる,171
死ぬ,172
そして,173
考える,174
やつ,175
目,176
はっ,177
こっち,178
なさる,179
音,180
あと,181
よく,182
あいつ,183
として,184
声,185
使う,186
人間,187
ま,188
さあ,189
しか,190
はず,191
心,192
やっぱり,193
時間,194
仕事,195
どうして,196
ほら,197
何で,198
ただ,199
好き,200
ええ,201
同じ,202
ほう,203
頑張る,204
ところ,205
しれる,206
ねぇ,207
そういう,208
そこ,209
作る,210
戻る,211
なぁ,212
出す,213
会う,214
ふる,215
しかし,216
なん,217
はぁ,218
殺す,219
たり,220
絶対,221
ごめん,222
もっと,223
家,224
なんです,225
次,226
世界,227
相手,228
強い,229
俺たち,230
ダメ,231
女,232
くん,233
とる,234
あげる,235
体,236
一緒に,237
おく,238
まま,239
者,240
頼む,241
すぐ,242
バカ,243
おっ,244
うい,245
つく,246
本当に,247
すいません,248
まさか,249
入れる,250
ちゃんと,251
お父さん,252
こそ,253
逃げる,254
助ける,255
顔,256
いつも,257
こいつ,258
見える,259
生きる,260
おお,261
どういう,262
守る,263
いける,264
夢,265
オレ,266
どうぞ,267
なぜ,268
つもり,269
なんで,270
よし,271
つける,272
何だ,273
お母さん,274
どんな,275
こちら,276
ずっと,277
す,278
わし,279
今度,280
ので,281
なに,282
こう,283
戦う,284
信じる,285
教える,286
なあ,287
だが,288
め,289
これから,290
うまい,291
無理,292
うわる,293
はあ,294
取る,295
彼女,296
最後,297
きっと,298
それで,299
らしい,300
さっき,301
心配,302
彼,303
がる,304
など,305
忘れる,306
じゃん,307
ほど,308
達,309
とく,310
私たち,311
わたし,312
以上,313
必要,314
終わる,315
呼ぶ,316
っす,317
大,318
見せる,319
かける,320
上,321
んで,322
万,323
事件,324
先,325
おいしい,326
ちる,327
分,328
命,329
痛い,330
敵,331
ハッ,332
すぎる,333
あんな,334
子供,335
本当,336
よろしく,337
負ける,338
あー,339
犯人,340
大変,341
話す,342
とこ,343
ママ,344
では,345
ほしい,346
全部,347
いつ,348
わぁ,349
ちまう,350
ホント,351
二,352
変わる,353
っていう,354
ほる,355
仲間,356
いただく,357
かい,358
確かに,359
攻撃,360
星,361
おう,362
あら,363
決める,364
行う,365
後,366
そ,367
少し,368
明日,369
皆さん,370
全然,371
名前,372
フッ,373
でる,374
受ける,375
買う,376
先輩,377
どうも,378
怖い,379
他,380
殿,381
勝つ,382
本,383
第,384
楽しい,385
気持ち,386
すべて,387
ど,388
友達,389
どうか,390
あッ,391
ちょ,392
書く,393
だったら,394
おはよう,395
空,396
いえ,397
頭,398
たって,399
意味,400
金,401
さすが,402
関係,403
大事,404
必ず,405
くらい,406
飲む,407
我々,408
続ける,409
せい,410
場所,411
えッ,412
ごめんなさい,413
回,414
一緒,415
ぐらい,416
貴様,417
海,418
問題,419
とおり,420
べし,421
部屋,422
さぁ,423
かしら,424
実は,425
警察,426
全て,427
駄目,428
社長,429
元気,430
かかる,431
名,432
下さる,433
嫌,434
それに,435
さま,436
許す,437
すみません,438
パパ,439
決まる,440
所,441
同,442
見つける,443
そっ,444
今回,445
円,446
覚える,447
動く,448
ボク,449
結婚,450
三,451
神,452
出来る,453
初めて,454
悟,455
王,456
なるほど,457
しっかり,458
道,459
つ,460
倒す,461
もちろん,462
ながら,463
える,464
とにかく,465
わっ,466
あ～,467
っと,468
うつ,469
カード,470
度,471
一番,472
奴,473
電話,474
幸せ,475
地球,476
変,477
学校,478
かわいい,479
花,480
昔,481
もし,482
戦い,483
始める,484
もらえる,485
感じ,486
すむ,487
ホントに,488
任せる,489
１つ,490
家族,491
消える,492
言葉,493
急ぐ,494
最初,495
乗る,496
会社,497
一体,498
外,499
そんなに,500
起きる,501
店,502
止める,503
元,504
間,505
姿,506
新しい,507
約束,508
つまり,509
昨日,510
べ,511
連絡,512
食う,513
言える,514
よる,515
寝る,516
残る,517
こ,518
野郎,519
高い,520
開く,521
光,522
日本,523
枚,524
まぁ,525
なれる,526
ポケモン,527
娘,528
ったら,529
まったく,530
おかしい,531
調べる,532
フン,533
き,534
超,535
国,536
探す,537
遅い,538
困る,539
ばかり,540
あたし,541
水,542
口,543
返す,544
おかげ,545
こういう,546
始まる,547
夜,548
普通,549
ひる,550
勝負,551
そりゃ,552
村,553
女性,554
落ちる,555
召喚,556
番,557
あの人,558
今まで,559
いったい,560
愛,561
破壊,562
あの子,563
黙る,564
へん,565
っけ,566
別に,567
未来,568
病院,569
選ぶ,570
見つかる,571
捨てる,572
キミ,573
連れる,574
写真,575
怒る,576
笑う,577
向かう,578
嘘,579
なんと,580
送る,581
泣く,582
お金,583
にとって,584
そろそろ,585
立つ,586
け,587
何でも,588
危ない,589
もしかして,590
お兄ちゃん,591
マジ,592
歳,593
のび太,594
勝手,595
申し訳,596
結構,597
いっぱい,598
刑事,599
宇宙,600
急,601
いやいや,602
ふう,603
捜す,604
簡単,605
最近,606
ひどい,607
風,608
り,609
試合,610
頃,611
邪魔,612
車,613
すげる,614
じ,615
町,616
せっかく,617
バトル,618
下,619
失礼します,620
感じる,621
思い,622
準備,623
読む,624
くい,625
いらっしゃる,626
場合,627
間違い,628
効果,629
やはり,630
させる,631
どれ,632
終わり,633
いたす,634
チーム,635
最高,636
おぉ,637
開ける,638
現れる,639
欲しい,640
足,641
たくさん,642
朝,643
夫,644
生まれる,645
全員,646
とも,647
情報,648
可能性,649
失礼,650
数,651
働く,652
東京,653
隠す,654
過ぎる,655
島,656
もう一度,657
それでは,658
やっぱ,659
一つ,660
どっち,661
パワー,662
別,663
作戦,664
っていうか,665
こら,666
ほんと,667
合う,668
狙う,669
頂く,670
面白い,671
用,672
変える,673
兄,674
なかなか,675
理由,676
優しい,677
父,678
そっち,679
モンスター,680
あそこ,681
人生,682
まずは,683
る,684
なり,685
いろいろ,686
もしもし,687
存在,688
真,689
残念,690
多い,691
選手,692
ろ,693
うーん,694
剣,695
魔法,696
上がる,697
てめえ,698
十,699
本気,700
やっと,701
ドラゴン,702
聞こえる,703
だい,704
ども,705
こんなに,706
ン,707
まず,708
たん,709
伝える,710
ターン,711
山,712
認める,713
いくら,714
しかも,715
母さん,716
料理,717
渡す,718
奪う,719
切る,720
大きな,721
確認,722
物,723
号,724
うるさい,725
屋,726
親,727
龍,728
飛ぶ,729
博士,730
だけど,731
部,732
捜査,733
獣,734
確か,735
我が,736
落ち着く,737
諦める,738
ねる,739
走る,740
助かる,741
城,742
ボール,743
無事,744
身,745
了解,746
用意,747
危険,748
によって,749
船,750
思い出す,751
完全,752
勉強,753
お疲れさま,754
うれしい,755
置く,756
件,757
発動,758
点,759
そいつ,760
ウソ,761
い,762
軍,763
若い,764
男性,765
月,766
訳,767
夏,768
息子,769
気づく,770
鬼,771
絵,772
結果,773
お姉ちゃん,774
遊ぶ,775
よろしい,776
わける,777
きれい,778
大切,779
覚悟,780
何とか,781
救う,782
について,783
与える,784
ついに,785
隊長,786
太,787
へぇ,788
さえ,789
ふん,790
のう,791
こんにちは,792
失う,793
女の子,794
離れる,795
結局,796
天,797
続く,798
貸す,799
犬,800
現場,801
くせ,802
血,803
生徒,804
奥さん,805
残す,806
良い,807
甘い,808
へえ,809
ばっかり,810
千,811
能力,812
状況,813
ううん,814
付ける,815
闇,816
時代,817
大人,818
楽しみ,819
方法,820
もう少し,821
待てる,822
手伝う,823
まずい,824
練習,825
似る,826
父さん,827
いつか,828
本物,829
申す,830
ルパン,831
まるで,832
いきなり,833
おじさん,834
近く,835
魂,836
大好き,837
長い,838
勝てる,839
母,840
まだまだ,841
部長,842
魔,843
だす,844
得る,845
辞める,846
恋,847
親父,848
打つ,849
毎日,850
冗談,851
とても,852
当然,853
彼ら,854
証拠,855
妖怪,856
味,857
ふざける,858
上げる,859
以外,860
内,861
飯,862
ゆっくり,863
なくなる,864
それより,865
描く,866
おめでとう,867
戦,868
的,869
こりゃ,870
死,871
無線,872
行ける,873
あっち,874
当たる,875
会える,876
安心,877
使える,878
みせる,879
久しぶり,880
右,881
ここから,882
いいえ,883
売る,884
父親,885
姫,886
新,887
ほんとに,888
まっ,889
患者,890
歩く,891
よいしょ,892
どく,893
母親,894
人たち,895
どうせ,896
僕たち,897
み,898
向こう,899
失敗,900
春,901
追う,902
謝る,903
ゲーム,904
それでも,905
ってば,906
よっしゃ,907
被害者,908
たま,909
調子,910
変身,911
マン,912
くう,913
おっしゃる,914
嫌い,915
我ら,916
はる,917
撮る,918
介,919
腕,920
止まる,921
目的,922
すか,923
起こる,924
街,925
牙,926
難しい,927
ドア,928
それから,929
