WORD,FREQUENCY_RANKING
の,1
乃,2
之,3
は,4
が,5
に,6
を,7
な,8
よ,9
だ,10
も,11
と,12
で,13
か,14
ね,15
する,16
から,17
ん,18
んだ,19
こと,20
事,21
です,22
って,23
この,24
斯の,25
此の,26
ある,27
有る,28
在る,29
為る,30
なる,31
成る,32
行る,33
やる,34
遣る,35
さん,36
お,37
これ,38
此れ,39
維,40
惟,41
是れ,42
此,43
あ,44
何,45
いい,46
其,47
其れ,48
それ,49
私,50
無い,51
ない,52
言う,53
其の,54
その,55
あっ,56
居る,57
いる,58
じゃない,59
じゃ無い,60
ぞ,61
もう,62
行く,63
くれる,64
あの,65
彼の,66
でも,67
には,68
わ,69
けど,70
爰,71
茲,72
是,73
ここ,74
此処,75
うん,76
し,77
思う,78
そう,79
嗚呼,80
ああ,81
嗟,82
吁,83
丈,84
だけ,85
見る,86
来る,87
だった,88
はい,89
そんな,90
どう,91
如何,92
何う,93
今,94
なら,95
迄,96
まで,97
だから,98
なんだ,99
何だ,100
お前,101
へ,102
え,103
待つ,104
俺,105
なんて,106
んです,107
出來る,108
出きる,109
出来る,110
できる,111
あれ,112
だろう,113
こんな,114
嫌,115
厭,116
いや,117
ちょっと,118
一寸,119
では,120
まだ,121
未だ,122
えっ,123
皆んな,124
皆,125
みんな,126
ちゃん,127
もの,128
物,129
聞く,130
知る,131
う,132
人,133
なの,134
亦,135
又,136
また,137
復,138
貰う,139
もらう,140
大丈夫,141
のに,142
何処,143
どこ,144
何所,145
何處,146
出る,147
さ,148
とは,149
そうだ,150
だって,151
達,152
たち,153
良い,154
吉い,155
宜い,156
好い,157
よい,158
善い,159
佳い,160
じゃ,161
と言う,162
という,163
ですか,164
何か,165
今日,166
貴男,167
貴女,168
貴方,169
あなた,170
ぜ,171
みたい,172
早い,173
とか,174
凄い,175
すごい,176
みる,177
観る,178
視る,179
覧る,180
くださる,181
下さる,182
持つ,183
自分,184
いく,185
往く,186
違う,187
じゃあ,188
誰,189
わけ,190
理由,191
後,192
あと,193
より,194
よね,195
前,196
中,197
ウッ,198
はっ,199
如何した,200
どうした,201
やめる,202
辞める,203
おい,204
使う,205
帰る,206
こっち,207
此方,208
為に,209
ために,210
云う,211
いう,212
謂う,213
悪い,214
ねえ,215
有り難う,216
有難う,217
ありがとう,218
入る,219
話,220
そして,221
而して,222
様に,223
ように,224
そこ,225
其処,226
其所,227
良く,228
よく,229
能く,230
一緒に,231
同じ,232
くる,233
來る,234
もっと,235
やっぱり,236
矢っ張り,237
でしょう,238
ような,239
様な,240
考える,241
にも,242
分かる,243
内,244
うち,245
裡,246
內,247
裏,248
もん,249
さあ,250
ただ,251
唯,252
但,253
只,254
君,255
次,256
作る,257
でしょ,258
ええ,259
僕,260
本当に,261
だけど,262
見える,263
如何して,264
どうして,265
爲,266
為,267
ため,268
まさか,269
真逆,270
まあ,271
前に,272
会う,273
だろ,274
そうか,275
なんで,276
何で,277
時間,278
所,279
ところ,280
処,281
處,282
好き,283
あんた,284
しか,285
きっと,286
戻る,287
御,288
ご,289
なん,290
様,291
よう,292
いつも,293
何時も,294
だが,295
として,296
ので,297
ご免,298
ごめん,299
御免,300
目,301
ずっと,302
ほら,303
積り,304
積もり,305
つもり,306
力,307
どんな,308
世界,309
手,310
食べる,311
そういう,312
そう言う,313
教える,314
本当,315
絶対,316
終わる,317
らしい,318
子,319
年,320
出す,321
２人,322
頼む,323
あいつ,324
彼奴,325
今度,326
よし,327
斯う,328
こう,329
人間,330
忘れる,331
こそ,332
呼ぶ,333
相手,334
死ぬ,335
さっき,336
先,337
此奴,338
こいつ,339
強い,340
逃げる,341
あんな,342
助ける,343
フッ,344
心配,345
くらい,346
しかし,347
然し,348
声,349
体,350
上,351
どういう,352
どう言う,353
如何いう,354
如何言う,355
顔,356
見せる,357
なあ,358
ほう,359
方,360
気,361
少し,362
駄目,363
ダメ,364
確かに,365
日,366
男,367
奴,368
やつ,369
かも,370
はず,371
筈,372
うわ,373
最後,374
このまま,375
等,376
ら,377
守る,378
時,379
全部,380
誰か,381
程,382
ほど,383
て,384
うわっ,385
はあ,386
何故,387
なぜ,388
必要,389
ちゃんと,390
場所,391
此れから,392
これから,393
バカ,394
馬鹿,395
莫迦,396
生きる,397
私たち,398
上げる,399
あげる,400
怖い,401
話す,402
動く,403
何時,404
いつ,405
だったら,406
大変,407
取る,408
た,409
多,410
一,411
頑張る,412
わよ,413
無理,414
信じる,415
初めて,416
欲しい,417
ほしい,418
名前,419
ことになる,420
事になる,421
音,422
たる,423
見つける,424
など,425
アーッ,426
決める,427
お願い,428
仕事,429
入れる,430
楽しい,431
なのに,432
心,433
すむ,434
済む,435
夢,436
そうです,437
ことがある,438
事がある,439
者,440
こちら,441
所為,442
せい,443
勿論,444
もちろん,445
許す,446
かも知れない,447
かもしれない,448
とこ,449
巧い,450
美い,451
上手い,452
うまい,453
旨い,454
美味い,455
かける,456
掛ける,457
懸ける,458
１人,459
かい,460
先に,461
そんなに,462
でした,463
すぐ,464
直ぐ,465
任せる,466
そろそろ,467
変,468
覚える,469
おっ,470
ハハハ,471
全然,472
なんです,473
決まる,474
負ける,475
気持ち,476
意味,477
ばかり,478
何も,479
昔,480
なるほど,481
成る程,482
なる程,483
成程,484
成るほど,485
もし,486
若し,487
起きる,488
分,489
やがる,490
勝つ,491
俺たち,492
侭,493
儘,494
まま,495
戴く,496
いただく,497
頂く,498
たって,499
女,500
すぐに,501
直ぐに,502
大事,503
家,504
止める,505
可笑しい,506
おかしい,507
刻,508
秋,509
とき,510
おく,511
置く,512
必ず,513
変わる,514
誰も,515
元気,516
外,517
最初,518
いえ,519
新しい,520
連れる,521
以上,522
フフフ,523
フフ,524
では無い,525
ではない,526
のです,527
消える,528
とにかく,529
兎に角,530
残る,531
こんなに,532
始まる,533
問題,534
危ない,535
さすが,536
流石,537
終わり,538
別に,539
遅い,540
ご免なさい,541
ごめんなさい,542
御免なさい,543
受ける,544
頭,545
言葉,546
寝る,547
どうぞ,548
所で,549
ところで,550
ホント,551
間,552
五月蠅い,553
うるさい,554
煩い,555
煩さい,556
五月蝿い,557
感じ,558
あら,559
乗る,560
実は,561
可愛い,562
かわいい,563
無くなる,564
なくなる,565
失くなる,566
部屋,567
つまり,568
詰まり,569
詰り,570
はずだ,571
べき,572
である,573
わね,574
探す,575
折角,576
せっかく,577
付ける,578
つける,579
着ける,580
姿,581
用,582
落ちる,583
す,584
酢,585
醋,586
始める,587
懸る,588
かかる,589
掛かる,590
掛る,591
懸かる,592
じゃん,593
買う,594
準備,595
今まで,596
簡単,597
宜しく,598
よろしく,599
仲間,600
先生,601
あそこ,602
彼処,603
約束,604
じゃないか,605
じゃ無いか,606
しかない,607
しか無い,608
戦う,609
今回,610
いいから,611
笑う,612
応,613
おう,614
ン,615
聞こえる,616
若しかして,617
もしかして,618
彼女,619
し手,620
仕手,621
して,622
名,623
それだけ,624
道,625
明日,626
感じる,627
しっかり,628
選ぶ,629
じゃねえ,630
わあ,631
怒る,632
ようだ,633
様だ,634
向かう,635
昨日,636
助かる,637
一緒,638
ありがとうございます,639
有難うございます,640
有難う御座います,641
有り難うございます,642
有り難う御座います,643
普通,644
はぁ,645
まったく,646
全く,647
敵,648
多い,649
彼,650
高い,651
ことができる,652
事ができる,653
ことが出来る,654
事が出来る,655
返す,656
えっと,657
ですが,658
黙る,659
殺す,660
二,661
貮,662
弍,663
弐,664
２,665
貳,666
ふ,667
つく,668
付く,669
こういう,670
こう言う,671
やっと,672
どこか,673
何処か,674
め,675
眼,676
ないか,677
続ける,678
結構,679
其方,680
そっち,681
一体,682
お前ら,683
沢山,684
たくさん,685
１つ,686
自分で,687
とる,688
勝手に,689
にして,690
存在,691
第,692
邪魔,693
友達,694
思い出す,695
そりゃ,696
１杯,697
１ぱい,698
一杯,699
いっぱい,700
わっ,701
安心,702
以外,703
困る,704
泣く,705
夜,706
一度,707
非道い,708
酷い,709
ひどい,710
開く,711
最近,712
いろいろ,713
色色,714
色いろ,715
色々,716
離れる,717
見つかる,718
書く,719
急ぐ,720
痛い,721
別,722
皆さん,723
一番,724
落ち着く,725
全員,726
やはり,727
矢張,728
矢張り,729
どっち,730
何方,731
まずは,732
先ずは,733
食う,734
最高,735
まるで,736
丸で,737
んん,738
飲む,739
おいしい,740
美味しい,741
長い,742
変える,743
関係,744
さて,745
いつか,746
何時か,747
しれる,748
知れる,749
無事,750
下,751
そう言えば,752
そういえば,753
それでも,754
大,755
とても,756
読む,757
命,758
気になる,759
止まる,760
でしょうか,761
送る,762
そっか,763
伝える,764
どうも,765
そこまで,766
其処まで,767
我々,768
中々,769
なかなか,770
中中,771
大きい,772
追っ,773
十分,774
ぷ,775
様になる,776
ようになる,777
る,778
流,779
まず,780
先ず,781
場合,782
おかげで,783
お陰で,784
お蔭で,785
御陰で,786
あの子,787
訳ない,788
わけない,789
訳無い,790
なよ,791
遊ぶ,792
用意,793
しかも,794
然も,795
に取って,796
にとって,797
優しい,798
さま,799
状,800
元,801
数,802
もう少し,803
或る,804
或,805
手伝う,806
完全,807
大きな,808
それより,809
確か,810
結局,811
近く,812
無し,813
なし,814
上がる,815
生まれる,816
それも,817
足,818
お願いします,819
開ける,820
水,821
それは,822
走る,823
捨てる,824
ぐらい,825
３人,826
嬉しい,827
うれしい,828
失礼,829
狙う,830
ですから,831
これ以上,832
残念,833
気がする,834
危険,835
っけ,836
他,837
とする,838
うお,839
魚,840
マジ,841
諦める,842
続く,843
状況,844
大切,845
いきなり,846
行成,847
行き成り,848
方法,849
どうせ,850
隠す,851
急,852
現れる,853
ちょ,854
幾ら,855
いくら,856
やっぱ,857
似る,858
本気,859
さえ,860
其奴,861
そいつ,862
それで,863
うわあ,864
癖に,865
くせに,866
渡す,867
について,868
に就いて,869
当然,870
へへ,871
すぎる,872
過ぎる,873
口,874
もう一度,875
番,876
ウソ,877
噓,878
嘘,879
ことはない,880
事はない,881
ことは無い,882
事は無い,883
幸せ,884
朝,885
へえ,886
確認,887
そのまま,888
其のまま,889
歩く,890
はは,891
母,892
嫌い,893
あの人,894
余り,895
あまり,896
驚く,897
喜ぶ,898
残す,899
倒す,900
５,901
伍,902
い,903
五,904
こら,905
子供,906
や,907
足りる,908
的,909
難しい,910
面白い,911
ううん,912
女の子,913
んな,914
どうしよう,915
未来,916
人たち,917
お前たち,918
本物,919
認める,920
光,921
行,922
楽しむ,923
見,924
となる,925
あんまり,926
死,927
立つ,928
特別,929
向こう,930
説明,931
なに,932
小,933
知らない,934
思い,935
そうだね,936
連絡,937
さっさと,938
勝負,939
とりあえず,940
取りあえず,941
取り敢えず,942
取り合えず,943
結果,944
目的,945
学校,946
空,947
届く,948
近づく,949
ゆっくり,950
暫らく,951
暫く,952
しばらく,953
何の,954
つ,955
無いと,956
ないと,957
き,958
氣,959
ただいま,960
ただ今,961
唯今,962
只今,963
情報,964
とも,965
共,966
休む,967
海,968
失う,969
失敗,970
進む,971
言,972
まだまだ,973
未だ未だ,974
やって見る,975
やってみる,976
あっち,977
与える,978
起こす,979
当たる,980
毎日,981
特に,982
フン,983
としても,984
感謝,985
覚悟,986
もう直ぐ,987
もうすぐ,988
大好き,989
久しぶり,990
奪う,991
ならば,992
何度,993
観せる,994
みせる,995
ヤツ,996
ええっ,997
こうして,998
近い,999
家族,1000
戦い,1001
眠る,1002
終に,1003
遂に,1004
ついに,1005
ばっかり,1006
救う,1007
一人,1008
飛ぶ,1009
綺麗,1010
奇麗,1011
きれい,1012
可能性,1013
貴様,1014
