WORD,FREQUENCY_RANKING
の,1
は,2
に,3
が,4
を,5
だ,6
と,7
も,8
で,9
か,10
よ,11
な,12
から,13
です,14
する,15
んだ,16
ん,17
ね,18
こと,19
この,20
って,21
ある,22
なる,23
これ,24
それ,25
いい,26
私,27
でも,28
あ,29
そう,30
さん,31
言う,32
その,33
もう,34
じゃない,35
いる,36
ああ,37
には,38
やる,39
ない,40
ここ,41
あっ,42
お,43
けど,44
そんな,45
思う,46
し,47
はい,48
どう,49
だけ,50
何,51
うん,52
来る,53
だった,54
見る,55
まで,56
行く,57
今,58
あの,59
なら,60
だから,61
お前,62
ぞ,63
じゃ,64
なんて,65
こんな,66
待つ,67
俺,68
できる,69
あれ,70
わ,71
だろう,72
へ,73
もの,74
や,75
だって,76
んです,77
ちょっと,78
まだ,79
え,80
えっ,81
みんな,82
人,83
では,84
聞く,85
いや,86
また,87
ですか,88
知る,89
なん,90
なんだ,91
大丈夫,92
のに,93
ため,94
前,95
どこ,96
出る,97
たち,98
とは,99
いう,100
という,101
みたい,102
はっ,103
何か,104
今日,105
あなた,106
早い,107
さ,108
自分,109
かな,110
とか,111
う,112
より,113
ちゃん,114
よい,115
行う,116
して,117
違う,118
中,119
じゃあ,120
持つ,121
ええ,122
あと,123
やめる,124
そこ,125
だろ,126
帰る,127
誰,128
こっち,129
すごい,130
悪い,131
よし,132
おい,133
入る,134
分かる,135
よく,136
一緒,137
なの,138
ありがとう,139
本当,140
しか,141
そして,142
として,143
わけ,144
ように,145
よね,146
話,147
もっと,148
やっぱり,149
同じ,150
考える,151
君,152
少し,153
もん,154
使う,155
フッ,156
ような,157
作る,158
でしょう,159
うち,160
ただ,161
さあ,162
次,163
会う,164
だけど,165
僕,166
ぜ,167
まあ,168
まさか,169
まま,170
見える,171
よう,172
いく,173
ねえ,174
時間,175
力,176
うっ,177
戻る,178
ところ,179
どんな,180
ほら,181
きっと,182
どうして,183
ずっと,184
あんた,185
好き,186
だが,187
なんで,188
ごめん,189
いつも,190
かも,191
食べる,192
終わる,193
出す,194
つもり,195
くる,196
ちゃんと,197
世界,198
教える,199
子,200
助ける,201
らしい,202
絶対,203
頼む,204
目,205
あー,206
忘れる,207
あいつ,208
今度,209
あんな,210
死ぬ,211
人間,212
逃げる,213
こう,214
ご,215
ので,216
強い,217
こそ,218
さっき,219
相手,220
手,221
うわっ,222
２人,223
こいつ,224
くらい,225
見せる,226
しかし,227
心配,228
顔,229
である,230
どういう,231
そうか,232
声,233
はず,234
ダメ,235
守る,236
どうした,237
最後,238
誰か,239
やつ,240
気,241
全部,242
呼ぶ,243
本当に,244
男,245
取る,246
場所,247
なぜ,248
必要,249
怖い,250
おお,251
なー,252
いける,253
ほど,254
頑張る,255
生きる,256
私たち,257
話す,258
いつ,259
方,260
おっ,261
動く,262
ではない,263
だったら,264
なのに,265
はあ,266
大変,267
確か,268
日,269
なあ,270
一度,271
上,272
かもしれない,273
うーん,274
年,275
無理,276
者,277
信じる,278
初めて,279
わよ,280
ことになる,281
バカ,282
ほう,283
ほしい,284
わあ,285
入れる,286
許す,287
決める,288
名前,289
楽しい,290
見つける,291
かける,292
など,293
家,294
体,295
じゃねえ,296
心,297
えー,298
始める,299
夢,300
ことがある,301
こちら,302
続ける,303
仕事,304
もちろん,305
ー,306
時,307
なるほど,308
ふん,309
かい,310
１人,311
とこ,312
覚える,313
任せる,314
うまい,315
様,316
決まる,317
すぐ,318
なくなる,319
先に,320
気持ち,321
そろそろ,322
負ける,323
せい,324
全然,325
音,326
昔,327
意味,328
フフ,329
変,330
起きる,331
ばかり,332
もし,333
どうしたの,334
さすが,335
やがる,336
勝つ,337
俺たち,338
外,339
止める,340
変わる,341
元気,342
必ず,343
つける,344
いえ,345
遅い,346
とき,347
所,348
大事,349
すぐに,350
誰も,351
うわ,352
新しい,353
最初,354
残る,355
おかしい,356
受ける,357
危ない,358
以上,359
とにかく,360
連れる,361
始まる,362
消える,363
あら,364
かわいい,365
ください,366
先,367
ごめんなさい,368
別に,369
寝る,370
問題,371
乗る,372
探す,373
あそこ,374
言葉,375
確かに,376
どうぞ,377
もらう,378
言える,379
間,380
べき,381
ところで,382
落ちる,383
頭,384
ホント,385
感じ,386
買う,387
つまり,388
女,389
せっかく,390
しっかり,391
姿,392
何も,393
聞こえる,394
終わり,395
ハハハ,396
戦う,397
かかる,398
返す,399
先生,400
準備,401
簡単,402
約束,403
よろしく,404
にとって,405
仲間,406
今まで,407
部屋,408
置く,409
今回,410
お願い,411
欲しい,412
彼女,413
すみません,414
もしかして,415
痛い,416
それだけ,417
高い,418
感じる,419
明日,420
はは,421
はずだ,422
向かう,423
さて,424
ちょ,425
昨日,426
殺す,427
まったく,428
多い,429
ありがとうございます,430
おう,431
彼,432
あああ,433
助かる,434
普通,435
どこか,436
ことができる,437
怒る,438
敵,439
一番,440
はぁ,441
黙る,442
そっち,443
願う,444
やっと,445
こういう,446
実は,447
結構,448
一緒に,449
お前ら,450
たくさん,451
一体,452
勝手に,453
離れる,454
ひどい,455
皆さん,456
にして,457
思い出す,458
友達,459
存在,460
えっと,461
いっぱい,462
以外,463
理由,464
続く,465
困る,466
安心,467
道,468
まず,469
笑う,470
伝える,471
そりゃ,472
送る,473
長い,474
書く,475
別,476
あの子,477
見つかる,478
邪魔,479
１つ,480
いろいろ,481
おいしい,482
最近,483
用,484
落ち着く,485
んん,486
どっち,487
全員,488
とても,489
変える,490
やはり,491
まるで,492
いただく,493
最高,494
そういう,495
泣く,496
夜,497
無事,498
いつか,499
関係,500
止まる,501
について,502
でしょうか,503
そういえば,504
命,505
おる,506
遊ぶ,507
それでも,508
アーッ,509
そっか,510
選ぶ,511
分,512
わね,513
へへ,514
大きい,515
わけない,516
なかなか,517
急ぐ,518
ようになる,519
使える,520
行ける,521
下,522
気になる,523
て,524
何で,525
我々,526
飲む,527
十分,528
場合,529
おかげで,530
手伝う,531
走る,532
優しい,533
しかも,534
用意,535
嫌,536
開ける,537
まずは,538
ねー,539
ど,540
くれる,541
着る,542
上がる,543
急に,544
完全,545
生まれる,546
大きな,547
諦める,548
近く,549
結局,550
フフフ,551
となる,552
食う,553
お願いします,554
うれしい,555
それも,556
狙う,557
捨てる,558
失礼,559
へえ,560
ぐらい,561
３人,562
何だ,563
足,564
これ以上,565
残念,566
気がする,567
うるさい,568
何の,569
へー,570
危険,571
他,572
とする,573
渡す,574
隠す,575
いきなり,576
水,577
すぎる,578
状況,579
方法,580
やっぱ,581
大切,582
どうせ,583
似る,584
元,585
マジ,586
現れる,587
本気,588
わけじゃない,589
くせに,590
じゃん,591
なし,592
当然,593
いくら,594
そいつ,595
名,596
倒す,597
さえ,598
本,599
うわあ,600
とる,601
面白い,602
喜ぶ,603
嫌い,604
物,605
読む,606
歩く,607
幸せ,608
でもない,609
ううん,610
確認,611
楽しむ,612
うお,613
立つ,614
あまり,615
ほうがいい,616
足りる,617
残す,618
ことはない,619
じゃないか,620
女の子,621
飛ぶ,622
あの人,623
朝,624
こら,625
難しい,626
そのまま,627
フン,628
認める,629
子供,630
どうしよう,631
本物,632
口,633
お前たち,634
未来,635
人たち,636
ウソ,637
説明,638
うわー,639
当たる,640
特別,641
なれる,642
あんまり,643
勝負,644
さっさと,645
こうする,646
進む,647
近づく,648
向こう,649
それより,650
届く,651
とりあえず,652
連絡,653
結果,654
光,655
おーい,656
驚く,657
学校,658
おー,659
失う,660
目的,661
おく,662
ゆっくり,663
久しぶり,664
まだまだ,665
ただいま,666
与える,667
しばらく,668
情報,669
呼ばれる,670
すむ,671
あっち,672
済む,673
近い,674
お母さん,675
失敗,676
思える,677
大好き,678
奪う,679
ら,680
来てる,681
思い,682
だよね,683
お父さん,684
特に,685
覚悟,686
ようです,687
おっと,688
追う,689
何度,690
いいよ,691
感謝,692
みせる,693
起こす,694
そうする,695
毎日,696
ばっかり,697
もうすぐ,698
っけ,699
それで,700
なに,701
そうそう,702
一,703
家族,704
集める,705
戦い,706
ついに,707
休む,708
大,709
海,710
一人,711
ヤツ,712
空,713
甘い,714
貴様,715
でもある,716
可能性,717
きれい,718
調べる,719
やあ,720
関係ない,721
あげる,722
そうです,723
出会う,724
あいつら,725
間に合う,726
集まる,727
後,728
いたす,729
気をつける,730
わざわざ,731
捜す,732
どれ,733
期待,734
どうしても,735
そうだね,736
様子,737
知らない,738
それじゃ,739
攻撃,740
不思議,741
んー,742
冗談,743
いいえ,744
そもそも,745
協力,746
娘,747
開く,748
起こる,749
き,750
当たり前,751
かなり,752
後ろ,753
君たち,754
相変わらず,755
全て,756
つく,757
形,758
かどうか,759
住む,760
勝手,761
いらっしゃる,762
謝る,763
持ってくる,764
によって,765
平気,766
アハハ,767
自由,768
小さい,769
ようだ,770
ぶ,771
超,772
貸す,773
先輩,774
増える,775
おいおい,776
動き,777
求める,778
ってのは,779
番,780
取れる,781
珍しい,782
状態,783
楽しみ,784
救う,785
いただきます,786
みる,787
落とす,788
過ぎる,789
的,790
合う,791
チッ,792
なさる,793
とおり,794
どうやら,795
くん,796
つ,797
手に入れる,798
それとも,799
えい,800
途中,801
突然,802
ありがとうございました,803
意外,804
弱い,805
切る,806
気に入る,807
作戦,808
事,809
彼ら,810
腕,811
ってことは,812
待たせる,813
出てくる,814
神,815
おはよう,816
服,817
そうね,818
目指す,819
しゃべる,820
回る,821
気分,822
代わり,823
見られる,824
ために,825
周り,826
なので,827
風,828
働く,829
なんと,830
疲れる,831
ども,832
んな,833
行動,834
ふる,835
人生,836
それにしても,837
反応,838
この人,839
国,840
忙しい,841
我が,842
壊す,843
よー,844
正直,845
答える,846
理解,847
気にする,848
秘密,849
たとえ,850
借りる,851
遠い,852
消す,853
変わった,854
成功,855
まずい,856
いなくなる,857
ン,858
胸,859
程度,860
記憶,861
絶対に,862
連中,863
間違う,864
時代,865
による,866
余計,867
美しい,868
自分で,869
上げる,870
ったく,871
いやいや,872
誰にも,873
おかげ,874
あなたたち,875
たまに,876
２つ,877
しれる,878
愛する,879
やだ,880
眠る,881
まつ,882
報告,883
決して,884
血,885
すべて,886
一応,887
考え,888
勉強,889
若い,890
いいから,891
てめえ,892
ありがと,893
つらい,894
恥ずかしい,895
チャンス,896
暇,897
得る,898
いやー,899
ほとんど,900
しょうがない,901
了解,902
望む,903
いろんな,904
隠れる,905
似合う,906
いやあ,907
ふう,908
それなら,909
街,910
今すぐ,911
せめて,912
逆,913
こりゃ,914
暮らす,915
野郎,916
っす,917
どの,918
どんどん,919
抜ける,920
深い,921
重い,922
頑張って,923
引く,924
襲う,925
下がる,926
大人,927
詳しい,928
ことにする,929
たって,930
皆,931
興味,932
おとなしい,933
予定,934
運ぶ,935
なんじゃ,936
そば,937
さすがに,938
いよいよ,939
倒れる,940
慣れる,941
愛,942
ようにする,943
山,944
女性,945
つい,946
たった,947
離す,948
超える,949
気づく,950
死,951
自信,952
引,953
うまくいく,954
しまった,955
バレる,956
速い,957
にゃ,958
そうですね,959
紹介,960
うむ,961
希望,962
売る,963
立派,964
運命,965
こいつら,966
ああああ,967
すげえ,968
実,969
触る,970
件,971
完璧,972
間違い,973
星,974
格好,975
のみ,976
能力,977
身,978
やってくる,979
我慢,980
おおい,981
練習,982
効く,983
早速,984
親,985
間違いない,986
生活,987
正しい,988
知り合い,989
直接,990
僕たち,991
答え,992
もういい,993
お礼,994
捕まえる,995
通る,996
瞬間,997
とっても,998
一生,999
過去,1000
試す,1001
それじゃあ,1002
逃がす,1003
合わせる,1004
ふざける,1005
すら,1006
熱い,1007
つながる,1008
開始,1009
調子,1010
傷,1011
迷惑,1012
応援,1013
こんにちは,1014
と言った,1015
寂しい,1016
大した,1017
想像,1018
一つ,1019
今夜,1020
どちら,1021
ございます,1022
苦手,1023
以前,1024
打つ,1025
すてき,1026
誘う,1027
もともと,1028
そしたら,1029
巻き込む,1030
父,1031
一瞬,1032
張る,1033
いいこと,1034
不安,1035
命令,1036
すまん,1037
ついてくる,1038
しかたない,1039
むしろ,1040
座る,1041
利用,1042
かなう,1043
今から,1044
完成,1045
断る,1046
限界,1047
お互い,1048
