WORD,FREQUENCY_RANKING
の,1
に,2
は,3
が,4
を,5
と,6
も,7
だ,8
で,9
よ,10
な,11
俺,12
から,13
か,14
する,15
こと,16
ね,17
んだ,18
僕,19
って,20
です,21
お前,22
思う,23
いい,24
なる,25
ある,26
言う,27
それ,28
でも,29
ん,30
君,31
けど,32
そう,33
この,34
し,35
いる,36
さん,37
だから,38
そんな,39
なら,40
もう,41
ない,42
だった,43
これ,44
その,45
あ,46
ああ,47
じゃない,48
今,49
だけ,50
だろう,51
見る,52
ここ,53
来る,54
には,55
なんて,56
わかる,57
まで,58
もの,59
さ,60
かな,61
人,62
できる,63
だって,64
うん,65
いう,66
聞く,67
では,68
こんな,69
という,70
顔,71
自分,72
時,73
あの,74
とは,75
もっと,76
なんだ,77
ところ,78
まだ,79
なんか,80
知る,81
悪い,82
のに,83
いや,84
はい,85
ため,86
少し,87
みたい,88
ずっと,89
へ,90
本当,91
まあ,92
ぞ,93
くらい,94
前,95
好き,96
また,97
ように,98
して,99
ただ,100
中,101
どう,102
話す,103
より,104
として,105
一緒,106
ような,107
とか,108
じゃ,109
や,110
よね,111
違う,112
なん,113
部屋,114
今日,115
よい,116
気持ち,117
なんで,118
あなた,119
本当に,120
だろ,121
私,122
嬉しい,123
会う,124
戻る,125
ごめん,126
やる,127
ありがとう,128
わけ,129
ちゃんと,130
だけど,131
考える,132
話,133
お,134
待つ,135
終わる,136
あれ,137
出る,138
んです,139
初めて,140
心,141
ねえ,142
全部,143
行く,144
何,145
どこ,146
ので,147
誰か,148
え,149
ほら,150
分かる,151
ちょっと,152
よう,153
あいつ,154
大丈夫,155
嫌,156
かもしれない,157
かも,158
まま,159
家,160
いつも,161
じゃあ,162
良い,163
こっち,164
忘れる,165
そして,166
すごい,167
何か,168
感じ,169
こうする,170
方,171
よく,172
怖い,173
しか,174
書く,175
うまい,176
そこ,177
ほど,178
昔,179
もん,180
仕事,181
食べる,182
つもり,183
出す,184
ほしい,185
作る,186
体,187
屋,188
見える,189
店,190
奴,191
ことがある,192
覚える,193
入る,194
別に,195
一度,196
結構,197
一つ,198
どうして,199
頃,200
時間,201
心配,202
早い,203
行う,204
こう,205
とき,206
場所,207
安心,208
困る,209
にとって,210
じゃねえ,211
同じ,212
おい,213
言える,214
大事,215
教える,216
みんな,217
急に,218
絶対,219
一人,220
夜,221
持つ,222
日,223
らしい,224
やっぱり,225
頼む,226
きっと,227
優しい,228
誰,229
声,230
でしょう,231
その時,232
はぁ,233
欲しい,234
まさか,235
一番,236
なのに,237
じゃん,238
なあ,239
外,240
人間,241
どんな,242
全然,243
うち,244
うーん,245
あと,246
男,247
取る,248
探す,249
必要,250
とこ,251
置く,252
入れる,253
いつ,254
ようになる,255
わけじゃない,256
気にする,257
たち,258
である,259
べき,260
ダメ,261
気づく,262
帰る,263
伝える,264
信じる,265
多い,266
言葉,267
大切,268
目,269
ですか,270
しばらく,271
しかし,272
２人,273
すぐ,274
そっか,275
驚く,276
止める,277
今度,278
そういう,279
動く,280
くん,281
何度,282
子供,283
もし,284
謝る,285
もちろん,286
手,287
かける,288
家族,289
俺たち,290
それだけ,291
変わる,292
何で,293
不思議,294
寝る,295
他,296
食う,297
生活,298
ばかり,299
こういう,300
やつ,301
なの,302
働く,303
あぁ,304
以外,305
終わり,306
隠す,307
ではない,308
長い,309
見せる,310
気がする,311
抱きしめる,312
それでも,313
変,314
感じる,315
起きる,316
通り,317
最近,318
普通,319
慣れる,320
綺麗,321
よし,322
だが,323
そうする,324
思える,325
えっ,326
風,327
理由,328
離れる,329
守る,330
見つける,331
ご,332
嘘,333
頑張る,334
眠る,335
明日,336
自身,337
分,338
始める,339
よろしく,340
子,341
過ごす,342
おかしい,343
一緒に,344
て,345
事件,346
無理,347
せい,348
遅い,349
続ける,350
読む,351
しっかり,352
ねぇ,353
について,354
う,355
残る,356
深い,357
特別,358
もらう,359
選ぶ,360
確か,361
それじゃあ,362
すべて,363
大変,364
今まで,365
ことになる,366
さっき,367
後,368
そういえば,369
たまに,370
ありがとうございました,371
出会う,372
用意,373
簡単,374
元気,375
たくさん,376
全て,377
喋る,378
呼ぶ,379
意味,380
ようやく,381
年,382
はず,383
はずだ,384
ことができる,385
彼,386
とりあえず,387
当然,388
あんな,389
続く,390
伝わる,391
ぜ,392
ふん,393
気,394
気になる,395
わ,396
最後,397
毎日,398
思い出す,399
つける,400
最初,401
楽しい,402
付き合う,403
上,404
どうしたの,405
とにかく,406
いろんな,407
しかも,408
面白い,409
確かに,410
事実,411
やめる,412
でもない,413
強い,414
泣く,415
ほんと,416
なるほど,417
もしかして,418
せっかく,419
どこか,420
さえ,421
改めて,422
だよね,423
どうした,424
間,425
仕方ない,426
くる,427
使う,428
決める,429
座る,430
喜ぶ,431
捨てる,432
頭,433
先に,434
止まる,435
そりゃ,436
隠れる,437
おかげで,438
なぁ,439
生きる,440
そのまま,441
おお,442
何の,443
聞こえる,444
いける,445
怒る,446
そうか,447
許す,448
痛い,449
方がいい,450
こそ,451
あんまり,452
すみません,453
すげえ,454
先,455
受ける,456
今回,457
巻き込む,458
そうそう,459
何も,460
いろいろ,461
ありがとうございます,462
確認,463
月,464
姿,465
可愛い,466
勝手に,467
想像,468
放つ,469
ものがある,470
きっかけ,471
平気,472
誰も,473
震える,474
あっ,475
なくなる,476
幸せ,477
触れる,478
料理,479
傷,480
そば,481
次,482
など,483
昨日,484
難しい,485
かかる,486
まるで,487
下,488
感情,489
体調,490
特に,491
さすが,492
ことはない,493
朝,494
買う,495
笑う,496
夢,497
ところで,498
笑顔,499
存在,500
残す,501
感謝,502
起こす,503
本気,504
世界,505
愛する,506
連絡,507
大好き,508
すぐに,509
大切にする,510
情報,511
悩む,512
状況,513
あそこ,514
いく,515
連れる,516
適当,517
まきお,518
さあ,519
どうぞ,520
いくら,521
そろそろ,522
えー,523
冗談,524
役,525
いつか,526
先生,527
相変わらず,528
まずは,529
忙しい,530
大きい,531
光,532
直接,533
変える,534
そうだね,535
奥,536
ともえ,537
依頼,538
ずいぶん,539
友達,540
なし,541
なかなか,542
形,543
手伝う,544
明るい,545
いただく,546
嬉しそう,547
助ける,548
調べる,549
めちゃくちゃ,550
高い,551
これまで,552
くれる,553
開ける,554
休む,555
緊張,556
あまり,557
物,558
マジ,559
とても,560
こいつ,561
一体,562
肩,563
荷物,564
どういう,565
足りる,566
似る,567
行動,568
秘密,569
そっち,570
遊ぶ,571
一瞬,572
悲しい,573
まったく,574
それなら,575
後悔,576
久しぶり,577
俺ら,578
気分,579
あの人,580
けれど,581
こちら,582
お客さん,583
しゅん,584
よしあ,585
ありがたい,586
噂,587
立つ,588
黙る,589
反応,590
受け入れる,591
わけではない,592
どれだけ,593
済む,594
終える,595
現れる,596
偶然,597
なー,598
褒める,599
頼る,600
食事,601
向こう,602
単純,603
言い方,604
傷つける,605
千賀,606
はやと,607
生まれる,608
寂しい,609
電話,610
捕まる,611
裏,612
ようにする,613
ゆっくり,614
月城,615
カフェ,616
者,617
逃げる,618
近く,619
報告,620
予定,621
苦しい,622
周り,623
そいつ,624
ふー,625
普段,626
どうしても,627
かう,628
経つ,629
こうして,630
身,631
助かる,632
歳,633
誰にも,634
べ,635
やすい,636
望む,637
へぇ,638
件,639
たって,640
限り,641
所,642
ちがや,643
てか,644
実は,645
仕方がない,646
新しい,647
意外,648
やっぱ,649
人生,650
着る,651
住む,652
断る,653
罪,654
落ち着く,655
警察,656
空,657
嫌い,658
以上,659
これ以上,660
記憶,661
無駄,662
取れる,663
あはは,664
機会,665
売る,666
なり,667
っけ,668
美しい,669
見つかる,670
音,671
足,672
用,673
すんな,674
今さら,675
十分,676
一生,677
３人,678
返す,679
しょうがない,680
暮らす,681
味,682
どれ,683
話をする,684
つい,685
思い出,686
なんだか,687
増える,688
にして,689
邪魔,690
チガヤ,691
かわいい,692
聴く,693
怪我,694
だったら,695
さすがに,696
癖,697
相談,698
届く,699
うわ,700
行ける,701
受け取る,702
理解,703
だいぶ,704
居場所,705
否定,706
逆,707
道,708
くせに,709
飲む,710
彼ら,711
甘い,712
何度も,713
一応,714
隣,715
山,716
奴ら,717
血,718
学校,719
兄弟,720
傷つく,721
あっち,722
回る,723
飯,724
そもそも,725
染まる,726
お客様,727
消す,728
再会,729
決して,730
苦手,731
というか,732
前に,733
とはいえ,734
どんどん,735
もらえる,736
関係,737
貸す,738
すぎる,739
知り合い,740
ははは,741
車,742
突然,743
あんた,744
二人,745
じっと,746
耳,747
正直,748
相手,749
別,750
治る,751
組,752
願う,753
花,754
見られる,755
チーム,756
遠慮,757
熱,758
必ず,759
叶える,760
繰り返す,761
向き合う,762
自由,763
紹介,764
えっと,765
導く,766
納得,767
ほとんど,768
可能性,769
まとも,770
スペース,771
びっくりした,772
はは,773
つまり,774
代わり,775
昼間,776
時に,777
僕たち,778
かどうか,779
日本,780
言う通り,781
さっさと,782
ええ,783
様,784
決まる,785
それより,786
死ぬ,787
父親,788
喧嘩,789
願い,790
勘違い,791
触る,792
冷たい,793
預かる,794
引,795
旬,796
コーヒー,797
落とす,798
一人で,799
もうすぐ,800
どうしよう,801
出てくる,802
今も,803
あのさ,804
おかげ,805
うっ,806
捕まえる,807
広い,808
あちこち,809
殺す,810
自信,811
珍しい,812
倒れる,813
遠い,814
目覚める,815
避ける,816
失う,817
とも,818
結局,819
歌,820
ことにする,821
ていうか,822
やがる,823
無事,824
諦める,825
不安,826
たとえ,827
ひどい,828
眺める,829
むしろ,830
責任,831
今すぐ,832
ロンダリング,833
ちなみに,834
興味,835
それにしても,836
それじゃ,837
自分で,838
ために,839
必死,840
引く,841
勢い,842
雑,843
違い,844
闇,845
寒い,846
嘆く,847
仲良く,848
連れて行く,849
床,850
からこそ,851
いやー,852
そうです,853
顔色,854
若い,855
ちょ,856
面倒,857
亡くなる,858
疲れる,859
当時,860
送る,861
真面目,862
集まる,863
社長,864
案内,865
切る,866
ランドリー,867
やっと,868
様子,869
当たり前,870
誘拐事件,871
とする,872
いつだって,873
過去,874
クリーニング,875
問題,876
愛,877
命,878
残った,879
一日,880
真,881
親父,882
未来,883
印象,884
厳しい,885
中身,886
求める,887
グループ,888
ご飯,889
型,890
暗い,891
口づけ,892
なぜ,893
手紙,894
手伝い,895
ひとつ,896
さぁ,897
複雑,898
開く,899
帰り,900
かい,901
勝手,902
そこから,903
お前ら,904
軽い,905
会話,906
ネックレス,907
ぜん,908
程度,909
暇,910
目的,911
立てる,912
向かう,913
力,914
状態,915
気をつける,916
しれる,917
態度,918
いい子,919
だらけ,920
この辺,921
おとなしい,922
弟,923
ごめんなさい,924
美味しい,925
途中,926
気に入る,927
あー,928
完璧,929
抱く,930
曲,931
時代,932
掃除,933
ください,934
歩く,935
多分,936
みせる,937
素直,938
名前,939
任せる,940
だいたい,941
答える,942
渡す,943
新鮮,944
他人,945
心臓,946
常に,947
メール,948
カウンセラー,949
すっかり,950
お願いします,951
この間,952
声をかける,953
あいつら,954
他に,955
小さい頃,956
赤い,957
ようです,958
そうですね,959
お嬢さん,960
口,961
おいで,962
き,963
冷める,964
それぞれ,965
今年,966
ぶつかる,967
そうやって,968
今こそ,969
あははは,970
立派,971
友恵,972
雨,973
消える,974
恥ずかしい,975
色々,976
木,977
おいしい,978
どっか,979
かなり,980
裏切る,981
余裕,982
本物,983
ちょうど,984
大きな,985
対して,986
全員,987
女,988
季節,989
演じる,990
楽,991
ちゃん,992
元,993
ありがと,994
もともと,995
撫でる,996
ぐらい,997
関わる,998
お願い,999
こんな風に,1000
もういい,1001
ついでに,1002
なれる,1003
すまない,1004
ではないか,1005
ようだ,1006
ポイント,1007
抵抗,1008
ルカ,1009
焦る,1010
聞かせる,1011
おっと,1012
つく,1013
になると,1014
側,1015
良くなる,1016
きれい,1017
利用,1018
それなり,1019
ほうがいい,1020
楽しみ,1021
立ち止まる,1022
いえ,1023
久しぶりに,1024
続き,1025
わけにはいかない,1026
気にしない,1027
未だに,1028
海外,1029
引き受ける,1030
一言,1031
世話,1032
素晴らしい,1033
こうやって,1034
そしたら,1035
呼ばれる,1036
ちげえ,1037
目を閉じる,1038
大した,1039
熱い,1040
申し訳ない,1041
お互い,1042
わざわざ,1043
姫,1044
いなくなる,1045
といい,1046
景色,1047
薬,1048
向ける,1049
患者,1050
握る,1051
落ちる,1052
江戸,1053
はっきり,1054
勝つ,1055
信頼,1056
振る,1057
進める,1058
人気,1059
多少,1060
大人,1061
判断,1062
病気,1063
本人,1064
夜明け,1065
唯一,1066
余計,1067
降りる,1068
出かける,1069
気持ちいい,1070
東道,1071
来てる,1072
匂い,1073
映る,1074
外出,1075
確かめる,1076
完全,1077
間違える,1078
苦労,1079
喜び,1080
見失う,1081
限界,1082
見かける,1083
合う,1084
事情,1085
持ってくる,1086
いとこ,1087
時期,1088
笑える,1089
僕ら,1090
一回,1091
ばっか,1092
必要ない,1093
質問,1094
集める,1095
足りない,1096
繋がる,1097
大事にする,1098
とる,1099
飽きる,1100
辞める,1101
すぎ,1102
何とか,1103
なので,1104
冷える,1105
父,1106
仲間,1107
呼吸,1108
日々,1109
幼馴染,1110
と言った,1111
具合,1112
でもある,1113
いっぱい,1114
両親,1115
犯人,1116
背中,1117
早速,1118
似合う,1119
楽しむ,1120
恋人,1121
どうせ,1122
国,1123
構わない,1124
思い,1125
後ろ,1126
自体,1127
瞬間,1128
髪,1129
服,1130
名乗る,1131
懐かしい,1132
離す,1133
からかう,1134
さて,1135
激しい,1136
いただける,1137
だめ,1138
勉強,1139
歌詞,1140
すら,1141
おはよう,1142
危ない,1143
おやすみなさい,1144
赤,1145
手当て,1146
ことがない,1147
上がる,1148
片付ける,1149
お金,1150
１日,1151
んで,1152
なさそう,1153
心地よい,1154
いやいや,1155
かわいそう,1156
静かに,1157
もうちょっと,1158
本気で,1159
家を出る,1160
その後,1161
おく,1162
その人,1163
請け負う,1164
まさに,1165
正解,1166
静か,1167
調査,1168
通称,1169
当たり,1170
年上,1171
払う,1172
分ける,1173
時の,1174
目立つ,1175
有名,1176
涙,1177
ろう,1178
直す,1179
何にも,1180
しまう,1181
正しい,1182
人たち,1183
文句,1184
自然,1185
城,1186
当たる,1187
ただいま,1188
久々,1189
行く先,1190
がち,1191
お世話になる,1192
しまった,1193
もがく,1194
叶う,1195
縁側,1196
殴る,1197
事,1198
いくつか,1199
休憩,1200
ごく,1201
原因,1202
最悪,1203
以前,1204
練習,1205
進む,1206
まず,1207
